Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",GIBBS & DANDY,30/09/2015,PCC145/2,13,POSTCRETE,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",CANE ADAM,30/09/2015,PCC145/3,34.95,PAINT,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",SCREWFIX,30/09/2015,PCC145/4,9.16,BROOM,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BRANDON,30/09/2015,PCC145/5,-13.97,REFUND,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",BRANDON,30/09/2015,PCC145/6,55.9,TOOLS,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",B & Q,30/09/2015,PCC145/9,23.4,WOOD,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,"Highways, Roads & Transport Services",RUDRIDGE LTD,30/09/2015,PCC145/10,54.17,DUCTING,Handyman Materials,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2612,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/65,15.7,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/66,-5.23,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/67,5.23,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/68,52.8,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/69,17.8,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2614,30004,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/70,1.7,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/71,56.4,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/72,2.78,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/73,32.43,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/74,11.78,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/75,32.05,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/76,9.74,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/77,8.54,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2612,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/78,23.68,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Personnel Services,3601,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/79,2,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/80,58.89,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/81,3.58,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/82,69.08,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2547,30229,Environmental & Regulatory Services,BANNER,30/09/2015,PCC144/83,21.15,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/84,15.45,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30229,Central Services to the Public,BANNER,30/09/2015,PCC144/85,17.72,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/86,74.33,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/87,31.66,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/88,1.7,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2614,30004,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/89,3.36,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2611,30004,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/90,5.04,STATIONERY,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/91,50.25,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1323,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/92,22.17,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/93,2.46,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3814,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/94,85.85,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/95,-31.66,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/96,3.71,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/97,16.59,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/98,7.98,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/99,60.16,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/100,28.01,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/101,43.01,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30229,Other Housing Services,BANNER,30/09/2015,PCC144/102,0.98,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/103,1.55,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2510,30229,Over/Under Recovery on Support Services,BANNER,30/09/2015,PCC144/104,11.13,STATIONERY,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1204,00032,Over/Under Recovery on Support Services,RICS,30/09/2015,PCC144/63,653,RICS application and subscription,Professional Subs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3804,30159,Central Services to the Public,HA NORTH-LISTING,30/09/2015,PCC144/60,129,Fee for summons nndr,Magistrates Court Fees,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3805,30159,Central Services to the Public,HA NORTH-LISTING,30/09/2015,PCC144/61,726,Fee for summns CTAX,Magistrates Court Fees,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1302,30229,Central Services to the Public,express envelopes,30/09/2015,PCC144/49,34.56,elections envelopes,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1302,30229,Central Services to the Public,express envelopes,30/09/2015,PCC144/50,136.8,elections envelopes,Stationery,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,9440,90202,Corporate & Democratic Core,Sainsburys,30/09/2015,PCC144/51,25,Amazon Voucher - Mayor's charityGolf Day,Cllr A Crawford May 11,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1314,00032,Over/Under Recovery on Support Services,ICSA,30/09/2015,PCC144/52,295,Andrew Colver Annual Membership ,Professional Subs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30457,Corporate & Democratic Core,Squires Garden Centre,30/09/2015,PCC144/53,50,Planters for Golf Day ,Charity Golf Tournament,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,9440,90202,Corporate & Democratic Core,Waitrose,30/09/2015,PCC144/54,25,JLP Voucher - Mayor's charity Golf Day ,Cllr A Crawford May 11,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30457,Corporate & Democratic Core,Sainsburys,30/09/2015,PCC144/55,-54,credit for broken wine for Prizes at Golf Day ,Charity Golf Tournament,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30457,Corporate & Democratic Core,Sainsburys,30/09/2015,PCC144/56,80,"replcement wine, whiskey and flowers - Mayors charity Golf Day ",Charity Golf Tournament,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1304,30457,Corporate & Democratic Core,Sainsburys,30/09/2015,PCC144/57,208.09,"Prizes, and refreshments for Mayor's charity golf day ",Charity Golf Tournament,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,00013,Over/Under Recovery on Support Services,Trainline,30/09/2015,PCC144/47,30.65,Staff train ticket,Travel & Subsistence,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,9335,90001,Other Housing Services,Bridges Letting Agent,30/09/2015,PCC144/45,498.82,Admin Fees,Expenditure,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Planning Services,Facebook,30/09/2015,PCC144/35,18.37,Around The World in 80 Days Ads,Nri Aldershot Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,Amazon,30/09/2015,PCC144/36,11.98,Cinderella DVD,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,Amazon,30/09/2015,PCC144/37,9.99,A Royal Night Out DVD,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,00006,Cultural and Related Services,Ticket Office Sales,30/09/2015,PCC144/38,39.4,Train Ticket to London - Assertiveness course,Training Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Cultural and Related Services,Amazon,30/09/2015,PCC144/39,9.99,The Age of Adaline DVD,Payments To Artistes,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30131,Cultural and Related Services,Morrisons,30/09/2015,PCC144/40,7.49,Wine for Bill Bailey Rider,Hospitality,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Planning Services,EMAP Subscriptions,30/09/2015,PCC144/41,305,Retail Week Membership,Nri Aldershot Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30131,Cultural and Related Services,Vodafone,30/09/2015,PCC144/42,10,Dongle credit for laptop,Hospitality,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Facebook,30/09/2015,PCC144/28,16.2,Ads,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,Mechlite,30/09/2015,PCC144/29,13.43,Warning signs,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,Seton,30/09/2015,PCC144/30,16.47,Warning signs,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Cultural and Related Services,Argos,30/09/2015,PCC144/31,19.16,Camera SD Card,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Cultural and Related Services,UKPOS,30/09/2015,PCC144/32,45.36,Clip Frames,Equipment Maintenance,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,30970,Planning Services,SW Trains,30/09/2015,PCC144/26,56.8,Lunson and Mitchell Meeting,Nri Aldershot Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5313,40012,Contract Costs,LED Eco Lights,30/09/2015,PCC144/19,85.49,1 light bulb and holder,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6587,40012,Contract Costs,Prestige Radiators Ltd,30/09/2015,PCC144/20,57.9,3 tissue dispensers,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6587,40012,Contract Costs,Archer signs,30/09/2015,PCC144/21,88.45,3 toilet signs,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1321,30234,Planning Services,Amazon,30/09/2015,PCC144/22,16.69,3 films for Fairtrade event,Promotions,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6587,40012,Contract Costs,Signmax,30/09/2015,PCC144/23,9.58,toilet sign,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6537,40012,Contract Costs,Apple Store,30/09/2015,PCC144/14,356.67,Tablet,Contract Costs,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,00006,Over/Under Recovery on Support Services,Open University,30/09/2015,PCC144/15,177,Course Fee,Training Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,IT Services,3300,00013,Over/Under Recovery on Support Services,SW Trains,30/09/2015,PCC144/16,73,Travel to Seminar,Travel & Subsistence,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30120,Over/Under Recovery on Support Services,Ning,30/09/2015,PCC144/5,40.62,Big Aldershot Conversation - pro-monthly,Website Support/Development,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30120,Over/Under Recovery on Support Services,GoDaddy,30/09/2015,PCC144/6,8.04,BigAldershotConversation.com - 1 year domain renewal,Website Support/Development,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Over/Under Recovery on Support Services,Lynda,30/09/2015,PCC144/7,23.37,Online training - monthly,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1411,30236,Over/Under Recovery on Support Services,MailChimp,30/09/2015,PCC144/8,6.59,Monthly plan for MailChimp (list of 0 - 500 subscribers),Public Relations/Consultations,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Strategy and Communications,1402,30004,Over/Under Recovery on Support Services,Adobe,30/09/2015,PCC144/9,106.4,Monthly design software,Administrative Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic Services,1302,30237,Central Services to the Public,Facebook ,30/09/2015,PCC144/10,8,Boosted post - election reg,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Customer Services,3811,30237,Other Housing Services,Facebook ,30/09/2015,PCC144/11,30,Boosted post - benefits campaign,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Chief Executive,1100,30237,Planning Services,Facebook ,30/09/2015,PCC144/12,30,Boosted post - aldershot event,Publicity And Advertising,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,00006,Cultural and Related Services,SW Trains,30/09/2015,PCC144/1,35.9,Train fair,Training Expenses,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30253,Cultural and Related Services,SCREWFIX,30/09/2015,PCC144/2,133.39,Cable ties/Blots,Stage Equipment,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30131,Cultural and Related Services,Tesco,30/09/2015,PCC144/3,99.35,Ryder Bill Bailey,Hospitality,GPC
