OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate, Amount ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14047814,61747,Eurolink Security Installations Group Limited,R4401-CPK001,Services - Fees and Charges,07/10/2016,650.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,CCTV in car parks,14047828,61755,Eurolink Security Installations Group Limited,C4009-CAP201,C C T V,07/10/2016,"3,795.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Human Resources,14048666,SIN146948,Frontier Software plc,R4534-SUP003,IT - Maint Agreements,28/10/2016,"3,909.94 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14048199,G/011672,Gage-Tupper & Associates Limited,C1107-CAH050,Building Works,14/10/2016,"1,250.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14048580,SINV-101263,Gelpack Excelsior Limited,R4000-TRW001,Equipment Purchase,28/10/2016,"1,335.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Economic Development,14048632,49,GFirst LEP CIC,R4545-ECD001,IT - Interface Development,28/10/2016,"2,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14048139,79630,Glevum Heating & Plumbing Limited,C1107-CAH032,Building Works,14/10/2016,"42,529.30 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Corporate Policy Making,14048532,1800414830,Gloucestershire County Council,R6282-COR003,Contributions,28/10/2016,"10,000.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Repairs & Maintenance,14048023,10779,Gooch Group Limited,R2700-OPS122,Contract Cleaning,21/10/2016,"1,275.00 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,War Memorials,14048022,10780,Gooch Group Limited,R2700-CUL002,Contract Cleaning,21/10/2016,665.00 ,,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14048250,0236/16,Graham Harper Associates Limited,R1100-BUC001,Agency Staff,21/10/2016,"3,631.19 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14048251,0237/16,Graham Harper Associates Limited,R1100-BUC001,Agency Staff,21/10/2016,"2,261.59 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Building Control - Fee Earning Work,14048249,0238/16,Graham Harper Associates Limited,R1100-BUC001,Agency Staff,21/10/2016,"3,219.35 ",,
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Repairs & Maintenance,14048629,3554,Greenway Partnership Limited T/A GPL Building Services,R2004-OPS122,R & M of Build Programmed,28/10/2016,"25,819.00 ",,
