Hospital code,Own home/sheltered housing. N,Own home/sheltered housing. %,Rehabilitation unit. N,Rehabilitation unit. %,Acute hospital. N,Acute hospital. %,Residential care. N,Residential care. %,Nursing care. N,Nursing care. %,Dead. N,Dead. %,Other. N,Other. %,Unknown. N,Unknown. %,Admitted from/discharged to Total cases,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). Yes. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. N,A&E to Orthopaedic ward in 4 hours (QS16 -1). No. %,A&E to Orthopaedic ward in 4 hours (QS16 -1). Total,AMTS recorded. Yes. N,AMTS recorded. Yes. %,AMTS recorded. No. N,AMTS recorded. No. %,AMTS recorded. Total,Perioperative medical assessment. No. N,Perioperative medical assessment. No. %,Perioperative medical assessment. Yes. N,Perioperative medical assessment. Yes. %,Perioperative medical assessment. Total,Mobilised out of bed. No. N,Mobilised out of bed. No. %,Mobilised out of bed. Yes. N,Mobilised out of bed. Yes. %,Mobilised out of bed. Total.,Falls assessment (QS 16 -11). Yes. N,Falls assessment (QS 16 -11). Yes. %,Falls assessment (QS 16 -11). No. N,Falls assessment (QS 16 -11). No. %,Falls assessment (QS 16 -11). Total.,Bone health assessment (QS16 – 12). Yes. N,Bone health assessment (QS16 – 12). Yes. %,Bone health assessment (QS16 – 12). No. N,Bone health assessment (QS16 – 12). No. %,Bone health assessment (QS16 – 12). Total,Best practice tariff achievement. Yes. N,Best practice tariff achievement. Yes. %,Best practice tariff achievement. No. N,Best practice tariff achievement. No. %,Best practice tariff achievement. Total,"Surgery on day of, or day after, admission. Yes. N","Surgery on day of, or day after, admission. Yes. %","Surgery on day of, or day after, admission. No. N","Surgery on day of, or day after, admission. No %","Surgery on day of, or day after, admission. Total",GA. N,GA. %,Not GA. N,Not GA. %,GA Anaesthetics Total,GA + nerve block. N,GA + nerve block. %,GA without NB. N,GA without NB. %,GA NB. Total,SA all. N,SA all. %,Not SA. N,Not SA. %,SA anaesthesia. Total,SA + nerve block. N,SA + nerve block. %,SA without nerve block. N,SA without nerve block. %,SA Total,Cemented. N,Cemented. %,Not cemented. N,Not cemented. %,Arthroplasties total,THR. No. N,THR. No. %,THR. Yes. N,THR. Yes. %,THR eligible. Total,Intertrochanteric SHS. Yes. N,Intertrochanteric SHS. Yes.%,Intertrochanteric SHS. No N,Intertrochanteric SHS. No %,Intertrochanteric. Total,Subtrochanteric – all intramedullary nail. N,Subtrochanteric – all intramedullary nail.%,Subtrochanteric – not intramedullary nail. N,Subtrochanteric – not intramedullary nail. %,Subtrochanteric – total,Case s submitted,Case ascertainment denominator,Case ascertainment %,LOS analysis N,Acute LOS,Post-acute LOS,Total LOS,Return to own home within 30 days. No. N,Return to own home within 30 days. No. %,Return to own home within 30 days. Yes. N,Return to own home within 30 days. Yes. %,Return to own home within 30 days. Total cases,Reoperated within 30 days. Yes. N,Reoperated within 30 days. Yes. %,Reoperated within 30 days. No. N,Reoperated within 30 days. No. %,Reoperated within 30 days. Total cases.,Developing a pressure ulcer (CG179). Yes. N,Developing a pressure ulcer (CG179). Yes. %,Developing a pressure ulcer (CG179). No N,Developing a pressure ulcer (CG179). No %,Developing a pressure ulcer (CG179). Total cases.,Unknown pressure ulcer (CG179). Yes. N,Unknown pressure ulcer (CG179). Yes. %,Unknown pressure ulcer (CG179). No N,Unknown pressure ulcer (CG179). No %,Unknown pressure ulcer (CG179). Total cases.,Hip fracture sustained as an inpatient. Yes. N,Hip fracture sustained as an inpatient. Yes. %,Hip fracture sustained as an inpatient. No. N,Hip fracture sustained as an inpatient. No. %,Hip fracture sustained as an inpatient. All cases,No OG consultantr hrs,No OG middle grade hrs,No OG ward rounds/week,No nurse practitioners,OG weekend cover?,Who collects data?,Who enters data?,Routine nerve blocks offered?,Where nerve blocks administered?,Enhanced recovery programme?,Pain tool used?,Clinical governance meetings?,Who attends?,What is discussed?,Who does bone health assessment?,Fracture Liaison Service?,FLS run by?,Does FLS lead on falls?,Single room accomodation in catchment,Can you refer to strength and balance training?,Do you use Nottingham Score?
ESU,170,45.95%,148,40.00%,*,0.81%,*,1.35%,15,4.05%,26,7.03%,*,0.81%,*,0.00%,*,208,43.4%,271,56.6%,479,493,98.6%,7,1.4%,500,32,6.4%,468,93.6%,500,24,6.6%,340,93.4%,364,*,99.8%,*,0.2%,*,*,99.1%,*,0.9%,*,368,74.9%,123,25.1%,491,408,81.60%,92,18.40%,500,384,76.80%,116,23.20%,500,231,60.16%,153,39.84%,384,88,17.60%,412,82.40%,500,9,10.23%,79,89.77%,88,183,89.27%,22,10.73%,205,77,86.52%,12,13.48%,89,169,88.02%,23,11.98%,192,*,62.50%,*,37.50%,*,500,541,92.42%,463,20.4,0.0,20.4,214,57.68%,157,42.32%,371,*,0.20%,*,99.80%,*,6,1.30%,457,98.70%,463,22,4.75%,441,95.25%,463,10,2.00%,490,98.00%,500,34,32,5,0.9,Yes,ND,ND,Yes,AN,Yes,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,RH;GEM,No,Unknown,FPC;CR,routinely
FAZ,204,71.08%,10,3.48%,*,1.74%,*,0.70%,35,12.20%,31,10.80%,0,0.00%,*,0.00%,*,170,45.9%,200,54.1%,370,372,97.6%,9,2.4%,381,33,8.7%,348,91.3%,381,125,44.0%,159,56.0%,284,339,97.7%,8,2.3%,347,*,98.6%,*,1.4%,*,287,75.3%,94,24.7%,381,332,87.14%,49,12.86%,381,324,85.04%,57,14.96%,381,305,94.14%,19,5.86%,324,41,10.76%,340,89.24%,381,14,34.15%,27,65.85%,41,128,87.67%,18,12.33%,146,23,58.97%,16,41.03%,39,112,87.50%,16,12.50%,128,*,90.91%,*,9.09%,*,381,402,94.78%,347,15.1,6.1,21.2,135,47.04%,152,52.96%,287,0,0.00%,372,100.00%,372,*,1.44%,*,98.56%,*,*,0.58%,*,99.42%,*,8,2.10%,373,97.90%,381,20,0,5,1,No,ND;TA,TA,Yes,AED;AN,No,Yes,Not routinely,ORC;OGC;ANC;NS;PH;OC;AES;CR;TO,DS;LOS;PSf;CI;LQ,OG;SN;OCR,Both,GEM,Yes,Unknown,FPC;CR,No
FGH,67,76.14%,8,9.09%,*,1.14%,*,2.27%,*,4.55%,6,6.82%,0,0.00%,*,0.00%,*,58,49.6%,59,50.4%,117,114,94.2%,7,5.8%,121,71,58.7%,50,41.3%,121,43,47.3%,48,52.7%,91,*,98.2%,*,1.8%,*,*,98.2%,*,1.8%,*,36,29.8%,85,70.2%,121,93,76.86%,28,23.14%,121,54,44.63%,67,55.37%,121,26,48.15%,28,51.85%,54,57,47.11%,64,52.89%,121,12,21.05%,45,78.95%,57,16,35.56%,29,64.44%,45,*,78.57%,*,21.43%,*,26,74.29%,9,25.71%,35,*,9.09%,*,90.91%,*,121,170,71.18%,67,25.6,0.5,26.1,45,50.00%,45,50.00%,90,0,0.00%,114,100.00%,114,13,11.50%,100,88.50%,113,*,1.77%,*,98.23%,*,*,2.48%,*,97.52%,*,6,0,3,0,No,TA;AD,TA,Yes,AED;AN,No,Yes,Quarterly,ORC;NS;TO,MM;DS;LOS;DS;PSf;CN;LQ,OG,No,Unknown,Unknown,Unknown,FPC;CR,No
FRM,231,66.38%,69,19.83%,0,0.00%,6,1.72%,14,4.02%,21,6.03%,7,2.01%,0,0.00%,348,136,34.8%,255,65.2%,391,414,98.1%,8,1.9%,422,64,15.2%,358,84.8%,422,12,4.0%,287,96.0%,299,*,99.7%,*,0.3%,*,*,99.7%,*,0.3%,*,290,69.4%,128,30.6%,418,346,81.99%,76,18.01%,422,73,17.30%,349,82.70%,422,22,30.14%,51,69.86%,73,326,77.25%,96,22.75%,422,25,7.67%,301,92.33%,326,171,88.14%,23,11.86%,194,75,70.75%,31,29.25%,106,109,76.76%,33,23.24%,142,21,77.78%,6,22.22%,27,422,458,92.14%,397,15.8,1.6,17.4,133,38.22%,215,61.78%,348,8,1.98%,397,98.02%,405,44,11.17%,350,88.83%,394,0,0.00%,394,100.00%,394,*,1.18%,*,98.82%,*,0,40,5,0,No,ND,ND,Yes,AEN;SN,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;PSf;LQ,OG,No,Unknown,No,Unknown,CR,occasionally
FRY,238,71.69%,*,0.90%,*,0.90%,18,5.42%,47,14.16%,23,6.93%,0,0.00%,*,0.00%,*,84,20.1%,334,79.9%,418,*,99.3%,*,0.7%,*,34,7.7%,406,92.3%,440,27,8.0%,312,92.0%,339,407,100.0%,0,0.0%,407,407,100.0%,0,0.0%,407,363,83.4%,72,16.6%,435,374,85.00%,66,15.00%,440,388,88.18%,52,11.82%,440,363,93.56%,25,6.44%,388,31,7.05%,409,92.95%,440,7,22.58%,24,77.42%,31,*,99.57%,*,0.43%,*,65,68.42%,30,31.58%,95,78,77.23%,23,22.77%,101,*,85.00%,*,15.00%,*,440,485,90.72%,394,19.4,4.0,23.4,140,41.42%,198,58.58%,338,10,2.31%,423,97.69%,433,24,5.90%,383,94.10%,407,*,0.49%,*,99.51%,*,31,7.05%,409,92.95%,440,42,0,9,1.4,No,ND,TA,Yes,AED,Yes,No,Monthly,ORC;OGC;ANC;NS;PH;OC;TO,MM;DS;LOS;PSf,OG,Both,GEM,No,Unknown,CR,occasionally
GEO,110,56.41%,52,26.67%,*,2.05%,0,0.00%,13,6.67%,14,7.18%,*,1.03%,*,0.00%,*,80,35.1%,148,64.9%,228,184,75.1%,61,24.9%,245,69,28.2%,176,71.8%,245,71,36.4%,124,63.6%,195,224,100.0%,0,0.0%,224,217,96.9%,7,3.1%,224,68,27.4%,180,72.6%,248,178,72.95%,66,27.05%,244,169,68.98%,76,31.02%,245,131,77.51%,38,22.49%,169,57,23.27%,188,76.73%,245,22,38.60%,35,61.40%,57,*,98.99%,*,1.01%,*,36,81.82%,8,18.18%,44,59,62.77%,35,37.23%,94,20,76.92%,6,23.08%,26,245,305,80.33%,197,9.2,11.9,21.2,103,52.28%,94,47.72%,197,0,0.00%,235,100.00%,235,*,1.79%,*,98.21%,*,*,0.45%,*,99.55%,*,9,3.67%,236,96.33%,245,18,0,3,1,No,ND,ND,Yes,AED;AN,Yes,Yes,Not routinely,N/A,N/A,OG;SN;OCR;GP,Both,RH,Yes,Unknown,FPC;CR,No
GGH,133,66.83%,27,13.57%,*,1.01%,12,6.03%,11,5.53%,11,5.53%,*,1.01%,*,0.50%,*,153,59.1%,106,40.9%,259,246,91.4%,23,8.6%,269,26,9.7%,243,90.3%,269,101,49.3%,104,50.7%,205,248,100.0%,0,0.0%,248,*,99.2%,*,0.8%,*,148,58.0%,107,42.0%,255,188,69.89%,81,30.11%,269,182,67.66%,87,32.34%,269,116,63.74%,66,36.26%,182,77,28.62%,192,71.38%,269,39,50.65%,38,49.35%,77,99,72.79%,37,27.21%,136,35,59.32%,24,40.68%,59,60,85.71%,10,14.29%,70,*,91.67%,*,8.33%,*,269,312,86.22%,243,14.7,0.4,15.1,64,31.84%,137,68.16%,201,*,1.94%,*,98.06%,*,22,8.87%,226,91.13%,248,*,0.40%,*,99.60%,*,6,2.23%,263,97.77%,269,9,9,3,1,No,ND,AD,No,AN;OS,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,GEM;O,No,HOS,FPC;CR,routinely
GHS,167,65.49%,46,18.04%,*,0.78%,9,3.53%,11,4.31%,20,7.84%,0,0.00%,*,0.00%,*,159,54.8%,131,45.2%,290,242,79.6%,62,20.4%,304,52,17.1%,252,82.9%,304,*,0.4%,*,99.6%,*,*,99.6%,*,0.4%,*,*,99.3%,*,0.7%,*,153,46.6%,175,53.4%,328,209,68.75%,95,31.25%,304,231,75.99%,73,24.01%,304,53,22.94%,178,77.06%,231,70,23.03%,234,76.97%,304,21,30.00%,49,70.00%,70,36,35.29%,66,64.71%,102,*,88.57%,*,11.43%,*,128,94.81%,7,5.19%,135,8,53.33%,7,46.67%,15,304,393,77.35%,303,19.7,0.0,19.8,108,42.35%,147,57.65%,255,0,0.00%,304,100.00%,304,*,0.36%,*,99.64%,*,0,0.00%,281,100.00%,281,*,0.99%,*,99.01%,*,8,0,5,0,No,AD,AD,No,AED;AN,No,Yes,Monthly,ORC;OGC,MM;DS;CI;CN;LQ,OG,No,Unknown,Unknown,Unknown,CR;VS,No
GLO,177,56.01%,79,25.00%,*,0.95%,11,3.48%,15,4.75%,31,9.81%,0,0.00%,*,0.00%,*,201,50.3%,199,49.8%,400,408,97.8%,9,2.2%,417,38,9.1%,379,90.9%,417,164,53.4%,143,46.6%,307,*,99.2%,*,0.8%,*,*,98.6%,*,1.4%,*,224,55.4%,180,44.6%,404,336,80.58%,81,19.42%,417,159,38.13%,258,61.87%,417,24,15.09%,135,84.91%,159,251,60.19%,166,39.81%,417,6,2.39%,245,97.61%,251,219,96.90%,7,3.10%,226,43,65.15%,23,34.85%,66,68,40.48%,100,59.52%,168,*,50.00%,*,50.00%,*,417,458,91.05%,379,17.5,0.1,17.6,141,44.48%,176,55.52%,317,*,0.49%,*,99.51%,*,7,1.92%,357,98.08%,364,*,0.55%,*,99.45%,*,15,3.60%,402,96.40%,417,18,8,5,1,No,ND,ND;AD,Yes,AED,No,No,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;LOS;CI;CN;LQ,OG,Both,O,No,HOS,FPC;CR,occasionally
GRA,32,66.67%,*,4.17%,*,2.08%,*,10.42%,7,14.58%,*,2.08%,0,0.00%,*,0.00%,*,32,55.2%,26,44.8%,58,51,87.9%,7,12.1%,58,38,65.5%,20,34.5%,58,7,18.4%,31,81.6%,38,34,59.6%,23,40.4%,57,36,63.2%,21,36.8%,57,19,29.7%,45,70.3%,64,*,93.10%,*,6.90%,*,22,37.93%,36,62.07%,58,*,77.27%,*,22.73%,*,31,53.45%,27,46.55%,58,23,74.19%,8,25.81%,31,*,86.96%,*,13.04%,*,*,60.00%,*,40.00%,*,*,95.65%,*,4.35%,*,*,0.00%,*,100.00%,*,58,161,36.02%,37,14.5,0.0,14.5,17,35.42%,31,64.58%,48,0,0.00%,58,100.00%,58,0,0.00%,57,100.00%,57,12,21.05%,45,78.95%,57,0,0.00%,58,100.00%,58,0,0,0,0,No,ND,AD,No,AN,No,No,Monthly,ORC;ANC,MM;PSf;CI;CN,GP,No,Unknown,Unknown,Unknown,Unknown,No
GWH,161,77.03%,24,11.48%,0,0.00%,*,1.44%,*,1.44%,18,8.61%,0,0.00%,*,0.00%,*,87,33.1%,176,66.9%,263,*,98.5%,*,1.5%,*,29,10.7%,241,89.3%,270,15,7.4%,187,92.6%,202,249,100.0%,0,0.0%,249,249,100.0%,0,0.0%,249,191,71.5%,76,28.5%,267,219,81.11%,51,18.89%,270,111,41.11%,159,58.89%,270,94,84.68%,17,15.32%,111,127,47.04%,143,52.96%,270,50,39.37%,77,60.63%,127,*,95.35%,*,4.65%,*,*,94.59%,*,5.41%,*,68,64.76%,37,35.24%,105,*,66.67%,*,33.33%,*,270,180,150.00%,228,21.0,2.5,23.5,55,25.58%,160,74.42%,215,0,0.00%,258,100.00%,258,*,0.80%,*,99.20%,*,0,0.00%,249,100.00%,249,8,2.96%,262,97.04%,270,17,8,5,1,No,ND,ND,No,AED;AN,No,No,Monthly,ORC;OGC;PH;TO,MM;DS;LOS;PSf;CI;CN;LQ,OG,Both,RH,No,Unknown,FPC;CR,No
HAR,118,69.01%,15,8.77%,*,0.58%,14,8.19%,12,7.02%,8,4.68%,*,1.75%,*,0.00%,*,207,90.4%,22,9.6%,229,241,97.6%,6,2.4%,247,76,30.8%,171,69.2%,247,36,17.9%,165,82.1%,201,223,96.1%,9,3.9%,232,225,97.0%,7,3.0%,232,143,58.1%,103,41.9%,246,205,83.00%,42,17.00%,247,85,34.41%,162,65.59%,247,62,72.94%,23,27.06%,85,142,57.49%,105,42.51%,247,29,20.42%,113,79.58%,142,123,87.23%,18,12.77%,141,33,53.23%,29,46.77%,62,63,91.30%,6,8.70%,69,*,94.44%,*,5.56%,*,247,289,85.47%,220,15.4,2.6,18.1,67,38.95%,105,61.05%,172,*,2.07%,*,97.93%,*,*,2.16%,*,97.84%,*,7,3.02%,225,96.98%,232,11,4.45%,236,95.55%,247,35,0,4,0.8,No,ND,ND;AD,Yes,AN;SN,No,Yes,Not routinely,OGC;ANC;NS,DS;LOS;DS;PSf;CI;LQ,OG;SN,No,Unknown,Unknown,Unknown,CR,No
HCH,173,74.89%,14,6.06%,*,0.43%,*,2.16%,15,6.49%,22,9.52%,*,0.43%,*,0.00%,*,120,42.9%,160,57.1%,280,282,97.2%,8,2.8%,290,68,23.4%,222,76.6%,290,40,18.3%,178,81.7%,218,250,97.7%,6,2.3%,256,250,97.7%,6,2.3%,256,157,53.0%,139,47.0%,296,215,74.14%,75,25.86%,290,10,3.45%,280,96.55%,290,*,20.00%,*,80.00%,*,234,80.69%,56,19.31%,290,43,18.38%,191,81.62%,234,110,100.00%,0,0.00%,110,62,78.48%,17,21.52%,79,*,92.68%,*,7.32%,*,10,58.82%,7,41.18%,17,290,320,90.63%,273,10.3,11.4,21.7,77,33.33%,154,66.67%,231,*,1.76%,*,98.24%,*,0,0.00%,256,100.00%,256,237,92.58%,19,7.42%,256,12,4.14%,278,95.86%,290,5,5,5,1.3,No,ND,ND;AD,No,AN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,Both,GEM,Yes,SIT,FPC,No
HIL,139,75.96%,18,9.84%,*,1.64%,0,0.00%,*,2.73%,17,9.29%,*,0.55%,*,0.00%,*,102,48.6%,108,51.4%,210,207,95.8%,9,4.2%,216,20,9.3%,196,90.7%,216,21,13.0%,141,87.0%,162,181,91.9%,16,8.1%,197,191,97.0%,6,3.0%,197,144,66.4%,73,33.6%,217,180,83.33%,36,16.67%,216,37,17.13%,179,82.87%,216,16,43.24%,21,56.76%,37,167,77.31%,49,22.69%,216,46,27.54%,121,72.46%,167,62,86.11%,10,13.89%,72,*,92.11%,*,7.89%,*,47,75.81%,15,24.19%,62,*,78.95%,*,21.05%,*,216,203,106.40%,178,14.9,6.9,21.9,60,32.43%,125,67.57%,185,*,1.42%,*,98.58%,*,19,9.64%,178,90.36%,197,13,6.60%,184,93.40%,197,7,3.24%,209,96.76%,216,14,16,3,1,No,ND;TA,ND;TA,No,AED;AN;SN;OS,No,Yes,Monthly,ORC;OGC;NS;AES;TO,DS;PSf,OG,No,Unknown,No,Unknown,FPC;CR;VS,No
HIN,114,72.15%,*,1.90%,0,0.00%,28,17.72%,7,4.43%,6,3.80%,0,0.00%,*,0.00%,*,92,50.0%,92,50.0%,184,*,98.4%,*,1.6%,*,18,9.4%,174,90.6%,192,31,21.1%,116,78.9%,147,181,100.0%,0,0.0%,181,181,100.0%,0,0.0%,181,147,75.0%,49,25.0%,196,161,83.85%,31,16.15%,192,90,46.88%,102,53.13%,192,83,92.22%,7,7.78%,90,99,51.56%,93,48.44%,192,83,83.84%,16,16.16%,99,21,24.71%,64,75.29%,85,39,81.25%,9,18.75%,48,*,93.33%,*,6.67%,*,*,100.00%,*,0.00%,*,192,226,84.96%,180,23.2,1.0,24.2,66,41.77%,92,58.23%,158,*,0.52%,*,99.48%,*,*,2.21%,*,97.79%,*,0,0.00%,181,100.00%,181,6,3.13%,186,96.88%,192,10,10,5,1,No,ND,ND,Yes,AED,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,O,No,SIT,CR,routinely
HOM,35,85.37%,*,7.32%,0,0.00%,0,0.00%,0,0.00%,*,7.32%,0,0.00%,*,0.00%,*,*,4.6%,*,95.4%,*,*,92.8%,*,7.2%,*,14,20.3%,55,79.7%,69,38,66.7%,19,33.3%,57,*,96.9%,*,3.1%,*,52,80.0%,13,20.0%,65,28,54.9%,23,45.1%,51,48,69.57%,21,30.43%,69,39,56.52%,30,43.48%,69,21,53.85%,18,46.15%,39,20,28.99%,49,71.01%,69,*,15.00%,*,85.00%,*,28,100.00%,0,0.00%,28,*,83.33%,*,16.67%,*,20,64.52%,11,35.48%,31,*,100.00%,*,0.00%,*,69,94,73.40%,44,22.1,2.0,24.0,29,49.15%,30,50.85%,59,0,0.00%,44,100.00%,44,*,3.08%,*,96.92%,*,22,33.85%,43,66.15%,65,*,4.35%,*,95.65%,*,15,6,5,1,No,ND,ND,Yes,AED,No,Yes,Quarterly,ORC;OGC;ANC;NS;PH;OC;AES;CR;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;GP,No,Unknown,No,SIT,FPC;CR;VS,occasionally
HOR,89,58.17%,44,28.76%,0,0.00%,*,0.65%,6,3.92%,12,7.84%,*,0.65%,*,0.00%,*,81,47.1%,91,52.9%,172,183,100.0%,0,0.0%,183,*,2.2%,*,97.8%,*,60,43.5%,78,56.5%,138,171,100.0%,0,0.0%,171,171,100.0%,0,0.0%,171,162,88.0%,22,12.0%,184,167,91.26%,16,8.74%,183,140,76.50%,43,23.50%,183,44,31.43%,96,68.57%,140,40,21.86%,143,78.14%,183,*,2.50%,*,97.50%,*,*,98.84%,*,1.16%,*,27,75.00%,9,25.00%,36,*,96.97%,*,3.03%,*,*,0.00%,*,100.00%,*,183,211,86.73%,178,16.7,1.0,17.7,76,49.35%,78,50.65%,154,0,0.00%,179,100.00%,179,0,0.00%,171,100.00%,171,0,0.00%,171,100.00%,171,*,1.64%,*,98.36%,*,24,0,3,0.2,No,ND;AD,ND;AD,Yes,AED;AN;OS,Yes,Yes,Monthly,ORC;OGC;ANC;NS;PH;AES;TO,MM;DS;LOS;DS;PSf;CI;CN;LQ,OG;SN,Both,RH,Yes,Unknown,FPC,routinely
HRI,303,76.13%,15,3.77%,0,0.00%,26,6.53%,24,6.03%,24,6.03%,6,1.51%,0,0.00%,398,296,56.3%,230,43.7%,526,548,96.8%,18,3.2%,566,93,16.4%,473,83.6%,566,70,16.8%,347,83.2%,417,485,94.0%,31,6.0%,516,481,93.2%,35,6.8%,516,257,44.4%,322,55.6%,579,281,49.65%,285,50.35%,566,284,50.18%,282,49.82%,566,73,25.70%,211,74.30%,284,214,37.81%,352,62.19%,566,79,36.92%,135,63.08%,214,242,84.91%,43,15.09%,285,67,65.69%,35,34.31%,102,128,68.82%,58,31.18%,186,12,60.00%,8,40.00%,20,566,596,94.97%,539,17.5,0.2,17.7,123,30.90%,275,69.10%,398,*,0.18%,*,99.82%,*,*,0.58%,*,99.42%,*,27,5.23%,489,94.77%,516,22,3.89%,544,96.11%,566,16,0,5,1,No,ND;TA,ND;TA,No,SN,Yes,Yes,Monthly,ORC;OGC;NS;PH;OC;DI;AES,MM;DS;LOS;DS;PSf;LQ,OG,Inpatients,GEM,Yes,Unknown,FPC,No
HUD,211,61.34%,48,13.95%,*,0.58%,28,8.14%,26,7.56%,27,7.85%,*,0.58%,*,0.00%,*,235,52.7%,211,47.3%,446,444,92.5%,36,7.5%,480,126,26.3%,354,73.8%,480,90,25.1%,269,74.9%,359,295,67.5%,142,32.5%,437,377,86.3%,60,13.7%,437,130,27.9%,336,72.1%,466,281,58.54%,199,41.46%,480,114,23.75%,366,76.25%,480,55,48.25%,59,51.75%,114,333,69.38%,147,30.63%,480,86,25.83%,247,74.17%,333,187,91.22%,18,8.78%,205,59,74.68%,20,25.32%,79,108,63.53%,62,36.47%,170,54,100.00%,0,0.00%,54,480,477,100.63%,420,17.7,7.0,24.7,210,57.07%,158,42.93%,368,*,0.69%,*,99.31%,*,13,2.97%,424,97.03%,437,26,5.95%,411,94.05%,437,25,5.21%,455,94.79%,480,8,20,5,0,No,ND,TA,Yes,AED;AN,No,Yes,Monthly,ORC;OGC;ANC;NS;PH;OC;AES;TO,MM;DS;LOS;PSf;LQ,OG;GP,No,Unknown,Unknown,Unknown,FPC;CR,No
IOW,74,42.05%,*,0.57%,8,4.55%,75,42.61%,*,1.70%,14,7.95%,*,0.57%,*,0.00%,*,112,50.7%,109,49.3%,221,*,99.1%,*,0.9%,*,127,55.5%,102,44.5%,229,15,8.5%,162,91.5%,177,100,47.6%,110,52.4%,210,*,99.0%,*,1.0%,*,43,18.3%,192,81.7%,235,150,65.50%,79,34.50%,229,55,24.02%,174,75.98%,229,23,41.82%,32,58.18%,55,150,65.50%,79,34.50%,229,29,19.33%,121,80.67%,150,*,97.41%,*,2.59%,*,36,78.26%,10,21.74%,46,82,100.00%,0,0.00%,82,*,75.00%,*,25.00%,*,229,272,84.19%,221,12.8,4.8,17.6,109,61.93%,67,38.07%,176,0,0.00%,223,100.00%,223,0,0.00%,210,100.00%,210,*,0.48%,*,99.52%,*,6,2.62%,223,97.38%,229,0,5,5,0,No,ND,ND,No,AED,No,Yes,Quarterly,ORC;NS,DS,OCR,Outpatients,RH,No,Unknown,FPC,No
IPS,199,57.35%,94,27.09%,*,0.58%,10,2.88%,16,4.61%,17,4.90%,9,2.59%,*,0.00%,*,344,79.3%,90,20.7%,434,450,98.7%,6,1.3%,456,44,9.6%,412,90.4%,456,17,5.0%,324,95.0%,341,423,100.0%,0,0.0%,423,*,99.5%,*,0.5%,*,301,66.4%,152,33.6%,453,339,74.34%,117,25.66%,456,273,59.87%,183,40.13%,456,217,79.49%,56,20.51%,273,166,36.40%,290,63.60%,456,40,24.10%,126,75.90%,166,*,99.55%,*,0.45%,*,86,100.00%,0,0.00%,86,146,90.68%,15,9.32%,161,*,94.44%,*,5.56%,*,456,490,93.06%,432,15.5,0.4,15.9,120,34.58%,227,65.42%,347,*,0.45%,*,99.55%,*,*,0.47%,*,99.53%,*,0,0.00%,423,100.00%,423,16,3.51%,440,96.49%,456,20,0,2,1,No,ND,ND,No,Unknown,Yes,Yes,Quarterly,ORC;OGC;NS;PH;OC;TO,DS;LOS;DS;PSf;CI;CN;LQ,OG,Both,RH,Yes,Unknown,FPC;CR,No
JPH,182,57.41%,48,15.14%,18,5.68%,30,9.46%,9,2.84%,30,9.46%,0,0.00%,0,0.00%,317,102,25.4%,300,74.6%,402,402,98.0%,8,2.0%,410,24,5.9%,386,94.1%,410,179,56.8%,136,43.2%,315,*,99.5%,*,0.5%,*,*,99.5%,*,0.5%,*,215,56.1%,168,43.9%,383,253,61.71%,157,38.29%,410,185,45.12%,225,54.88%,410,32,17.30%,153,82.70%,185,212,51.71%,198,48.29%,410,9,4.25%,203,95.75%,212,196,94.23%,12,5.77%,208,52,75.36%,17,24.64%,69,125,82.24%,27,17.76%,152,*,93.75%,*,6.25%,*,410,359,114.21%,321,17.8,3.2,21.0,154,47.83%,168,52.17%,322,6,1.50%,395,98.50%,401,17,4.58%,354,95.42%,371,*,1.35%,*,98.65%,*,9,2.20%,401,97.80%,410,6,7,4,0,No,ND,ND,Yes,AED;O,Yes,Yes,Not routinely,N/A,N/A,OG;GP,No,Unknown,Unknown,Unknown,FPC;CR,No
