Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,CWMCLYDACH COMMUNITY DEVELOPMENT TRUST,4022591,"8,859.58"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4022592,"33,086.02"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4022593,"4,739.58"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4022593,712.97
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BLADE DYNAMICS LTD,4022594,"8,838.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,Reed Personnel Services Ltd,4022596,549.41
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Car Hire and Leasing (Programme),Energy Markets & Infrastructure - Energy Development Unit,WHYTES COACHES LTD,4022599,655
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4022601,"1,607.51"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022602,"6,312.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4022602,"55,266.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/01/2011,Technical Advice / Services & Support,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4022603,"44,037.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4022604,"2,176.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,S M POSTLE HAMMOND,4022605,"4,998.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,Parliamentary Counsel Services (Cabinet Office),Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4022608,"104,060.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022615,"2,652.90"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022620,"130,974.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4022621,"1,553.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MILLER & YOUNG UK LTD T/A MYFM,4022623,"6,125.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Application Development,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022624,"1,066.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4022635,"80,318.55"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,CLIMATE STRATEGIES,4022639,"29,841.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Contributions (Programme),Energy & Climate Change International - International Climate Change Negotiations,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,4022641,"30,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TRAINING FOUNDATION LTD,4022642,"1,260.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TRAINING FOUNDATION LTD,4022642,"1,260.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022643,517.5
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Oil and Gas Imprest Account,Corporate Payments - ,DTI OIL AND GAS ABERDEEN,4022645,"1,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022646,960
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022647,510
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022648,623.88
Department of Energy and Climate Change,Department of Energy and Climate Change,03/04/2011,External Training,National Climate Change & Consumer Support - National Climate Change,EASTMEAD EUROPEAN TRAINING LTD,4022649,875
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Grants - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022650,"1,825,076.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Grants - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022650,"1,543,613.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Grants - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022650,"3,951,725.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022650,"251,503.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Capital Grants to Private Sector - Own Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4022650,"1,057,553.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4022651,"200,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Internal Training,Energy Markets & Infrastructure - Office of Nuclear Development,THISTLE WESTMINSTER HOTEL,4022654,"2,870.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Secondees (not paid directly),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE LONDON DEVELOPMENT AGENCY LTD,4022659,"5,776.23"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4022660,885.42
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4022662,"1,210.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Media Services,National Climate Change & Consumer Support - Communications,THE NEWSPAPER LICENSING AGENCY LTD,4022665,719
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022666,"19,152.61"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4022667,778.5
Department of Energy and Climate Change,Department of Energy and Climate Change,03/02/2011,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4022668,"240,769.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/07/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4022669,"9,300.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/03/2011,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY plc,4022670,"4,500.00"
