Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS LTD,4022853,"2,000.40"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,DYNAMIC LEARNING SOLUTIONS LTD,4022854,"1,247.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4022855,"13,929.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022856,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4022857,"2,942.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4022858,"13,077.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022859,"223,809.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Other Accommodation Charges,Corporate Support & Shared Services - Corporate Support & Shared Services,ENVIRONMENT AGENCY,4022860,"1,290.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022861,"38,252.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Contributions (Programme),Energy & Climate Change International - International Climate Change Negotiations,WORLD RESOURCES INSTITUTE,4022862,"25,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,International Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4022863,"91,100.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/08/2011,International Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4022863,"160,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4022865,"1,087.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/29/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4022865,742
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4022866,579.42
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Contributions (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,UNITED NATIONS INDUSTRIAL DEVELOPMENT ORGANIZATION (UNIDO),4022867,"25,578.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4022868,"2,011.06"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4022869,"15,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,PARITY RESOURCES LTD,4022870,"10,392.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PARITY RESOURCES LTD,4022871,"11,100.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4022872,"9,870.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4022874,599.4
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4022875,599.66
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Press Cutting Services,National Climate Change & Consumer Support - Communications,PRECISE MEDIA MONITORING LTD,4022876,"3,822.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4022878,"14,285.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4022879,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4022882,"17,625.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,External Training,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,NATIONAL SCHOOL OF GOVERNMENT,4022883,"1,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022884,"1,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Professional Training,Energy & Climate Change International - International Energy & Carbon Budgets,NATIONAL SCHOOL OF GOVERNMENT,4022885,550
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,External Training,Science & Innovation Group - Science & Innovation Group,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022887,"1,550.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4022888,767.99
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022889,"953,251.18"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EAST HAMPSHIRE DISTRICT COUNCIL,4022892,"20,838.53"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASPIRE EUROPE LTD,4022893,"1,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,KPMG LLP,4022904,"32,137.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4022905,"7,067.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/23/2011 ,Purchase of Research Material,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022906,"12,375.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Other IT Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022907,"7,560.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Other IT Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4022908,"8,977.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Grant in Aid - Current -Other,National Climate Change & Consumer Support - National Climate Change,THE COMMITTEE ON CLIMATE CHANGE,4022911,"299,397.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4022912,"135,373.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4022913,837.32
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4022914,885.42
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Application Development & Support (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022915,"21,583.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022916,"2,630.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARINE SCOTLAND,4022917,"92,762.41"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4022919,861.64
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SIEMENS plc,4022921,"171,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Conference Facilities (Programme),Energy Markets & Infrastructure - Energy Development Unit,ABERDEEN EXHIBITION AND CONFERENCE CENTRE LTD,4022922,"1,139.28"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/09/2011,Minor Works,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4022923,"69,962.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,COI COMMUNICATIONS,4022926,"5,041.72"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4022928,"3,372.08"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022930,648.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022931,656.36
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,4022932,"4,000,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Other Overseas Travel & Subsistence,Energy Markets & Infrastructure - Security and resilience,AUSTRIA CENTRE (VIENNA),4022939,574.65
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Grants - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,BABCOCK INTERNATIONAL GROUP PLC T/A BABCOCK NUCLEAR LTD,4022941,"25,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4022942,"25,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4022943,"61,519.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4022944,550
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4022945,825.22
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4022946,"1,694,059.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4022948,"1,411.73"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022949,"152,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022950,597.06
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022951,"74,520.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022952,"12,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022954,"46,828.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4022955,"3,867.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022956,506.11
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022957,593.1
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022959,624.73
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4022961,"4,171.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Application Development,Strategy - Strategy and Delivery Unit,DELIB LTD,4022962,"13,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BLADE DYNAMICS LTD,4022963,"8,616.30"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,IT Maintenance and Management Services,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4022965,"8,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,CABINET OFFICE,4022966,"66,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GB GROUP PLC,4022967,"39,725.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Recoveries Account,Corporate Payments - ,SHELL UK LTD,4022968,"12,873.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022969,"1,050.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4022970,"1,575.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Taxis Overseas,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4022971,695.71
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4022972,506.4
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4022973,860.26
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4022974,604.97
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,External Training,Energy Markets & Infrastructure - Office of Nuclear Development,QA LTD,4022979,"1,176.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Recruitment Consultancy Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON,4022988,"6,672.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Purchase of Completed Research,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CENTRE FOR SUSTAINABLE ENERGY,4022997,"13,150.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,COMMON DATA ACCESS LTD,4023001,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4023002,529.84
Department of Energy and Climate Change,Department of Energy and Climate Change,03/10/2011,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023004,"118,895.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING PERFORMANCE CENTRE (EDINBURGH NAPIER UNIVERSITY),4023008,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4023009,"5,922.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Capital Grants - Other,Science & Innovation Group - Science & Innovation Group,NATIONAL ASSEMBLY FOR WALES,4023010,"189,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Outsourced Programme Management Services,Science & Innovation Group - Science & Innovation Group,NATIONAL ASSEMBLY FOR WALES,4023010,"17,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,IT Services (Programme),Energy Markets & Infrastructure - Security and resilience,ULTRA ELECTRONICS LTD,4023013,955.2
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LAMMAS LOW IMPACT INITIATIVES LTD,4023014,"38,673.29"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4023015,705.96
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4023016,809.26
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,International Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4023019,"708,005.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,International Subscriptions,Energy & Climate Change International - International Climate Change Negotiations,UNITED NATIONS FRAMEWORK CONVENTION ON CLIMATE CHANGE,4023019,"516,827.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/24/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4023020,644.64
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Conference and Exhibition Services (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",E4TECH (UK) LTD,4023024,"2,400.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ILX GROUP PLC,4023025,"11,995.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,UIMPACT LTD,4023027,"1,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4023028,"300,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4023029,"34,684.80"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4023030,"135,835.20"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,HOOK NORTON LOW CARBON LTD,4023031,"88,627.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Senior Civil Service Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4023032,"1,425.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/16/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023033,"1,700.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/11/2011,External Training,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NATIONAL SCHOOL OF GOVERNMENT,4023034,"1,425.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TEES ALLIANCE GROUP LTD,4023035,"61,519.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4023036,"5,400,271.27"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4023036,"1,693,396.47"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Professional Training,Energy & Climate Change International - International Climate Change Negotiations,DANY L'HOMME,4023037,690
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023039,"25,219.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023039,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,AEA TECHNOLOGY ENVIRONMENT,4023040,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CRANFIELD UNIVERSITY,4023041,"19,983.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,CRANFIELD UNIVERSITY,4023042,"6,870.62"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,ICE EDUCATION LTD,4023043,"4,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4023044,"1,177.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Strategy and Futures,POYRY MANAGEMENT CONSULTING (UK) LTD,4023045,"5,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/17/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EXMOOR NATIONAL PARK AUTHORITY,4023046,"96,151.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Public Relations & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,JOHN WORTH MEDIA LTD,4023047,900
Department of Energy and Climate Change,Department of Energy and Climate Change,03/15/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4023051,"7,721.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4023052,648.9
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,JOINT NATURE CONSERVATION COMMITTEE,4023056,"70,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Capital Grants to Private Sector - Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023057,"800,366.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Other Media Costs,Strategy - Strategy and Delivery Unit,MARKET OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,4023059,"71,328.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4023060,"48,353.69"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/14/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ALLEN LANE LTD,4023061,"2,484.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/18/2011 ,Internal Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4023062,"1,700.00"
