?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER CODE
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,NEWARK CITIZENS ADVICE BUREAU,01/07/2011,192894,7275,NEWARK CITIZENS ADVICE BUREAU,100367
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,LOANS POOL INTEREST,01/07/2011,192892,7147.28,RAINWORTH PARISH COUNCIL,100444
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,15/07/2011,193193,6996.39,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,22/07/2011,193783,6994.64,VACU-LUG TRACTION TYRES LIMITED,100589
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,"SWEEPER, TRACTOR & FLAIL",15/07/2011,193441,6862.28,SG EQUIPMENT FINANCE LIMITED,100489
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,01/07/2011,192763,6700.89,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,01/07/2011,192786,6590,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,08/07/2011,192966,6550,SINFONIA VIVA,101171
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,RENT,08/07/2011,193022,6460.95,BLUEPRINT LIMITED PARTNERSHIP,100050
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,15/07/2011,193361,6121.97,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,29/07/2011,194216,5816.89,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/07/2011,193399,5782.96,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/07/2011,193016,5752.06,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,08/07/2011,193015,5658.3,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,01/07/2011,192781,5593.55,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,15/07/2011,193306,5550,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,22/07/2011,193857,5403.33,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,08/07/2011,193001,5362.43,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,EQUIPMENT REPAIRS & RENEWALS,22/07/2011,193745,5270,HATHERLEY COMMERCIAL SERVICES LTD,101235
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,29/07/2011,194260,5147,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,GENERAL GRANTS,15/07/2011,193305,5000,SOUTHWELL TOWN COUNCIL,100515
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CHANGE MANAGEMENT RESERVE,08/07/2011,192978,5000,BANKS LONG & CO,101223
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PREMISES REPAIRS & RENEWALS,15/07/2011,193337,5000,SSM SERVICES LTD,101255
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,SUBSCRIPTIONS,22/07/2011,193938,4995,LEICESTERSHIRE COUNTY COUNCIL,100273
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,29/07/2011,194203,4932,BEAUFORT CONSTRUCTION (S & A) LTD,100038
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/07/2011,193772,4804.69,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,22/07/2011,193760,4595.05,CATERING ACADEMY LTD,100075
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,01/07/2011,192635,4592.86,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,RECOVERY OF PAY ADVANCES,01/07/2011,192764,4503.13,REDACTED PERSONAL DATA,101236
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,15/07/2011,193190,4500,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY PAYMENTS,15/07/2011,193215,4435.35,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,15/07/2011,193360,4300.09,MARK CLEMENTS INTERIORS LTD,100298
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/07/2011,193160,4297.26,K.P.R.MIDLINK LTD,100253
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,28/07/2011,193939,4288.62,BINGHAM & HYKEHAM SCHOOL OF DANCE,101261
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,01/07/2011,192800,4196.4,BLAND BROTHERS,101228
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,15/07/2011,193191,4000,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,08/07/2011,193017,3990,OBAM LIFT SERVICES LTD,100403
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/07/2011,193797,3936.1,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,22/07/2011,193794,3902.6,JOHN CUNNINGTON ARCHITECTS,100245
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,15/07/2011,193111,3817.78,STRUCTURAL SOILS LTD,101109
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,08/07/2011,193005,3810.53,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193266,3793,BAGGALEY & JENKINS (REMEDIALS) LTD,101126
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193263,3769.57,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,METERED WATER CHARGE,15/07/2011,193358,3668.45,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,29/07/2011,194258,3632.7,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,01/07/2011,192648,3630,FORESTRY COMMISSION,100707
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,29/07/2011,194271,3583.24,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,08/07/2011,193000,3520.16,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,15/07/2011,193390,3465.8,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CORPORATE COMMUNICATION,29/07/2011,194176,3350,ACCESS INTELLIGENCE MEDIA & COMMUNICATIONS LT,100005
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,29/07/2011,194129,3314.8,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,REPAIRS AND MAINTENANCE,22/07/2011,193737,3190.02,LAWNMOWER SERVICE (LINCOLN) LTD,100270
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,08/07/2011,193029,3168,DAVIES & SONS,100848
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,22/07/2011,193741,3164.89,NEOPOST LIMITED,100359
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/07/2011,193796,3144.3,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,15/07/2011,193107,2921.19,BEYOND THE BARRICADE LTD,101226
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,08/07/2011,193013,2799.03,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,29/07/2011,194137,2790,PLASTIC OMNIUM URBAN SYSTEMS,101100
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,22/07/2011,193753,2775,BONSERS (NOTTINGHAM) LTD,101229
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,15/07/2011,193264,2771.77,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,01/07/2011,192893,2760,NEWARK NORTHERN BOWLS CLUB,100369
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,15/07/2011,193209,2743.04,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,SEWERAGE AND WATER CHARGES,29/07/2011,194269,2658.31,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,15/07/2011,193371,2653.46,JOHN CUNNINGTON ARCHITECTS,100245
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,22/07/2011,193790,2642.4,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,15/07/2011,193328,2547.82,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ALL WEATHER PITCH,22/07/2011,193683,2413,THE DUKERIES COLLEGE,101257
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RENT,22/07/2011,193734,2397.5,CLIVE GARNER AND PARTNERS CLIENT'S ACCOUNT,100098
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B990,CONTRIBUTION FROM GRANTS,29/07/2011,194202,2287,REDACTED PERSONAL DATA,100950
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,29/07/2011,194143,2275.78,MERTRUX LTD,100304
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,22/07/2011,193766,2259.12,REXCO UK LTD,101251
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,22/07/2011,193767,2204.54,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,OTHER EQUIPMENT AND TOOLS,15/07/2011,193132,2189,TRAVIS PERKINS TRADING CO LTD,100673
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,STATIONERY,15/07/2011,193210,2165.82,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PARISH CNCLS AND VOL BODIES,01/07/2011,192746,2156,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,CONTRACTUAL SERVICES,15/07/2011,193393,2141.2,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,MISCELLANEOUS EXPENSES,22/07/2011,193755,1981.85,CLICK NETHERFIELD,100948
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,REPAIRS AND MAINTENANCE,15/07/2011,193442,1976,RADIO LINKS COMMUNICATIONS LTD,101250
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,22/07/2011,193804,1947.2,REDACTED PERSONAL DATA,101225
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,15/07/2011,193272,1922.67,ALPHEUS ENVIRONMENTAL LTD,100011
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,15/07/2011,193194,1920,NEWARK WOMENS AID,101031
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,01/07/2011,192688,1909.01,XEROX (UK) LTD,100612
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,22/07/2011,193795,1888.93,JOHN CUNNINGTON ARCHITECTS,100245
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,15/07/2011,193445,1886.8,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,01/07/2011,192633,1880.4,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192795,1840,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,22/07/2011,193702,1814.03,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,01/07/2011,192775,1800,LIFEWAYS COMMUNITY CARE LTD,100278
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PRINTING,29/07/2011,194240,1800,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,REPAIRS AND MAINTENANCE,22/07/2011,193693,1795.48,HERONRIDGE SERVICES LTD,101187
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,22/07/2011,193768,1778.19,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,22/07/2011,193769,1770.78,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192645,1753.34,ROBERT PRETTIE & CO LTD,100972
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,08/07/2011,192947,1724.99,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,22/07/2011,193710,1706.99,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,22/07/2011,193802,1702.7,OPERA DUDES,101247
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,ELECTRICITY,08/07/2011,193004,1688.74,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,REPAIRS AND MAINTENANCE,22/07/2011,193818,1687,MORRIS VERMAPORT LTD,101023
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,15/07/2011,193262,1638,CALANDINE LIFTS LTD,100068
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,01/07/2011,192773,1626,PERTEMPS INVESTMENT,101249
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,01/07/2011,192634,1622.08,CALANDINE LIFTS LTD,100068
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,22/07/2011,193943,1621.2,SALTMINE TRUST,101252
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,22/07/2011,193800,1619,NEW YOUTH THEATRE,100360
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,METERED WATER CHARGE,08/07/2011,192955,1603.65,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,22/07/2011,193798,1592.6,P J LILLEY LTD,100418
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,01/07/2011,192655,1574,ROBERT PRETTIE & CO LTD,100972
