Year,Cattle and Calves England,Cattle and Calves Wales,Cattle and Calves England & Wales,Cattle and Calves Scotland,Cattle and Calves Great Britain,Cattle and Calves Northern Ireland ,Cattle and Calves United Kingdom,Sheep and lambs England,Sheep and lambs Wales,Sheep and lambs England & Wales,Sheep and lambs Scotland,Sheep and lambs Great Britain,Sheep and lambs Northern Ireland ,United Kingdom,Pigs England,Pigs Wales,Pigs England & Wales,Pigs Scotland,Pigs Great Britain,Pigs Northern Ireland ,Pigs United Kingdom
1904,,,5646,1213,6859,,,,,18200,7000,25200,,,,,2700,100,2800,,
1905,,,5760,1227,6987,,,,,18200,7000,25200,,,,,2300,100,2400,,
1906,,,5809,1202,7011,,,,,18400,7000,25400,,,,,2200,100,2300,,
1907,,,5727,1185,6912,,,,,18800,7300,26100,,,,,2500,100,2600,,
1908,,,5731,1174,6905,,,,,19700,7400,27100,,,,,2700,100,2800,,
1909,,,5845,1176,7021,,,,,20300,7300,27600,,,,,2300,100,2400,,
1910,,,5867,1171,7038,,,,,20000,7100,27100,,,,,2200,100,2300,,
1911,,,5914,1200,7114,,,,,19300,7200,26500,,,,,2700,200,2900,,
1912,,,5842,1184,7026,,,,,18100,7000,25100,,,,,2500,200,2700,,
1913,,,5717,1247,6964,,,,,17100,6800,23900,,,,,2100,100,2200,,
1914,,,5878,1215,7093,,,,,17300,7000,24300,,,,,2500,200,2700,,
1915,,,6064,1224,7288,,,,,17500,7100,24600,,,,,2400,200,2600,,
1916,,,6216,1226,7442,,,,,18000,7100,25100,,,,,2200,100,2300,,
1917,,,6227,1210,7437,,,,,17200,6900,24100,,,,,1900,100,2000,,
1918,,,6200,1210,7410,,,,,16500,6900,23400,,,,,1700,100,1800,,
1919,,,6195,1230,7425,,,,,15100,6400,21500,,,,,1800,100,1900,,
1920,,,5547,1166,6713,,,,,13400,6400,19800,,,,,2000,100,2100,,
1921,,,5517,1143,6660,,,,,13800,6700,20500,,,,,2500,200,2700,100,2800
1922,,,5723,1147,6870,800,7669,,,13400,6700,20100,400,20500,,,2300,200,2500,100,2600
1923,,,5823,1194,7017,748,7765,,,13800,6800,20600,500,21100,,,2600,200,2800,200,3000
1924,,,5894,1164,7058,736,7795,,,14800,6900,21700,500,22200,,,3200,200,3400,100,3500
1925,,,6163,1205,7368,667,8035,,,16000,7100,23100,500,23600,,,2600,200,2800,100,2900
1926,,,6253,1198,7451,666,8117,,,16900,7200,24100,500,24600,,,2200,100,2300,200,2500
1927,,,6275,1210,7485,697,8183,,,17100,7500,24600,600,25200,,,2700,200,2900,200,3100
1928,,,6026,1214,7240,738,7978,,,16400,7600,24000,600,24600,,,3000,200,3200,200,3400
1929,,,5957,1234,7191,700,7891,,,16100,7600,23700,700,24400,,,2400,100,2500,200,2700
1930,,,5849,1237,7086,673,7759,,,16300,7700,24000,700,24700,,,2300,100,2400,200,2700
1931,,,6065,1209,7274,681,7955,,,17700,7800,25500,800,26400,,,2800,200,3000,300,3200
1932,,,6358,1233,7591,715,8306,,,18500,7900,26400,800,27200,,,3200,200,3400,200,3600
1933,,,6620,1294,7914,733,8647,,,18100,7800,25900,800,26700,,,3100,200,3300,300,3500
1934,,,6660,1313,7973,769,8742,,,16500,7700,24200,700,24900,,,3300,200,3500,400,3900
1935,,,6541,1319,7860,799,8659,,,16500,7800,24300,800,25100,,,3800,300,4100,400,4500
1936,,,6540,1313,7853,770,8623,,,16600,7600,24200,800,25000,,,3800,200,4000,600,4600
1937,,,6619,1290,7909,730,8639,,,17200,7500,24700,800,25500,,,3600,300,3900,600,4500
1938,,,6714,1316,8030,731,8761,,,17900,8000,25900,900,26800,,,3600,200,3800,600,4400
1939,,,6770,1349,8119,753,8872,,,18000,8000,26000,900,26900,,,3500,300,3800,600,4400
1940,,,7001,1360,8361,732,9093,,,17700,7800,25500,900,26300,,,3400,300,3700,500,4100
1941,,,6841,1312,8153,787,8940,,,14700,6800,21500,800,22300,,,2000,200,2200,400,2600
1942,,,6913,1335,8248,827,9074,,,13900,6800,20700,700,21500,,,1700,200,1900,300,2100
1943,,,7050,1377,8427,832,9259,,,12900,6800,19700,700,20400,,,1400,200,1600,300,1800
1944,,,7198,1418,8616,886,9501,,,12600,6800,19400,700,20100,,,1200,200,1400,300,1900
1945,,,7237,1460,8697,919,9616,,,12600,6900,19500,700,20200,,,1700,200,1900,200,2200
1946,,,7244,1472,8716,913,9629,,,12800,7000,19800,600,20400,,,1500,200,1700,300,2000
1947,,,7175,1459,8634,934,9567,,,10200,6000,16200,500,16700,,,1100,100,1200,300,1600
1948,,,7340,1499,8839,966,9806,,,10900,6700,17600,600,18200,,,1600,200,1800,300,2200
1949,,,7695,1569,9264,980,10244,,,11700,7100,18800,600,19500,,,2100,200,2300,500,2800
1950,,,8014,1616,9630,990,10620,,,12400,7300,19700,700,20400,,,2200,300,2500,500,3000
1951,,,7912,1600,9512,961,10473,,,12500,6900,19400,700,20000,,,3000,300,3300,600,3900
1952,,,7727,1576,9303,941,10244,,,13600,7300,20900,800,21700,,,3800,400,4200,700,5000
1953,,,7861,1647,9508,936,10444,,,14100,7500,21600,900,22500,,,3900,500,4400,800,5200
1954,,,8070,1710,9780,940,10720,,,14500,7400,21900,900,22900,,,4900,600,5500,800,6300
1955,,,8039,1725,9764,904,10668,,,14700,7300,22000,900,22900,,,4700,500,5200,700,5800
1956,,,8253,1736,9989,918,10907,,,15200,7500,22700,900,23600,,,4400,400,4800,700,5500
1957,,,8130,1779,9909,972,10881,,,16000,7900,23900,900,24800,,,4800,500,5300,700,6000
1958,,,8157,1820,9977,980,10956,,,17200,7900,25100,1000,26100,,,5200,500,5700,800,6500
1959,,,8435,1892,10327,964,11291,,,18200,8400,26600,1000,27600,,,4700,400,5100,800,6000
1960,,,8769,2003,10772,999,11771,,,18400,8400,26800,1100,27900,,,4300,400,4700,1000,5700
1961,,,8816,2045,10861,1075,11936,,,19100,8700,27800,1200,29000,,,4600,400,5000,1000,6000
1962,,,8732,2017,10749,1110,11859,,,19700,8600,28300,1200,29500,,,5100,500,5600,1200,6700
1963,,,8616,1989,10605,1111,11716,,,19700,8500,28200,1100,29300,,,5200,400,5600,1200,6900
1964,,,8525,1990,10515,1112,11627,,,20000,8500,28500,1100,29700,,,5700,500,6200,1200,7400
1965,,,8791,2035,10826,1117,11943,,,20300,8600,28900,1100,29900,,,6200,600,6800,1300,8000
1966,,,8926,2091,11017,1189,12206,,,20500,8400,28900,1100,30000,,,5800,500,6300,1200,7300
1967,,,9003,2104,11107,1235,12342,,,19700,8200,27900,1000,28900,,,5600,500,6100,1000,7100
1968,,,8866,2078,10944,1207,12151,,,19200,7800,27000,1000,28000,,,5800,600,6400,1000,7400
1969,,,8978,2153,11131,1243,12374,,,18100,7600,25700,900,26600,,,6200,600,6800,1000,7800
1970,,,9028,2234,11262,1320,12581,,,17600,7500,25100,1000,26100,,,6400,600,7000,1100,8100
1971,,,9136,2284,11420,1384,12804,,,17600,7500,25100,1000,26000,,,6900,700,7600,1200,8700
1972,,,9652,2388,12040,1444,13483,,,18300,7600,25900,1000,26900,,,6900,700,7600,1000,8600
1973,,,10344,2567,12911,1536,14445,,,19400,7600,27000,1000,27900,,,7300,700,8000,1000,9000
1974,,,10907,2675,13582,1620,15202,,,20000,7600,27600,900,28500,,,7100,600,7700,800,8500
1975,,,10368,2640,13008,1607,14616,,,19800,7500,27300,900,28300,,,6300,500,6800,600,7500
1976,,,9953,2569,12522,1548,14069,,,19900,7500,27400,900,28300,,,6700,700,7400,600,7900
1977,,,9766,2523,12289,1565,13854,,,19900,7200,27100,1000,28100,,,6600,600,7200,600,7700
1978,,,9680,2441,12121,1548,13670,,,21400,7400,28800,1000,29800,,,6500,500,7000,700,7700
1979,,,9650,2398,12048,1541,13589,,,21600,7300,28900,1000,29900,,,6600,500,7100,700,7900
1980,,,9535,2383,11918,1507,13426,,,22700,7700,30400,1100,31400,,,6700,500,7200,700,7800
1981,,,9410,2291,11701,1436,13138,,,23200,7800,31000,1100,32100,,,6700,500,7200,600,7800
1982,,,9480,2333,11813,1429,13244,,,23900,8000,31900,1200,33100,,,6900,500,7400,600,8000
1983,,,9494,2325,11819,1472,13290,,,24700,8000,32700,1300,34100,,,7100,400,7500,600,8200
1984,7974,1446,9420,2287,11707,1625,13331,16206,9001,25207,8145,33352,1633,34985,6540,128,6669,405,7074,716,7790
1985,7763,1398,9162,2235,11397,1631,13028,16549,9130,25679,8358,34037,1787,35824,6704,126,6830,418,7248,718,7967
1986,7536,1388,8924,2139,11063,1585,12648,17339,9462,26800,8515,35315,1913,37228,6776,130,6906,414,7320,719,8038
1987,7303,1370,8673,2081,10754,1539,12293,18244,9796,28040,9070,37110,2093,39204,6779,130,6909,427,7337,707,8044
1988,7052,1342,8394,2064,10458,1551,12008,19388,10297,29684,9477,39161,2334,41495,6770,125,6895,469,7364,720,8084
1989,7091,1354,8446,2075,10520,1581,12101,20541,10754,31295,9684,40979,2609,43588,6346,112,6457,464,6921,685,7606
1990,7097,1363,8460,2106,10567,1626,12192,20776,10935,31711,9934,41645,2825,44469,6308,101,6409,452,6861,687,7548
1991,6882,1343,8225,2122,10347,1656,12003,20439,10851,31290,9987,41277,2889,44166,6412,103,6515,495,7010,684,7695
1992,6786,1334,8120,2123,10243,1682,11924,20529,11124,31653,9926,41579,2961,44540,6408,104,6513,511,7023,683,7707
1993,6750,1340,8090,2076,10166,1685,11851,20448,11256,31704,9821,41525,2910,44436,6518,108,6626,537,7162,691,7853
1994,6830,1345,8175,2092,10267,1688,11954,20235,11093,31327,9665,40992,2821,43813,6592,99,6691,548,7239,653,7892
1995,6747,1337,8084,2074,10157,1699,11857,19850,11191,31041,9509,40550,2754,43304,6341,91,6432,558,6990,637,7627
1996,6805,1360,8165,2115,10280,1759,12040,19090,10874,29964,9369,39333,2753,42086,6275,99,6374,578,6952,638,7590
1997,6500,1323,7823,2079,9902,1735,11637,19465,10915,30380,9563,39943,2880,42823,6632,99,6731,645,7375,697,8072
1998,6359,1314,7673,2078,9751,1767,11519,20175,11505,31681,9804,41484,2987,44471,6730,93,6823,670,7493,653,8146
1999,6342,1318,7661,2044,9705,1719,11423,20274,11768,32042,9705,41747,2909,44656,6163,82,6245,549,6794,490,7284
2000,6156,1273,7429,2029,9458,1676,11135,19144,11192,30337,9187,39524,2741,42264,5442,68,5511,558,6069,413,6482
2001,5749,1268,7018,1905,8923,1679,10602,16140,9941,26081,8110,34191,2526,36716,4823,40,4863,596,5460,386,5845
2002,5531,1195,6726,1935,8661,1684,10345,15397,10050,25447,8063,33510,2324,35834,4630,44,4674,526,5200,388,5588
2003,5612,1272,6884,1939,8823,1685,10508,15704,9860,25564,8006,33570,2241,35812,4075,48,4124,488,4612,434,5046
2004,5679,1281,6961,1950,8911,1678,10588,15873,9737,25610,7982,33592,2225,35817,4234,31,4265,470,4734,424,5159
2005,5848,1251,7099,1959,9057,1713,10770,15877,9510,25388,7883,33271,2145,35416,3959,28,3988,469,4457,405,4862
2006,5739,1216,6956,1934,8890,1689,10579,15673,9351,25024,7628,32652,2070,34722,4057,25,4083,464,4546,387,4933
2007,5598,1164,6762,1899,8660,1643,10304,15437,8987,24424,7498,31922,2024,33946,3943,24,3967,457,4424,410,4834
2008,5486,1143,6630,1855,8484,1623,10107,15535,8518,24053,7105,31157,1974,33131,3854,21,3875,436,4311,402,4714
2009,5484,1130,6614,1812,8426,1599,10025,14390,8238,22627,6921,29549,1897,31445,3689,22,3711,396,4107,434,4540
2010,5542,1138,6680,1826,8505,1606,10112,14240,8244,22484,6753,29237,1848,31084,3606,27,3633,409,4042,418,4460
2011,5416,1123,6539,1804,8343,1590,9933,14326,8619,22945,6801,29746,1888,31634,3600,26,3625,390,4015,425,4441
2012,5373,1113,6486,1788,8275,1625,9900,14612,8898,23510,6736,30246,1969,32215,3662,29,3691,363,4054,427,4481
2013,5364,1095,6458,1797,8256,1588,9844,14922,9461,24382,6571,30953,1904,32856,4066,25,4091,314,4405,480,4885
2014,5374,1103,6476,1793,8270,1567,9837,15389,9739,25128,6693,31820,1923,33743,3954,28,3982,316,4298,517,4815
####thousand head####,,,,,,,,,,,,,,,,,,,,,
####Results for England from 2009 onwards only represent 'commercial' holdings with significant levels of farming activity. These significant levels are classified as any holding with more than 5 hectares of agricultural land; 1 hectare of orchard; 0.5 hectares of vegetables or 0.1 hectares of protected crop; or more than 10 cow; 50 pigs; 20 sheep; 20 goats or 1000 poultry####,,,,,,,,,,,,,,,,,,,,,
