,,,,,
Full Property Address,Property Reference Number,Current Rateable Value,Current Relief Type Description,Primary Liable party name,Account Start date
"114,, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",105119501142N,11500,Mandatorary Relief,S.A.F.A.,25/05/2012
"114, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",105457701140N,6000,Small Business Relief England,Twilight Years Ltd,02/03/2007
,,,,,
,,,,,
,,,,,
"116, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301062N,29500,Mandatorary Relief,Mind In Furness Ltd,01/11/2013
"116, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301062N,29500,Retail Relief,Mind In Furness Ltd,01/11/2013
,,,,,
,,,,,
"117-119, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",105117301170N,0,Retail Relief,Thomas Cook Uk Limited,01/04/2012
"118-120, Dalton Road, Barrow In Furness, Cumbria, ",105117301120N,47000,Retail Relief,David & Amanda Trading Ltd,22/09/2011
,,,,,
,,,,,
,,,,,
,,,,,
"118, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",101342901180N,5500,Mandatorary Relief,Walney Community Trust,08/03/2014
,,,,,
,,,,,
,,,,,
,,,,,
"1 & 1a, Rutland Street, Barrow In Furness, Cumbria, LA14 5AZ",106259309013N,2125,Small Business Relief England,Plastic Centre Barrow Ltd,01/10/2006
"11, Brewery Street, Barrow In Furness, Cumbria, LA14 1AJ",104408100110N,3350,Mandatorary Relief,Stonham Housing Assoc. Ltd,15/09/2004
,,,,,
,,,,,
"11 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309130N,2600,Empty Property Rate Non-Industrial,Barrow Borough Council,19/03/2003
"120-126, Rawlinson Street, Barrow In Furness, Cumbria, LA14 2DG",105457701200N,5800,Small Business Relief England,Cameron Motors (Barrow) Limited,13/07/2007
,,,,,
"120, Church Street, Barrow In Furness, Cumbria, LA14 1HA",105112501202N,5600,Small Business Relief England,Seabreeze (Cumbria) Limited,01/10/2010
,,,,,
,,,,,
,,,,,
"12-22, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1SP",104517100120N,18750,Retail Relief,Liontreck Ltd,16/02/1996
"123, Oxford Street, Barrow In Furness, Cumbria, LA14 5QH",106251201230N,3600,Small Business Relief England,Jemoro Ltd T/A Ardent Dental Practice,12/05/2007
,,,,,
"124, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",105311601240N,3000,Small Business Relief England,Designa Frames Ltd,01/04/1990
,,,,,
,,,,,
"128-130, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301280N,41250,Retail Relief,The Works Stores Ltd,25/04/2008
"128, Buccleuch Street, Barrow In Furness, Cumbria, LA14 1DA",104408901280N,7100,Retail Relief,G W Doling & Son,01/04/1990
,,,,,
,,,,,
,,,,,
,,,,,
"12, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000120N,13750,Retail Relief,Timpson Limited,01/06/2007
"1-2 & Pt 3, Lawson Street, Barrow In Furness, Cumbria, LA14 2LP",105137700011N,8900,Empty Property Rate Non-Industrial,Barrow Borough Council,11/04/2008
"12, Station Road, Dalton In Furness, Cumbria, LA15 8DW",113290800120N,3050,Small Business Relief England,Geldart Limited,01/10/2010
,,,,,
,,,,,
"130-142, Salthouse Road, Barrow In Furness, Cumbria, LA13 9TR",111561601280N,8800,Small Business Relief England,Westmorland Laundry Services Ltd,01/01/2012
"13/15/17 The Mall., Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309152N,9600,Mandatorary Relief,Furness Multicultural Comm Forum,01/02/2009
"13/15/17 The Mall., Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309152N,9600,Retail Relief,Furness Multicultural Comm Forum,01/02/2009
"132, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301320N,22250,Retail Relief,Rippleglen Ltd,07/03/2008
,,,,,
,,,,,
,,,,,
"134, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301341N,25500,Retail Relief,Claires Accessories Uk Ltd,29/10/1999
"136, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301360N,25250,Retail Relief,Greggs Plc,01/11/2004
,,,,,
,,,,,
,,,,,
"138, Cavendish Street, Barrow In Furness, Cumbria, LA14 1DJ",104411601381N,2900,Empty Property Rate Non-Industrial,Mcdougall Properties Ltd,18/05/2014
"138, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",105117301380N,25750,Retail Relief,Phones 4 U Ltd,02/02/2001
"13, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",103101600130N,2175,Small Business Relief England,Easyclean Cumbria Ltd,01/06/2002
"13a, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TG",103357200131N,3300,Small Business Relief England,Barros Trading Ltd,21/07/2014
,,,,,
,,,,,
"13, Strand, Barrow In Furness, Cumbria, LA14 2HG",105165809110N,5200,Small Business Relief England,The Reef (Uk) Ltd,10/10/2011
"1-3, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",105117309049N,7800,Small Business Relief England,Barrow & District Credit Union,01/02/2013
,,,,,
,,,,,
,,,,,
,,,,,
"141, Market Street, Dalton In Furness, Cumbria, LA15 8RG",112287601417N,3250,Small Business Relief England,Tech Photo Services Ltd,19/10/2012
"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",107300101420N,4650,Empty Property Rate Non-Industrial,Royal Mail Group Plc,01/08/2009
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"14, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000140N,37750,Retail Relief,Sportswift Ltd,29/08/2006
,,,,,
,,,,,
"152, Market Street, Dalton In Furness, Cumbria, LA15 8RQ",113187601520N,2475,Small Business Relief England,The Full Octave Ltd,11/11/1997
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"161, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ES",105457701610N,2425,Small Business Relief England,S Mason & Sons Ltd,01/09/2002
,,,,,
,,,,,
"164-166, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301640N,68000,Empty Property Rate Non-Industrial,G R & M M Blackledge Plc,13/12/2013
"165-167, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301650N,44500,Retail Relief,Signet Group Plc,01/04/1990
,,,,,
"168-170, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301680N,49750,Retail Relief,"J N Murray Ltd,",01/04/1990
,,,,,
,,,,,
"16a, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",105154000161N,27750,Retail Relief,Telefonica O2 Uk Ltd,16/10/2003
"16, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",104105900160N,3550,Small Business Relief England,Digital Aerial Vision Limited,17/10/2012
"16b, Portland Walk, Barrow In Furness, Cumbria, LA14 1DB",105154000162N,29500,Retail Relief,Baker Acquisitions Ltd,01/04/2012
,,,,,
"16, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800160N,5900,Mandatorary Relief,The Samaritans,01/04/1990
,,,,,
,,,,,
,,,,,
"171, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301710N,22000,Retail Relief,Greggs Of Cumbria,01/04/1990
"172, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301720N,26500,Mandatorary Relief,British Heart Foundation,09/07/1999
"172, Dalton Road, Barrow In Furness, Cumbria, LA14 1PU",105117301720N,26500,Retail Relief,British Heart Foundation,09/07/1999
"173, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301730N,24750,Mandatorary Relief,The Furness Children'S  Trust,03/01/2012
"173, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301730N,24750,Retail Relief,The Furness Children'S  Trust,03/01/2012
"173, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701730N,3150,Small Business Relief England,G.S.A. Ltd,01/04/1990
"175-177, Dalton Road, Barrow In Furness, Cumbria, LA14 1PX",105117301750N,50500,Empty Property Rate Non-Industrial,Zurich Assurance Ltd,03/04/2009
,,,,,
"176, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",111559001760N,5500,Retail Relief,J N Murray Ltd,10/09/2004
"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701771N,3500,Small Business Relief England,83 Furness Limited,28/08/2012
"178-180, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",105117301781N,32000,Retail Relief,"Conlon & Sons,",06/10/2006
,,,,,
,,,,,
"17, Park Drive, Barrow In Furness, Cumbria, LA13 9BA",107352609000N,1250,Mandatorary Relief,"26th Barrow Extn Scout Group,",01/04/1990
,,,,,
"181, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",105117301814N,31500,Retail Relief,Diggle Ltd,01/06/1992
,,,,,
"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",101119000201N,13250,Retail Relief,Vickerstown Upholstery Ltd,28/05/2003
"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",101119000201N,13250,Small Business Relief England,Vickerstown Upholstery Ltd,28/05/2003
"182, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",105117301820N,19000,Retail Relief,Tui Uk Ltd,01/04/1990
"184, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BQ",106101001840N,4800,Small Business Relief England,Harmony Windows Ltd,06/05/2005
"186, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BG",106101001860N,3800,Retail Relief,Mccreedy Restaurant Ltd,09/02/2006
,,,,,
,,,,,
"189a, Oxford Street, Barrow In Furness, Cumbria, LA14 5QF",109251201890N,2300,Retail Relief,Corporate Care Furness Ltd,18/05/2007
,,,,,
,,,,,
,,,,,
,,,,,
"18, Tudor Square, Dalton In Furness, Cumbria, LA15 8RH",113291400180N,2950,Retail Relief,"R Forrest Ltd,",01/04/1990
"190, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",105117301900N,15250,Retail Relief,Food (Kendal) Ltd,01/04/2011
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"195, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701950N,2850,Small Business Relief England,Dev'S Plaice Ltd,22/04/1996
"197, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457701970N,3000,Small Business Relief England,Tracy Wells Hair Ltd,19/03/2007
,,,,,
"1d,, Egerton Court, Barrow In Furness, Cumbria, LA14 2TT",103221800014N,1225,Small Business Relief England,Rent A Home Ltd,11/07/2011
,,,,,
,,,,,
"1, Hartington Street, Barrow In Furness, Cumbria, LA14 5SL",104329800012N,3250,Small Business Relief England,Loos Eason Podiatry Ltd,25/09/2000
,,,,,
,,,,,
,,,,,
"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409000N,7500,Retail Relief,Lakes Parade Stores Ltd,13/08/2006
"1 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409000N,7500,Small Business Relief England,Lakes Parade Stores Ltd,13/08/2006
,,,,,
,,,,,
,,,,,
"1st & 2nd Flrs 112, Duke Street, Barrow In Furness, Cumbria, LA14 1LW",105119501126N,4150,Small Business Relief England,Taylor Made Training (Nw) Ltd,01/10/2013
"1st & 2nd Fs, 34-40, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",105114000333N,14750,Mandatorary Relief,Drop Zone Youth Project,10/01/2005
"1st & 2nd Fs, 35, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600331N,8200,Empty Property Rate Non-Industrial,Ladbrookes Betting & Gaming Ltd,25/08/1998
,,,,,
"1,, St Vincent Street, Barrow In Furness, Cumbria, LA14 2NT",104561509025N,5900,Small Business Relief England,Provincial Properties Limited,18/03/2013
,,,,,
"200, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302001N,19750,Mandatorary Relief,Scope,05/03/1997
"200, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302001N,19750,Retail Relief,Scope,05/03/1997
,,,,,
,,,,,
"20-24, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SE",105111600200N,15000,Retail Relief,"Stokers Ltd,",01/04/1990
"202, Dalton Road, Barrow In Furness, Cumbria, LA14 1PS",104417302020N,13000,Retail Relief,Coco Cheveux Ltd,01/06/2013
"203-205, Dalton Road, Barrow In Furness, Cumbria, LA14 1PP",105117302030N,31250,Retail Relief,Greenwoods Menswear Ltd,23/01/2009
,,,,,
"204, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302043N,19750,Mandatorary Relief,"Cancer Research Uk,",01/04/1990
"204, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302043N,19750,Retail Relief,"Cancer Research Uk,",01/04/1990
"206-208, Dalton Road, Barrow In Furness, Cumbria, LA14 1PR",104417302062N,32250,Retail Relief,Holland & Barratt Retail Ltd,10/06/1996
"207, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302070N,13250,Retail Relief,Maiquez Ltd,05/03/2007
"207, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702070N,3250,Mandatorary Relief,"Animal Welfare,",01/04/1990
"207, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702070N,3250,Retail Relief,"Animal Welfare,",01/04/1990
"209-211, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702091N,6800,Retail Relief,"W E Griffiths & Co,",03/12/2005
"209-211, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",105457702091N,6800,Small Business Relief England,"W E Griffiths & Co,",03/12/2005
,,,,,
"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104105900200N,4100,Mandatorary Relief,Project John Ltd,09/09/2002
"20, Bath Street, Barrow In Furness, Cumbria, LA14 1NE",104105900200N,4100,Retail Relief,Project John Ltd,09/09/2002
"20,, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",105119500201N,5400,Small Business Relief England,A & T Mcgerty Carpets Limited,01/12/2010
,,,,,
"20, Tudor Square, Dalton In Furness, Cumbria, LA15  8RH",113291400193N,8300,Retail Relief,Bar 20 Dalton Ltd,01/04/2013
,,,,,
"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302100N,11000,Empty Property Rate Non-Industrial,City And County Properties Ltd,16/03/2014
"211, Dalton Road, Barrow In Furness, Cumbria, LA14 1PJ",104417302110N,34500,Empty Property Rate Non-Industrial,Forex Investments Ltd,28/09/2012
,,,,,
,,,,,
"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302140N,8500,Retail Relief,Lads & Dads Clothing Ltd,01/04/2013
"214, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302140N,8500,Small Business Relief England,Lads & Dads Clothing Ltd,01/04/2013
,,,,,
,,,,,
,,,,,
"217, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",105119502170N,2750,Mandatorary Relief,"Cumbria Deaf Association,",18/10/1993
"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302190N,8800,Retail Relief,Lakes Bakery Limited,18/06/2010
"219, Dalton Road, Barrow In Furness, Cumbria, LA14 1PH",104417302190N,8800,Small Business Relief England,Lakes Bakery Limited,18/06/2010
,,,,,
"21, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",104517100210N,4200,Retail Relief,Simply Pleasure Ltd,29/11/2005
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"223, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302230N,11250,Retail Relief,Datsa Ltd T/A Cartridge World,25/12/2003
,,,,,
,,,,,
"227-231, Duke Street, Barrow In Furness, Cumbria, LA14 1XT",105119502270N,16500,Retail Relief,H.S.S. Hire Services Group Plc,14/02/1994
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"231, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302310N,13000,Retail Relief,Baan Siam Barrow Ltd,19/10/2012
"231, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",104417302310N,13000,Small Business Relief England,Baan Siam Barrow Ltd,19/10/2012
"23-29, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600230N,19250,Retail Relief,Winfield Holdings Ltd,10/04/1992
"232, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302320N,10250,Empty Property Rate Non-Industrial,Trustees Of Zimmer Trust,01/04/2013
,,,,,
"23, Bath Street, Barrow In Furness, Cumbria, LA14 1NL",104105900231N,3900,Mandatorary Relief,Furness Homeless Support Group,01/05/2001
"23, Bath Street, Barrow In Furness, Cumbria, LA14 1NL",104105900231N,3900,Retail Relief,Furness Homeless Support Group,01/05/2001
"23, Greengate Street, Barrow In Furness, Cumbria, LA14 1HB",105127600230N,8500,Retail Relief,"Greengate Workingmen'S,",01/04/1990
"23, Greengate Street, Barrow In Furness, Cumbria, LA14 1HB",105127600230N,8500,Small Business Relief England,"Greengate Workingmen'S,",01/04/1990
,,,,,
"250, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302500N,14750,Retail Relief,Diamond Jim Ltd,01/04/2011
"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302520N,8400,Retail Relief,Mithali Restaurant Ltd,01/04/2005
"252-254, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",104417302520N,8400,Small Business Relief England,Mithali Restaurant Ltd,01/04/2005
"25-29, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",104517100250N,5800,Small Business Relief England,Mister Mister Ltd,01/04/1990
,,,,,
,,,,,
"2-6, Derry Street, Barrow In Furness, Cumbria, LA14  2EF",105218200021N,6500,Mandatory CASC Relief,Barrow Jiu-Jitsu Club,12/02/2010
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",104457702750N,6400,Retail Relief,Angling & Hiking Centre Ltd,17/04/2006
"277, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1DH",104457702750N,6400,Small Business Relief England,Angling & Hiking Centre Ltd,17/04/2006
,,,,,
"27, Bath Street, Barrow In Furness, Cumbria, LA14 5TY",104102001080N,1775,Mandatorary Relief,Furness Homeless Support Group,01/08/1996
,,,,,
"27, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000270N,60000,Empty Property Rate Non-Industrial,Grange Hall Estates Ltd,13/04/2014
,,,,,
,,,,,
"288, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",104457702880N,9300,Mandatorary Relief,Age Uk Barrow And District,20/07/1995
,,,,,
"295-301, Abbey Road, Barrow In Furness, Cumbria, LA14 5LG",107100109355N,9100,Small Business Relief England,Abbey Rd Enterprises Ltd,20/02/2006
,,,,,
,,,,,
,,,,,
"2 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409010N,3600,Retail Relief,Tangeo Management Ltd T/A Grange Bakery,01/12/2012
"2, Liverpool Street, Barrow In Furness, Cumbria, LA14 3BA",102538800020N,4000,Small Business Relief England,Early News Ltd,04/03/2013
,,,,,
,,,,,
"2, Napier Street, Barrow In Furness, Cumbria, LA14 5SZ",104347100020N,2850,Small Business Relief England,New Barrow Takeaway Limited,23/03/2010
"2nd Floor Ramsden House, 121-123, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501234N,10250,Small Business Relief England,Cookson Ad Valorem Ltd,17/09/2012
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",104519509710N,3200,Empty Property Rate Non-Industrial,Hsbc Bank Plc,01/01/1996
,,,,,
"2nd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709145N,34500,Empty Property Rate Non-Industrial,Barrow Borough Council,01/07/2010
"2, Raglan Street, Barrow In Furness, Cumbria, LA14 2AS",108356609013N,5400,Small Business Relief England,The Garage Inc. Ltd,01/11/2011
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"30a, Cavendish Street, Barrow In Furness, Cumbria, LA14 1PZ",105111600302N,3050,Small Business Relief England,Furness Watch/Jewel'Ry Ltd,12/05/1997
,,,,,
"30, Marsh Street, Barrow In Furness, Cumbria, LA14 2AE",105241600301N,2125,Small Business Relief England,The Laundry Room (Marsh Street) Limited,12/10/2012
,,,,,
,,,,,
"31, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600310N,4850,Small Business Relief England,Face To Face Financial Services Ltd,01/07/2003
,,,,,
,,,,,
"31, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000310N,31750,Retail Relief,Sally Salon Servies Ltd,05/02/2004
"31, Station Road, Dalton In Furness, Cumbria, LA15 8PL",113290800314N,2450,Small Business Relief England,Powder & Paint Photography Limited,15/06/2011
,,,,,
,,,,,
,,,,,
,,,,,
"33, Oxford Street, Barrow In Furness, Cumbria, LA14 5QJ",106251200331N,3200,Small Business Relief England,Oxford Street Clinic Ltd,31/01/2012
,,,,,
,,,,,
"34, Middlefield, Barrow In Furness, Cumbria, LA14 4BX",106542720306N,5000,Small Business Relief England,Ormsgill Off Licence Ltd,28/11/2005
"34, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000340N,35750,Retail Relief,Bodyshop International Plc,26/01/2007
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"3-6 Archways, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",103342709065N,4400,Small Business Relief England,Barrow Central Joinery Ltd,22/08/2003
,,,,,
,,,,,
"36, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",105154000360N,33500,Empty Property Rate Non-Industrial,The Mccormack Creighton Partnership,17/07/2012
,,,,,
,,,,,
,,,,,
"37-39, Earle Street, Barrow In Furness, Cumbria, LA14 2PZ",103221300370N,4450,Small Business Relief England,"Braklon Ltd,",01/04/1990
"37-39, Ocean Road, Barrow In Furness, Cumbria, LA14 3DD",102250200370N,33250,Retail Relief,Tesco Stores Ltd,19/07/2012
,,,,,
"37, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600370N,5500,Mandatorary Relief,H.E.F.F.,01/10/1997
"37, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",105111600370N,5500,Retail Relief,H.E.F.F.,01/10/1997
"37, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400370N,3850,Retail Relief,Crooks Motorcycles Limited,03/12/2009
"38-40, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",107201000380N,17000,Retail Relief,Cumbrian Co-Op Society,02/04/1990
,,,,,
,,,,,
,,,,,
"39a, Bristol Street, Barrow In Furness, Cumbria, LA14 3AG",102408500391N,3400,Small Business Relief England,Rwe Tanning Limited T/A The Sun Shack,25/02/2013
,,,,,
,,,,,
,,,,,
,,,,,
"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",103101600030N,4050,Retail Relief,J N Murray Ltd,01/07/1996
,,,,,
"3b, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900036N,1300,Small Business Relief England,Butty-Licious Barrow Ltd,01/11/2010
"3, Dalton Road, Barrow In Furness, Cumbria, LA14 1PQ",105117300131N,6500,Empty Property Rate Non-Industrial,Denbrook Ltd,08/03/2011
,,,,,
,,,,,
,,,,,
"3 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",109322409020N,3600,Small Business Relief England,Lakes Parade Tanning Ltd,12/01/2005
"3rd Fl, 127-131, Duke Street, Barrow In Furness, Cumbria, LA14 1XA",105119501277N,5400,Small Business Relief England,Moorsolve Limited,01/01/1999
"3rd Flr East Craven House, , Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",103342709165N,42000,Empty Property Rate Non-Industrial,Barrow Borough Council,14/05/2012
,,,,,
,,,,,
"3, Slater St, Barrow In Furness, Cumbria, LA14 1SJ",104563900032N,1900,Small Business Relief England,Slater Street News Limited,29/09/1996
"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",103101600400N,0,Empty Property Rate Non-Industrial,Howcol Properties Limited,18/04/2013
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"41, Crellin Street, Barrow In Furness, Cumbria, LA14 1DS",105314400410N,3750,Small Business Relief England,Kutz (Barrow) Ltd,23/11/1998
,,,,,
