?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212092,597,NEWARK ALARM SYSTEMS,100364
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENSED BAR PROVISIONS,20/07/2012,212399,605.08,HEINEKEN UK,100205
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,27/07/2012,212984,607.54,RIXONWAY KITCHENS LTD,101367
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,13/07/2012,212072,630,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES AND MOT'S,19/07/2012,71201,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES AND MOT'S,19/07/2012,71202,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES AND MOT'S,19/07/2012,71203,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,LICENCES AND MOT'S,19/07/2012,71204,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,LICENCES AND MOT'S,19/07/2012,71205,652.5,DVLA,300012
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,13/07/2012,212185,662,COOPER PLUMBING,100110
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CLOTHING AND UNIFORMS,13/07/2012,212073,668.51,OAK INDUSTRIAL SUPPLIES LIMITED,100401
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,OFFICE EQUIPMENT PURCHASE,13/07/2012,71206,669.45,QC SUPPLIES LTD,300033
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,20/07/2012,212653,680,OTR LTD,101277
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B995,TELEPHONES,20/07/2012,212645,693.38,DAISY COMMUNICATIONS LTD,100847
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,06/07/2012,211787,700,KINGS CHAMBERS,101383
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,27/07/2012,212906,709.25,CITY HYGIENE SERVICES LTD,101590
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,REPAIRS AND MAINTENANCE,06/07/2012,211769,710,EUROTECH ENVIRONMENTAL LTD,100854
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,METERED WATER CHARGE,13/07/2012,212052,712.74,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,27/07/2012,212981,730.59,PTS PLUMBING & HEATING MERCHANT,101643
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,27/07/2012,212991,734.5,REDACTED PERSONAL DATA,101658
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,20/07/2012,212356,748,CRIMINAL RECORDS BUREAU,100116
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,13/07/2012,212189,750,WESTGATE PARTNERSHIP SHOPFITTING SERV LTD,100602
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,13/07/2012,212048,750,XN LEISURE SYSTEMS LTD,100616
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,20/07/2012,212646,751.74,G4S CASH SOLUTIONS (UK) LTD,100731
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,06/07/2012,211818,752.96,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,ADVERTISING,27/07/2012,212986,756.53,TMP (UK) LTD,101175
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,GAS,06/07/2012,211890,777.43,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,SUPERANNUATION,06/07/2012,211864,795,SCOTTISH WIDOWS PLC,101485
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B992,CIS DEDUCTIONS,20/07/2012,212644,800,CALANDINE LIFTS LTD,100068
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,06/07/2012,211908,816.94,REDACTED PERSONAL DATA,101657
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,20/07/2012,212558,820,FRN STEEPLEJACKS LTD,101648
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PROFESSIONAL SERVICES,20/07/2012,212344,828,ANV MEASUREMENT SYSTEMS,100944
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,27/07/2012,212933,830.54,JOHNSTON SWEEPERS LTD,100250
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,13/07/2012,212173,850.85,ING LEASE (UK) LTD,100225
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,20/07/2012,212568,860.18,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,20/07/2012,212536,863.88,LINCOLNSHIRE RESCUE KENNELS,100282
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RENT,03/08/2012,213400,872,CROWN ESTATE COMMISSIONERS,100117
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,27/07/2012,212974,885,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,COMPUTER SOFTWARE MAINTENANCE,20/07/2012,212543,895,ULTRA ELECTRONICS AEP PAYMENTS LTD,101650
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PRINTING,13/07/2012,212194,895,SM DESIGN UK,101666
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,27/07/2012,212983,900,FIRE ASSESSMENT SERVICES,101645
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,EQUIPMENT LEASING,06/07/2012,211780,900,RVS GROUP LTD,101676
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,27/07/2012,212931,914.6,MERTRUX LTD,100304
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ELECTRICITY,13/07/2012,212122,918.08,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CHAUFFEUR SERVICES,27/07/2012,212870,939.02,AURA JOURNEYS,101222
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,EQUIPMENT REPAIRS & RENEWALS,06/07/2012,211776,950,OPEN TEXT UK LTD,100408
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,PROFESSIONAL SERVICES,06/07/2012,211775,950,IDOX SOFTWARE LTD,100738
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,06/07/2012,211906,953.33,REDACTED PERSONAL DATA,101656
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212094,989.1,HGR - MARIO STANKOVIC,100208
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,13/07/2012,212106,1000,TN CORPORATION,101679
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,13/07/2012,212190,1000,HOME INSPIRATIONS,101680
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,PROFESSIONAL SERVICES,27/07/2012,212915,1000,1ST BALDERTON SCOUT GROUP,101681
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,20/07/2012,212557,1020,S & J BURGIN LTD,101654
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,06/07/2012,211807,1026,BASSETLAW DISTRICT COUNCIL,100034
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,27/07/2012,212892,1036.35,ORANGE PERSONAL COMMUNICATIONS,100410
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,20/07/2012,212476,1050,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,06/07/2012,211774,1076,SEC-1-LTD,101046
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,06/07/2012,211825,1101.3,CHEEKY-CHAP PRODUCTIONS,101663
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,GAS,06/07/2012,211903,1111.7,CORONA ENERGY,100113
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,ELECTRICITY,06/07/2012,211872,1135.12,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,MOBILE PHONE COSTS,27/07/2012,212893,1141.19,ORANGE PERSONAL COMMUNICATIONS,100410
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212159,1164,LAXTON & MOORHOUSE PARISH COUNCIL,100272
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PREMISES REPAIRS & RENEWALS,20/07/2012,212561,1187.5,COOPER PLUMBING,100110
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,06/07/2012,211824,1195.92,MARK LUNDQUIST MANAGEMENT & CONCERT PROMOTION,100907
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND PROSPERITY,B700,LAND SEARCHES,27/07/2012,212961,1200,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,27/07/2012,212997,1223.56,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,06/07/2012,211911,1251.27,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,METERED WATER CHARGE,13/07/2012,212150,1252.04,SEVERN TRENT WATER LIMITED,100487
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,AGENCY STAFF,06/07/2012,211865,1253.34,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,13/07/2012,212020,1303.97,PTS PLUMBING & HEATING MERCHANT,101643
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,13/07/2012,212039,1317.68,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,06/07/2012,211762,1379.96,THE BOOTLEG SIXTIES LLP,101661
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,13/07/2012,212037,1389.55,PTS PLUMBING & HEATING MERCHANT,101643
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,13/07/2012,212049,1400,XN LEISURE SYSTEMS LTD,100616
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,20/07/2012,212582,1422,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,20/07/2012,212555,1450,J WILKINS LIMITED,100236
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PRINTING,13/07/2012,212043,1490,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,OTHER EQUIPMENT AND TOOLS,27/07/2012,212955,1498.8,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,STANDING CHARGES TELEPHONES,20/07/2012,212355,1522,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,PLANNED MAINTENANCE - GROVE,20/07/2012,212560,1535,RM INSTALLATIONS,101457
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,13/07/2012,212123,1542.12,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,13/07/2012,212085,1550,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,13/07/2012,212153,1560.19,ETM (AGENCIES) LTD,101662
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ALL WEATHER PITCHES,20/07/2012,212615,1562,DUKERIES COMMUNITY COLLEGE,101507
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HARDWARE MAINTENANCE,20/07/2012,212350,1570.8,SPECIALIST COMPUTER CENTRES PLC,100773
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,ARTISTS FEES,06/07/2012,211796,1574.48,ETM (AGENCIES) LTD,101662
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,HACKNEY LICENCE COSTS,06/07/2012,211833,1603.9,MOGO UK,100314
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,ELECTRICITY,13/07/2012,212124,1610.14,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212158,1620,FARNDON PARISH COUNCIL,100162
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,13/07/2012,212200,1680,BS CITY FENCING CONTRACTS LTD,100064
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,EH MINOR DEFAULT WORKS,20/07/2012,212537,1695,SITEXORBIS LIMITED,101649
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,CONTRACTUAL SERVICES,06/07/2012,211841,1725.99,SUPERCLEAN SERVICES WOTHORPE LTD,100527
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,POSTAGES,13/07/2012,212112,1802.38,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,DEPARTMENTAL HARDWARE,20/07/2012,212352,1863.45,INSIGHT DIRECT (UK) LTD,100226
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,27/07/2012,212994,1879.59,REDACTED PERSONAL DATA,101659
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,CONTRACTUAL SERVICES,20/07/2012,212588,1886.8,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,27/07/2012,212922,1917.9,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,COMPUTER SOFTWARE,20/07/2012,212551,1935,MICROCAD LTD,101315
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,13/07/2012,212161,1969,LOWDHAM PARISH COUNCIL,100288
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,TELEPHONES,20/07/2012,212355,1987.63,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,06/07/2012,211806,2000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,PEOPLE AND COMMUNITIES,B500,CONTRACTUAL SERVICES,06/07/2012,211808,2000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,20/07/2012,212346,2153.25,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,FINANCE AND PROPERTY,B400,LEGAL FEES COURTS,27/07/2012,212989,2202,HM COURTS AND TRIBUNALS SERVICE,101145
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE AND CULTURE,B600,LICENCES,20/07/2012,212406,2209.35,TICKETS.COM LTD,100566
