DfE No,School,Establishment type,PT (Nursery),FT (Nursery),Total,Reception,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Total number of pupils on roll,Full time equivalent,Compulsory school age pupils
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,0,0,0,47,61,60,0,0,0,0,0,168,168,138
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,0,0,0,0,0,0,64,57,58,63,0,242,242,242
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,0,0,0,23,28,28,26,28,24,25,0,182,182,166
5206,St Chad's CE (VA) Primary School,LA Maintained,0,0,0,30,30,30,30,30,30,30,0,210,210,194
5203,St John's CE Primary Academy (Clifton),Academy,0,0,0,28,30,30,30,30,30,30,0,208,208,188
3322,St John's CE Primary School (Rishworth),Academy,0,0,0,20,19,20,19,17,20,20,0,135,135,124
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,23,0,23,26,30,31,28,28,30,30,0,226,214.5,183
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,0,0,0,30,29,28,30,26,20,26,0,189,189,167
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,2,22,24,22,23,12,10,11,15,14,0,131,130,93
3306,St Malachy's Catholic Primary School,Academy,15,1,16,31,26,30,25,28,21,17,0,194,186.5,162
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,0,0,0,44,44,41,42,44,38,41,0,294,294,263
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,0,0,0,15,15,16,16,11,15,15,0,103,103,89
5202,St Michael & All Angels CE Primary School,LA Maintained,0,0,0,30,31,29,30,27,28,26,0,201,201,181
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,0,13,13,18,17,17,15,18,14,18,0,130,130,107
2057,Stubbings Infant School,LA Maintained,9,0,9,19,23,27,0,0,0,0,0,78,73.5,55
2049,The Greetland Academy,Academy,0,0,0,60,59,59,60,60,59,59,1,417,417,374
4035,The Halifax Academy,Academy,0,0,0,55,33,32,0,0,0,0,0,120,120,81
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,26,1,27,30,30,29,29,29,29,23,0,226,213,184
3013,Triangle CE (VC) Primary School,LA Maintained,0,0,0,25,30,27,27,26,26,28,0,189,189,173
2067,Tuel Lane Infant School,LA Maintained,24,0,24,37,38,41,0,0,0,0,0,140,128,91
2027,Wainstalls School,Academy,0,0,0,30,25,23,28,22,22,20,0,170,170,145
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,0,0,0,26,26,27,18,25,25,22,0,169,169,146
2028,Warley Road Primary School,LA Maintained,51,0,51,76,79,73,83,88,83,84,0,617,591.5,510
2030,Warley Town School,LA Maintained,0,0,0,20,20,19,21,20,17,19,0,136,136,122
5205,West Vale Primary School,LA Maintained,0,0,0,24,26,25,23,26,23,26,0,173,173,154
2031,Whitehill Community Academy,Academy,63,0,63,90,91,82,81,86,90,76,0,659,627.5,530
2046,Withinfields Primary School,LA Maintained,28,1,29,49,48,60,49,41,41,42,0,359,345,295
7008,Wood Bank School,LA Maintained,7,0,7,5,10,10,8,10,8,11,0,69,65.5,60
2081,Woodhouse Primary School,LA Maintained,0,0,0,60,60,61,60,60,60,59,0,420,420,379
,Calderdale (Incl Special Schools),,968,192,1160,2816,2731,2856,2768,2738,2639,2671,1,20380,19896,17302
,Calderdale (Excl Special Schools),,956,191,1147,2801,2712,2836,2745,2723,2623,2650,1,20238,19760,17181
,Notes:,,,,,,,,,,,,,,,
,"""Year group"" is based on pupils' dates of birth, not the year they are taught in.",,,,,,,,,,,,,,,
,"""Compulsory school age"" - Pupils in Years 1 (age 5) to 11 (age 11) and reception year pupils born between 1 September and 31 December.",,,,,,,,,,,,,,,
,Full time equivalent - The number of full time pupils plus 0.5 per part-time pupil.,,,,,,,,,,,,,,,
