Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
CORBY,4,19,46,333,137,3,77,0,51,539,113,1322
CORNWALL,284,220,251,3788,1601,20,320,2,1129,5279,1019,13913
COTSWOLD,51,36,35,645,244,1,81,0,199,1175,255,2722
"COUNTY DURHAM,456",110,58,116,2542,1182,41,142,0,465,4171,795,9622
COVENTRY,55,98,86,1324,584,10,120,1,163,2308,340,5089
CRAVEN,17,10,21,329,154,0,23,0,103,476,94,1227
CRAWLEY,5,32,8,515,215,1,32,0,46,855,159,1868
CROYDON,6,85,18,1662,815,28,118,1,162,3143,667,6705
DACORUM,20,23,23,1198,340,4,54,0,113,1210,297,3282
DARLINGTON,24,13,16,485,216,4,19,0,66,732,105,1680
DARTFORD,2,36,20,544,240,10,59,0,83,961,201,2156
DAVENTRY,35,20,18,479,219,1,23,0,103,604,126,1628
DENBIGHSHIRE,44,17,30,458,243,6,44,0,127,775,135,1879
DERBYSHIRE DALES,43,16,27,453,229,7,52,5,180,622,99,1733
DONCASTER,63,77,31,1442,653,24,55,0,224,2094,402,5065
DOVER,11,14,15,643,283,13,29,0,99,985,176,2268
DUDLEY,44,50,59,1437,587,6,81,0,208,1980,302,4754
EALING,7,136,26,1613,796,13,121,0,218,3097,655,6682
EAST CAMBRIDGESHIRE,45,10,35,476,234,2,44,0,129,661,136,1772
EAST DEVON,49,49,57,1022,384,6,94,0,175,1318,251,3405
EAST DORSET,13,47,13,533,256,3,20,0,95,707,125,1812
EAST HAMPSHIRE,17,35,28,613,321,6,53,0,179,979,265,2496
EAST HERTFORDSHIRE,34,35,37,835,398,26,76,1,122,1564,364,3492
EAST LINDSEY,90,34,41,745,391,11,39,0,189,1204,147,2891
EAST NORTHAMPTONSHIRE,19,13,32,484,233,3,41,0,124,646,175,1770
EAST RIDING OF YORKSHIRE,122,36,83,1835,939,25,119,2,426,2740,443,6770
EAST STAFFORDSHIRE,45,26,45,658,295,10,46,1,132,848,135,2241
EASTBOURNE,1,53,4,625,294,6,21,0,41,1099,247,2391
EASTLEIGH,15,46,28,711,322,3,39,0,105,1144,361,2774
EDEN,69,7,24,311,163,1,30,0,118,462,53,1238
ELMBRIDGE,20,39,28,939,417,4,48,0,155,1746,377,3773
ENFIELD,7,104,17,1574,687,7,73,0,103,2981,444,5997
EPPING FOREST,14,28,23,648,420,3,44,0,148,1324,232,2884
EPSOM AND EWELL,3,16,14,428,184,3,36,2,45,780,118,1629
EREWASH,19,31,33,714,316,3,28,1,94,851,198,2288
EXETER,18,51,10,719,296,2,64,0,89,1069,289,2607
FAREHAM,25,38,25,612,345,7,33,1,87,827,210,2210
FENLAND,54,24,29,532,244,11,43,0,115,792,134,1978
FLINTSHIRE,47,13,32,690,307,2,65,0,175,1029,208,2568
FOREST HEATH,25,18,46,308,156,4,38,0,116,473,125,1309
FOREST OF DEAN,34,20,41,491,159,5,50,0,97,710,126,1733
FYLDE,4,10,11,515,249,5,26,0,105,873,130,1928
GATESHEAD,26,13,42,1106,526,9,52,0,123,1517,272,3686
GEDLING,40,11,23,661,251,3,29,0,66,803,144,2031
GLOUCESTER,14,67,21,978,295,4,68,0,129,891,196,2663
GOSPORT,11,25,10,437,214,0,21,0,27,700,136,1581
GRAVESHAM,8,23,7,467,202,4,9,0,58,757,115,1650
GREAT YARMOUTH,45,15,31,543,223,2,22,0,99,599,105,1684
GREENWICH,1,166,6,1581,565,12,143,1,105,2545,461,5586
GUILDFORD,8,59,23,776,375,5,42,0,169,1398,289,3144
GWYNEDD,95,8,51,720,307,2,43,0,214,1022,156,2618
HACKNEY,0,242,18,1121,510,9,183,0,144,3112,546,5885
HALTON,100,22,8,532,222,6,24,1,81,1076,188,2260
HAMBLETON,44,13,17,682,330,1,31,0,130,612,117,1977
HAMMERSMITH AND FULHAM,5,177,9,1341,670,8,126,0,148,3086,589,6159
HARBOROUGH,16,17,40,502,204,4,53,0,117,735,160,1848
HARINGEY,9,237,15,1624,579,7,117,0,116,3261,544,6509
HARLOW,1,21,8,400,169,3,25,0,24,711,171,1533
HARROGATE,170,26,50,1036,396,5,25,0,215,1362,260,3545
HARROW,2,86,24,1219,523,9,73,0,127,2161,412,4636
HART,28,12,20,528,251,7,23,0,88,703,171,1831
HARTLEPOOL,8,10,16,386,169,2,27,0,50,666,109,1443
HASTINGS,4,32,11,645,250,10,16,0,66,1003,190,2227
HAVANT,21,140,14,1085,378,4,27,0,62,972,183,2886
HAVERING,15,74,61,1329,699,12,75,0,110,2117,337,4829
HEREFORDSHIRE,89,35,48,1404,429,0,45,0,309,1468,317,4144
HERTSMERE,5,22,14,486,247,4,42,0,73,933,195,2021
HIGH PEAK,35,9,24,446,192,4,20,0,128,750,110,1718
HILLINGDON,4,152,33,1495,719,10,150,0,186,2380,450,5579
HINCKLEY AND BOSWORTH,29,22,50,578,245,4,26,0,90,791,113,1948
HORSHAM,40,27,27,833,504,5,43,0,203,1410,292,3384
HOUNSLOW,3,137,24,1222,487,10,64,0,164,2646,612,5369
HUNTINGDONSHIRE,58,24,48,974,436,6,87,2,155,1423,305,3518
HYNDBURN,36,8,8,421,192,6,8,0,124,664,99,1566
IPSWICH,15,26,20,653,267,13,45,0,86,945,156,2226
ISLE OF ANGLESEY,54,9,14,375,173,4,17,0,128,550,85,1409
ISLE OF WIGHT,48,47,37,791,435,1,73,2,205,1433,291,3363
ISLES OF SCILLY,1,3,0,4,0,0,2,0,3,13,1,27
ISLINGTON,3,182,15,1413,647,11,211,0,140,3140,525,6287
KENSINGTON AND CHELSEA,21,160,6,1711,758,14,116,0,357,5317,1029,9489
KERRIER,0,0,0,0,0,0,0,0,0,0,1,1
KETTERING,18,24,21,492,190,1,27,0,87,826,154,1840
KING'S LYNN AND WEST NORFOLK,72,19,75,813,360,11,116,0,326,1373,262,3427
KINGSTON UPON THAMES,3,60,10,999,489,5,31,0,77,1538,311,3523
KIRKLEES,44,45,119,2091,924,30,135,0,379,3610,550,7927
KNOWSLEY,41,31,23,592,210,13,48,0,92,984,184,2218
LAMBETH,3,207,6,2050,850,11,115,0,168,3937,786,8133
LANCASTER,58,24,21,680,290,9,38,0,208,1049,147,2524
LEEDS,85,157,97,3794,1693,39,244,0,562,5766,956,13393
LEICESTER,13,87,34,1169,502,15,67,1,147,2090,316,4441
LEWES,15,48,15,606,284,6,59,0,108,956,174,2271
LEWISHAM,1,116,10,1417,630,11,117,0,139,3057,508,6006
LICHFIELD,23,20,30,639,228,6,54,0,64,800,178,2042
LINCOLN,12,23,8,551,237,7,58,0,88,706,118,1808
LIVERPOOL,56,107,64,2215,893,35,121,1,323,4200,657,8672
LUTON,14,40,5,811,497,7,41,0,90,1398,266,3169
MAIDSTONE,7,38,35,915,421,11,89,0,172,1424,294,3406
MALDON,38,9,10,322,148,6,20,0,91,549,107,1300
MALVERN HILLS,52,15,26,929,156,2,31,0,125,570,105,2011
MANCHESTER,30,193,41,2454,921,34,157,0,462,5386,1064,10742
MANSFIELD,86,25,19,559,234,3,35,0,83,748,160,1952
MEDWAY,10,59,46,1379,614,22,99,0,105,2093,453,4880
MELTON,19,5,16,255,126,2,11,0,63,385,94,976
MENDIP,60,40,37,688,333,6,50,0,163,900,181,2458
MERTHYR TYDFIL,24,12,16,253,85,2,16,0,96,440,82,1026
MERTON,9,135,19,1093,535,7,83,0,100,2141,445,4567
MID BEDFORDSHIRE,0,0,0,0,0,0,0,0,1,0,0,1
MID DEVON,29,13,28,535,239,4,59,0,112,726,135,1880
MID SUFFOLK,77,19,53,604,246,14,32,0,184,835,189,2253
MID SUSSEX,16,40,39,880,397,2,102,0,217,1398,319,3410
MIDDLESBROUGH,12,15,9,589,272,6,36,0,76,763,150,1928
MILTON KEYNES,30,106,80,1343,536,9,197,0,150,1957,544,4952
MOLE VALLEY,2,26,17,543,208,2,58,0,110,951,177,2094
MONMOUTHSHIRE,34,20,29,488,216,4,52,0,148,840,143,1974
NEATH PORT TALBOT,28,30,32,695,292,6,68,0,183,1087,167,2588
NEW FOREST,48,61,29,1033,585,9,75,0,156,1621,364,3981
NEWARK AND SHERWOOD,60,44,41,617,275,5,32,2,173,938,219,2406
NEWCASTLE UPON TYNE,38,60,39,1379,592,19,53,0,152,2160,328,4820
NEWCASTLE-UNDER-LYME,23,13,12,813,282,11,18,0,132,807,134,2245
NEWHAM,9,101,6,1053,726,7,101,0,147,2402,515,5067
NEWPORT,33,63,26,726,322,1,41,0,143,1191,172,2718
NORTH DEVON,55,30,22,642,254,11,42,0,152,855,163,2226
NORTH DORSET,35,15,28,330,149,3,51,0,91,541,122,1365
NORTH EAST DERBYSHIRE,33,13,23,478,202,4,30,0,109,694,111,1697
NORTH EAST LINCOLNSHIRE,27,17,41,866,408,8,60,0,102,1105,160,2794
NORTH HERTFORDSHIRE,48,38,10,688,332,0,52,1,122,1057,251,2599
NORTH KESTEVEN,55,29,59,599,274,3,45,3,169,927,185,2348
NORTH LINCOLNSHIRE,55,42,37,891,344,12,53,0,162,1152,224,2972
NORTH NORFOLK,81,24,50,595,297,5,57,0,207,883,206,2405
NORTH SOMERSET,44,94,36,1272,638,7,105,0,198,1776,405,4575
NORTH TYNESIDE,32,44,25,1252,547,9,44,1,108,1512,299,3873
NORTH WARWICKSHIRE,22,8,17,374,122,4,22,0,89,520,97,1275
NORTH WEST LEICESTERSHIRE,19,18,24,473,265,1,55,0,103,828,165,1951
NORTHAMPTON,31,40,34,1295,505,6,83,0,134,1794,367,4289
NORTHUMBERLAND,107,58,104,1999,675,30,101,0,338,2591,510,6513
NORWICH,15,19,12,613,300,6,40,0,96,1115,161,2377
NUNEATON AND BEDWORTH,12,32,21,651,297,5,31,0,76,842,191,2158
OADBY AND WIGSTON,12,8,6,247,112,0,13,0,33,375,54,860
OLDHAM,44,46,116,1023,455,12,50,0,218,1946,328,4238
OXFORD,13,43,7,564,265,8,26,0,105,1300,246,2577
PEMBROKESHIRE,64,16,44,611,329,6,54,0,233,1024,186,2567
PENDLE,21,8,12,463,217,10,13,0,147,683,125,1699
POOLE,39,68,14,875,450,8,43,0,67,1401,305,3270
PORTSMOUTH,40,53,14,1095,482,9,61,1,114,1738,340,3947
POWYS,124,15,56,662,250,8,44,0,234,1084,160,2637
PRESTON,19,15,8,669,291,10,35,0,124,1099,161,2431
PURBECK,20,22,8,224,118,2,20,0,60,351,88,913
READING,19,53,23,810,353,5,36,0,100,1602,223,3224
REDBRIDGE,35,61,12,1461,860,15,27,1,116,2445,426,5459
REDCAR AND CLEVELAND,27,18,21,720,328,7,52,0,87,1048,141,2449
REDDITCH,21,19,16,519,206,5,33,0,55,531,142,1547
REIGATE AND BANSTEAD,3,52,33,789,394,11,82,1,99,1304,296,3064
RHONDDA CYNON TAFF,101,38,67,1141,533,30,80,0,244,1952,224,4410
RIBBLE VALLEY,26,8,11,322,134,0,18,0,145,487,108,1259
RICHMOND UPON THAMES,5,114,18,1428,712,5,124,0,119,2307,425,5257
RICHMONDSHIRE,22,5,7,269,125,0,34,0,85,364,83,994
ROCHDALE,33,28,137,1122,423,11,39,0,147,1790,286,4016
ROCHFORD,21,14,11,472,228,0,12,0,87,608,107,1560
ROSSENDALE,36,2,26,369,152,8,15,0,138,722,92,1560
ROTHER,17,24,23,606,286,5,35,0,134,1312,211,2653
ROTHERHAM,30,59,48,1298,564,15,88,0,167,1797,333,4399
RUGBY,12,13,27,508,210,1,46,0,62,678,141,1698
RUNNYMEDE,5,21,9,555,249,4,17,0,76,820,202,1958
RUSHCLIFFE,28,42,26,1097,274,5,40,0,110,844,177,2643
RUSHMOOR,16,39,13,477,213,15,28,0,62,742,176,1781
RUTLAND,17,3,12,216,96,1,12,0,71,298,74,800
RYEDALE,40,9,19,322,157,0,35,0,84,400,67,1133
SALFORD,26,43,22,1108,519,20,45,0,177,2682,511,5153
SALISBURY,0,0,0,0,0,0,0,0,0,2,0,2
SANDWELL,23,47,60,1397,559,51,85,0,141,2094,361,4818
SCARBOROUGH,64,20,22,644,353,4,51,0,223,1036,158,2575
SEDGEMOOR,68,43,50,708,283,6,99,0,169,1032,218,2676
SEFTON,67,37,33,1379,590,16,55,0,174,1911,313,4575
SELBY,34,6,32,472,227,3,44,0,102,713,154,1787
SEVENOAKS,12,30,22,639,281,3,38,0,148,1142,216,2531
SHEFFIELD,83,106,81,2585,1193,24,130,0,509,4648,827,10186
SHEPWAY,8,39,16,619,283,9,31,0,97,1145,203,2450
SHROPSHIRE,157,35,101,1963,691,10,117,1,446,2524,512,6557
SLOUGH,9,38,29,549,266,7,55,0,90,1311,309,2663
SOLIHULL,18,37,50,1260,495,5,57,0,151,1622,292,3987
SOUTH BEDFORDSHIRE,0,0,0,0,0,0,0,0,1,0,0,1
SOUTH BUCKS,12,16,12,421,195,5,17,0,92,892,135,1797
SOUTH CAMBRIDGESHIRE,48,22,50,798,371,1,124,0,171,1260,285,3130
SOUTH DERBYSHIRE,29,11,57,591,249,7,41,0,108,727,145,1965
SOUTH GLOUCESTERSHIRE,62,115,60,1481,670,7,112,0,244,2011,440,5202
SOUTH HAMS,27,26,28,913,302,5,42,0,196,1012,233,2784
SOUTH HOLLAND,49,8,25,511,206,5,64,1,115,711,114,1809
SOUTH KESTEVEN,56,32,79,758,291,4,79,1,152,992,190,2634
SOUTH LAKELAND,46,20,46,641,318,7,42,0,192,1050,169,2531
SOUTH NORFOLK,58,16,71,678,295,7,78,0,177,1055,204,2639
SOUTH NORTHAMPTONSHIRE,52,14,22,474,236,2,27,1,87,665,172,1752
SOUTH OXFORDSHIRE,26,36,57,830,529,9,94,1,171,1322,324,3399
SOUTH RIBBLE,37,17,12,566,264,5,30,0,122,707,139,1899
SOUTH SOMERSET,67,49,57,853,441,4,100,0,224,1299,309,3403
SOUTH STAFFORDSHIRE,45,5,28,534,202,2,36,0,112,723,123,1810
SOUTH TYNESIDE,15,26,19,741,360,6,26,0,77,1080,179,2529
SOUTHAMPTON,58,98,18,1190,745,10,101,0,117,2532,662,5531
SOUTHEND-ON-SEA,31,27,9,985,504,9,47,0,92,1728,265,3697
SOUTHWARK,3,220,19,1659,701,10,218,0,200,3675,747,7452
SPELTHORNE,2,39,9,610,291,2,35,0,90,991,249,2318
ST ALBANS,22,53,14,863,416,3,65,0,128,1346,249,3159
ST EDMUNDSBURY,48,27,21,570,299,3,35,0,182,816,188,2189
ST HELENS,42,26,39,845,393,10,52,0,155,1334,209,3105
STAFFORD,47,13,28,753,327,5,35,0,166,931,169,2474
STAFFORDSHIRE MOORLANDS,76,6,22,569,223,6,20,0,125,686,119,1852
STEVENAGE,4,21,14,373,156,3,22,0,34,471,159,1257
STOCKPORT,24,41,16,1475,697,11,51,0,269,2318,437,5339
STOCKTON-ON-TEES,13,25,30,929,468,11,68,0,117,1397,277,3335
STOKE-ON-TRENT,26,40,33,1344,573,10,42,0,172,1966,312,4518
STRATFORD-ON-AVON,38,22,49,825,344,3,58,0,157,1184,262,2942
STROUD,37,26,49,808,256,4,37,0,142,922,186,2467
SUFFOLK COASTAL,105,20,59,679,297,4,48,0,230,992,202,2636
SUNDERLAND,22,26,54,1359,526,16,45,0,190,2036,413,4687
SURREY HEATH,2,18,23,518,254,6,39,0,134,894,211,2099
SUTTON,3,59,9,1004,449,4,80,0,70,1525,312,3515
SWALE,9,43,37,791,366,4,45,0,153,1261,264,2973
SWANSEA,62,87,59,1309,524,9,85,0,254,1800,269,4458
SWINDON,132,64,53,1129,501,13,96,0,131,1546,355,4020
TAMESIDE,20,39,35,1647,406,19,59,0,181,1709,310,4425
TAMWORTH,11,16,8,493,185,4,13,0,46,502,89,1367
TANDRIDGE,4,38,79,537,240,1,25,0,79,856,193,2052
TAUNTON DEANE,29,20,47,605,281,2,73,0,122,864,210,2253
TEIGNBRIDGE,24,54,20,868,386,10,76,0,157,1197,247,3039
TENDRING,62,27,23,652,308,4,39,0,242,1021,189,2567
TEST VALLEY,33,30,33,609,297,9,79,0,136,995,240,2461
TEWKESBURY,21,18,47,558,223,4,67,0,90,616,165,1809
THANET,11,37,10,700,354,13,20,0,83,1240,260,2728
THE VALE OF GLAMORGAN,31,25,29,666,306,4,37,0,117,1017,166,2398
THREE RIVERS,23,23,29,491,212,5,44,0,53,743,174,1797
THURROCK,11,37,22,832,373,4,43,0,134,1673,296,3425
TONBRIDGE AND MALLING,18,21,42,697,327,7,48,0,127,1101,242,2630
TORBAY,17,43,21,807,339,11,31,0,105,1153,227,2754
TORFAEN,19,27,11,445,182,11,36,0,78,727,390,1926
TORRIDGE,37,21,33,498,199,11,46,0,121,584,101,1651
TOWER HAMLETS,5,310,109,1671,800,7,309,0,257,4961,1054,9483
TRAFFORD,29,39,23,1227,616,6,93,0,171,2140,452,4796
TUNBRIDGE WELLS,3,37,18,739,327,3,40,0,173,1417,261,3018
UTTLESFORD,27,21,48,444,216,10,61,1,178,740,151,1897
VALE OF WHITE HORSE,12,20,34,715,481,7,69,0,125,1102,258,2823
WAKEFIELD,55,49,62,1610,634,24,111,0,225,2395,382,5547
WALSALL,26,58,43,1304,527,9,96,0,164,1608,297,4132
WALTHAM FOREST,13,76,18,1057,615,14,51,1,125,2552,371,4893
WANDSWORTH,2,229,23,2341,1219,11,204,0,174,4570,952,9725
WARRINGTON,33,66,31,1144,494,13,121,0,194,1727,312,4135
WARWICK,17,33,22,761,342,4,38,0,143,1278,228,2866
WATFORD,18,40,19,493,221,5,58,0,53,936,206,2049
WAVENEY,65,13,17,572,234,7,24,0,139,819,141,2031
WAVERLEY,12,186,24,793,382,6,54,0,168,1441,276,3342
WEALDEN,50,30,69,905,423,5,110,1,256,1726,317,3892
WELLINGBOROUGH,24,7,11,322,145,4,25,1,77,539,129,1284
WELWYN HATFIELD,16,31,28,484,208,5,26,0,84,974,186,2042
WEST BERKSHIRE,16,35,17,964,447,6,49,0,173,1467,349,3523
WEST DEVON,30,14,21,326,195,2,19,0,127,551,94,1379
WEST DORSET,35,23,18,555,264,2,31,0,173,938,218,2257
WEST LANCASHIRE,25,12,33,510,273,5,28,0,125,778,114,1903
WEST LINDSEY,31,15,36,478,206,7,44,0,113,595,88,1613
WEST OXFORDSHIRE,33,31,27,636,324,12,41,0,143,1054,260,2561
WEST SOMERSET,20,5,20,195,81,2,9,0,75,341,68,816
WEYMOUTH AND PORTLAND,8,12,11,350,169,0,24,0,46,474,78,1172
WIGAN,79,34,29,1418,640,19,59,0,357,2428,409,5472
WILTSHIRE,176,106,162,2421,1095,27,251,1,532,3476,765,9012
WINCHESTER,39,34,36,613,309,3,53,0,154,1229,283,2753
WINDSOR AND MAIDENHEAD,19,45,22,888,416,10,62,1,169,1636,325,3593
WIRRAL,38,55,66,1681,730,18,58,0,240,2512,349,5747
WOKING,4,33,12,547,255,1,49,0,97,1081,270,2349
WOKINGHAM,11,40,39,993,450,16,38,0,142,1482,326,3537
WOLVERHAMPTON,61,36,26,904,410,7,54,0,197,1557,310,3562
WORCESTER,39,30,47,771,249,3,42,0,116,792,154,2243
WREKIN,22,42,78,1214,356,6,98,1,140,1386,250,3593
WORTHING,13,62,13,683,300,2,27,0,58,1120,227,2505
WREXHAM,45,22,37,582,207,4,31,0,146,899,124,2097
WYCHAVON,69,20,38,1164,285,0,43,0,200,1034,231,3084
WYCOMBE,51,39,47,837,390,10,48,0,225,1673,341,3661
WYRE,44,5,11,531,230,8,17,1,120,897,144,2008
WYRE FOREST,40,14,26,483,195,6,29,0,123,597,120,1633
YORK,61,30,17,1046,483,7,57,0,191,1233,231,3356
