DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,SHAYLOR CONSTRUCTION LTD,3883327,178846.8
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Gas,COFATHEC ENERGY PFI LTD,3883444,177678.25
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3880862,176240.4
Ministry of Justice,National Offender Management Service,09/02/2011,MoJ ICT,Contract IT Maintenance,SUNGARD PUBLIC SECTOR LTD,3845472,173975
Ministry of Justice,National Offender Management Service,09/02/2011,MoJ ICT,Contract IT Maintenance,SUNGARD PUBLIC SECTOR LTD,3881183,173975
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3883751,160850.87
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3883826,149847.6
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3832526,148398.98
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3884291,147000
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,Consultancy,FAITHFUL + GOULD,3833234,136646.62
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3884282,128734.8
Ministry of Justice,National Offender Management Service,09/02/2011,Pentonville,Gas,COFATHEC ENERGY PFI LTD,3882829,127767.25
Ministry of Justice,National Offender Management Service,09/02/2011,Feltham,"New structural works, structural maintenance and equipment",ARK BUILD PLC,3882527,113081.51
Ministry of Justice,National Offender Management Service,09/02/2011,New Hall,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3882781,98420.76
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3880863,95557.2
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,CARILLION JM LIMITED,3884393,89082
Ministry of Justice,National Offender Management Service,09/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3882765,87428.99
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,KIER REGIONAL LTD,3883328,76262.4
Ministry of Justice,National Offender Management Service,09/02/2011,South East DOMS Office,Contracted-out Probation Trusts,KENT PROBATION TRUST,3882885,65545
Ministry of Justice,National Offender Management Service,09/02/2011,Gloucester,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3882199,58260.66
Ministry of Justice,National Offender Management Service,09/02/2011,Offender Safety Rights and Responsibilities Group,Secondments,NHS BUSINESS SERVICES AUTHORITY,3880655,44797
Ministry of Justice,National Offender Management Service,09/02/2011,ROM - Yorkshire & Humberside,Contracted-out Resettlement Services,SHELTER,3884040,37711.54
Ministry of Justice,National Offender Management Service,09/02/2011,Preston,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3883163,37194.76
Ministry of Justice,National Offender Management Service,09/02/2011,Woodhill,Electricity,EDF ENERGY,3885689,33989.38
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3884290,33000
Ministry of Justice,National Offender Management Service,09/02/2011,Channings Wood,Contracted-out Probation Trusts,DEVON AND CORNWALL PROBATION TRUST,3883955,30878.79
Ministry of Justice,National Offender Management Service,09/02/2011,Littlehey,Electricity,EDF ENERGY,3884957,28616.17
Ministry of Justice,National Offender Management Service,09/02/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3883324,26080.8
Ministry of Justice,National Offender Management Service,09/02/2011,Wandsworth,Pin Phone Suspense,BT PAYPHONES,3884614,25223.7
Ministry of Justice,National Offender Management Service,09/02/2011,Wealstun,Water and Sewage,YORKSHIRE WATER SERVICES LTD,3885405,25016.49
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3881541,-27086.71
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3881597,-28536.9
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3881593,-29054.52
Ministry of Justice,National Offender Management Service,09/02/2011,Kirkham,Water and Sewage,UNITED UTILITIES WATER PLC,3881521,-32030.83
Ministry of Justice,National Offender Management Service,10/02/2011,London DOMS Office,Contracted-out Probation Boards,LONDON PROBATION TRUST,3880199,12000000
Ministry of Justice,National Offender Management Service,10/02/2011,West Midlands DOMS Office,Funding payments to Probation Boards,STAFFORDSHIRE AND WEST MIDLANDS PROBATION TRUST,3880897,5100000
Ministry of Justice,National Offender Management Service,10/02/2011,Greater Manchester Probation Trust,Contracted-out Probation Trusts,GREATER MANCHESTER PROBATION TRUST,3878820,4796750
Ministry of Justice,National Offender Management Service,10/02/2011,Merseyside Probation Trust,Contracted-out Probation Trusts,MERSEYSIDE PROBATION TRUST,3882925,3804000
Ministry of Justice,National Offender Management Service,10/02/2011,South Yorkshire Probation Trust,Contracted-out Probation Trusts,SOUTH YORKSHIRE PROBATION TRUST,3880339,2118487.84
Ministry of Justice,National Offender Management Service,10/02/2011,Lowdham Grange,Contracted-out operation of prisons and detention centres,LOWDHAM GRANGE PRISON SERVICES LTD,3877294,1819663.49
Ministry of Justice,National Offender Management Service,10/02/2011,Nottinghamshire Probation Trust,Contracted-out Probation Trusts,NOTTINGHAMSHIRE PROBATION TRUST,3880814,1549200
Ministry of Justice,National Offender Management Service,10/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3880311,1350455.08
Ministry of Justice,National Offender Management Service,10/02/2011,Leicestershire Probation Trust,Contracted-out Probation Trusts,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3880365,1254875
Ministry of Justice,National Offender Management Service,10/02/2011,Peterborough,Contracted-out operation of prisons and detention centres,PETERBOROUGH PRISON MANAGEMENT LTD,3880531,1188321.45
Ministry of Justice,National Offender Management Service,10/02/2011,Estates Capacity,WIP - Acquisitions,BRIDGEND CUSTODIAL SERVICES LTD,3876366,1067090.4
Ministry of Justice,National Offender Management Service,10/02/2011,Estates Capacity,WIP - Acquisitions,KIER NORTHERN,3883747,1048582.8
Ministry of Justice,National Offender Management Service,10/02/2011,Cheshire Probation Trust,Contracted-out Probation Trusts,CHESHIRE PROBATION TRUST,3878641,1000000
Ministry of Justice,National Offender Management Service,10/02/2011,Procurement Group,Contract IT Maintenance,STERIA LTD,3880440,977590.69
Ministry of Justice,National Offender Management Service,10/02/2011,West Midlands DOMS Office,Funding payments to Probation Boards,WARWICKSHIRE PROBATION TRUST,3882456,800000
Ministry of Justice,National Offender Management Service,10/02/2011,Lincolnshire Probation Trust,Contracted-out Probation Trusts,LINCOLNSHIRE PROBATION TRUST,3881128,748566
Ministry of Justice,National Offender Management Service,10/02/2011,Estates Capacity,WIP - Acquisitions,ISG REGIONS LTD,3883559,137385.6
Ministry of Justice,National Offender Management Service,10/02/2011,Deerbolt,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3886714,126810.41
Ministry of Justice,National Offender Management Service,10/02/2011,Drake Hall,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3812412,87844.89
Ministry of Justice,National Offender Management Service,10/02/2011,Preston,Gas,COFATHEC ENERGY PFI LTD,3882820,85291.09
Ministry of Justice,National Offender Management Service,10/02/2011,HOPS Payroll Charge,Subsistence,CALDER CONFERENCE,3886749,82508.49
Ministry of Justice,National Offender Management Service,10/02/2011,Dartmoor,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3886207,82116.17
Ministry of Justice,National Offender Management Service,10/02/2011,Parc,Contracted-out operation of prisons and detention centres,BRIDGEND CUSTODIAL SERVICES LTD,3876800,77531
Ministry of Justice,National Offender Management Service,10/02/2011,Hull,Electricity,WILTS WHOLESALE ELECTRICAL CO LTD,3872475,74959.96
Ministry of Justice,National Offender Management Service,10/02/2011,Isle of Wight,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3886209,74838.4
Ministry of Justice,National Offender Management Service,10/02/2011,MOJ Project & ATOS,Legal Representation,SIMMONS & SIMMONS,3880505,72483.53
Ministry of Justice,National Offender Management Service,10/02/2011,Pentonville,Counselling & Advisory Costs,R A P T,3886753,62531.4
Ministry of Justice,National Offender Management Service,10/02/2011,Blundeston,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3886709,61063.37
Ministry of Justice,National Offender Management Service,10/02/2011,Lewes,Gas,COFATHEC ENERGY SERVICES UK LTD,3886212,59947.69
Ministry of Justice,National Offender Management Service,10/02/2011,Chelmsford,Other Fuels,COFATHEC ENERGY SERVICES UK LTD,3886707,53453.38
Ministry of Justice,National Offender Management Service,10/02/2011,Wandsworth,Counselling & Advisory Costs,R A P T,3886762,52356.6
Ministry of Justice,National Offender Management Service,10/02/2011,Isle of Wight,Contracted-out Other Services,COFATHEC ENERGY SERVICES UK LTD,3886208,51921.9
Ministry of Justice,National Offender Management Service,10/02/2011,Holloway,Contracted-out Visitor's Centres,PRISON ADVICE & CARE TRUST (P A C T),3794186,47073
Ministry of Justice,National Offender Management Service,10/02/2011,Holloway,Counselling & Advisory Costs,R A P T,3886743,37644.65
Ministry of Justice,National Offender Management Service,10/02/2011,Styal,Counselling & Advisory Costs,LIFELINE PROJECT,3883959,36247.54
Ministry of Justice,National Offender Management Service,10/02/2011,Bullingdon,Counselling & Advisory Costs,R A P T,3886771,35600
Ministry of Justice,National Offender Management Service,10/02/2011,Wormwood Scrubs,Counselling & Advisory Costs,R A P T,3886770,34838.3
Ministry of Justice,National Offender Management Service,10/02/2011,Glen Parva,Contracted-out Probation Trusts,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3880160,33952.64
Ministry of Justice,National Offender Management Service,10/02/2011,Forest Bank,Contracted-out operation of prisons and detention centres,AGECROFT PRISON MANAGEMENT LTD,3885323,33705.09
Ministry of Justice,National Offender Management Service,10/02/2011,Highdown,Counselling & Advisory Costs,R A P T,3886741,32608
Ministry of Justice,National Offender Management Service,10/02/2011,Sheppey Clustered Services,Counselling & Advisory Costs,R A P T,3886726,29783
Ministry of Justice,National Offender Management Service,10/02/2011,Liverpool,Counselling & Advisory Costs,LIFELINE PROJECT,3883958,29220
Ministry of Justice,National Offender Management Service,10/02/2011,Ashwell,Contracted-out Probation Trusts,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3743986,25091.43
Ministry of Justice,National Offender Management Service,11/02/2011,Estates Capacity,WIP - Acquisitions,WATES CONSTRUCTION LTD,3884478,3134258.88
Ministry of Justice,National Offender Management Service,11/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3880527,2253655.13
Ministry of Justice,National Offender Management Service,11/02/2011,Dovegate,Contracted-out operation of prisons and detention centres,MORETON PRISON SERVICES LTD,3877201,2182209.78
Ministry of Justice,National Offender Management Service,11/02/2011,Avon and Somerset Probation Trust,Contracted-out Probation Trusts,AVON AND SOMERSET PROBATION TRUST,3883785,1682731
Ministry of Justice,National Offender Management Service,11/02/2011,Essex Probation Trust,Contracted-out Probation Trusts,ESSEX PROBATION TRUST,3877781,1587710.43
Ministry of Justice,National Offender Management Service,11/02/2011,South East DOMS Office,Contracted-out Probation Trusts,SURREY & SUSSEX PROBATION TRUST,3878639,1500000
Ministry of Justice,National Offender Management Service,11/02/2011,West Midlands DOMS Office,Funding payments to Probation Boards,WEST MERCIA PROBATION TRUST,3878816,1217930
Ministry of Justice,National Offender Management Service,11/02/2011,Hertfordshire Probation Trust,Contracted-out Probation Trusts,HERTFORDSHIRE PROBATION TRUST,3880362,941842.74
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3834816,688368
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3888632,688368
Ministry of Justice,National Offender Management Service,11/02/2011,Wiltshire Probation Trust,Contracted-out Probation Trusts,WILTSHIRE PROBATION TRUST,3882965,637992
Ministry of Justice,National Offender Management Service,11/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875288,553778.5
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3888634,428110
Ministry of Justice,National Offender Management Service,11/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales,EXEL EUROPE1 LTD,3882514,383158.44
Ministry of Justice,National Offender Management Service,11/02/2011,Chief Operating Officers Office,Electricity,COFATHEC ENERGY PFI LTD,3868317,272849.1
Ministry of Justice,National Offender Management Service,11/02/2011,Chief Operating Officers Office,Prison Shop Cost of Sales (No VAT),EXEL EUROPE1 LTD,3882514,207907.5
Ministry of Justice,National Offender Management Service,11/02/2011,Estates Capacity,WIP - Acquisitions,HENRY BOOT CONSTRUCTION (U K) LTD,3882422,150121.2
Ministry of Justice,National Offender Management Service,11/02/2011,Sheppey Clustered Services,Other - Acquisitions,FALCON FOODSERVICE EQUIPMENT,3872613,142299.6
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3888630,92352
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),3834817,92352
Ministry of Justice,National Offender Management Service,11/02/2011,North East DOMS Office,Contracted-out Resettlement Services,ESCAPE FAMILY SUPPORT,3888754,88714
Ministry of Justice,National Offender Management Service,11/02/2011,Estates Capacity,WIP - Acquisitions,CRISPIN & BORST LTD,3811659,84539.36
Ministry of Justice,National Offender Management Service,11/02/2011,MoJ ICT,Inter-Unit Charge (IUC),HP ENTERPRISE SERVICES UK LTD,3873617,80895.47
Ministry of Justice,National Offender Management Service,11/02/2011,Procurement Group,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3803784,75891.38
Ministry of Justice,National Offender Management Service,11/02/2011,Channings Wood,Contracted-out Library,DEVON COUNTY COUNCIL,3862386,57354.96
Ministry of Justice,National Offender Management Service,11/02/2011,Coldingley,"New structural works, structural maintenance and equipment",PRINCEBUILD,3881206,53898.06
Ministry of Justice,National Offender Management Service,11/02/2011,Wakefield,WIP - Acquisitions,ACTIVE ENERGY LTD,3833028,49782.4
Ministry of Justice,National Offender Management Service,11/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3880519,49391.36
Ministry of Justice,National Offender Management Service,11/02/2011,Estates Capacity,WIP - Acquisitions,CALEDONIAN BUILDING SYSTEMS,3888363,40926
Ministry of Justice,National Offender Management Service,11/02/2011,Whitemoor,"New structural works, structural maintenance and equipment",FOLKNOLL SERVICES,3862425,33506.4
Ministry of Justice,National Offender Management Service,11/02/2011,NOMIS Programme,Contract IT Maintenance,SAP (UK) LTD,3441118,33000
Ministry of Justice,National Offender Management Service,11/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3880520,28696.64
Ministry of Justice,National Offender Management Service,11/02/2011,MoJ ICT,Contract IT Maintenance,SUNGARD PUBLIC SECTOR LTD,3888462,26976.27
Ministry of Justice,National Offender Management Service,11/02/2011,Hewell,Contracted-out Catering Services,ARAMARK LTD,3888728,26573.48
Ministry of Justice,National Offender Management Service,11/02/2011,Wayland,Contracted-out Probation Trusts,NORFOLK AND SUFFOLK PROBATION TRUST,3888140,25106.85
Ministry of Justice,National Offender Management Service,11/02/2011,MOJ Shared Services NOMS Delivery,Rates and Ground Rents,CYNCOED PROPERTY (CARDIFF) LTD,,-30550
Ministry of Justice,National Offender Management Service,11/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3857344,-87428.99
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),,-92352
Ministry of Justice,National Offender Management Service,11/02/2011,Bronzefield,Contracted-out operation of prisons and detention centres,ASHFORD PRISON SERVICES LIMITED,3880525,-111596
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),,-428110
Ministry of Justice,National Offender Management Service,11/02/2011,National Operations Group,Contracted-out Other Services,HOME GROUP LTD (STONHAM),,-688368
Ministry of Justice,National Offender Management Service,14/02/2011,West Yorkshire Probation Trust,Contracted-out Probation Trusts,WEST YORKSHIRE PROBATION TRUST,3876962,3535080
Ministry of Justice,National Offender Management Service,14/02/2011,Forest Bank,Contracted-out operation of prisons and detention centres,AGECROFT PRISON MANAGEMENT LTD,3885396,2861893.85
Ministry of Justice,National Offender Management Service,14/02/2011,Northumbria Probation Trust,Contracted-out Probation Trusts,NORTHUMBRIA PROBATION TRUST,3886385,2373667
Ministry of Justice,National Offender Management Service,14/02/2011,South East DOMS Office,Contracted-out Probation Trusts,HAMPSHIRE PROBATION TRUST,3879915,2094000
Ministry of Justice,National Offender Management Service,14/02/2011,South East DOMS Office,Contracted-out Probation Trusts,KENT PROBATION TRUST,3883673,2000000
Ministry of Justice,National Offender Management Service,14/02/2011,Lancashire Probation Trust,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3888079,2000000
Ministry of Justice,National Offender Management Service,14/02/2011,Devon and Cornwall Probation Trust,Contracted-out Probation Trusts,DEVON AND CORNWALL PROBATION TRUST,3883781,1607486
Ministry of Justice,National Offender Management Service,14/02/2011,Humberside Probation Trust,Contracted-out Probation Trusts,HUMBERSIDE PROBATION TRUST,3881182,1526821.17
Ministry of Justice,National Offender Management Service,14/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875290,988796.48
Ministry of Justice,National Offender Management Service,14/02/2011,York and North Yorkshire Probation Trust,Contracted-out Probation Trusts,YORK AND NORTH YORKSHIRE PROBATION TRUST,3876963,826501
Ministry of Justice,National Offender Management Service,14/02/2011,Bedfordshire Probation Trust,Contracted-out Probation Trusts,BEDFORDSHIRE PROBATION TRUST,3880652,796861.14
Ministry of Justice,National Offender Management Service,14/02/2011,Dorset Probation Trust,Contracted-out Probation Trusts,DORSET PROBATION TRUST,3879260,625073
Ministry of Justice,National Offender Management Service,14/02/2011,MoJ ICT,Contract IT Maintenance,SUNGARD PUBLIC SECTOR LTD,3888460,173975
Ministry of Justice,National Offender Management Service,14/02/2011,NOMS ICT,Contract IT Maintenance,TIBCO SOFTWARE LTD,3887601,133488
Ministry of Justice,National Offender Management Service,14/02/2011,Chief Operating Officers Office,"Prisoner Compensation over œ5,000",TREASURY SOLICITORS,3888751,126719.15
Ministry of Justice,National Offender Management Service,14/02/2011,Hull,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3882782,91823.53
Ministry of Justice,National Offender Management Service,14/02/2011,Area Services,Resource Grants / Grant-in-Aid,DEPAUL,3891103,80000
Ministry of Justice,National Offender Management Service,14/02/2011,Procurement Group,Specialist Contractors,CAPGEMINI UK PLC,3890197,52800
Ministry of Justice,National Offender Management Service,14/02/2011,Durham,Contracted-out Probation Trusts,DURHAM TEES VALLEY PROBATION TRUST,3883725,46393.49
Ministry of Justice,National Offender Management Service,14/02/2011,MoJ ICT,Contract IT Maintenance,TRIBAL CONSULTING,3890844,42375
Ministry of Justice,National Offender Management Service,14/02/2011,Lancaster Farms,Other - Acquisitions,FALCON FOODSERVICE EQUIPMENT,3889014,42117.6
Ministry of Justice,National Offender Management Service,14/02/2011,MoJ ICT,Secondments,GREATER MANCHESTER PROBATION TRUST,3891048,37877.86
Ministry of Justice,National Offender Management Service,14/02/2011,Bure,Contracted-out Probation Boards,NORFOLK AND SUFFOLK PROBATION TRUST,3888138,36864.13
Ministry of Justice,National Offender Management Service,14/02/2011,Wormwood Scrubs,Contracted-out Probation Boards,LONDON PROBATION TRUST,3811930,33392.08
Ministry of Justice,National Offender Management Service,14/02/2011,Wormwood Scrubs,Contracted-out Probation Boards,LONDON PROBATION TRUST,3844416,32194.66
Ministry of Justice,National Offender Management Service,14/02/2011,Cookham Wood,Buildings - Acquisitions,F C Y PLC,3880502,30471.6
Ministry of Justice,National Offender Management Service,14/02/2011,Wayland,Counselling & Advisory Costs,PHOENIX FUTURES,3890899,25084
Ministry of Justice,National Offender Management Service,15/02/2011,Wales Probation Trust,Contracted-out Probation Trusts,WALES PROBATION TRUST,3877556,4548418
Ministry of Justice,National Offender Management Service,15/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3872118,182042.53
Ministry of Justice,National Offender Management Service,15/02/2011,Wealstun,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3844519,169310.65
Ministry of Justice,National Offender Management Service,15/02/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3892367,121306.66
Ministry of Justice,National Offender Management Service,15/02/2011,HOPS Payroll Charge,Travel - Non-Taxable,CARLSON WAGONLIT TRAVEL,3892681,98891.11
Ministry of Justice,National Offender Management Service,15/02/2011,Rehabilitation Services Group,Professional Advice,ROYAL COLLEGE OF PSYCHIATRISTS (THE),3891004,75000
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3892626,70986.24
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3858657,66942.72
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,3892627,63348.48
Ministry of Justice,National Offender Management Service,15/02/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3892369,61482.85
Ministry of Justice,National Offender Management Service,15/02/2011,Bristol,"Staff Compensation over œ5,000",TREASURY SOLICITORS,3891045,56225.46
Ministry of Justice,National Offender Management Service,15/02/2011,TSS Kent and Sussex,"New structural works, structural maintenance and equipment",DOWNFAST DEMOLITION & SALVAGE LTD,3880808,55866.08
Ministry of Justice,National Offender Management Service,15/02/2011,East of England Regional NOMS Office,"New structural works, structural maintenance and equipment",DELTA DESIGN SYSTEMS LTD,3871525,53904.18
Ministry of Justice,National Offender Management Service,15/02/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3892368,53768.43
Ministry of Justice,National Offender Management Service,15/02/2011,TSS Kent and Sussex,General Maintenance Materials,DOWNFAST DEMOLITION & SALVAGE LTD,3880808,53024.8
Ministry of Justice,National Offender Management Service,15/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3872119,48094.17
Ministry of Justice,National Offender Management Service,15/02/2011,Holme House,Inter-Unit Charge (IUC),ESS SUPPORT SERVICES WORLDWIDE,3880504,42319.28
Ministry of Justice,National Offender Management Service,15/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3873710,40999.8
Ministry of Justice,National Offender Management Service,15/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3873655,38852
Ministry of Justice,National Offender Management Service,15/02/2011,MOJ Shared Services NOMS Delivery,"Contracted-out Reprographic, Photographic, Design and Printing Services",ST IVES DIRECT LTD,3835335,38649.37
Ministry of Justice,National Offender Management Service,15/02/2011,Preston,Contracted-out Probation Trusts,LANCASHIRE PROBATION TRUST,3835259,37999.33
Ministry of Justice,National Offender Management Service,15/02/2011,Hewell,Contracted-out Catering Services,ARAMARK LTD,3870021,35508.79
Ministry of Justice,National Offender Management Service,15/02/2011,Yorks & Humberside Estate Management,"New structural works, structural maintenance and equipment",HALL CONSTRUCTION GROUP LTD,3892287,30445.2
Ministry of Justice,National Offender Management Service,15/02/2011,Quantum,Contracted-out Other Services,HP ENTERPRISE SERVICES UK LTD,3873186,29889.01
Ministry of Justice,National Offender Management Service,15/02/2011,Thorn Cross,Water and Sewage,UNITED UTILITIES WATER PLC,3892395,28737.17
Ministry of Justice,National Offender Management Service,15/02/2011,Norwich,Contracted-out Probation Trusts,NORFOLK AND SUFFOLK PROBATION TRUST,3888219,28080.54
Ministry of Justice,National Offender Management Service,15/02/2011,Woodhill,Contracted-out Catering Services,ARAMARK LTD,3881245,26134.03
Ministry of Justice,National Offender Management Service,15/02/2011,Isle of Wight,Counselling & Advisory Costs,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3891601,25562.36
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS Cymru Regional Services,Counselling & Advisory Costs,WALES PROBATION TRUST,3877555,25062.2
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,,-74434.47
Ministry of Justice,National Offender Management Service,15/02/2011,NOMS CFO,Contracted-out Resettlement Services,MERSEYSIDE PROBATION TRUST,,-83408.83
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,Contract IT Maintenance,HP ENTERPRISE SERVICES UK LTD,3864351,956479.05
Ministry of Justice,National Offender Management Service,16/02/2011,MOJ Shared Services NOMS Delivery,Intangibles - Additions,ORACLE CORPORATION U K LTD,3834116,852571.56
Ministry of Justice,National Offender Management Service,16/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3892359,710471.33
Ministry of Justice,National Offender Management Service,16/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875286,692900.38
Ministry of Justice,National Offender Management Service,16/02/2011,Quantum,Contracted-out Computer Services,HP ENTERPRISE SERVICES UK LTD,3872113,602708
Ministry of Justice,National Offender Management Service,16/02/2011,Estates Capacity,WIP - Acquisitions,BRIDGEND CUSTODIAL SERVICES LTD,3876367,437472
Ministry of Justice,National Offender Management Service,16/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3890176,419060.4
Ministry of Justice,National Offender Management Service,16/02/2011,Newday ESF,Contracted-out Resettlement Services,WORKING LINKS,3833656,253145.45
Ministry of Justice,National Offender Management Service,16/02/2011,MoJ ICT,WIP - Acquisitions,HP ENTERPRISE SERVICES UK LTD,3894285,194458.8
Ministry of Justice,National Offender Management Service,16/02/2011,Prisoner Escort & Custody Service (PECS),Contracted-out Escorts,G4S CARE & JUSTICE SERVICES LTD,3875284,177495.1
Ministry of Justice,National Offender Management Service,16/02/2011,Estates Capacity,WIP - Acquisitions,VINCI CONSTRUCTION UK LTD,3893234,167160
Ministry of Justice,National Offender Management Service,16/02/2011,Chief Operating Officers Office,"Prisoner Compensation over œ5,000",TREASURY SOLICITORS,3895135,150000
Ministry of Justice,National Offender Management Service,16/02/2011,Wealstun,Contracted-out Other Services,COFATHEC ENERGY PFI LTD,3812414,117927.58
Ministry of Justice,National Offender Management Service,16/02/2011,Estates Capacity,WIP - Acquisitions,INTERSERVE PROJECT SERVICES LTD,3894963,81602.08
Ministry of Justice,National Offender Management Service,16/02/2011,Public Protection and Mental Health Group,Contracted-out Other Services,UNIVERSITY OF NEWCASTLE-UPON-TYNE,3874355,73471.58
