Name of Official,Mode of Travel,Date of Departure/Hotel check in date,Duration of Stay,Destination,City of Accommodation (if different to destination),Class of Travel,Base Sales including Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,5/2/2013,2,,,STANDARD                ,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,5/2/2013,2,,,STANDARD                ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,5/2/2013,2,,,STANDARD                ,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,5/23/2013,2,,,STANDARD                ,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,5/23/2013,2,,,STANDARD                ,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/11/2013,1,Berlin Germa,,DISCOUNT ECONOMY         ,188.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/11/2013,1,Munich,,DISCOUNT ECONOMY         ,119.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/12/2013,1,London Heathrow Airport,,DISCOUNT ECONOMY         ,346.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/13/2013,1,Luxembourg,,DISCOUNT ECONOMY         ,209.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/14/2013,1,London Heathrow Airport,,DISCOUNT ECONOMY         ,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,AIR,6/15/2013,1,London City,,ECONOMY                  ,373.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,RAIL,6/20/2013,2,,,STANDARD                ,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,HOTEL,,2,,BRUSSELS,,84.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,HOTEL,,2,,BRUSSELS,,96.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,HOTEL,,2,,BRUSSELS,,127.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,HOTEL,,2,,BRUSSELS,,136.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROST/DAVID MR,HOTEL,,2,,BRUSSELS,,153.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILTON/MATTHEW MR,AIR,4/21/2013,3,Dublin,,ECONOMY                  ,88.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILTON/MATTHEW MR,AIR,5/19/2013,7,Dulles,,DISCOUNT ECONOMY         ,784.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY/BERNADETTE MS,AIR,6/26/2013,3,Vilnius,,ECONOMY                  ,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY/BERNADETTE MS,AIR,6/26/2013,3,Vilnius,,ECONOMY                  ,199.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDAY/JANICE MS,AIR,4/3/2013,5,Munich,,DISCOUNT ECONOMY         ,287.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODGERS/ANTHONY MR,AIR,4/17/2013,1,London Stansted,,DISCOUNT ECONOMY         ,220.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODGERS/ANTHONY MR,AIR,4/17/2013,1,Duesseldorf,,DISCOUNT ECONOMY         ,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODGERS/ANTHONY MR,AIR,4/17/2013,1,Duesseldorf,,DISCOUNT ECONOMY         ,151.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERKINS/JOHN PROF,AIR,6/20/2013,2,Brussels,,DISCOUNT ECONOMY         ,278.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERKINS/JOHN PROF,RAIL,6/25/2013,1,,,STANDARD                ,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERKINS/JOHN PROF,AIR,6/26/2013,1,Manchester,,DISCOUNT ECONOMY         ,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROWLATT/AMANDA MRS,RAIL,5/2/2013,1,,,STANDARD                ,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,AIR,4/2/2013,1,Da Vinci,,DISCOUNT ECONOMY         ,301.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,AIR,4/7/2013,1,London Gatwick Airport,,ECONOMY                  ,175.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,AIR,5/7/2013,1,Da Vinci,,DISCOUNT ECONOMY         ,292.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,AIR,5/10/2013,1,London Gatwick Airport,,ECONOMY                  ,89.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,AIR,6/11/2013,1,Brussels,,DISCOUNT ECONOMY         ,127.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDBYTHOMAS/RACHEL MS,RAIL,6/11/2013,1,,,STANDARD                ,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH/CERI MR,AIR,5/13/2013,2,Vilnius,,ECONOMY                  ,440.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURNOCK/GRAHAM MR,RAIL,4/22/2013,2,,,STANDARD PREMIER        ,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURNOCK/GRAHAM MR,HOTEL,,3,,Strasbourg,,303.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
