Date,Supplier Name,Transaction Amount
30/10/2013,BRITISH AIRWAYS UK BSP,£572.56
30/10/2013,BRITISH AIRWAYS UK BSP,£836.17
30/10/2013,BRITISH AIRWAYS UK BSP,"£2,731.00"
30/10/2013,BRITISH AIRWAYS UK BSP,£520.55
30/10/2013,BRITISH AIRWAYS UK BSP,£836.17
31/10/2013,BRITISH AIRWAYS UK BSP,£803.68
31/10/2013,BRITISH AIRWAYS UK BSP,£803.68
31/10/2013,BRITISH AIRWAYS UK BSP,£803.68
31/10/2013,BRITISH AIRWAYS UK BSP,£611.80
31/10/2013,BRITISH AIRWAYS UK BSP,£843.00
31/10/2013,BRITISH AIRWAYS UK BSP,£769.04
31/10/2013,BRITISH AIRWAYS UK BSP,"£1,169.93"
31/10/2013,BRITISH AIRWAYS UK BSP,£577.66
08/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£939.80
08/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£612.80
15/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,"£1,061.70"
17/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£806.60
23/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,"£1,613.80"
23/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£958.30
24/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£607.70
25/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£954.30
28/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£958.70
29/10/2013,BRUSSELS AIRLINES DIRECT SALES GBP,£765.80
24/10/2013,DELTA AIR LINES,£787.45
09/10/2013,DEUTSCHE LUFTHANSA,£872.50
14/10/2013,DEUTSCHE LUFTHANSA,£610.10
16/10/2013,DEUTSCHE LUFTHANSA,£554.18
23/10/2013,DEUTSCHE LUFTHANSA,£699.80
30/10/2013,DEUTSCHE LUFTHANSA,£856.00
10/10/2013,EGYPTAIR,£689.05
12/10/2013,EGYPTAIR,£643.40
31/10/2013,EGYPTAIR,£520.66
11/10/2013,EL AL ISRAEL AIRLINES UK BSP,£500.75
05/10/2013,EMIRATES,£995.08
08/10/2013,EMIRATES,£819.29
08/10/2013,EMIRATES,£853.40
09/10/2013,EMIRATES,"£1,096.20"
09/10/2013,EMIRATES,£504.50
10/10/2013,EMIRATES,"£2,273.50"
10/10/2013,EMIRATES,"£3,249.49"
10/10/2013,EMIRATES,"£3,249.49"
10/10/2013,EMIRATES,£628.19
10/10/2013,EMIRATES,"£1,562.00"
10/10/2013,EMIRATES,"£3,249.49"
10/10/2013,EMIRATES,"£3,249.49"
11/10/2013,EMIRATES,£808.28
11/10/2013,EMIRATES,"£1,976.60"
11/10/2013,EMIRATES,"£1,148.20"
11/10/2013,EMIRATES,£917.50
11/10/2013,EMIRATES,"£1,098.20"
11/10/2013,EMIRATES,£955.30
12/10/2013,EMIRATES,£921.28
12/10/2013,EMIRATES,£655.30
14/10/2013,EMIRATES,£719.20
16/10/2013,EMIRATES,£598.40
16/10/2013,EMIRATES,"£1,636.90"
17/10/2013,EMIRATES,"£1,112.20"
17/10/2013,EMIRATES,"£1,519.80"
18/10/2013,EMIRATES,"£1,140.20"
18/10/2013,EMIRATES,£814.48
19/10/2013,EMIRATES,£555.90
22/10/2013,EMIRATES,"£1,413.50"
22/10/2013,EMIRATES,£556.69
24/10/2013,EMIRATES,£751.09
24/10/2013,EMIRATES,£865.09
24/10/2013,EMIRATES,"£1,098.98"
24/10/2013,EMIRATES,"£1,098.98"
25/10/2013,EMIRATES,£767.68
25/10/2013,EMIRATES,£998.08
26/10/2013,EMIRATES,£748.70
26/10/2013,EMIRATES,£748.70
26/10/2013,EMIRATES,£597.70
26/10/2013,EMIRATES,£597.70
26/10/2013,EMIRATES,£977.70
29/10/2013,EMIRATES,£998.08
30/10/2013,EMIRATES,£515.59
30/10/2013,EMIRATES,£541.38
31/10/2013,EMIRATES,£654.68
31/10/2013,EMIRATES,£667.10
31/10/2013,EMIRATES,£754.60
31/10/2013,EMIRATES,£616.30
07/10/2013,ETHIOPIAN AIRLINES UK,£582.25
07/10/2013,ETHIOPIAN AIRLINES UK,"£1,483.00"
08/10/2013,ETHIOPIAN AIRLINES UK,£548.26
09/10/2013,ETHIOPIAN AIRLINES UK,£824.40
09/10/2013,ETHIOPIAN AIRLINES UK,£644.26
09/10/2013,ETHIOPIAN AIRLINES UK,£534.25
10/10/2013,ETHIOPIAN AIRLINES UK,£839.75
10/10/2013,ETHIOPIAN AIRLINES UK,"£1,398.35"
11/10/2013,ETHIOPIAN AIRLINES UK,£625.36
11/10/2013,ETHIOPIAN AIRLINES UK,£706.07
11/10/2013,ETHIOPIAN AIRLINES UK,£548.35
11/10/2013,ETHIOPIAN AIRLINES UK,£582.35
11/10/2013,ETHIOPIAN AIRLINES UK,£698.00
11/10/2013,ETHIOPIAN AIRLINES UK,£785.40
11/10/2013,ETHIOPIAN AIRLINES UK,£582.90
14/10/2013,ETHIOPIAN AIRLINES UK,£752.60
14/10/2013,ETHIOPIAN AIRLINES UK,£625.36
14/10/2013,ETHIOPIAN AIRLINES UK,£548.35
14/10/2013,ETHIOPIAN AIRLINES UK,£630.35
14/10/2013,ETHIOPIAN AIRLINES UK,£674.35
14/10/2013,ETHIOPIAN AIRLINES UK,£625.36
14/10/2013,ETHIOPIAN AIRLINES UK,£548.35
14/10/2013,ETHIOPIAN AIRLINES UK,£568.30
14/10/2013,ETHIOPIAN AIRLINES UK,£572.60
15/10/2013,ETHIOPIAN AIRLINES UK,£534.35
15/10/2013,ETHIOPIAN AIRLINES UK,£685.60
15/10/2013,ETHIOPIAN AIRLINES UK,£552.35
15/10/2013,ETHIOPIAN AIRLINES UK,£611.35
15/10/2013,ETHIOPIAN AIRLINES UK,£974.10
16/10/2013,ETHIOPIAN AIRLINES UK,£602.40
16/10/2013,ETHIOPIAN AIRLINES UK,£602.40
16/10/2013,ETHIOPIAN AIRLINES UK,£751.50
16/10/2013,ETHIOPIAN AIRLINES UK,£751.50
16/10/2013,ETHIOPIAN AIRLINES UK,£564.35
16/10/2013,ETHIOPIAN AIRLINES UK,£644.35
16/10/2013,ETHIOPIAN AIRLINES UK,£611.35
16/10/2013,ETHIOPIAN AIRLINES UK,£630.80
16/10/2013,ETHIOPIAN AIRLINES UK,£736.20
16/10/2013,ETHIOPIAN AIRLINES UK,£564.35
17/10/2013,ETHIOPIAN AIRLINES UK,£625.45
17/10/2013,ETHIOPIAN AIRLINES UK,£945.65
17/10/2013,ETHIOPIAN AIRLINES UK,£523.90
18/10/2013,ETHIOPIAN AIRLINES UK,£534.46
18/10/2013,ETHIOPIAN AIRLINES UK,£534.46
18/10/2013,ETHIOPIAN AIRLINES UK,£611.45
21/10/2013,ETHIOPIAN AIRLINES UK,£757.90
21/10/2013,ETHIOPIAN AIRLINES UK,£757.90
21/10/2013,ETHIOPIAN AIRLINES UK,£691.40
21/10/2013,ETHIOPIAN AIRLINES UK,£625.45
23/10/2013,ETHIOPIAN AIRLINES UK,£757.90
24/10/2013,ETHIOPIAN AIRLINES UK,£564.16
24/10/2013,ETHIOPIAN AIRLINES UK,£925.90
24/10/2013,ETHIOPIAN AIRLINES UK,£629.20
24/10/2013,ETHIOPIAN AIRLINES UK,£806.20
24/10/2013,ETHIOPIAN AIRLINES UK,£611.15
24/10/2013,ETHIOPIAN AIRLINES UK,£806.20
24/10/2013,ETHIOPIAN AIRLINES UK,£806.20
24/10/2013,ETHIOPIAN AIRLINES UK,£806.20
24/10/2013,ETHIOPIAN AIRLINES UK,£629.20
25/10/2013,ETHIOPIAN AIRLINES UK,£515.80
25/10/2013,ETHIOPIAN AIRLINES UK,£641.15
28/10/2013,ETHIOPIAN AIRLINES UK,"£1,110.10"
28/10/2013,ETHIOPIAN AIRLINES UK,£548.15
28/10/2013,ETHIOPIAN AIRLINES UK,"£1,479.20"
28/10/2013,ETHIOPIAN AIRLINES UK,£534.16
29/10/2013,ETHIOPIAN AIRLINES UK,£582.70
29/10/2013,ETHIOPIAN AIRLINES UK,£501.90
29/10/2013,ETHIOPIAN AIRLINES UK,£582.70
29/10/2013,ETHIOPIAN AIRLINES UK,£501.90
29/10/2013,ETHIOPIAN AIRLINES UK,£573.06
29/10/2013,ETHIOPIAN AIRLINES UK,"£1,524.20"
29/10/2013,ETHIOPIAN AIRLINES UK,"£1,524.20"
29/10/2013,ETHIOPIAN AIRLINES UK,"£1,208.20"
17/10/2013,ETIHAD AIRWAYS - BSP,"£1,097.40"
28/10/2013,ETIHAD AIRWAYS - BSP,£926.65
07/10/2013,HRG UK,£523.78
07/10/2013,HRG UK,£632.08
07/10/2013,HRG UK,£637.43
07/10/2013,HRG UK,"£1,066.14"
07/10/2013,HRG UK,£637.43
07/10/2013,HRG UK,"£1,107.36"
07/10/2013,HRG UK,£905.83
07/10/2013,HRG UK,£757.44
07/10/2013,HRG UK,£757.48
07/10/2013,HRG UK,£933.47
09/10/2013,HRG UK,£907.37
09/10/2013,HRG UK,"£4,378.06"
09/10/2013,HRG UK,£798.70
09/10/2013,HRG UK,£587.92
09/10/2013,HRG UK,"£4,378.06"
09/10/2013,HRG UK,£586.02
09/10/2013,HRG UK,"£4,378.06"
09/10/2013,HRG UK,£731.86
09/10/2013,HRG UK,"£1,372.06"
09/10/2013,HRG UK,£522.30
09/10/2013,HRG UK,£604.18
09/10/2013,HRG UK,£890.21
09/10/2013,HRG UK,£604.18
09/10/2013,HRG UK,£933.06
09/10/2013,HRG UK,£547.64
09/10/2013,HRG UK,£578.33
09/10/2013,HRG UK,£875.12
09/10/2013,HRG UK,£503.64
09/10/2013,HRG UK,£875.12
09/10/2013,HRG UK,£783.02
09/10/2013,HRG UK,"£1,759.34"
10/10/2013,HRG UK,£957.16
10/10/2013,HRG UK,£540.46
10/10/2013,HRG UK,"£1,243.30"
10/10/2013,HRG UK,£652.32
10/10/2013,HRG UK,£540.46
10/10/2013,HRG UK,"£1,171.42"
10/10/2013,HRG UK,£557.92
10/10/2013,HRG UK,"£1,282.73"
11/10/2013,HRG UK,"£1,107.18"
11/10/2013,HRG UK,£934.24
11/10/2013,HRG UK,£627.30
11/10/2013,HRG UK,"£1,151.14"
11/10/2013,HRG UK,£708.11
11/10/2013,HRG UK,£969.02
11/10/2013,HRG UK,£611.95
11/10/2013,HRG UK,£885.34
11/10/2013,HRG UK,"£1,309.60"
11/10/2013,HRG UK,"£1,706.14"
11/10/2013,HRG UK,"£4,378.15"
11/10/2013,HRG UK,£750.05
11/10/2013,HRG UK,£668.81
11/10/2013,HRG UK,£730.06
11/10/2013,HRG UK,£926.30
11/10/2013,HRG UK,"£1,693.84"
11/10/2013,HRG UK,£731.14
11/10/2013,HRG UK,"£1,194.43"
11/10/2013,HRG UK,"£1,415.48"
11/10/2013,HRG UK,£783.02
11/10/2013,HRG UK,£629.51
11/10/2013,HRG UK,"£1,934.35"
11/10/2013,HRG UK,£767.68
11/10/2013,HRG UK,£905.83
11/10/2013,HRG UK,"£1,157.59"
11/10/2013,HRG UK,£500.57
11/10/2013,HRG UK,£537.41
11/10/2013,HRG UK,£616.21
11/10/2013,HRG UK,£721.62
14/10/2013,HRG UK,"£1,050.50"
14/10/2013,HRG UK,£602.94
14/10/2013,HRG UK,£687.36
14/10/2013,HRG UK,£604.00
14/10/2013,HRG UK,£602.94
14/10/2013,HRG UK,"£1,550.57"
14/10/2013,HRG UK,£603.94
17/10/2013,HRG UK,£960.10
17/10/2013,HRG UK,£694.06
17/10/2013,HRG UK,£693.91
17/10/2013,HRG UK,£806.68
17/10/2013,HRG UK,£652.43
16/10/2013,HRG UK,£921.22
16/10/2013,HRG UK,£701.77
16/10/2013,HRG UK,£887.38
17/10/2013,HRG UK,£673.73
17/10/2013,HRG UK,£937.86
16/10/2013,HRG UK,£905.83
16/10/2013,HRG UK,"£1,323.38"
17/10/2013,HRG UK,£688.57
17/10/2013,HRG UK,£938.56
17/10/2013,HRG UK,£633.47
17/10/2013,HRG UK,£633.47
17/10/2013,HRG UK,"£1,040.60"
17/10/2013,HRG UK,"£4,378.15"
17/10/2013,HRG UK,"£1,040.10"
17/10/2013,HRG UK,£603.94
17/10/2013,HRG UK,"£1,724.56"
17/10/2013,HRG UK,£840.34
18/10/2013,HRG UK,£901.76
18/10/2013,HRG UK,£662.27
18/10/2013,HRG UK,£633.77
18/10/2013,HRG UK,£804.50
18/10/2013,HRG UK,£790.90
18/10/2013,HRG UK,£846.70
18/10/2013,HRG UK,£751.08
21/10/2013,HRG UK,£783.02
22/10/2013,HRG UK,£589.90
22/10/2013,HRG UK,"£2,806.30"
22/10/2013,HRG UK,£851.90
22/10/2013,HRG UK,£599.32
22/10/2013,HRG UK,£553.32
22/10/2013,HRG UK,£538.61
22/10/2013,HRG UK,"£2,177.46"
22/10/2013,HRG UK,£629.80
22/10/2013,HRG UK,"£2,177.46"
22/10/2013,HRG UK,"£2,765.71"
22/10/2013,HRG UK,"£2,765.71"
22/10/2013,HRG UK,"£2,765.71"
23/10/2013,HRG UK,"£1,280.30"
23/10/2013,HRG UK,£845.99
23/10/2013,HRG UK,"£1,618.10"
24/10/2013,HRG UK,"£3,078.40"
24/10/2013,HRG UK,"£3,261.90"
24/10/2013,HRG UK,£639.54
24/10/2013,HRG UK,"£2,765.71"
24/10/2013,HRG UK,£603.94
25/10/2013,HRG UK,£815.94
25/10/2013,HRG UK,£925.42
25/10/2013,HRG UK,£509.83
25/10/2013,HRG UK,£571.34
28/10/2013,HRG UK,£585.79
28/10/2013,HRG UK,£854.05
28/10/2013,HRG UK,£670.13
28/10/2013,HRG UK,£744.46
28/10/2013,HRG UK,£878.92
28/10/2013,HRG UK,£655.79
28/10/2013,HRG UK,£561.48
28/10/2013,HRG UK,£561.48
28/10/2013,HRG UK,£824.58
28/10/2013,HRG UK,"£1,136.09"
28/10/2013,HRG UK,£936.53
28/10/2013,HRG UK,"£1,648.82"
28/10/2013,HRG UK,£657.14
28/10/2013,HRG UK,"£1,074.70"
28/10/2013,HRG UK,£505.48
28/10/2013,HRG UK,£503.64
29/10/2013,HRG UK,"£1,783.93"
29/10/2013,HRG UK,"£1,782.61"
29/10/2013,HRG UK,£619.97
29/10/2013,HRG UK,£753.32
29/10/2013,HRG UK,"£1,468.70"
30/10/2013,HRG UK,"£1,789.18"
30/10/2013,HRG UK,£707.80
31/10/2013,HRG UK,£922.86
31/10/2013,HRG UK,£755.32
31/10/2013,HRG UK,"£2,088.76"
31/10/2013,HRG UK,£635.98
31/10/2013,HRG UK,"£1,028.64"
31/10/2013,HRG UK,£757.44
17/10/2013,IBERIA,£608.90
17/10/2013,IBERIA,£608.90
17/10/2013,IBERIA,£608.90
29/10/2013,IBERIA,"£1,182.22"
23/10/2013,JET AIRWAYS,£661.66
24/10/2013,JET AIRWAYS,£661.15
11/10/2013,KENYA AIRWAYS,"£1,110.46"
11/10/2013,KENYA AIRWAYS,"£1,168.31"
11/10/2013,KENYA AIRWAYS,"£1,010.32"
11/10/2013,KENYA AIRWAYS,"£1,010.32"
11/10/2013,KENYA AIRWAYS,"£1,168.31"
14/10/2013,KENYA AIRWAYS,"£2,926.50"
14/10/2013,KENYA AIRWAYS,£772.06
14/10/2013,KENYA AIRWAYS,£772.06
16/10/2013,KENYA AIRWAYS,"£1,059.25"
21/10/2013,KENYA AIRWAYS,£900.46
22/10/2013,KENYA AIRWAYS,£901.06
22/10/2013,KENYA AIRWAYS,£551.50
22/10/2013,KENYA AIRWAYS,£901.06
23/10/2013,KENYA AIRWAYS,£748.00
28/10/2013,KENYA AIRWAYS,"£2,654.86"
06/10/2013,KLM UK,"£1,075.64"
09/10/2013,KLM UK,£887.62
09/10/2013,KLM UK,£887.62
09/10/2013,KLM UK,£729.61
10/10/2013,KLM UK,"£2,511.10"
10/10/2013,KLM UK,"£1,268.16"
10/10/2013,KLM UK,"£1,857.10"
10/10/2013,KLM UK,£729.71
15/10/2013,KLM UK,£874.04
18/10/2013,KLM UK,£855.38
18/10/2013,KLM UK,£855.38
24/10/2013,KLM UK,"£1,009.90"
25/10/2013,KLM UK,"£1,413.90"
30/10/2013,KLM UK,£706.88
30/10/2013,KLM UK,£706.88
08/10/2013,QATAR AIRWAYS UNITED KINGDOM,£890.90
08/10/2013,QATAR AIRWAYS UNITED KINGDOM,£890.90
08/10/2013,QATAR AIRWAYS UNITED KINGDOM,£890.90
21/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
21/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
21/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
21/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
21/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
23/10/2013,QATAR AIRWAYS UNITED KINGDOM,"£1,749.50"
11/10/2013,ROYAL JORDANIAN AIRLINES BSP,£732.70
16/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£984.38
16/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£859.31
16/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£884.15
16/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£811.08
21/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,"£1,105.30"
21/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£915.30
21/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,"£1,105.30"
21/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£915.30
22/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£702.50
24/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£932.75
25/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£534.10
25/10/2013,SOUTH AFRICAN AIRWAYS BSP SALES,£534.10
24/10/2013,SRILANKAN AIRLINES LIMITED,"£1,114.15"
24/10/2013,SRILANKAN AIRLINES LIMITED,"£1,019.15"
19/10/2013,SWISS INT. AIR LINES AG,"£2,126.90"
31/10/2013,T.A.P. AIR PORTUGAL,£800.40
05/10/2013,TURKISH AIRLINES - BSP UK,"£1,006.30"
06/10/2013,TURKISH AIRLINES - BSP UK,£658.00
11/10/2013,TURKISH AIRLINES - BSP UK,"£1,536.76"
12/10/2013,TURKISH AIRLINES - BSP UK,£763.50
16/10/2013,TURKISH AIRLINES - BSP UK,£586.32
16/10/2013,TURKISH AIRLINES - BSP UK,£586.32
16/10/2013,TURKISH AIRLINES - BSP UK,£511.32
16/10/2013,TURKISH AIRLINES - BSP UK,£511.32
16/10/2013,TURKISH AIRLINES - BSP UK,£687.16
18/10/2013,TURKISH AIRLINES - BSP UK,£797.86
18/10/2013,TURKISH AIRLINES - BSP UK,£583.42
18/10/2013,TURKISH AIRLINES - BSP UK,£856.80
25/10/2013,TURKISH AIRLINES - BSP UK,£769.04
25/10/2013,TURKISH AIRLINES - BSP UK,£769.04
12/10/2013,UNITED AIRLINES,£734.35
31/10/2013,UNITED AIRLINES,"£1,158.65"
07/10/2013,VAA BSP UK,"£1,116.35"
07/10/2013,VAA BSP UK,"£1,116.35"
07/10/2013,VAA BSP UK,"£1,116.35"
07/10/2013,VAA BSP UK,£525.85
07/10/2013,VAA BSP UK,"£1,452.85"
08/10/2013,VAA BSP UK,£665.20
08/10/2013,VAA BSP UK,"£2,591.90"
08/10/2013,VAA BSP UK,£786.76
08/10/2013,VAA BSP UK,"£1,195.32"
10/10/2013,VAA BSP UK,"£1,330.50"
10/10/2013,VAA BSP UK,"£1,851.35"
11/10/2013,VAA BSP UK,£822.50
22/10/2013,VAA BSP UK,£838.15
23/10/2013,VAA BSP UK,£795.25
25/10/2013,VAA BSP UK,£661.67
