Transaction Date,Department,Merchant (Beneficiary),Transaction Value (£),Purpose of expenditure,Merchant Category / Summary
02.04.2015,ST CATHERINES,BLAKEMORE FOODSERVICE,89.69,School meals,CATERERS
02.04.2015,WALBOTTLE CAMPUS,ON A ROLL SANDWICH COM,509.68,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
02.04.2015,NORTH FAWDON,FREEMAN CATERING BUTCH,9.66,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,BYKER LODGE,FREEMAN CATERING BUTCH,41.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,KENTON BAR,JR HOLLAND FOODSERVICE,2.04,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,55.34,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WEST DENTON PRIMARY,BRAKE BROS LTD,36.1,School meals,CATERERS
02.04.2015,CHILLINGHAM ROAD,JR HOLLAND FOODSERVICE,74.88,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CENTRAL WALKER,FREEMAN CATERING BUTCH,67.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CANNING STREET,BLAKEMORE FOODSERVICE,3.50,School meals,CATERERS
02.04.2015,ST LAWRENCES RC,JR HOLLAND FOODSERVICE,1.5,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,KENTON SCHOOL,BLAKEMORE FOODSERVICE,1766.55,School meals,CATERERS
02.04.2015,WELBECK PRIMARY,FREEMAN CATERING BUTCH,101.32,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST CATHERINES,FREEMAN CATERING BUTCH,47.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WALBOTTLE CAMPUS,BRAKE BROS LTD,906.12,School meals,CATERERS
02.04.2015,SACRED HEART HIGH,BLAKEMORE FOODSERVICE,777.71,School meals,CATERERS
02.04.2015,ST CUTHBERTS KENT,FREEMAN CATERING BUTCH,61.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,RAVENSWOOD PRIMARY,BRAKE BROS LTD,325.4,School meals,CATERERS
02.04.2015,ST JOHN VIANNEY,FREEMAN CATERING BUTCH,49.74,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST CUTHBERTS KENT,FREEMAN CATERING BUTCH,35.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,167.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,58.99,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,GOSFORTH PARK,BRAKE BROS LTD,489.54,School meals,CATERERS
02.04.2015,ST MARYS CATHOLIC,ON A ROLL SANDWICH COM,369.62,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
02.04.2015,OUR LADY & ST ANNES,FREEMAN CATERING BUTCH,61.68,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WALKER TECHNOLOGY,FREEMAN CATERING BUTCH,48.04,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,KINGSTON PARK,BRAKE BROS LTD,98.57,School meals,CATERERS
02.04.2015,ARCHIBOLD FIRST,FREEMAN CATERING BUTCH,76.31,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,RAVENSWOOD PRIMARY,FREEMAN CATERING BUTCH,47.92,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ARCHIBOLD FIRST,BLAKEMORE FOODSERVICE,196.79,School meals,CATERERS
02.04.2015,ST OSWALDS,FREEMAN CATERING BUTCH,37.67,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,HAWTHORN PRIMARY,BLAKEMORE FOODSERVICE,178.84,School meals,CATERERS
02.04.2015,ST GEORGES RC,BRAKE BROS LTD,21.82,School meals,CATERERS
02.04.2015,ENGLISH MARTYRS,FREEMAN CATERING BUTCH,62.86,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC BANQUETING,FREEMAN CATERING BUTCH,25.5,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WALKER TECHNOLOGY,FREEMAN CATERING BUTCH,157.69,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WEST JESMOND,BRAKE BROS LTD,369.36,School meals,CATERERS
02.04.2015,LEMINGTON RIVERSIDE,JR HOLLAND FOODSERVICE,11.84,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,SOUTH GOSFORTH,FREEMAN CATERING BUTCH,43.71,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ARCHBISHOP RUNCIE,FREEMAN CATERING BUTCH,28.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST MICHAELS RC,BLAKEMORE FOODSERVICE,65.74,School meals,CATERERS
02.04.2015,GOSFORTH JUNIOR,FREEMAN CATERING BUTCH,86.91,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST LAWRENCES RC,FREEMAN CATERING BUTCH,35.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,SACRED HEART HIGH,JR HOLLAND FOODSERVICE,14.98,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST VINCENTS RC,FREEMAN CATERING BUTCH,31.52,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,TYNEVIEW PRIMARY,FREEMAN CATERING BUTCH,20.91,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CHRIST CHURCH,FREEMAN CATERING BUTCH,4.9,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,HADRIAN SCHOOL,BLAKEMORE FOODSERVICE,146.89,School meals,CATERERS
02.04.2015,KINGSTON PARK,JR HOLLAND FOODSERVICE,2.16,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST CUTHBERTS HIGH,ON A ROLL SANDWICH COM,122.08,School meals,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS"
02.04.2015,SACRED HEART HIGH,FREEMAN CATERING BUTCH,53.1,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,SOUTH GOSFORTH,BLAKEMORE FOODSERVICE,159.76,School meals,CATERERS
02.04.2015,KENTON SCHOOL,FREEMAN CATERING BUTCH,59.98,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,LEMINGTON RIVERSIDE,FREEMAN CATERING BUTCH,32.4,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,MOUNTFIELD PRIMARY,FREEMAN CATERING BUTCH,9.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WEST JESMOND,BLAKEMORE FOODSERVICE,356.24,School meals,CATERERS
02.04.2015,ST MARYS CATHOLIC,FREEMAN CATERING BUTCH,44.39,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,BYKER LODGE,JR HOLLAND FOODSERVICE,54.14,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC CANTEEN,JR HOLLAND FOODSERVICE,63.19,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,HOTSPUR PRIMARY,BLAKEMORE FOODSERVICE,277.7,School meals,CATERERS
02.04.2015,ST TERESAS,BLAKEMORE FOODSERVICE,24.97,School meals,CATERERS
02.04.2015,SIMONSIDE COMMUNITY,FREEMAN CATERING BUTCH,48.32,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CIVIC CANTEEN,JR HOLLAND FOODSERVICE,34.17,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST PAULS CE,BLAKEMORE FOODSERVICE,38.98,School meals,CATERERS
02.04.2015,RAVENSWOOD PRIMARY,BLAKEMORE FOODSERVICE,259.36,School meals,CATERERS
02.04.2015,CANNING STREET,FREEMAN CATERING BUTCH,121.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,CANNING STREET,JR HOLLAND FOODSERVICE,8.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,WESTGATE VICTORIA,BRAKE BROS LTD,242.53,School meals,CATERERS
02.04.2015,CENTRAL WALKER,FREEMAN CATERING BUTCH,53.73,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015, BRIDGEWATER,BRAKE BROS LTD,458.34,School meals,CATERERS
02.04.2015,GOSFORTH ACADEMY,BLAKEMORE FOODSERVICE,1323.4,School meals,CATERERS
02.04.2015,THOMAS BEWICK,FREEMAN CATERING BUTCH,5,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,GOSFORTH JUNIOR,BLAKEMORE FOODSERVICE,778.53,School meals,CATERERS
02.04.2015,ARTHURS MOORSIDE,BLAKEMORE FOODSERVICE,17.01,School meals,CATERERS
02.04.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,16.96,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
02.04.2015,ST OSWALDS,BLAKEMORE FOODSERVICE,111.21,School meals,CATERERS
02.04.2015,Assistant Chief Executive,AMAZON UK RETAIL,72.17,SAMSON AMPLIFIER,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.
01.04.2015,WELBECK PRIMARY,BRAKE BROS LTD,212.25,School meals,CATERERS
01.04.2015,SOUTH GOSFORTH,BRAKE BROS LTD,34.91,School meals,CATERERS
01.04.2015,CRAGSIDE PRIMARY,JR HOLLAND FOODSERVICE,61.93,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,FARNE PRIMARY,JR HOLLAND FOODSERVICE,26.84,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CONNIE LEWCOCK,JR HOLLAND FOODSERVICE,16.23,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST JOHNS PRIMARY,JR HOLLAND FOODSERVICE,15.13,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CANNING STREET,BRAKE BROS LTD,189.65,School meals,CATERERS
01.04.2015,WEST WALKER,BRAKE BROS LTD,130.99,School meals,CATERERS
01.04.2015,BENTON PARK,JR HOLLAND FOODSERVICE,29.51,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,BEECH HILL,JR HOLLAND FOODSERVICE,26.1,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,STOCKSFIELD AVENUE,JR HOLLAND FOODSERVICE,19.7,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SOUTH GOSFORTH,JR HOLLAND FOODSERVICE,64.7,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KNOPLAW PRIMARY,BRAKE BROS LTD,70.14,School meals,CATERERS
01.04.2015,OUR LADY & ST ANNES,BRAKE BROS LTD,59.66,School meals,CATERERS
01.04.2015,LEMINGTON RIVERSIDE,JR HOLLAND FOODSERVICE,12.27,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CRUDDAS PARK,JR HOLLAND FOODSERVICE,10.46,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST LAWRENCES RC,JR HOLLAND FOODSERVICE,7.06,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,MONKCHESTER ROAD,BRAKE BROS LTD,101.82,School meals,CATERERS
01.04.2015,ST MARKS RC,BRAKE BROS LTD,99.21,School meals,CATERERS
01.04.2015,STOCKSFIELD AVENUE,BRAKE BROS LTD,246.47,School meals,CATERERS
01.04.2015,WEST DENTON PRIMARY,JR HOLLAND FOODSERVICE,51.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALBOTTLE CAMPUS,JR HOLLAND FOODSERVICE,125.11,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,BENTON PARK,BRAKE BROS LTD,266.75,School meals,CATERERS
01.04.2015,SIR CHARLES PARSONS,BRAKE BROS LTD,122.32,School meals,CATERERS
01.04.2015,WAVERLEY PRIMARY,JR HOLLAND FOODSERVICE,24.21,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,HAWTHORN PRIMARY,JR HOLLAND FOODSERVICE,12.67,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,39.72,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SOUTH GOSFORTH,BRAKE BROS LTD,34.91,School meals,CATERERS
01.04.2015,ST VINCENTS RC,BRAKE BROS LTD,154.56,School meals,CATERERS
01.04.2015,TRINITY DENEVIEW,JR HOLLAND FOODSERVICE,21.25,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SACRED HEART PRI,BRAKE BROS LTD,131.41,School meals,CATERERS
01.04.2015,HILTON PRIMARY,BRAKE BROS LTD,246.46,School meals,CATERERS
01.04.2015,TRINITY DENEVIEW,BRAKE BROS LTD,219.98,School meals,CATERERS
01.04.2015,ST TERESAS,BRAKE BROS LTD,134.29,School meals,CATERERS
01.04.2015,BYKER PRIMARY,BRAKE BROS LTD,383.21,School meals,CATERERS
01.04.2015,CANNING STREET,JR HOLLAND FOODSERVICE,214.81,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,GOSFORTH ACADEMY,JR HOLLAND FOODSERVICE,115.17,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST OSWALDS,JR HOLLAND FOODSERVICE,21.1,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,BYKER LODGE,BRAKE BROS LTD,70.06,School meals,CATERERS
01.04.2015,WEST JESMOND,JR HOLLAND FOODSERVICE,127.93,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST CUTHBERTS HIGH,JR HOLLAND FOODSERVICE,101.59,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,GOSFORTH PARK,JR HOLLAND FOODSERVICE,58.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KNOPLAW PRIMARY,JR HOLLAND FOODSERVICE,29.98,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,HADRIAN SCHOOL,JR HOLLAND FOODSERVICE,22.77,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,THOMAS BEWICK,BRAKE BROS LTD,193.94,School meals,CATERERS
01.04.2015,HOTSPUR PRIMARY,JR HOLLAND FOODSERVICE,11.79,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST OSWALDS,BRAKE BROS LTD,93.38,School meals,CATERERS
01.04.2015,HILTON PRIMARY,JR HOLLAND FOODSERVICE,26.24,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,NORTH FAWDON,JR HOLLAND FOODSERVICE,17.82,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST MICHAELS RC,BRAKE BROS LTD,39.47,School meals,CATERERS
01.04.2015,ST MARYS CATHOLIC,BRAKE BROS LTD,345.64,School meals,CATERERS
01.04.2015,WALKERGATE PRIMARY,BRAKE BROS LTD,255.43,School meals,CATERERS
01.04.2015,SOUTH GOSFORTH,JR HOLLAND FOODSERVICE,1.66,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,FARNE PRIMARY,BRAKE BROS LTD,110.78,School meals,CATERERS
01.04.2015,BROADWOOD PRIMARY,JR HOLLAND FOODSERVICE,29.98,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,BENFIELD SCHOOL,JR HOLLAND FOODSERVICE,52.52,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,MILECASTLE PRIMARY,JR HOLLAND FOODSERVICE,36.71,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST TERESAS,JR HOLLAND FOODSERVICE,27.39,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,OUR LADY & ST ANNES,JR HOLLAND FOODSERVICE,53.47,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,59.38,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WELBECK PRIMARY,JR HOLLAND FOODSERVICE,46.42,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,TYNEVIEW PRIMARY,BRAKE BROS LTD,315.39,School meals,CATERERS
01.04.2015, BRIDGEWATER,JR HOLLAND FOODSERVICE,34.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALKER TECHNOLOGY,JR HOLLAND FOODSERVICE,105.61,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST PAULS CE,JR HOLLAND FOODSERVICE,32.14,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CHEVIOT PRIMARY,JR HOLLAND FOODSERVICE,36.8,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CRAGSIDE PRIMARY,BRAKE BROS LTD,90.53,School meals,CATERERS
01.04.2015,ST PAULS CE,BRAKE BROS LTD,194.94,School meals,CATERERS
01.04.2015,KENTON SCHOOL,BRAKE BROS LTD,325.97,School meals,CATERERS
01.04.2015,BROADWOOD PRIMARY,BRAKE BROS LTD,61.17,School meals,CATERERS
01.04.2015,THOMAS BEWICK,JR HOLLAND FOODSERVICE,18.82,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST MARKS RC,JR HOLLAND FOODSERVICE,29.6,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,REGENT FARM FIRST,JR HOLLAND FOODSERVICE,46.92,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,MOUNTFIELD PRIMARY,JR HOLLAND FOODSERVICE,24.03,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WEST WALKER,JR HOLLAND FOODSERVICE,50.19,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CHRIST CHURCH,JR HOLLAND FOODSERVICE,22.42,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ENGLISH MARTYRS,JR HOLLAND FOODSERVICE,30.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CHILLINGHAM ROAD,BRAKE BROS LTD,196.66,School meals,CATERERS
01.04.2015,GRANGE FIRST SCHOOL,JR HOLLAND FOODSERVICE,23.61,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALBOTTLE VILLAGE,JR HOLLAND FOODSERVICE,9.53,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,GOSFORTH JUNIOR,JR HOLLAND FOODSERVICE,26.3,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,MOUNTFIELD PRIMARY,BRAKE BROS LTD,43.11,School meals,CATERERS
01.04.2015,WYNDHAM PRIMARY,JR HOLLAND FOODSERVICE,24.79,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CONNIE LEWCOCK,JR HOLLAND FOODSERVICE,102.6,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ENGLISH MARTYRS,BRAKE BROS LTD,224.41,School meals,CATERERS
01.04.2015,ST CUTHBERTS KENT,JR HOLLAND FOODSERVICE,17.61,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CIVIC CANTEEN,JR HOLLAND FOODSERVICE,60.02,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,TYNEVIEW PRIMARY,JR HOLLAND FOODSERVICE,12.56,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CENTRAL WALKER,JR HOLLAND FOODSERVICE,61.64,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KENTON SCHOOL,JR HOLLAND FOODSERVICE,99.84,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SIMONSIDE COMMUNITY,JR HOLLAND FOODSERVICE,41.23,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST VINCENTS RC,JR HOLLAND FOODSERVICE,24.29,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALKERGATE PRIMARY,JR HOLLAND FOODSERVICE,83.74,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SACRED HEART PRI,JR HOLLAND FOODSERVICE,29.99,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,NEWBURN MANOR,JR HOLLAND FOODSERVICE,22.26,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,GOSFORTH JUNIOR,JR HOLLAND FOODSERVICE,18.05,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST LAWRENCES RC,BRAKE BROS LTD,104.09,School meals,CATERERS
01.04.2015,SOUTH GOSFORTH,JR HOLLAND FOODSERVICE,1.48,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALKER TECHNOLOGY,BRAKE BROS LTD,107.56,School meals,CATERERS
01.04.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,7.04,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KINGSTON PARK,JR HOLLAND FOODSERVICE,19.13,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,SIR CHARLES PARSONS,JR HOLLAND FOODSERVICE,16.71,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CENTRAL WALKER,JR HOLLAND FOODSERVICE,28.97,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST MARYS CATHOLIC,JR HOLLAND FOODSERVICE,34,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ARCHIBOLD FIRST,JR HOLLAND FOODSERVICE,32.2,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST CHARLES' RC,JR HOLLAND FOODSERVICE,43.15,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,WALKERGATE PRIMARY,JR HOLLAND FOODSERVICE,1.72,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KENTON SCHOOL,JR HOLLAND FOODSERVICE,260.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CENTRAL WALKER,BRAKE BROS LTD,198.76,School meals,CATERERS
01.04.2015,WELFORD DAY CENTRE,JR HOLLAND FOODSERVICE,18.94,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST LAWRENCES RC,JR HOLLAND FOODSERVICE,1.77,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CRAGSIDE PRIMARY,JR HOLLAND FOODSERVICE,1.44,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST JOHN VIANNEY,JR HOLLAND FOODSERVICE,22.67,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CIVIC CANTEEN,BRAKE BROS LTD,34.66,School meals,CATERERS
01.04.2015,ST CATHERINES,JR HOLLAND FOODSERVICE,30.36,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,KENTON BAR,JR HOLLAND FOODSERVICE,32.24,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ARTHURS MOORSIDE,JR HOLLAND FOODSERVICE,101.91,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,MILECASTLE PRIMARY,BRAKE BROS LTD,215.05,School meals,CATERERS
01.04.2015,ARTHURS WESTAGE,JR HOLLAND FOODSERVICE,67.99,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,CIVIC BANQUETING,JR HOLLAND FOODSERVICE,109.33,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST BEDES RC,JR HOLLAND FOODSERVICE,20.22,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST CATHERINES,BRAKE BROS LTD,376.63,School meals,CATERERS
01.04.2015,ST MICHAELS RC,JR HOLLAND FOODSERVICE,23.91,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,RAVENSWOOD PRIMARY,JR HOLLAND FOODSERVICE,41.39,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,ST ALBANS RC,BRAKE BROS LTD,440.97,School meals,CATERERS
01.04.2015,ST JOSEPHS RC,JR HOLLAND FOODSERVICE,10.62,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
01.04.2015,BENFIELD SCHOOL,BRAKE BROS LTD,307.96,School meals,CATERERS
01.04.2015,HOTSPUR PRIMARY,JR HOLLAND FOODSERVICE,41.91,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
31.03.2015,MILECASTLE PRIMARY,BLAKEMORE FOODSERVICE,57.41,School meals,CATERERS
31.03.2015,SACRED HEART HIGH,BRAKE BROS LTD,373.44,School meals,CATERERS
31.03.2015,ST TERESAS,BRAKE BROS LTD,32.67,School meals,CATERERS
31.03.2015,REGENT FARM FIRST,BLAKEMORE FOODSERVICE,301.99,School meals,CATERERS
31.03.2015,CIVIC BANQUETING,BLAKEMORE FOODSERVICE,148.62,School meals,CATERERS
31.03.2015,SIMONSIDE COMMUNITY,BLAKEMORE FOODSERVICE,121.23,School meals,CATERERS
31.03.2015,WALBOTTLE VILLAGE,BLAKEMORE FOODSERVICE,204.9,School meals,CATERERS
31.03.2015,BENFIELD SCHOOL,BLAKEMORE FOODSERVICE,639.11,School meals,CATERERS
31.03.2015,ST CHARLES' RC,BRAKE BROS LTD,123.26,School meals,CATERERS
31.03.2015,KINGSTON PARK,BRAKE BROS LTD,157.08,School meals,CATERERS
31.03.2015,GOSFORTH JUNIOR,BRAKE BROS LTD,751.57,School meals,CATERERS
31.03.2015,WAVERLEY PRIMARY,BRAKE BROS LTD,140.92,School meals,CATERERS
31.03.2015,ST VINCENTS RC,BLAKEMORE FOODSERVICE,113.73,School meals,CATERERS
31.03.2015,HILTON PRIMARY,BLAKEMORE FOODSERVICE,337.48,School meals,CATERERS
31.03.2015,ST MARYS CATHOLIC,BLAKEMORE FOODSERVICE,477.52,School meals,CATERERS
31.03.2015,WELBECK PRIMARY,BLAKEMORE FOODSERVICE,670.28,School meals,CATERERS
31.03.2015,NEWBURN MANOR,BRAKE BROS LTD,125.1,School meals,CATERERS
31.03.2015,ARCHBISHOP RUNCIE,BRAKE BROS LTD,204.75,School meals,CATERERS
31.03.2015,ST CUTHBERTS WALB,BLAKEMORE FOODSERVICE,161.58,School meals,CATERERS
31.03.2015,REGENT FARM FIRST,BRAKE BROS LTD,211.83,School meals,CATERERS
31.03.2015,WYNDHAM PRIMARY,BLAKEMORE FOODSERVICE,201.56,School meals,CATERERS
31.03.2015,BENFIELD SCHOOL,JR HOLLAND FOODSERVICE,40.95,School meals,"FREEZER, LOCKER MEAT PROVISIONERS"
