VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
Ahoghill Community Centre,Cardonaghy Road,Ballymena,Antrim,BT42 1JB,Mid and East Antrim District,305608,402040,028 2587 8198,Community,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Alexander Dickson Primary School,Comber Road,Ballygowan,Down,BT23 5TN,North Down and Ards District,343309,363943,028 9752 8651,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Alive Bodyboard and Surf School,Ballybogey Road,Ballymoney,Antrim,BT53 6PD,Causeway Coast and Glens District,292132,432519,077 4386 0509,Club,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
All Blacks Amateur Boxing Club,Glassdrumman Road,Annalong,Down,BT34 4QN,"Newry City, Mourne and Down District",337580,322081,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All Saints Boxing Club,Cushendall Road,Ballymena,Antrim,BT43 6HE,Mid and East Antrim District,311030,403984,028 2565 1864,Club,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
All Saints Clooney Bowling Club,Glendermott Road,Waterside,Londonderry,BT47 6BB,Derry City and Strabane District,244276,416730,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
All Saints GAC,Woodside Road,Ballymena,Antrim,BT42 4QH,Mid and East Antrim District,313820,403922,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
All Saints Primary School Ballymena,Broughshane Road,Ballymena,Antrim,BT43 7DZ,Mid and East Antrim District,311327,404465,028 2565 6076,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
All Saints Primary School Banbridge,Ballela Road,Banbridge,Down,BT32 3TF,"Armagh City, Banbridge and Craigavon District",320534,346505,028 4067 1252,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
All Saints Primary School Omagh,Tattysallagh Road,Omagh,Tyrone,BT78 5ER,Fermanagh and Omagh District,244866,372919,028 8224 3233,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Allen Park,Castle Road,Antrim,Antrim,BT41 4NA,Antrim and Newtownabbey District,312806,387777,028 9442 9001,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Allen Park Golf Centre,Castle Road,Antrim,Antrim,BT41 4NA,Antrim and Newtownabbey District,312950,387909,028 9442 9001,Club,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ampthitheatre Wellness Centre,Prince William Way,Carrickfergus,Antrim,BT38 7HP,Mid and East Antrim District,341523,387961,028 9335 8888?,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No
An Creagan Visitor Centre,Creggan,Omagh,Tyrone,BT79 9AF,Fermanagh and Omagh District,262336,378957,028 8076 1112,Club,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
An Riocht GAC,Dunnaval Road,Kilkeel,Down,BT34 4LT,"Newry City, Mourne and Down District",328780,312894,028 4176 3681,Club,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Anamar Primary School,Kiltybane Road,Crossmaglen,Down,BT35 9BH,"Newry City, Mourne and Down District",290411,318795,028 3086 1515,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Anderson Park,Anderson Park,Coleraine,Londonderry,BT49 0RH,Causeway Coast and Glens District,268255,422363,,District Council,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Andersonstown Leisure Centre,Andersonstown Road,Belfast,Antrim,BT11 9BY,Belfast City,330205,371301,028 90726311,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Andy Ward Leisure,Belfast Road,Ballynahinch,Down,BT24 8EB,"Newry City, Mourne and Down District",336610,353099,028 9756 0033,Private,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Ann Street Football Pitch,Ann Street,Portaferry,Down,BT22 1LX,North Down and Ards District,359564,351111,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Annaclone GAC,Monteith Road,Banbridge,Down,BT32 5AT,"Armagh City, Banbridge and Craigavon District",317158,341172,028 4067 1787,Club,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Annagh Playing Fields,Tandragee Road,Portadown,Armagh,BT60 1TN,"Armagh City, Banbridge and Craigavon District",298507,341229,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Annaghmore GAC,Eglish Road,Portadown,Armagh,BT62 1NL,"Armagh City, Banbridge and Craigavon District",293055,357734,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Annaghmore Primary School,Annaghamore Road,Portadown,Armagh,BT62 1LZ,"Armagh City, Banbridge and Craigavon District",291790,357549,028 3885 1757,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Annahilt Primary School,Ballynahinch Road,Hillsborough,Down,BT26 6BP,Lisburn and Castlereagh District,329792,356092,028 9263 8557,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Annahilt Scout Hall,Ballynahinch Road,Hillsborough,Down,BT26 6BP,Lisburn and Castlereagh District,329707,356164,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Annalong Bowling Club,Grove Road,Newry,Down,BT34 4XB,"Newry City, Mourne and Down District",336067,319570,,District Council,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Annalong Community Centre,Glassdrumman Road,Annalong,Down,BT34 4QJ,"Newry City, Mourne and Down District",337487,319946,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Annalong Primary School,KIilkeel Road,Annalong,Down,BT34 4TH,"Newry City, Mourne and Down District",337213,319601,028 4376 8340,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Annsborough Playing Fields,Annsborough,Castlewellan,Down,BT31 9HN,"Newry City, Mourne and Down District",332361,335031,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Antares Health and Fitness Club,Clooney Road,Derry,Londonderry,BT47 3PA,Derry City and Strabane District,250033,420603,028 7186 0606,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Antiville Playing Fields,Upper Cairncastle Road,Larne,Antrim,BT40 2EF,Mid and East Antrim District,339209,403352,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Antiville Primary School,Fairway,Larne,Antrim,BT40 2BG,Mid and East Antrim District,338898,402809,028 2826 0624,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Antrim Boat Club,Castle Road,Antrim,Antrim,BT41 4NA,Antrim and Newtownabbey District,313414,386769,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
Antrim Forum,Lough Road,Antrim,Antrim,BT41 4DQ,Antrim and Newtownabbey District,314467,386658,028 9446 4131,District Council,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
Antrim Grammar School,Steeple Road,Antrim,Antrim,BT41 1AF,Antrim and Newtownabbey District,315220,387647,028 9446 4091,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Antrim Primary School,Station Road,Antrim,Antrim,BT41 4AB,Antrim and Newtownabbey District,315033,386874,028 9442 8226,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Antrim Rugby and Ladies Hockey Club,Allan Road,Antrim,Antrim,BT41 4NA,Antrim and Newtownabbey District,312986,387683,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Anvil Park,Derrynahone Road,Craigavon,Down,BT67 0HR,Lisburn and Castlereagh District,319832,361489,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Aquaholics,Portmore Road,Portstewart,Londonderry,BT55 7BE,Causeway Coast and Glens District,281792,438664,028 7083 2584,Club,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Aquinas Diocesan Grammar School,Ravenhill Road,Belfast,Antrim,BT6 0BY,Belfast City,335242,371780,028 9064 3939,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Archdale Centre,Main Street,Lisnaskea,Fermanagh,BT92 0JD,Fermanagh and Omagh District,236242,334056,028 6772 2421,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Archdale Hall,Baragh Road,Ballinamallard,Fermanagh,BT94 2AJ,Fermanagh and Omagh District,226345,352825,,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ardboe O'Donovan Rossa GAC,Kilmascally Road,Dungannon,Tyrone,BT71 5BH,Mid Ulster District,293601,375041,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardclinis Outdoor Adventure,High Street,Cushdendall,Antrim,BT44 0NB,Causeway Coast and Glens District,323657,427687,028 2177 1340,Club,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Ardgarvan Playing Fields,Ballyavelin Road,Limavady,Londonderry,BT49 0NE,Causeway Coast and Glens District,268811,420164,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardglass Community Centre,High Street,Ardglass,Down,BT30 7TU,"Newry City, Mourne and Down District",355688,337237,028 4484 1057,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ardglass GAC,Ardtole Road,Ardglass,Down,BT30 7SL,"Newry City, Mourne and Down District",356627,338007,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardglass Golf Club,Castle Place,Ardglass,Down,BT30 7TP,"Newry City, Mourne and Down District",356014,337061,028 4484 1219,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ardminnan Equestrian Centre,Ardminnan Road,Newtownards,Down,BT22 1QJ,North Down and Ards District,364201,354783,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardminnan Golf Course,Ardminnan Road,Portaferry,Down,BT22 1QJ,North Down and Ards District,364201,354783,028 4277 1321,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ardmore Cricket and Football Club,Green Road,Ardmore,Londonderry,BT47 3RG,Derry City and Strabane District,247195,413679,,Club,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardmore House Special School,Saul Street,Downpatrick,Down,BT30 6NJ,"Newry City, Mourne and Down District",348975,344844,028 4461 4881,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ardmore Primary School,Lenny's Road,Derryadd,Armagh,BT66 6QS,"Armagh City, Banbridge and Craigavon District",302164,362099,028 3834 0297,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardmore Recreation Centre,Ballinahonemore Road,Armagh,Armagh,BT60 1JD,"Armagh City, Banbridge and Craigavon District",289157,344522,028 3751 5920,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Ardmore Stables,Rushall Road,Londonderry,Londonderry,BT47 3QX,Derry City and Strabane District,246252,413423,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardmourne House Stables,Corgary Road,Castlederg,Tyrone,BT81 7YE,Derry City and Strabane District,217297,382923,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardnavalley Scout Centre,Old Milltown Road,Belfast,Down,BT8 7SP,Lisburn and Castlereagh District,333027,368706,028 9069 4161,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardowen MUGA,Ardowen,Craigavon,Armagh,BT65 5EB,"Armagh City, Banbridge and Craigavon District",306639,356512,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ardoyne Kickhams GAC,Flax Street,Belfast,Antrim,BT14 7EJ,Belfast City,332018,375779,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ards Bowling Club,South Street,Newtownards,Down,BT23 4JU,North Down and Ards District,348788,373478,028 9181 2914,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ards Leisure Centre,William Street,Newtownards,Down,BT23 4EJ,North Down and Ards District,348470,374512,028 9181 2837,District Council,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes
Ardstraw FC,Vaughan’s Holm,Newtownstewart,Tyrone,BT78 4AB,Derry City and Strabane District,240142,385689,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ardstraw Primary School,Deerpark Road,Newtownstewart,Tyrone,BT78 4LR,Derry City and Strabane District,236757,386956,028 8166 1504,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Arena Health & Fitness - Belfast,York Street,Belfast,Antrim,BT15 1WA,Belfast City,334000,375412,028 9074 1235,Private,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Arena Health & Fitness - Finaghy,Finaghy Road North,Belfast,Antrim,BT10 0JB,Belfast City,330267,370356,,Private,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Armagh College of Further Education,Lonsdale Street,Armagh,Armagh,BT61 7HN,"Armagh City, Banbridge and Craigavon District",287638,345711,028 3752 2205,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Armagh Harps GAC,Abbey Park,Armagh,Armagh,BT61 8BG,"Armagh City, Banbridge and Craigavon District",286961,346388,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Armagh Masonic Hall,Gosford Gardens,Armagh,Armagh,BT60 1PU,"Armagh City, Banbridge and Craigavon District",295989,339798,,Other,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Armagh Riding Club,Palace Demesne,Armagh,Armagh,BT60 4EL,"Armagh City, Banbridge and Craigavon District",287754,344712,028 3752 9636,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Armoy Primary School,Gracehill Road,Armoy,Antrim,BT53 8TD,Causeway Coast and Glens District,306707,432462,028 2075 1354,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Armoy RFC1,Drones Road,Armoy,Antrim,BT53 8UP,Causeway Coast and Glens District,305414,429985,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Artigarvan Primary School,Berryhill Road,Strabane,Tyrone,BT82 0HN,Derry City and Strabane District,237914,400951,028 7188 3684,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Artigirvan Football Pitch,Art Road,Strabane,Londonderry,BT82 0HA,Derry City and Strabane District,238112,400853,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Arvalee School and Resource Centre,Deverney Road,Omagh,Tyrone,BT79 0ND,Fermanagh and Omagh District,247981,372026,028 8224 9182,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ash Lee Riding Centre,Carricklee Road,Strabane,Tyrone,BT82 9SE,Derry City and Strabane District,232524,396256,078 7989 7601,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ashfield Boys High School,Holywood Road,Belfast,Antrim,BT4 2LY,Belfast City,337959,375581,028 9065 6812,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
Ashfield Girls High School,Holywood Road,Belfast,Antrim,BT4 2LY,Belfast City,337959,375581,028 9047 1744,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Ashfield Golf Club,Freeduff,Newry,Armagh,BT35 0NA,"Newry City, Mourne and Down District",293037,318998,028 3086 8180,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ashgrove Community Centre,Garvaghy Road,Poratdown,Armagh,BT62 1EH,"Armagh City, Banbridge and Craigavon District",300861,354466,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ashgrove Primary School,Ashgrove Road,Newtownabbey,Antrim,BT36 6LJ,Antrim and Newtownabbey District,332348,382981,028 9084 8734,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ashlea Primary School,Stevenson Park,Tullyally,Londonderry,BT47 3QT,Derry City and Strabane District,245776,414247,028 7134 7950,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ashley Park,Ashley Park,Dunmurry,Antrim,BT17 9EH,Belfast City,328754,368720,028 9062 5583,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ashwoods Golf Centre,Sligo Road,Enniskillen,Fermanagh,BT74 7JY,Fermanagh and Omagh District,221120,341966,028 6632 5321,Private,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Assumption Grammar School,Belfast Road,Ballynahinch,Down,BT24 8EA,"Newry City, Mourne and Down District",336751,352834,028 9756 2250,Education,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Athletic Park,Carnony Road,Omagh,Tyrone,BT79 7TF,Fermanagh and Omagh District,245239,378125,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Atlantic Shores Scuba and Watersports Centre,Coolane Road,Maguiresbridge,Fermanagh,BT94 4PE,Fermanagh and Omagh District,233866,338843,028 6638 7801,Private,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Atticall GAC,Tullyframe Road,Newry,Down,BT34 4SA,"Newry City, Mourne and Down District",326791,318935,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Augher Central Primary School,Knockmany Road,Augher,Tyrone,BT77 0BE,Mid Ulster District,256134,354093,028 8554 8443,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Augher Playing Fields,Omagh Road,Augher,Tyrone,BT77 0EG,Mid Ulster District,257203,353640,028 8554 8036,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Augher Youth and Community Centre,Dunroe Road,Augher,Tyrone,BT77 0EB,Mid Ulster District,256465,352547,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Aughnacloy Golf Club,Tullyvar Road,Aughnacloy,Tyrone,BT69 6BL,Mid Ulster District,265796,354178,028 8555 7050,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Aughnacloy High School,Carnteel Road,Aughnacloy,Tyrone,BT69 6DX,Mid Ulster District,267237,352773,028 8555 7289,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Aughnacloy Playing Fields,Carnteel Road,Aughnacloy,Tyrone,BT69 6DU,Mid Ulster District,267062,352733,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Aughnacloy Primary School,Carnteel Road,Aughnacloy,Tyrone,BT69 6DU,Mid Ulster District,266934,352483,028 8555 7316,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Avoniel Leisure Centre,Avoniel Road,Belfast,Antrim,BT5 4SF,Belfast City,336068,373855,028 9045 1564,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Avoniel Primary School,Avoniel Road,Belfast,Down,BT5 4SF,Belfast City,336064,373755,028 9045 7736,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballee Community Centre,,Ballymena,Antrim,BT42 3EX,Mid and East Antrim District,311057,401582,028 2563 1350,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballee Community High School,Ballee Road West,Ballymena,Antrim,BT42 2LH,Mid and East Antrim District,311212,400085,028 2564 9327,Education,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No
Ballee Outdoor Bowling Club,Ballyhosset Road,Downpatrick,Down,BT30 7EF,"Newry City, Mourne and Down District",353391,339861,,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballee Primary School,Lanntara,Ballymena,Antrim,BT42 3BD,Mid and East Antrim District,311026,401755,028 2564 4280,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballee Squash Courts,Warden Street,Ballymena,Antrim,BT43 7DR,Mid and East Antrim District,311334,403845,,District Council,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Ballela GAC,Ballela Road,Banbridge,Down,BT32 3TF,"Armagh City, Banbridge and Craigavon District",320466,346976,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballerin GAA Club,Coolnasillagh Road,Garvagh,Londonderry,BT51 5EN,Causeway Coast and Glens District,279660,418372,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballinamallard Primary School,Baragh Road,Ballinamallard,Fermanagh,BT94 2AJ,Fermanagh and Omagh District,226286,352941,028 6638 8262,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballinderry Shamrocks GAC,Ballinderry Bridge Road,Cookstown,Londonderry,BT80 0BU,Mid Ulster District,292893,379981,,Club,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballinamallard United Football Club,Enniskillen Road,Ballinamallard,Fermanagh,BT94 2BD,Fermanagh and Omagh District,228175,341666,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Ballycarry Primary School,Hillhead Road,Ballycarry,Antrim,BT38 9HE,Mid and East Antrim District,344679,394389,028 9335 3706,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballycastle Bowling Club,Mary Street,Ballycastle,Antrim,BT54 6QH,Causeway Coast and Glens District,312219,441087,028 2075 1328,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballycastle Golf Club,Cushendall Road,Ballycastle,Antrim,BT54 6QP,Causeway Coast and Glens District,312352,440999,028 2076 2536,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
