Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Registration number
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Accommodation Rentals,UK Trade and Investments - Regional Directorate,ADVANTAGE WEST MIDLANDS,1011127,13160,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Accommodation Rentals,UK Trade and Investments - Regional Directorate,ADVANTAGE WEST MIDLANDS,1011129,13160,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Media Services,UK Trade and Investments - Strategy and Human Resources Group,ALEX BEATTY,1011544,4800,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,17-Nov-10,Accounting Services,UK Trade and Investments - Regional Directorate,AMEY COMMUNITY LTD,1012134,2915,813047950
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15-Nov-10,Accounting Services,UK Trade and Investments - IT and Finance Group,AMEY COMMUNITY LTD,1011807,47146.06,813047950
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,19-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Olympics Unit,AMMA CONSULTING LTD,1012324,3660,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,19-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Olympics Unit,AMMA CONSULTING LTD,1012161,4758,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,AQUENT,1011686,5745.5,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Other Office Service Costs,UK Trade and Investments - IT and Finance Group,BAXTERSTOREY LTD,1010531,587.5,765321726
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,16-Nov-10,Other Office Service Costs,UK Trade and Investments - IT and Finance Group,BAXTERSTOREY LTD,1011954,587.5,765321726
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,25-Nov-10,Other Office Service Costs,UK Trade and Investments - IT and Finance Group,BAXTERSTOREY LTD,1012751,587.5,765321726
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Media Services,UK Trade and Investments - Strategy and Human Resources Group,BRAND FRONTIER GROUP LTD,1012512,680,773543413
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Media Services,UK Trade and Investments - Strategy and Human Resources Group,BRAND FRONTIER GROUP LTD,1012510,6510,773543413
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Static Line Rental,UK Trade and Investments - IT and Finance Group,BRITISH TELECOMMUNICATIONS plc (BT),1010557,2604.43,245 7193 48
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Static Line Rental,UK Trade and Investments - IT and Finance Group,BRITISH TELECOMMUNICATIONS plc (BT),1013104,2604.43,245 7193 48
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,24-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,BROOK STREET (UK) LTD,1012428,584.93,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,BROOK STREET (UK) LTD,1012994,594.84,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - International Group,BROOK STREET (UK) LTD,1010739,709.94,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - International Group,BROOK STREET (UK) LTD,1011179,719.28,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - International Group,BROOK STREET (UK) LTD,1011915,728.62,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - International Group,BROOK STREET (UK) LTD,1012426,737.96,238595131
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15-Nov-10,Other Training Costs,UK Trade and Investments - Strategy and Human Resources Group,BUSINESS NAVIGATORS (EUROPE) LTD,1011744,2347.22,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,External Training,UK Trade and Investments - Business Group,BVG ASSOCIATES LTD T/A BVG ASSOCIATES,1011571,9500,900 3932 58
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,Other Training Costs,UK Trade and Investments - Defence and Security Organisation,C H WHEELDON,1011562,600,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,5-Nov-10,Communications & Marketing Training,UK Trade and Investments - Strategy and Human Resources Group,COMMUNICAID GROUP LTD,1010620,2990,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Entertaining UK,UK Trade and Investments - Defence and Security Organisation,COQ D'OR RESTAURANT CO LTD,1012301,529,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Air Fares Overseas,UK Trade and Investments - Regional Directorate,DEEHURST LTD T/A TRAVELEADS,1010854,3818.07,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,22-Nov-10,External Training,UK Trade and Investments - IT and Finance Group,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1012397,2950,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,22-Nov-10,External Training,UK Trade and Investments - IT and Finance Group,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1012399,2950,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,22-Nov-10,External Training,UK Trade and Investments - IT and Finance Group,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1012398,3950,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,26-Nov-10,Finance Training,UK Trade and Investments - Strategy and Human Resources Group,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),1012869,2550,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,EVENTS IN FOCUS LTD,1010904,688,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Translation Services,UK Trade and Investments - Marketing Group,FCO SERVICES,1010921,4942.61,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,26-Nov-10,Translation Services,UK Trade and Investments - Marketing Group,FCO SERVICES,1012858,25235.86,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15-Nov-10,Other Training Costs,UK Trade and Investments - Defence and Security Organisation,FRANCIS TUSA,1011856,600,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Other IT Costs,UK Trade and Investments - IT and Finance Group,FUJITSU SERVICES LTD,1010540,1285.76,576 9836 68
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Other IT Costs,UK Trade and Investments - IT and Finance Group,FUJITSU SERVICES LTD,1010577,43335,576 9836 68
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Other IT Costs,UK Trade and Investments - IT and Finance Group,FUJITSU SERVICES LTD,1010607,43335,576 9836 68
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Local IT Maintenance & Support,UK Trade and Investments - Regional Directorate,GWE BUSINESS WEST LTD,1011178,1630.5,650 5906 38
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Finance & Accounting Advice,UK Trade and Investments - Regional Directorate,HARRIS LIPMAN LLP,1010515,1500,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Finance & Accounting Advice,UK Trade and Investments - Regional Directorate,HARRIS LIPMAN LLP,1010515,1500,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1010594,705,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1010598,1028.13,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1011370,1028.13,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1011775,1028.13,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1012582,1028.13,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1010591,1175,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,24-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,HUDSON GLOBAL RESOURCES LTD,1012583,1880,805692518
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,Other External Recruitment Costs (Staff),UK Trade and Investments - Regional Directorate,JOHN THOMPSON ASSOCIATES LTD,1011697,625,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,29-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Marketing Group,MANPOWER UK LTD,1012963,527.86,240175886
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Marketing Group,MANPOWER UK LTD,1011098,551.85,240175886
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011607,604.7,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011267,1169.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,1-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1010465,1299.73,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,12-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011742,1299.73,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1012298,1299.73,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,29-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1012918,1299.73,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,29-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1012934,1299.73,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011184,1360.58,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1010707,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1010708,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1010807,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1010813,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011266,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1012172,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,24-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1012639,1468.75,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011133,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011182,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011188,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011605,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011606,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,1011609,1511.76,354259936
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,UKTI MoD Control Account,UK Trade and Investments - Defence and Security Organisation,MOD - (THE ACCOUNTING OFFICER MINISTRY OF DEFENCE),1013120,410116.57,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,MORGAN HUNT PUBLIC SECTOR LTD,1011667,634.5,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,MORGAN HUNT PUBLIC SECTOR LTD,1010332,752,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,19-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,MORGAN HUNT PUBLIC SECTOR LTD,1012241,846,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,MORGAN HUNT PUBLIC SECTOR LTD,1010895,940,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,11-Nov-10,Hotels,UK Trade and Investments - Sectors Group,NOVOTEL LONDON EXCEL,1011642,2295,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Other Training Costs,UK Trade and Investments - Strategy and Human Resources Group,OPEN UNIVERSITY,1010844,7560,650748918
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Other Training Costs,UK Trade and Investments - Strategy and Human Resources Group,OPEN UNIVERSITY,1010846,7560,650748918
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Professional Training,UK Trade and Investments - International Group,OPEN UNIVERSITY,1012272,2530,650748918
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,22-Nov-10,Air Fares,UK Trade and Investments - Sectors Group,"Personal expense, name witheld",10274347,841.52,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,25-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,"Personal expense, name witheld",10274412,609.68
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hotels Overseas,UK Trade and Investments - Business Group,"Personal expense, name witheld",10274307,626.4
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,5-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,"Personal expense, name witheld",10274098,633.6
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hotels Overseas,UK Trade and Investments - Defence and Security Organisation,"Personal expense, name witheld",10274132,899.09
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,1-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,"Personal expense, name witheld",10273974,1139.03
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Hotels Overseas,UK Trade and Investments - Business Group,"Personal expense, name witheld",10274135,1254.74
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,19-Nov-10,Hotels Overseas,UK Trade and Investments - International Group,"Personal expense, name witheld",10274316,2390.26
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Hotels Overseas,UK Trade and Investments - Defence and Security Organisation,"Personal expense, name witheld",10274483,3822.83
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Other Overseas T&S,UK Trade and Investments - Defence and Security Organisation,"Personal expense, name witheld",10274483,559.37
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,16-Nov-10,Other Overseas T&S,UK Trade and Investments - Marketing Group,"Personal expense, name witheld",10274243,931
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Professional Training,UK Trade and Investments - Marketing Group,"Personal expense, name witheld",10274004,517
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,26-Nov-10,Professional Training,UK Trade and Investments - International Group,"Personal expense, name witheld",10274413,3000
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Subsistence Payments Overseas,UK Trade and Investments - Defence and Security Organisation,"Personal expense, name witheld",10274483,535.18
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,19-Nov-10,Subsistence Payments Overseas,UK Trade and Investments - International Group,"Personal expense, name witheld",10274316,548.31
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,5-Nov-10,Subsistence Payments Overseas,UK Trade and Investments - Business Group,"Personal expense, name witheld",10274096,573.76
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,9-Nov-10,Subsistence Payments Overseas,UK Trade and Investments - Regional Directorate,"Personal expense, name witheld",10274131,1635.12
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,PRESSPLAN TRAVEL LTD,1012942,732.71,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,30-Nov-10,Hotels Overseas,UK Trade and Investments - Sectors Group,PRESSPLAN TRAVEL LTD,1012942,3100,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,12-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,ROISIN MCCLORY,1011743,3675,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,15-Nov-10,Other IT Costs,UK Trade and Investments - IT and Finance Group,S & S DATA LTD,1011623,1366.63,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Corporate Management Consultancy,UK Trade and Investments - IT and Finance Group,SPIKES CAVELL ANALYTIC LTD,1010729,1050,825 7346 15
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,4-Nov-10,Corporate Management Consultancy,UK Trade and Investments - IT and Finance Group,SPIKES CAVELL ANALYTIC LTD,1010729,1375,825 7346 15
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,STOPGAP LTD,1010491,897.51,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,29-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,STOPGAP LTD,1012930,4348.84,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,26-Nov-10,Hire of Agency Staff (Professional/Management),UK Trade and Investments - Marketing Group,STOPGAP LTD,1012881,5814.24,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Other Training Costs,UK Trade and Investments - Strategy and Human Resources Group,THE CREATIVE MANAGEMENT CONSULTANCY LTD,1012503,1500,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Other Training Costs,UK Trade and Investments - Strategy and Human Resources Group,THE CREATIVE MANAGEMENT CONSULTANCY LTD,1012504,1500,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,External Training,UK Trade and Investments - Regional Directorate,THE OPEN UNIVERSITY,1012508,2530,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,16-Nov-10,Information Facilities,UK Trade and Investments - Strategy and Human Resources Group,UBIQUS UK LTD T/A WESTMINSTER SONUS COMMUNICATIONS,1011993,503,407461367
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,23-Nov-10,Other Training Costs,UK Trade and Investments - Defence and Security Organisation,UNIVERSITY OF DUNDEE,1012567,760,GB270939731
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,VENN GROUP LTD,1010535,752,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,8-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,VENN GROUP LTD,1011061,940,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,16-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,VENN GROUP LTD,1011923,940,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,10-Nov-10,Mobile Call Charges,UK Trade and Investments - Sectors Group,VODAFONE LTD,1011611,534.13,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,3-Nov-10,Mobile Call Charges,UK Trade and Investments - Defence and Security Organisation,VODAFONE LTD,1009923,1065.39,
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,16-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,XCHANGETEAM GROUP LTD,1011022,1017.77,731 1356 67
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,XCHANGETEAM GROUP LTD,1012271,1061.69,731 1356 67
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,2-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,XCHANGETEAM GROUP LTD,1010533,1327.12,731 1356 67
"Department for Business, Innovation and Skills",UK Trade and Investment Administration,18-Nov-10,Hire of Agency Staff (Clerical/Secretariat/Other),UK Trade and Investments - Strategy and Human Resources Group,XCHANGETEAM GROUP LTD,1012270,1327.12,731 1356 67

,,,,,,,810631.34,
