Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2604,30218,Photography,Canon,28/02/2018,PC 261/38,322,2x Canon IXUS 285 HS,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Roadchef,28/02/2018,PC 261/40,88.33,Temporary accommodation,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Administrative Equipment,Lyreco,28/02/2018,PC 261/43,35.1,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/44,24.57,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/45,8.74,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Lyreco,28/02/2018,PC 261/46,6.99,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/47,1.5,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1316,30229,Stationery,Lyreco,28/02/2018,PC 261/48,7.1,stationery ,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2609,30229,Stationery,Lyreco,28/02/2018,PC 261/49,16.68,stationery ,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3306,30206,Paper,Lyreco,28/02/2018,PC 261/50,387.2,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Administrative Equipment,Lyreco,28/02/2018,PC 261/51,20.93,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Stationery,Lyreco,28/02/2018,PC 261/52,9.15,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1211,30234,Promotions,Lyreco,28/02/2018,PC 261/53,49.16,stationery ,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2540,30229,Stationery,Lyreco,28/02/2018,PC 261/54,4.5,stationery ,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30229,Stationery,Lyreco,28/02/2018,PC 261/55,37.16,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/56,3.16,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3401,30229,Stationery,Lyreco,28/02/2018,PC 261/57,16,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/58,0.92,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Stationery,Lyreco,28/02/2018,PC 261/59,38.09,stationery ,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Lyreco,28/02/2018,PC 261/60,30.45,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3306,30206,Paper,Lyreco,28/02/2018,PC 261/61,72.2,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/62,15.02,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/63,2.4,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Planning,2608,30229,Stationery,Lyreco,28/02/2018,PC 261/64,24.8,stationery ,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/65,11.7,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Stationery,Lyreco,28/02/2018,PC 261/66,17.25,stationery ,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,1415,30229,Stationery,Lyreco,28/02/2018,PC 261/67,319.36,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,3102,30229,Stationery,Lyreco,28/02/2018,PC 261/68,29.22,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/69,24,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/70,25.14,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30229,Stationery,Lyreco,28/02/2018,PC 261/71,23,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/72,0.96,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30229,Stationery,Lyreco,28/02/2018,PC 261/73,1.46,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2555,10026,General Repairs / Maintenance,Lyreco,28/02/2018,PC 261/74,92.4,stationery ,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,3102,30229,Stationery,Lyreco,28/02/2018,PC 261/75,15.64,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3805,30229,Stationery,Lyreco,28/02/2018,PC 261/76,9.15,stationery ,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/77,14.6,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3306,30206,Paper,Lyreco,28/02/2018,PC 261/78,210,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3811,30229,Stationery,Lyreco,28/02/2018,PC 261/79,32.78,stationery ,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2203,30229,Stationery,Lyreco,28/02/2018,PC 261/80,15.47,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30229,Stationery,Lyreco,28/02/2018,PC 261/81,3.66,stationery ,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3307,30229,Stationery,Lyreco,28/02/2018,PC 261/82,15.28,stationery ,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30227,Postages,Neopost,28/02/2018,PC 261/85,2000,topping up of franking machine,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1327,30004,Administrative Equipment,Amazon Marketplace,28/02/2018,PC 261/86,10.71,Dustpan and brush,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3805,30159,Magistrates Court Fees,HM Courts,28/02/2018,PC 261/92,648,C T Summons,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3805,30159,Magistrates Court Fees,HM Courts,28/02/2018,PC 261/93,633,C T Summons,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Financial Services,3804,30159,Magistrates Court Fees,HM Courts,28/02/2018,PC 261/94,57,NNDR Summons,Central Services to the Public,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2402,30090,Bed & Breakfast,Premier Inn,28/02/2018,PC 261/96,149.17,B&B,Other Housing Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Equipment Maintenance,Wilko,28/02/2018,PC 261/99,16.67,Toilet Seat,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30101,Equipment Maintenance,Ironmongery Experts,28/02/2018,PC 261/100,79,Fire Door Guard,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30051,Clothing And Uniforms,Burch & Hills,28/02/2018,PC 261/103,4.98,Gloves,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Wickes,28/02/2018,PC 261/104,108.28,Paint,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Burch & Hills,28/02/2018,PC 261/105,27.5,Tools,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Wickes,28/02/2018,PC 261/106,13.31,Paint,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Euro Car Parts,28/02/2018,PC 261/107,10,Super plus universal,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Wickes,28/02/2018,PC 261/108,193.26,Sound pan,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2565,30010,Handyman Materials,B&Q,28/02/2018,PC 261/109,25.55,Saw,Markets and Car Boot Sales,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,6,Training Expenses,Reed,28/02/2018,PC 261/110,204.17,Maths Level 2 ,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6524,40012,Contract Costs,Jewson,28/02/2018,PC 261/111,12.18,Building Sand,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Wickes,28/02/2018,PC 261/112,122.08,Sound pan,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Jewson,28/02/2018,PC 261/113,22.29,Circle postcrete,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2537,30057,Computer Equipment & Software,Amazon,28/02/2018,PC 261/116,5.57,Power Bank,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2538,30057,Computer Equipment & Software,Amazon,28/02/2018,PC 261/117,2.75,Power Bank,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3304,30012,Computer Consumables,Amazon,28/02/2018,PC 261/118,69.5,Apple Cables,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3304,30012,Computer Consumables,Amazon,28/02/2018,PC 261/119,53,Apple Cables,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1411,30236,Public Relations/Consultations,MailChimp,28/02/2018,PC 261/122,36.45,Monthly plan - 2801 - 5000 subscribers,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1314,30004,Administrative Equipment,Adobe,28/02/2018,PC 261/123,118,Design software,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1409,30236,Public Relations/Consultations,Facebook,28/02/2018,PC 261/124,25.62,Boosted post - Rushmoor Commun Lottery,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2554,30244,Recycling Publicity/Promotion,Facebook,28/02/2018,PC 261/125,55.62,Boosted post - bin collection,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1211,30234,Promotions,Traidcraft,28/02/2018,PC 261/127,68.58,Fairtrade sundries,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6573,40012,Contract Costs,RIBA Enterprises,28/02/2018,PC 261/128,20.5,RIBA Books ,Other,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,1202,30004,Administrative Equipment,Amazon,28/02/2018,PC 261/129,37.9,Files,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6573,40012,Contract Costs,Thames Water,28/02/2018,PC 261/130,174,Depot works,Other,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2565,30010,Handyman Materials,Ryman,28/02/2018,PC 261/133,14.98,Till rolls ,Markets and Car Boot Sales,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,B&Q,28/02/2018,PC 261/134,11.66,Supplies from B&Q,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,B&Q,28/02/2018,PC 261/135,76.67,Door lining,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2565,30010,Handyman Materials,Screwfix,28/02/2018,PC 261/136,18.31,Super glue,Markets and Car Boot Sales,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Jewson LTD,28/02/2018,PC 261/137,49.82,Sawn Carcassing ,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,City Plumbing,28/02/2018,PC 261/138,9.52,Pipe installation,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,Selco Builders,28/02/2018,PC 261/139,9.85,Black tape,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,City Plumbing,28/02/2018,PC 261/140,71.4,Pipe installation,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,Screwfix,28/02/2018,PC 261/141,41.3,Barrier pipes,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3305,10026,General Repairs / Maintenance,Pelsis,28/02/2018,PC 261/144,70.47,Decoy Owl,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2228,30197,Operational Equipment,Cupboards Direct ,28/02/2018,PC 261/145,246,Furniture,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Environmental Health and Housing,2207,30101,Equipment Maintenance,Viking ,28/02/2018,PC 261/146,61.79,Pilot Case,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,ICT and Facilities,3305,10026,General Repairs / Maintenance,B&Q,28/02/2018,PC 261/147,18.64,LED Tube,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1304,30042,Charity Dinner Dance,Goboplus,28/02/2018,PC 261/148,131.2,Lantern,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Wickes,28/02/2018,PC 261/151,16.41,Soft Reveal Liner,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Wickes,28/02/2018,PC 261/152,306.37,Roundline Gutter,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Safety Buyer,28/02/2018,PC 261/153,291.53,Safety Notice Boards,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Trade Assessment,28/02/2018,PC 261/154,3350,Course,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,S.A Lunn,28/02/2018,PC 261/155,39.96,Water meter,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,Screwfix,28/02/2018,PC 261/156,27.09,Screwfix supplies,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,Screwfix,28/02/2018,PC 261/157,51.07,Solvent cement,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Inspired,28/02/2018,PC 261/158,128.42,Inspired supplies,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2553,30479,Doman Rd Surrey Heath Lease,Screwfix,28/02/2018,PC 261/159,2.75,Flo-fit stop ends,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,Comleys Saw Mills,28/02/2018,PC 261/160,520.83,Bricks,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,Comleys Saw Mills,28/02/2018,PC 261/161,156.25,Bricks,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,KBO Fire & Security,28/02/2018,PC 261/162,20,Timners,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/163,60.86,Hammerfix,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,HSD Online,28/02/2018,PC 261/164,195.48,Baby changing table,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,Paypal,28/02/2018,PC 261/165,552,Toilet room pack,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/166,20.8,Foam Gun Cleaner,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Covers,28/02/2018,PC 261/167,182.69,Covers supplies,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/168,15.96,Mid Peak Vented Slip,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Legal,5215,40012,Contract Costs,Screwfix,28/02/2018,PC 261/169,75.01,Fire Alarm Symbol,Trading Accounts,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,VUE,28/02/2018,PC 261/170,19.5,OperativesTest,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,VUE,28/02/2018,PC 261/171,19.5,OperativesTest,Environmental & Regulatory Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6226,40012,Contract Costs,VUE,28/02/2018,PC 261/172,19.5,OperativesTest,Environmental & Regulatory Services,GPC
