Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Concessionary Reimbursement,01/04/2016,1900046300,"1,182.00",METRO TAXIS LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Project Support Services,01/04/2016,5100091917,"74,016.20",METROLINK RATP DEV LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Project Support Services,01/04/2016,5100092135,"102,972.71",METROLINK RATP DEV LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Driver Intervention Course Delivery Costs,01/04/2016,5100093427,"1,087.91",MILES AHEADDRIVER TRAINING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091595,"2,000.00",MORSON INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092299,"1,200.00",MORSON INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092513,"2,000.00",MORSON INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092516,"7,740.00",MORSON INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092726,"1,713.96",MOTT MACDONALD LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Design Support Services,01/04/2016,5100093451,"9,252.29",MOTT MACDONALD LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Design Support Services,01/04/2016,5100093452,"42,928.03",MOTT MACDONALD LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Metrolink Operating Costs,01/04/2016,5100091860,"8,812.51",MPACT THALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091866,"2,606.00",MPACT THALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092271,"1,979.00",MPACT THALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Rail Construction Works,01/04/2016,5100092843,"2,996.02",NETWORK RAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Exhibitions and Conferences,01/04/2016,5100092724,"10,292.30",NEXUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Vehicle Repairs & Maintenance,01/04/2016,5100092548,555.00,OPTARE LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Procurement Services,01/04/2016,5100093503,"10,500.00",OPUS BESTPAY LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091463,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100091837,"1,852.70",PERTEMPS PROFESSIONAL STAFFING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092155,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092367,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Programme and Project Management Services,01/04/2016,5100092795,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Corporate Services,Temporary Vacancy Cover,01/04/2016,5100093051,"6,272.00",PWS TECHNICAL SERVICES (UK) LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Cycling Support Services,01/04/2016,5100093382,540.00,QUEENS HALL ACTION ON POVERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091662,"1,435.00",QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091665,"1,600.37",QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100091742,"3,063.14",QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Passenger Shelter Costs ,01/04/2016,5100092407,"1,891.26",QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Capital Costs - Passenger Shelter Costs,01/04/2016,5100092532,975.00,QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TfGM,Transport,Property & Equipment Maintenance,01/04/2016,5100092738,"1,172.55",QUEENSBURY SHELTERS LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
