Number of applications in England and Wales divided by local authority,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Sep-17,,,,,,,,,,,
Local Authority,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
CROYDON,6,210,30,2560,1343,13,189,1,85,6347,1361,12145
DACORUM,22,46,36,997,521,5,65,0,64,2052,471,4279
DARLINGTON,9,23,39,628,273,1,65,0,43,1037,219,2337
DARTFORD,3,30,48,852,444,2,168,0,29,1648,490,3714
DAVENTRY,21,14,86,544,247,3,135,0,44,1135,246,2475
DENBIGHSHIRE,29,20,23,612,242,4,33,0,54,1037,246,2300
DERBYSHIRE DALES,56,13,39,476,181,0,61,0,66,911,247,2050
DONCASTER,56,31,91,1628,801,9,173,0,105,2635,556,6085
DOVER,3,18,39,800,374,1,86,0,31,1484,322,3158
DUDLEY,50,54,58,1805,811,5,91,0,74,2840,612,6400
DURHAM,0,0,0,0,0,0,0,0,2,0,0,2
EALING,7,177,14,2043,1040,4,121,0,93,5789,1188,10476
EAST CAMBRIDGESHIRE,34,7,38,527,278,1,57,1,37,1109,223,2312
EAST DEVON,24,20,65,1188,520,3,131,0,63,1774,517,4305
EAST DORSET,10,15,17,694,296,3,27,0,38,1054,254,2408
EAST HAMPSHIRE,30,26,33,773,423,2,112,0,62,1768,466,3695
EAST HERTFORDSHIRE,12,45,45,1070,476,3,67,0,73,2259,590,4640
EAST LINDSEY,69,25,65,981,407,6,90,0,104,1649,374,3770
EAST NORTHAMPTONSHIRE,32,23,25,711,318,0,69,0,40,1165,250,2633
EAST RIDING OF YORKSHIRE,99,41,165,2327,1118,13,191,0,184,3549,789,8476
EAST STAFFORDSHIRE,29,24,40,724,315,2,68,0,60,1116,257,2635
EASTBOURNE,1,38,14,793,367,0,30,0,22,1603,596,3464
EASTLEIGH,12,22,44,914,437,4,115,0,35,1611,408,3602
EDEN,51,15,41,387,170,2,36,0,32,652,166,1552
ELMBRIDGE,2,41,21,1086,511,5,60,0,46,2820,567,5159
ENFIELD,6,98,13,1894,885,1,79,0,58,4806,942,8782
EPPING FOREST,17,40,24,890,433,2,60,1,71,2116,444,4098
EPSOM AND EWELL,2,14,7,511,264,4,28,0,19,1018,251,2118
EREWASH,13,7,10,724,321,1,51,0,28,1056,235,2446
EXETER,23,18,22,793,390,5,119,0,40,1446,369,3225
FAREHAM,13,15,18,785,364,1,57,0,39,1245,298,2835
FENLAND,49,12,46,673,292,3,63,0,35,1181,272,2626
FLINTSHIRE,41,28,43,971,418,5,60,0,69,1685,346,3666
FOREST HEATH,24,12,44,492,207,2,64,0,29,832,189,1895
FOREST OF DEAN,36,10,43,481,209,2,43,0,58,813,235,1930
FYLDE,11,40,27,511,330,4,54,0,50,1418,397,2842
GATESHEAD,23,28,45,1230,598,1,51,0,55,2121,485,4637
GEDLING,19,9,14,818,333,1,31,0,21,1106,278,2630
GLOUCESTER,17,25,19,923,394,9,45,0,90,1278,453,3253
GOSPORT,8,33,7,565,291,1,10,0,16,985,211,2127
GRAVESHAM,8,22,10,626,316,5,50,0,22,1369,270,2698
GREAT YARMOUTH,29,21,17,640,313,0,23,0,31,1014,240,2328
GREENWICH,1,238,11,1708,840,4,240,0,64,4767,857,8730
GUILDFORD,7,48,32,1055,437,10,44,0,58,2127,429,4247
GWYNEDD,93,16,43,748,292,7,52,0,83,1537,315,3186
HACKNEY,0,139,13,1458,741,19,141,0,92,4575,1238,8416
HALTON,11,93,26,713,291,1,67,0,36,1246,282,2766
HAMBLETON,53,11,59,538,255,4,56,0,47,975,254,2252
HAMMERSMITH AND FULHAM,3,173,14,1329,907,12,177,0,85,4644,1117,8461
HARBOROUGH,27,8,47,585,270,3,81,0,42,1352,394,2809
HARINGEY,5,116,5,1593,764,16,79,1,76,4951,1142,8748
HARLOW,1,7,9,556,261,0,64,4,22,892,245,2061
HARROGATE,68,26,57,1524,536,2,77,0,77,1980,418,4765
HARROW,2,104,10,1396,654,1,79,0,75,3351,780,6452
HART,17,32,27,662,300,1,75,0,44,1276,274,2708
HARTLEPOOL,15,13,18,485,194,2,65,0,18,747,164,1721
HASTINGS,2,59,9,823,363,1,50,0,18,1565,332,3222
HAVANT,19,40,20,816,349,3,26,0,23,1268,310,2874
HAVERING,18,65,12,1809,785,3,110,0,47,3314,711,6874
HEREFORDSHIRE,78,35,78,1209,531,2,127,0,112,2129,815,5116
HERTSMERE,4,65,12,651,324,1,54,0,42,1657,368,3178
HIGH PEAK,40,15,36,640,283,0,65,0,57,1184,281,2601
HILLINGDON,3,94,26,1815,863,3,107,0,111,3991,951,7964
HINCKLEY AND BOSWORTH,22,11,27,806,379,3,51,0,46,1329,342,3016
HORSHAM,23,73,60,993,500,4,125,0,86,2171,560,4595
HOUNSLOW,7,104,14,1439,725,6,203,0,77,4066,811,7452
HUNTINGDONSHIRE,48,36,61,1320,567,0,167,0,75,2074,490,4838
HYNDBURN,31,8,17,435,236,3,9,0,74,1077,218,2108
IPSWICH,14,29,18,896,458,2,29,0,38,1570,299,3353
ISLE OF ANGLESEY,64,13,19,419,193,4,21,0,49,872,225,1879
ISLE OF WIGHT,55,25,36,1023,512,5,87,0,66,1893,463,4165
ISLES OF SCILLY,0,0,0,7,2,0,3,0,1,26,8,47
ISLINGTON,2,112,10,1326,542,27,108,0,66,4805,1064,8062
KENSINGTON AND CHELSEA,5,195,6,1411,582,11,129,1,107,6911,1676,11034
KETTERING,20,13,52,762,327,3,67,0,36,1094,321,2695
KING'S LYNN AND WEST NORFOLK,72,29,56,1139,491,6,73,0,89,1716,449,4120
KINGSTON UPON THAMES,7,84,10,1228,472,5,46,0,51,2709,545,5157
KIRKLEES,49,140,112,2573,1137,25,167,0,93,4300,929,9525
KNOWSLEY,19,60,56,815,336,3,141,0,44,1530,446,3450
LAMBETH,8,311,18,2304,1222,8,183,0,79,6167,2241,12541
LANCASTER,64,30,34,894,435,5,76,0,99,1496,355,3488
LEEDS,90,232,140,4796,2220,18,358,0,218,8061,1943,18076
LEICESTER,19,45,40,1477,672,4,120,0,143,2731,628,5879
LEWES,16,30,40,678,346,2,40,0,24,1424,344,2944
LEWISHAM,2,212,14,1891,996,11,134,0,46,4892,1225,9423
LICHFIELD,20,15,29,728,299,0,84,0,34,1499,340,3048
LINCOLN,17,26,28,620,291,3,62,0,62,907,190,2206
LIVERPOOL,59,271,112,3109,1282,13,458,0,170,5954,1304,12732
LUTON,22,35,14,1199,575,7,133,0,37,2307,453,4782
MAIDSTONE,12,45,59,1245,584,6,155,0,59,2398,781,5344
MALDON,20,6,21,365,199,2,23,0,30,784,176,1626
MALVERN HILLS,33,10,34,569,225,3,64,0,67,928,495,2428
MANCHESTER,21,183,109,3470,1603,140,273,0,205,8032,2254,16290
MANSFIELD,19,8,18,682,294,1,41,0,34,1071,234,2402
MEDWAY,18,67,26,1832,920,3,114,0,69,3400,715,7164
MELTON,18,4,29,369,153,0,28,0,22,670,146,1439
MENDIP,63,16,55,785,377,3,90,0,70,1392,425,3276
MERTHYR TYDFIL,25,1,16,359,134,1,16,0,16,703,96,1367
MERTON,4,95,20,1392,678,6,123,0,66,3680,907,6971
MID DEVON,41,9,42,591,235,3,77,0,39,995,235,2267
MID SUFFOLK,42,9,80,631,302,3,90,1,52,1251,240,2701
MID SUSSEX,10,59,38,1200,507,9,80,1,76,2379,604,4963
MIDDLESBROUGH,25,13,40,701,356,2,59,0,33,1093,245,2567
MILTON KEYNES,26,117,106,1867,923,12,248,0,91,3082,1109,7581
MOLE VALLEY,0,28,17,639,284,226,55,0,40,1314,293,2896
MONMOUTHSHIRE,37,53,36,661,249,2,47,0,55,1104,325,2569
NEATH PORT TALBOT,41,14,23,832,335,5,26,0,32,1397,298,3003
NEW FOREST,25,37,28,1286,532,4,84,0,72,2281,713,5062
NEWARK AND SHERWOOD,25,26,63,753,368,0,89,0,77,1314,279,2994
NEWCASTLE UPON TYNE,32,106,63,1637,758,6,131,0,83,3215,772,6803
NEWCASTLE-UNDER-LYME,22,15,21,755,338,0,28,0,50,1239,228,2696
NEWHAM,7,340,12,1999,765,9,285,0,77,4423,889,8806
NEWPORT,26,85,59,1126,476,7,141,1,65,1987,397,4370
NORTH DEVON,30,11,45,746,327,4,91,0,64,1110,228,2656
NORTH DORSET,23,6,16,478,210,2,26,0,30,853,256,1900
NORTH EAST DERBYSHIRE,43,9,29,610,245,0,54,0,43,952,242,2227
NORTH EAST LINCOLNSHIRE,46,25,30,942,433,5,47,0,76,1390,325,3319
NORTH HERTFORDSHIRE,28,37,38,888,418,1,65,0,48,1563,407,3493
NORTH KESTEVEN,49,27,71,893,351,4,122,0,78,1269,341,3205
NORTH LINCOLNSHIRE,74,14,47,1072,435,4,97,0,83,1641,310,3777
NORTH NORFOLK,67,21,68,770,309,1,67,0,120,1507,405,3335
NORTH SOMERSET,50,52,39,1534,826,5,128,0,94,2824,631,6183
NORTH TYNESIDE,31,69,81,1384,573,5,96,0,71,2287,555,5152
NORTH WARWICKSHIRE,21,7,10,473,194,5,37,0,30,1323,168,2268
NORTH WEST LEICESTERSHIRE,31,16,71,684,326,7,112,0,56,1085,245,2633
NORTHAMPTON,16,35,28,1637,778,9,80,0,82,2300,670,5635
NORTHUMBERLAND,91,65,163,2055,843,4,216,0,189,3862,986,8474
NORWICH,12,45,32,859,392,3,73,0,42,1774,329,3561
NUNEATON AND BEDWORTH,12,25,36,822,367,7,49,0,34,1262,312,2926
OADBY AND WIGSTON,7,12,6,277,123,0,6,0,13,445,93,982
OLDHAM,15,34,51,1290,526,16,60,0,120,2691,620,5423
OXFORD,12,38,12,713,343,0,43,0,34,2017,330,3542
PEMBROKESHIRE,95,20,40,782,296,4,52,0,90,1355,308,3042
PENDLE,30,9,23,436,218,5,34,0,72,1036,207,2070
POOLE,17,65,27,1259,601,2,69,0,42,1906,525,4513
PORTSMOUTH,28,74,16,1458,720,11,57,2,63,2612,583,5624
POWYS,101,12,56,918,402,12,76,0,89,1561,409,3636
PRESTON,11,40,36,754,340,3,71,0,55,1559,275,3144
PURBECK,20,18,18,310,139,1,27,0,23,515,140,1211
READING,10,78,12,1082,561,5,103,0,48,2674,611,5184
REDBRIDGE,26,102,15,1832,806,3,79,0,49,3793,796,7501
REDCAR AND CLEVELAND,19,28,32,799,357,5,111,0,46,1303,283,2983
REDDITCH,23,9,12,708,269,3,36,0,20,949,239,2268
REIGATE AND BANSTEAD,1,49,28,1062,483,3,104,0,32,1912,517,4191
RHONDDA CYNON TAFF,83,10,54,1511,619,7,72,0,127,2605,363,5451
RIBBLE VALLEY,16,33,31,406,207,8,62,0,54,830,161,1808
RICHMOND UPON THAMES,0,92,17,1465,666,7,98,0,59,3536,814,6754
RICHMONDSHIRE,23,8,25,339,122,0,52,0,26,595,123,1313
ROCHDALE,22,35,56,1200,618,12,86,0,67,2401,528,5025
ROCHFORD,46,11,15,608,299,2,47,0,31,996,154,2209
ROSSENDALE,14,15,16,472,237,0,21,0,37,867,176,1855
ROTHER,11,25,42,861,370,4,57,6,29,1563,395,3363
ROTHERHAM,35,28,118,1448,646,6,105,0,62,2414,550,5412
RUGBY,16,19,44,740,359,5,72,0,53,1169,235,2712
RUNNYMEDE,3,29,24,568,282,1,46,0,16,1139,264,2372
RUSHCLIFFE,10,17,39,873,338,1,95,0,45,1276,308,3002
RUSHMOOR,22,31,55,642,272,5,47,0,22,1116,333,2545
RUTLAND,12,5,19,256,136,6,45,0,21,554,109,1163
RYEDALE,27,13,33,378,174,1,29,0,34,616,121,1426
SALFORD,18,123,24,1890,971,19,432,0,93,3841,1185,8596
SANDWELL,28,27,46,1571,732,36,117,0,66,2951,659,6233
SCARBOROUGH,75,53,38,1005,337,0,61,0,72,1363,311,3315
SEDGEMOOR,59,11,23,879,439,1,85,0,69,1436,364,3366
SEFTON,47,57,56,1583,753,9,74,0,86,2986,771,6422
SELBY,26,19,55,669,286,2,69,0,46,997,269,2438
SEVENOAKS,4,30,34,812,386,1,55,0,28,1630,354,3334
SHEFFIELD,169,104,120,3401,1484,54,291,0,220,5801,1541,13185
SHEPWAY,13,50,33,881,386,1,83,1,48,1633,417,3546
SHROPSHIRE,121,47,213,1834,921,7,249,0,212,3631,937,8172
SLOUGH,17,45,11,861,432,3,70,1,38,2074,481,4033
SOLIHULL,16,61,56,1324,633,8,101,0,76,2726,520,5521
SOUTH BUCKS,10,14,16,478,213,0,25,0,40,1428,295,2519
SOUTH CAMBRIDGESHIRE,51,14,69,1058,493,6,101,0,71,1870,506,4239
SOUTH DERBYSHIRE,20,12,80,661,295,3,94,0,32,1101,256,2554
SOUTH GLOUCESTERSHIRE,70,45,96,2033,934,10,203,0,83,2992,714,7180
SOUTH HAMS,21,10,45,765,328,7,93,0,71,1593,411,3344
SOUTH HOLLAND,29,5,42,624,252,3,65,0,58,818,195,2091
SOUTH KESTEVEN,38,22,52,978,429,1,92,0,67,1426,439,3544
SOUTH LAKELAND,59,25,65,849,344,3,70,0,64,1647,404,3530
SOUTH NORFOLK,60,31,133,959,472,2,135,0,65,1408,349,3614
SOUTH NORTHAMPTONSHIRE,23,18,85,648,310,4,116,0,35,1235,278,2752
SOUTH OXFORDSHIRE,35,15,46,971,450,10,74,0,83,2420,430,4534
SOUTH RIBBLE,49,30,13,723,334,4,27,0,36,1099,308,2623
SOUTH SOMERSET,80,21,68,1175,529,7,112,0,108,1875,510,4485
SOUTH STAFFORDSHIRE,41,10,36,651,282,1,33,0,47,1089,233,2423
SOUTH TYNESIDE,16,39,63,707,359,2,47,0,29,1418,387,3067
SOUTHAMPTON,42,69,58,1523,792,5,94,1,89,3062,769,6504
SOUTHEND-ON-SEA,23,61,6,1529,764,8,63,0,39,2679,616,5788
SOUTHWARK,5,269,17,1932,913,6,303,0,102,6135,1328,11010
SPELTHORNE,3,22,16,709,348,1,30,0,29,1338,335,2831
ST ALBANS,21,45,17,1035,496,4,30,0,27,1823,340,3838
ST EDMUNDSBURY,45,18,36,774,365,2,42,0,62,1167,296,2807
ST HELENS,25,46,55,1042,458,9,77,0,152,2045,476,4385
STAFFORD,46,28,77,849,411,2,117,0,74,1645,328,3577
STAFFORDSHIRE MOORLANDS,48,6,23,606,276,1,43,0,50,1104,200,2357
STEVENAGE,2,29,10,542,251,0,12,0,17,910,219,1992
STOCKPORT,38,92,54,1964,1033,1,172,0,82,3841,838,8115
STOCKTON-ON-TEES,15,31,53,1197,495,6,141,0,51,1926,407,4322
STOKE-ON-TRENT,21,35,70,1434,686,5,54,0,67,2441,431,5244
STRATFORD-ON-AVON,38,41,85,1026,465,4,183,0,73,1953,475,4343
STROUD,33,21,53,842,337,1,72,0,60,1282,333,3034
SUFFOLK COASTAL,57,52,76,910,407,5,73,0,80,1788,390,3838
SUNDERLAND,42,53,83,1352,653,3,98,0,73,2332,557,5246
SURREY HEATH,3,27,14,697,349,8,34,0,32,1264,275,2703
SUTTON,2,78,14,1327,668,6,159,0,30,2592,799,5675
SWALE,3,18,51,1305,504,4,91,0,47,1851,407,4281
SWANSEA,49,55,61,1660,665,3,75,0,129,2823,557,6077
SWINDON,33,56,66,1580,759,7,149,0,64,2383,656,5753
TAMESIDE,34,25,55,1305,579,4,81,0,82,2765,631,5561
TAMWORTH,9,14,20,545,290,1,33,0,15,703,174,1804
TANDRIDGE,4,29,19,682,330,3,58,0,28,1278,305,2736
TAUNTON DEANE,37,16,41,830,458,0,137,1,67,1422,359,3368
TEIGNBRIDGE,18,12,52,1016,454,3,99,0,53,1660,398,3765
TENDRING,56,24,42,1047,429,3,60,2,119,1844,484,4110
TEST VALLEY,26,42,58,821,387,8,149,0,56,1344,351,3242
TEWKESBURY,25,21,33,660,329,6,107,0,45,1108,310,2644
THANET,7,56,38,1138,598,4,50,0,34,2155,543,4623
THE VALE OF GLAMORGAN,20,43,65,966,414,11,95,0,44,1469,347,3474
THREE RIVERS,11,27,14,663,287,7,30,0,57,1280,274,2650
THURROCK,10,25,24,1211,569,1,79,2,45,2191,528,4685
TONBRIDGE AND MALLING,10,44,74,999,431,3,123,0,43,1640,419,3786
TORBAY,24,25,21,995,466,9,67,0,43,1665,432,3747
TORFAEN,31,32,25,535,198,1,24,0,28,795,168,1837
TORRIDGE,29,6,22,542,255,3,42,0,39,773,212,1923
TOWER HAMLETS,4,283,14,1894,918,28,354,0,121,6824,2680,13120
TRAFFORD,34,51,23,1695,872,8,139,0,92,2957,788,6659
TUNBRIDGE WELLS,5,69,46,861,431,0,74,2,50,1880,457,3875
UTTLESFORD,16,21,42,754,310,1,84,0,77,1577,303,3185
VALE OF WHITE HORSE,15,38,74,889,371,8,224,0,108,2178,443,4348
WAKEFIELD,51,67,119,1905,852,10,212,0,110,2978,645,6949
WALSALL,33,51,76,1466,576,16,106,0,62,2400,603,5389
WALTHAM FOREST,21,138,26,1741,746,4,74,0,70,4242,881,7943
WANDSWORTH,2,329,23,2650,1200,9,405,0,106,7833,1677,14234
WARRINGTON,30,51,47,1425,656,3,46,0,84,2697,634,5673
WARWICK,20,55,37,1005,461,5,121,0,44,2070,416,4234
WATFORD,14,34,6,693,324,2,42,0,61,2187,351,3714
WAVENEY,49,32,25,729,329,1,45,0,43,1512,249,3014
WAVERLEY,4,45,36,942,462,6,76,1,56,2339,406,4373
WEALDEN,28,33,63,1212,526,2,99,0,61,2200,478,4702
WEAR VALLEY,0,0,0,1,0,0,0,0,0,0,0,1
WELLINGBOROUGH,11,8,14,529,247,0,37,0,42,767,184,1839
WELWYN HATFIELD,12,33,16,757,291,1,64,0,28,1367,370,2939
WEST BERKSHIRE,13,51,26,1112,469,4,81,0,46,2229,563,4594
WEST DEVON,32,7,9,494,145,3,22,0,30,741,188,1671
WEST DORSET,59,32,55,659,300,6,69,0,87,1518,451,3236
WEST LANCASHIRE,33,30,27,674,294,4,55,0,50,1165,262,2594
WEST LINDSEY,45,19,50,674,251,2,72,0,46,1057,244,2460
WEST OXFORDSHIRE,28,29,39,727,345,17,74,0,66,1682,381,3388
WEST SOMERSET,13,4,16,197,121,0,30,0,27,488,107,1003
WEYMOUTH AND PORTLAND,14,16,28,480,231,1,46,0,38,655,197,1706
WIGAN,75,117,95,1873,895,11,130,0,244,3323,796,7559
WILTSHIRE,154,87,183,3324,1445,23,364,0,249,5536,1536,12901
WINCHESTER,38,17,49,763,405,6,63,0,55,1680,453,3529
WINDSOR AND MAIDENHEAD,6,74,16,1145,492,7,62,0,56,2817,584,5259
WIRRAL,43,74,41,1917,858,7,73,0,68,3286,723,7090
WOKING,3,32,20,716,342,1,48,0,20,1689,424,3295
WOKINGHAM,9,53,63,1152,541,12,147,0,63,2182,508,4730
WOLVERHAMPTON,43,25,50,1174,504,8,80,0,91,2187,538,4700
WORCESTER,19,38,8,679,313,2,21,0,26,1074,394,2574
WREKIN,41,22,75,1061,530,2,158,0,69,1816,574,4348
WORTHING,19,48,17,837,413,5,64,0,23,1420,416,3262
WREXHAM,57,31,29,671,288,8,41,0,49,1257,245,2676
WYCHAVON,50,40,68,843,343,1,150,0,88,1519,572,3674
WYCOMBE,42,63,52,1224,497,4,107,0,79,2588,900,5556
WYRE,44,37,48,693,320,1,53,0,65,1325,277,2863
WYRE FOREST,46,9,16,565,250,2,47,0,58,924,218,2135
YORK,65,118,48,1247,609,4,138,0,65,2056,494,4844
