Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Relief Type Description,Current Relief Award Start Date,Property Reference Number
"240, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",10000,Money Shop,"Dollar Financial Uk Ltd, Castlebridge Village, Kirtley Dr, Castle Marina, Nottingham, Ng7 1ld,  ",Empty Property Rate Non-Industrial,10/11/2015,104417302400N
"2nd Flr, 104, Duke Street, Barrow In Furness, Cumbria, LA14 1LP",3200,Hsbc Bank Plc,"55 Temple Row, Birmingham, West Midlands,  B2 5L",Empty Property Rate Non-Industrial,01/04/2011,104519509710N
"33, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",14750,Grangehall Estates Ltd,"C/O Lee Baron Ltd , 7 Swallow Place , London,  W1B 2AG  ",Empty Property Rate Non-Industrial,04/03/2014,105154000330N
"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",0,Howcol Properties Limited,"7 Reeds Gardens, Little Urswick, Cumbria,  LA12 0US",Empty Property Rate Non-Industrial,18/07/2013,103101600400N
"56, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",16750,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,02/10/2012,105154000560N
"5, Cavendish Street, Barrow In Furness, Cumbria, LA14 1SF",7200,Caroline Martin Property Limited,"The Old Mill, Thurstonfield, Carlisle,  CA5 6HQ",Empty Property Rate Non-Industrial,23/07/2014,105111600050N
"5, The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",3650,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309092N
"67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",10000,"Nat.Westminster Bank Plc,","Bilfinger Gva, Po Box 6079, Wolverhampton,  WV1 9RA",Empty Property Rate Non-Industrial,12/06/2015,112287600670N
"71, Risedale Road, Barrow In Furness, Cumbria, LA13 9QY",3950,Horrocks And Cross Limited,"Salthouse Road, Barrow In Furness, Cumbria,  LA14 2AL",Empty Property Rate Non-Industrial,24/06/2015,108358200710N
"89-91, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",26250,The Carphone Warehouse Uk Ltd,"Fao Lyn Smith, The Carphone Warehouse, 1 Portal Way, London,  W3 6RS",Empty Property Rate Non-Industrial,01/04/2008,105117300890N
"90, Abbey Road, Barrow In Furness, Cumbria, LA14 5QR",33250,Personal Pension Trustees Limited,"6 Crutched Friars Road, London,  EC3N 2PH",Empty Property Rate Non-Industrial,31/10/2015,104500108110N
"90, Market Street, Dalton In Furness, Cumbria, LA15 8DJ",6900,"Barclays Bank Plc,","55 Temple Row, Birmingham, West Midlands,  B2 5L",Empty Property Rate Non-Industrial,04/06/2011,113187600900N
"9, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",42000,Leto Limited,"C/O Lee Baron Ltd, 7 Swallow Place, London,  W1B 2AG",Empty Property Rate Non-Industrial,22/01/2015,105154000090N
"9 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",2700,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105117309110N
"Adj Unit 2d, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",4350,Anixter Industrial,"Inspired, East Hampstead Road, Bracknell, Uxbridge, Middlesex,  RG12 1YQ",Empty Property Rate Industrial,01/04/2011,104274209112N
"Cavendish House., 78, Duke Street, Barrow In Furness, Cumbria, LA14 1RR",38750,Farcastle Ltd,"C/O Lee Baron, 7 Swallow Place, London,  W1B 2AG",Empty Property Rate Non-Industrial,27/02/2015,105119500785N
"Chambers, 98, Duke Street, Barrow In Furness, Cumbria, LA14 1RD",0,High Speed Boats (Windermere) Ltd,"Hsmb Ltd, Ecclerigg Court, Windermere, Cumbria,  LA23 1LQ",Empty Property Rate Non-Industrial,01/04/2011,104519500945N
"Community Centre, Longway, Barrow In Furness, Cumbria, LA13 ODW",4000,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,25/04/2015,111539109000N
"Council Office Above Pavillion, Barrow Park, Abbey Road, Barrow In Furness, Cumbria, LA13 9BD",3450,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/07/2015,107300109963N
"Council Stores, 1st Floor, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",8900,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Industrial,01/04/2011,105119510013N
"Furness Print Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",43750,Reverseword Ltd,"Denton Holme Sawmill, Denton Holme, Carlisle,  CA2 5EQ",Empty Property Rate Industrial,30/11/2014,104253550100N
"Kwik Save, Holker Street, Barrow In Furness, Cumbria, LA14 5RA",115000,T W R Developments Limited,"The Former Kwik Save Property, 108 Duke Street, Barrow-In-Furness, Cumbria,  LA14 1LS",Empty Property Rate Non-Industrial,01/04/2010,104231609200N
"Office B Ambassador House, Dalton Road, Barrow In Furness, Cumbria, LA14 1HZ",9100,Accent Foundation Ltd,"Office A Ambassador House, Dalton Road, Barrow In Furness, Cumbria,  LA14 1HZ",Empty Property Rate Non-Industrial,29/10/2011,105117309207N
"Pt 3 & 4-5, Lawson Street, Barrow In Furness, Cumbria, LA14 2LS",12250,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,01/04/2011,105137700041N
"Rathbone Training Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",16000,Rathbone Training,"Attn Of Business Rates Payment Manager, Lambert Smith Hampton, 2nd Floor, , 41-51 Grey Street, Newcastle-Upon-Tyne,  NE1 6EE",Empty Property Rate Charitable,25/09/2015,104253560100N
"Stall 2, Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",5200,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",Empty Property Rate Non-Industrial,01/04/2011,105119511280N
"Stalls 110 & 111, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",3050,Barrow Borough Council,"C/O Estates Dept, Town Hall, Duke Street, Barrow In Furness, Cumbria,  LA14 2LD",Empty Property Rate Non-Industrial,27/10/2015,105119511100N
"St Patrick'S Catholic Club, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",9600,Lancaster Rc Diocesan Trustees,"Re: St Patricks Club, Parish Of Our Lady Of Furness, St Mary¿S Presbytery, Duke Street, Barrow,  LA14 1XW",Empty Property Rate Charitable,14/01/2014,103223609060N
"The King Alfred, Ocean Road, Barrow In Furness, Cumbria, LA14 3DU",22750,Walney Island South End Caravan Site Ltd,"Walney Island , Barrow In Furness, Cumbria,  LA14 3YQ",Empty Property Rate Non-Industrial,26/08/2015,102250209090N
"Unit 1 78-80, Dalton Road, Barrow In Furness, Cumbria, LA14 1JJ",32250,Cash Converters Limited,"C/O Bnp Paribas Real Estate, Att: Rating Support Unit, 9 Colmore Row, Birmingham,  B3 2BJ",Empty Property Rate Non-Industrial,30/06/2014,105117300780N
"Unit 1 At Greengate Bridge, Marsh Street, Barrow In Furness, Cumbria, ",0,Network Rail,"Fao Andrea Fisher, Network Rail , The Quadrent Mk, Aldergate, Milton Keynes,  MK9 1EN",Empty Property Rate Industrial,01/04/2011,107427609080N
"Unit 1 The Canteen Media & Arts Centre, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",2850,Horrocks & Cross Ltd,"Horrocks & Cross, Salthouse Road, Barrow-In-Furness, Cumbria,  LA14 2AL",Empty Property Rate Non-Industrial,01/09/2013,103342709225N
"Unit 2 Greengate Bridge,  , Marsh Street, Barrow In Furness, Cumbria, ",0,Network Rail,"Payables Property, Po Box 4145, Manchester,  M60 7WZ",Empty Property Rate Industrial,01/04/2011,107427609070N
"Unit 2, Long Lane Ind Estate, Billings Road, Long Lane, Barrow In Furness, LA13 0SG",10250,E Sutton &Son Ltd,"C/O E Sutton & Son Ltd, Riverside, Bacup, Lancs,  OL13 0DT",Empty Property Rate Industrial,23/03/2014,113487309114N
"Unit 3 Long Lane Industrial Estate, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",9500,E Sutton & Son Ltd,"Riverside Bacup, Lancashire,  OL13 0DT",Empty Property Rate Industrial,01/12/2014,113487309111N
"Unit 3 R/0, 331, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BS",11500,J R Gabriel Properties Ltd,"10 The Gardens, Dane Ghyll Park, Barrow-In-Furness, Cumbria,  LA14 4RE",Empty Property Rate Non-Industrial,24/12/2013,104457709040N
"Washington Hotel, Roose Road, Barrow In Furness, Cumbria, LA13 9RG",28000,Blake Henderson Ltd,"17 Mallard Close, Higham Ferrers, Northhants,  NN10 8JQ",Empty Property Rate Non-Industrial,31/10/2015,108359009010N
