Department family,Entity,Date,Expense type,Expense area,Supplier,Supplier Postcode,Transaction number,Amount
HMRC,HMRC,04/07/2011,Software coding,Information Management Services,Accenture (UK) Limited,EC3M 3BD,5100028345,11742
HMRC,HMRC,04/07/2011,Translation services,Estates & Support Services,K International,MK14  6PW,5100028370,39897.84
HMRC,HMRC,04/07/2011,Forensic Services,Criminal Investigations,CCL Forensics Limited,CV37 6NW,5100028371,165347.02
HMRC,HMRC,04/07/2011,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,#,5100028460,106815
HMRC,HMRC,05/07/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,1700027915,-27207.72
HMRC,HMRC,05/07/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,1700027937,-2172.3
HMRC,HMRC,05/07/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,1700027937,-62471.29
HMRC,HMRC,05/07/2011,Min AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100024916,34600.07
HMRC,HMRC,05/07/2011,Security services,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100024917,79435.5
HMRC,HMRC,05/07/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100025518,84476.2
HMRC,HMRC,05/07/2011,Filtered Mains Drinking Water,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100028338,31822.8
HMRC,HMRC,05/07/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,EC2M 4RB,5100028543,113851.91
HMRC,HMRC,05/07/2011,Storage (non enfmnt),Estates & Support Services,Derwent Facilities Management Ltd,HG2 8QT,5100028943,110061.98
HMRC,HMRC,05/07/2011,Govt auditing serv,E&C Central Services,Home Office Immigration & Nationali,NP20 9BB,5100029007,60000
HMRC,HMRC,05/07/2011,Debt collection serv,Debt Management & Banking,iQor holdings Limited,PR1 3EL,5100029042,274866.77
HMRC,HMRC,05/07/2011,Min AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100029081,49581.94
HMRC,HMRC,05/07/2011,Photocopiers,Commercial Directorate,Canon (UK) Ltd,RH2 8BF,5100029118,25365.29
HMRC,HMRC,06/07/2011,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100029138,61073.33
HMRC,HMRC,06/07/2011,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,NR3 1DD,5100029138,327.44
HMRC,HMRC,06/07/2011,Security services,Estates & Support Services,Mapeley Steps Limited,SE1 0TA,5100029308,39521.29
