Appendix B - Car Park Spaces (and charging class),,,,,,
Location,,,Spaces/Bays,,,
76,High Lane,Brookside Lane,23,1,0,Free
78,High Lane,Buxton Road            (Library),25,2,0,Free
77,High Lane,Buxton Road            (Medical Centre),31,1,0,Free
79,High Lane,Windlehurst Road,28,4,0,Free
27,"Hillgate, Town Centre",Higher Barlow Row,8,0,0,Free
29a,"Hillgate, Town Centre",Welcroft Street,13,0,0,Free
49,Marple,Chadwick Street,95,7,4,Class C
50,Marple,Derby Street,8,0,0,Contract only
51,Marple,Derby Way,53,5,1,Class C
53,Marple,Hollins Lane,35,3,0,Class C
54,Marple,Market Street,12,0,0,Contract only
55,Marple,Memorial Park,63,6,0,Class C
56,Marple,Springfield Avenue,9,1,0,Class C
57,Marple,Townley Terrace,30,3,0,Class C
44,Marple Bridge,Brabyns Brow,76,5,0,Free
132,Marple Bridge,Brabyns Park,0,0,0,Free
45,Marple Bridge,Hogarth Road (North),7,0,0,Free
46,Marple Bridge,Hogarth Road (South),6,0,0,Free
48,Marple Bridge,Longhurst Lane,14,2,0,Class C
47,Marple Bridge,Town Street,11,2,0,Class C
72,Offerton,Banks Lane,47,0,0,Free
73,Offerton,Greystokes/Holly Street,16,0,0,Free
74,Offerton,Hulme St,20,0,0,Free
75,Offerton,Marsland Terrace,9,0,0,Free
32,"Portwood,   Town Centre",Werneth Street,12,0,0,Free
67,Reddish,Ashbrook Lane,23,1,0,Free
70,Reddish,Margaret Street,22,0,0,Free
71,Reddish,Rupert Street,28,2,0,Free
37,Romiley,Dye Lane,15,0,0,Class C
39,Romiley,Guywood Lane   (Romiley Station),83,4,0,Class C
38,Romiley,Romiley Precinct,96,7,3,Class C
95,Shaw Heath,Green Street,33,3,0,Free
96,Shaw Heath,Heathland Terrace,6,0,0,Free
9,Town Centre,Armoury St.,61,0,0,Class B
16,Town Centre,Bamford Street,10,0,0,Contract only
10,Town Centre,Banbury St.,33,0,0,Class B
1,Town Centre,Churchgate,69,3,0,Class B
17,Town Centre,Edward Street,16,0,0,Contract only
3,Town Centre,Gt. Egerton St.,323,24,0,Class A
12,Town Centre,Heaton Lane (Multi -Storey),799,11,0,Class A
13,Town Centre,Hopes Carr,37,0,0,Class B
4,Town Centre,Knightsbridge,22,2,0,Class A
21,Town Centre,Loonies Court,16,0,0,Contract only
22,Town Centre,Lord Street 1,23,0,0,Contract only
23,Town Centre,Lord Street 2,10,0,0,Contract only
5,Town Centre,Merseyway,815,31,18,Class A
6,Town Centre,Newbridge La.,206,6,0,Class A
7,Town Centre,Ritz Cinema,87,0,0,Class A
25,"Waterloo,   Town Centre",Canal Street,16,0,0,Free
33,Woodley,Chapel Street,13,0,0,Free
