"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department of Energy and Climate Change","Coal Authority","Operations","13","CA5+","34068","44599","Planning Liaison Manager","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Operations Engineer","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Development Manager","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Senior Hydrogeologist","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","12","CA5+","34068","44599","Build Engineer","2.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","11","CA5+","34068","44599","SHE Advisor","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Operations","11","CA5+","34068","44599","CDM Co-ordinator","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5+","34068","44599","Accountant","1.00","Finance"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","11","CA5+","34068","44599","Finance Business Partner","1.00","Finance"
"Department of Energy and Climate Change","Coal Authority","Corporate Services","14","CA5+","34068","44599","Property Legal Services Manager","1.00","Operational delivery"
"Department of Energy and Climate Change","Coal Authority","Executive","1","CA5+","34068","44599","HR Manager","1.00","Human resources"
