DfENumber,SchoolName,Year,Places,PlaceAllocated,PlaceRefused,PlaceWithdrawn,WithdrawnFromProcess,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8163305,St Lawrences Ce Primary School,2014,30,26,0,30,0,26,9,10,7,4,0,0,0,7,0,29,20,0,0,0,56
8163222,St Marys Ce Primary School,2014,15,15,5,24,0,18,14,6,3,3,0,0,6,3,35,0,0,0,0,0,44
8163156,St Oswalds Ce Primary School,2014,42,40,0,27,0,39,7,11,5,4,1,1,20,7,38,0,0,0,0,0,67
8163003,St Pauls Ce Primary School,2014,25,25,23,83,0,43,29,40,7,12,0,2,26,4,99,0,0,0,0,0,131
8163403,St Wilfrids Rc Primary School,2014,40,40,21,63,1,57,29,23,10,6,0,0,0,0,0,51,0,74,0,0,125
8162227,Stockton On The Forest Primary School,2014,12,10,0,12,0,10,1,7,0,4,0,0,9,2,11,0,0,0,0,0,22
8162429,Tang Hall Primary School,2014,30,22,0,13,0,18,4,3,2,4,4,0,25,0,6,0,0,0,0,0,35
8162017,Westfield Community Primary School,2014,90,67,0,36,1,63,18,10,6,7,0,0,67,4,33,0,0,0,0,0,104
8163380,Wheldrake Ce Primary School,2014,30,29,0,3,0,29,2,1,0,0,0,1,28,0,3,0,0,0,0,0,32
8162240,Wigginton Primary School,2014,40,43,0,35,0,43,9,16,6,4,0,0,41,3,34,0,0,0,0,0,78
8162027,Woodthorpe Primary School,2014,60,52,0,30,1,43,11,13,8,3,5,0,41,7,30,0,0,0,0,0,83
8162015,Yearsley Grove Primary School,2014,60,51,0,16,1,47,9,7,4,0,1,0,25,15,27,0,0,0,0,0,68
