Quarter Year,Antrim and Newtownabbey RPPI,Antrim and Newtownabbey Standardised Price,Ards and North Down RPPI,Ards and North Down Standardised Price,Armagh City Banbridge and Craigavon RPPI,Armagh City Banbridge and Craigavon Standardised Price,Belfast RPPI,Belfast Standardised Price,Causeway Coast and Glens RPPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane RPPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh RPPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh RPPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim RPPI,Mid and East Antrim Standardised Price,Mid Ulster Average RPPI,Mid Ulster Standardised Price,Newry Mourne and Down RPPI,Newry Mourne and Down Standardised Price
Q2 2008,166.8513572,191817,174.5888679,234339,163.9819341,161640,159.3722919,168434,188.7788426,203817,162.9526585,154273,177.2517779,169875,165.6645249,222412,177.4474768,183728,153.303208,171463,173.7758523,195513
Q3 2008,151.8277833,174545,144.0635839,193367,148.607335,146485,149.2377015,157723,173.1538087,186948,152.2971294,144185,149.0958045,142891,142.0926598,190766,163.0541334,168825,145.1227096,162314,160.9866401,181124
Q4 2008,129.8824699,149316,141.2416911,189579,140.9670032,138953,127.3308062,134571,148.6525845,160495,151.6680045,143589,154.7685944,148327,132.0143086,177235,142.7315061,147783,132.3492915,148027,155.7831274,175270
Q1 2009,122.1580337,140436,132.6361015,178028,126.9389805,125126,120.7352216,127600,135.0491904,145808,130.0844882,123155,131.2030379,125743,119.5592857,160514,131.4319869,136084,108.7445962,121626,143.0984586,160998
Q2 2009,125.938746,144783,127.5769139,171238,130.1059392,128248,126.9948765,134216,130.7361889,141151,127.0010314,120236,133.679077,128116,123.1666636,165357,129.6597344,134249,113.5108677,126957,135.9751079,152984
Q3 2009,128.1271035,147298,129.2863545,173532,126.8740015,125062,129.4407493,136800,128.7290003,138984,126.3102035,119582,131.0492934,125595,121.8666042,163611,130.9818947,135618,116.4229924,130214,135.2766927,152198
Q4 2009,129.4517393,148821,126.4234418,169689,125.2022549,123414,127.4133762,134658,135.3829227,146168,128.8809362,122016,133.9589924,128384,124.0921009,166599,132.8206387,137522,115.0659464,128696,134.5808623,151415
Q1 2010,122.3449635,140651,123.9729971,166400,122.1676349,120423,121.6099809,128524,125.8620708,135889,125.8549179,119151,126.5461194,121279,120.7447051,162105,121.6082774,125913,109.6034073,122587,127.1254203,143027
Q2 2010,120.930592,139025,123.5906307,165887,117.9766701,116292,119.9747348,126796,128.9234775,139194,117.9797043,111695,122.9525997,117836,119.1089709,159909,129.4233858,134004,108.7633182,121647,124.470632,140040
Q3 2010,121.5873334,139780,122.6938471,164684,118.9123193,117214,116.1585356,122763,118.7996805,128264,115.9231536,109748,128.3644294,123022,120.0019442,161108,122.955569,127308,106.5879405,119214,123.3092419,138734
Q4 2010,110.868333,127457,113.4589858,152288,114.2051887,112574,107.2011279,113296,122.4872381,132245,108.1101889,102351,116.4043341,111560,112.2560727,150709,117.0464438,121189,100.6374942,112559,118.6354002,133475
Q1 2011,106.5681709,122514,108.3914942,145486,110.1470348,108574,101.2399522,106996,118.4023256,127835,113.1406711,107114,115.1791039,110386,105.9267031,142211,101.80306,105406,102.7977354,114975,112.1596044,126189
Q2 2011,107.6021932,123702,103.5595005,139001,102.4336258,100970,101.5522136,107326,112.5271137,121491,105.4237951,99808,124.860384,119664,100.5403958,134980,111.8054068,115763,98.51207814,110182,111.8931886,125890
Q3 2011,107.6205454,123724,103.3046076,138659,104.616763,103122,100.3887733,106097,105.9309648,114370,101.4753388,96070,109.7570809,105189,101.8408523,136726,109.0698684,112930,93.78610837,104896,109.7300506,123456
Q4 2011,99.6960809,114613,104.57366,140362,99.52957324,98108,97.13689678,102660,108.7462236,117409,95.88697608,90779,107.3144664,102848,99.67956896,133824,105.7823055,109526,89.29077615,99868,108.3286225,121879
Q1 2012,93.95011466,108008,95.38496003,128029,95.40654748,94044,88.50911385,93542,97.9401857,105742,98.31086239,93074,101.898198,97657,94.28332735,126580,98.68393614,102177,85.43878938,95560,102.4643882,115281
Q2 2012,94.48949505,108628,93.77591018,125869,94.71269863,93360,90.17094791,95298,101.072735,109124,96.39902087,91264,98.78379777,94673,93.64323634,125720,102.5073082,106136,89.94127777,100596,95.44854276,107388
Q3 2012,94.1566237,108245,93.79268681,125891,88.0406944,86783,88.75121263,93797,95.04768137,102619,91.48140584,86608,98.97472426,94856,93.61781093,125686,97.08931946,100526,84.64833075,94676,95.28938784,107209
Q4 2012,92.13684378,105923,91.98828497,123470,85.75230752,84527,85.56593366,90431,93.9187917,101401,91.08213596,86230,93.08512137,89211,92.82979552,124628,95.42372196,98801,81.33656109,90972,93.45113555,105141
Q1 2013,88.92698409,102233,88.86737543,119281,86.39866054,85165,83.16164902,87890,91.94279092,99267,87.35867067,82705,95.46729406,91494,90.0309989,120871,93.71788869,97035,83.34856106,93222,88.28224909,99325
Q2 2013,90.76153019,104342,90.01345642,120819,88.02108407,86764,85.78378795,90661,92.88347452,100283,90.24028336,85433,94.72851149,90786,90.91214596,122054,94.42919164,97771,85.86597287,96038,88.95143204,100078
Q3 2013,91.41480361,105093,91.08975254,122264,88.77280443,87505,88.75401142,93800,94.70374871,102248,91.26889127,86407,102.3845202,98123,92.51487036,124205,94.08562425,97416,88.0471301,98477,90.77451789,102129
Q4 2013,92.28828655,106097,92.19039164,123741,92.05399621,90739,90.4562889,95599,95.23592741,102823,90.68726155,85857,93.4313731,89543,92.68070502,124428,95.80900902,99200,87.23841507,97573,88.88265619,100001
Q1 2014,93.92972084,107984,94.01062641,126184,92.75882934,91434,91.04705274,96224,91.91871573,99241,91.14845298,86293,96.41896605,92406,93.76737299,125887,98.31656433,101796,91.59605083,102446,96.83483293,108948
Q2 2014,96.91493362,111416,95.87298326,128684,94.65935291,93307,95.46388342,100892,98.81238103,106684,92.26649232,87352,103.1543139,98861,97.93349996,131480,99.36838655,102886,92.22003999,103144,98.35070004,110653
Q3 2014,99.07544731,113900,97.21859978,130490,96.97103821,95586,97.84920799,103413,103.0449481,111254,96.19580661,91072,102.3022898,98045,96.63973773,129743,101.1507535,104731,92.09764913,103007,101.6441652,114359
Q4 2014,99.57125336,114470,98.83847347,132664,99.20677104,97790,99.43356197,105087,101.4507733,109533,98.2766025,93042,102.6519185,98380,101.2188385,135891,100.4574749,104013,98.13263493,109757,100.5673821,113147
Q1 2015,100,114963,100,134223,100,98572,100,105686,100,107966,100,94673,100,95838,100,134254,100,103539,100,111846,100,112509
Q2 2015,104.1080827,119685,101.2334286,135879,102.2699833,100809,102.5007331,108329,105.9210396,114359,99.67804991,94368,104.5966094,100243,103.2043428,138556,105.3972761,109128,104.1090842,116442,103.4674278,116410
Q3 2015,105.6192688,121423,104.1740816,139826,105.6582067,104149,106.7731989,112844,110.0073848,118771,103.635692,98115,110.7752677,106165,104.9847889,140947,104.8650383,108577,104.0813069,116411,107.9643209,121469
Q4 2015,106.71047,122677,104.5052255,140270,108.2337508,106688,106.9338051,113014,109.5226531,118248,103.1883758,97692,116.6005398,111748,106.5858505,143096,107.033646,110822,103.2361855,115465,108.949598,122578
Q1 2016,105.021341,120735,104.1382259,139778,109.260114,107699,105.0102196,110981,113.6304871,122683,106.6426522,100962,114.7562492,109980,106.0240358,142342,106.907315,110691,109.4773674,122446,107.3282836,120754
Q2 2016,111.3995259,128068,106.0533522,142348,112.9569992,111344,112.7928697,119206,113.7412263,122802,108.4198836,102645,114.7664151,109990,110.9450685,148949,112.4487943,116429,106.4870703,119101,110.4850252,124305
Q3 2016,113.8560129,130892,106.0533679,142348,111.8885944,110290,112.382334,118772,117.0264755,126349,111.6216994,105676,117.5779392,112685,111.9870992,150348,114.8746271,118941,110.9703865,124116,113.9890849,128248
Q4 2016,113.8742474,130913,106.6210634,143110,112.9979138,111384,112.6888193,119096,118.7604057,128221,113.5462789,107498,118.1738277,113256,110.6315795,148528,114.9335555,119002,110.459097,123544,113.0368643,127176
Q1 2017,112.4829415,129313,106.6549281,143156,115.5168841,113867,110.7783046,117077,119.1562159,128649,115.005342,108879,116.7223315,111865,110.2256702,147983,112.7438667,116734,110.6037045,123706,115.0665983,129460
Q2 2017,117.0765577,134594,109.7277515,147280,116.7528652,115085,113.8352283,120308,121.7998949,131503,116.5206034,110314,123.3778431,118243,114.3880862,153571,116.4904487,120614,115.2343065,128885,117.3861345,132070
,119.379468,137242,112.3299384,150773,119.3412777,117637,116.7698005,123409,127.7035452,137877,121.8287886,115339,127.1424911,121851,119.1513617,159966,119.0208518,123234,118.3470003,132366,121.4551684,136648
