"Figure 4.1: Broadband take-up trend, 2005 – 2010",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.5: Households without an internet connection,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Adults 15+ (%),UK,England,Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Likely to acquire,5,5,7,10,4,5,5,6,3,4,3,8,3,5,5,6,6,9,5,6
Voluntary non-ownership,8,8,7,9,9,8,6,5,5,8,9,13,6,10,9,8,5,9,6,11
Involuntarily non-ownership,9,8,15,9,12,8,6,8,5,8,7,12,7,7,11,12,8,15,8,8
Don't know,4,4,7,6,2,4,4,6,3,1,3,5,6,5,5,4,4,5,5,5
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
QE24. How likely is it that your household will get internet access at home in the next 12 months? QE25. Why are you unlikely to get internet access at home in the next 12 months?,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.6: Use of online applications among broadband users in England,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use (%),Streamed audio services,Uploading/ adding content to internet,Listening to radio,Realtime gambling/auctions,Instant messaging,Watching video clips/ webscasts,Finding/ downloading info for college,Using local council/ Government websites,Find health information,Downloading music/films/video clips,Playing games,Finding/ downloading info for work,TV/ Video viewing,Finding/ downloading info for personal use,Using social networking sites,Banking,General surfing/browsing,Sending and receiving email,Any,
Used in the past week,4,8,11,10,23,22,23,16,15,20,26,31,31,36,46,46,73,77,96,
Use less often,5,9,10,12,11,15,14,23,24,20,14,16,23,21,11,15,13,11,2,
Total,9,17,21,22,34,37,37,39,39,40,40,47,54,57,57,61,86,88,98,
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
Base: All adults aged 15+ with broadband internet at home (n= 3898 England),,,,,,,,,,,,,,,,,,,,
"QE5. Which, if any, of these do you or members of your household use the internet for while at home?",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.7: Use of the internet to access local council/government websites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use (%),UK,England,  Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Local council/ gov't sites,26,29,13,18,16,28,32,37,35,39,16,14,30,25,26,26,37,11,29,15
,,,,,,,,,,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 15+ with access to the internet at home (n= 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.8: Use of the internet to access online banking websites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use (%),UK,England,  Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Banking,43,45,29,36,36,44,51,43,51,49,46,38,46,40,49,40,46,32,47,31
,,,,,,,,,,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 15+ with access to the internet at home (n= 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.9: Use of the internet to find information on health-related issues,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use(%),UK,England,  Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Use of internet for info on health-related issues,27,29,14,19,17,28,30,31,31,33,22,21,33,30,25,26,33,18,27,25
,,,,,,,,,,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: Adults aged 15+ with access to the internet at home (n= 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland) ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Figure 4.10: Frequency of use of social networking sites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Use (%),UK,England,Scotland,Wales,N Ireland,Eng urban,Eng rural,London,SE,SW,EM,WM,EE,Y&H,NE,NW,Outer London,Metropolitan WM,G'tr Manchester Met,W Yorkshire Met
Used social networking sites in past week,32,34,19,30,26,33,38,35,39,39,34,23,32,35,34,33,35,25,32,33
Used social networking sites less than weekly,8,8,8,7,10,8,8,7,8,8,10,12,9,8,4,6,8,10,10,9
Total,40,42,27,37,37,42,45,42,47,47,44,36,41,42,38,38,42,35,42,42
% point changes since Q1 09,10,11,7,12,9,10,19,12,3,4,10,8,19,14,4,13,,,,
,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 5709 England, 1468 Scotland, 1075 Wales, 761 Northern Ireland)",,,,,,,,,,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?/ And, which, if any, of these activities have you or members of your household used the internet for in the last week?",,,,,,,,,,,,,,,,,,,,
