Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,CAPGEMINI UK PLC,0000178920,666.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,SYSTEM ASSOCIATES,0000179122,"3,100.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,IT SERVICES - OPERATIONS,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000179160,"1,529.30"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,LINE RENTAL,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000179148,89.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2011,TRAINING AND EDUCATION,DATA MANAGEMENT,COMPANY BARCLAYCARD,0000179141,62.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,TRAINING AND EDUCATION,DATA MANAGEMENT,WEBCREDIBLE LTD,0000179183,"1,780.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/02/2011,CHILDCARE VOUCHERS,ENVIRONMENT,LEAPFROG DAY NURSERIES LT,0000178893,60.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,MARK N CAREY LIMITED,0000178728,659.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/02/2011,CONSULTANTS TECHNICAL,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000178797,"1,782.10"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,WYG ENV PLANNING TRANSPOR,0000178880,"3,670.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,WYG ENV PLANNING TRANSPOR,0000178881,"4,947.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/02/2011,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,WYG ENV PLANNING TRANSPOR,0000178882,357.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONTRACTORS - BOREHOLES,ENVIRONMENT,SIRIUS DRILLING SERVICES,0000178865,"23,781.67"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,UK COAL MINING LIMITED,0000178442,855.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178668,"11,263.85"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178668,"5,631.92"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,490.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,490.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,579.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,579.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,771.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,771.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178670,"1,387.80"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,"1,233.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,"3,084.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178671,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000178873,216.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000178874,"2,751.62"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,514.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,"3,084.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,411.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,308.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,514.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,51.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,38.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,38.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,514.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178894,205.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,310.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,631.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,102.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,"4,780.20"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,616.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000178895,"2,004.60"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000178925,96.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,PREMIER WASTE MANAGEMENT,0000178926,144.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,NORTHUMBERLAND COUNTY COU,0000178959,133.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179053,"5,250.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/01/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,NATIONAL COAL MINING MUSE,0000179056,"2,792.00"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,403.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,483.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,601.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,688.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,76.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,241.65
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,267.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,96.31
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,207.92
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,436.26
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,"1,331.25"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,414.96
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,318.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,508.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,"3,370.50"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,300.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,586.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,586.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179057,117.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,160.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,"2,662.05"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,"2,874.61"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,"4,212.30"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179085,846.48
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179132,686.09
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179132,849.22
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179198,"5,631.92"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179198,"11,263.85"
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/02/2011,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000179200,828.10
