Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331568,53.59
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331684,17.64
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,15/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331830,15.55
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331906,45.59
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331567,67.51
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331685,392.92
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331686,163.68
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331828,143.22
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,01/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331887,1850.76
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332052,287.96
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332061,894.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332062,64.77
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332204,53.34
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332206,174.59
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332336,225.52
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332337,67.92
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332355,204.00
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/02/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100332356,152.40
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,25/01/2016,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100331682,32.12
