Minister,Date,Name of External Organisation,Purpose of meeting
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,April,"Association of Train Operating Companies, Automobile Association, CTC – the national cycling charity, Sustrans, Bicycle Association, Transport for Greater Manchester",Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,Amey,Introductory meeting
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,The National Autistic Society,Blue Badge Scheme
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,Humberside Airport,Aviation issues
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,Sustrans,Cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,TUI travel,Aviation discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,NATS,Aviation discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,British Cycling,Cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,May,"CTC- the national cycling charity, Sustrans, British Cycling, Passenger Transport Executive Group, Bicycle Association, Association of Train Operating Companies, Living Streets, Automobile Association, Transport for London",Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,Stop Killing Cyclists,Cycling discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,World Wide Fund for Nature,Aviation discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,Motorcycle Industry Action Group,Road Safety discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,Wunelli,Road Safety discussion
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,"Campaign for Better Transport, Cycle Nation, Bicycle Association, Cycle Training UK, Instructors Training Organisation / BikeRight, London Cycling Campaign, Hull City Council, Parliamentary Advisory Council for Transport Safety, Birmingham City Council, Bicycle Helmet Initiative Trust",Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,,,
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,June,Cycle Rail Working Group,Discussion on cycling
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,April,South West Trains,Rail discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,April,East Midlands Trains,Rail discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,April,Falmouth Harbour Commissioners,Pilots National Pension Fund
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,April,Freight on Rail,Rail freight discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,May,Diabetes UK,Driver licensing
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,May,Network Rail,Rail electrification
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Abelio,Rail issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,London Midland,Rail issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Transport for London,Transport issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,London Underground,New Tube for London programme
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,"Network Rail, Southern, Association of Train Operating Companies",Rail issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Rail Delivery Group,Rail discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Network Rail,Passenger mobile communications
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Arriva,Rail issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Associated British Ports,Ports discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Northern Lighthouse Board,Maritime discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,June,Axell Wireless Limited,Passenger mobile communications
