2017,Arrest/Detention > Assault,Arrest/Detention > Assault with Weapon,Arrest/Detention > Child Pornography,Arrest/Detention > Child Sex,Arrest/Detention > Drugs,Arrest/Detention > Fraud,Arrest/Detention > General,Arrest/Detention > Immigration,Arrest/Detention > Modern Slavery / Human Trafficking,Arrest/Detention Unknown,Arrest/Detention > Murder / Manslaughter,Arrest/Detention > Sex (not Child),Arrest/Detention > Terrorism,Arrest/Detention > Theft,Child Welfare > Child Abandonment,Child Welfare > Child Custody,Child Welfare > Child Safeguarding,Child Welfare > Parental Child Abduction,Child Welfare Unknown,Commercial Dispute,Coroner Request,Death > Accidental,Death > Drowning,Death > Execution,Death > Hospital Death,Death > Murder or Manslaughter,Death > Natural Death,Death > RTA,Death > Suicide,Death > Unknown,Death in Custody > Natural Death,Death in Custody > Suicide,Death in Custody > Unknown,Diplomatic Claim,Female Genital Mutilation,Forced Marriage,Forced Marriage - Reluctant Sponsor,Hospitalisation > Dementia,Hospitalisation > Disability,Hospitalisation > Mental Health,Hospitalisation Unknown,Hospitalisation > Physical Health,Missing Persons,Missing Persons > None,Property > Fraud,Property > Government,Property > Unknown,Property > Other,Travel Ban,Travel Documents > Lost/Stolen Passport,Travel Documents > Recovered Passport,Victim of Crime > Assault,Victim of Crime > Domestic Abuse,Victim of Crime > Held Against Will,Victim of Crime > Modern Slavery/Human Trafficking,Victim of Crime > Rape & Sexual Assault,Victim of Crime Unknown,Victim of Crime > Theft,Welfare,Whereabouts,Accident/Emergency > Air Incident,Accident/Emergency > Coach Crash,Accident/Emergency > Natural Disaster,Accident/Emergency > Road Traffic Accident,Accident/Emergency > Terrorist Incident,Accident/Emergency - Unknown,ETDs,Complaints,Compliments,Consular enquiries,Fee bearing services
Medellin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Jose,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,<=5,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,13,<=5,<=5,0,0,0,0,0,63,11,<=5,0,<=5,0,0,<=5,40,14,<=5,0,0,0,0,0,0,63,0,23,447,74
Havana,<=5,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,7,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,22,6,6,0,0,0,0,0,22,<=5,0,0,0,0,<=5,0,<=5,16,<=5,0,0,0,0,0,0,21,0,11,598,46
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0
Santo Domingo,0,<=5,<=5,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,<=5,0,0,<=5,0,<=5,0,0,<=5,0,<=5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,<=5,<=5,0,0,0,0,0,15,<=5,0,0,0,0,<=5,0,0,10,<=5,0,0,0,0,0,0,27,<=5,0,618,27
Quito,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,8,<=5,<=5,0,0,0,0,0,35,20,0,0,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,0,58,0,7,395,95
Port Stanley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. George's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala City,<=5,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,19,<=5,0,<=5,0,0,0,0,26,29,<=5,0,0,0,0,0,0,19,0,<=5,367,62
Georgetown,0,0,0,0,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,<=5,0,<=5,0,0,<=5,0,<=5,<=5,<=5,0,0,0,0,0,0,13,0,0,225,13
Bay Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingston,<=5,0,0,0,21,<=5,7,<=5,0,0,0,<=5,0,0,<=5,0,7,<=5,0,0,0,<=5,0,0,<=5,8,7,0,0,11,0,0,0,0,0,0,0,0,0,<=5,0,28,<=5,<=5,0,0,0,0,0,55,7,<=5,<=5,0,0,<=5,0,6,49,<=5,0,0,0,<=5,0,0,136,0,<=5,2674,136
Cancun,0,0,0,0,0,0,11,0,0,<=5,0,0,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,0,8,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,20,<=5,<=5,0,0,0,0,0,64,26,<=5,0,0,0,<=5,0,<=5,19,6,0,0,0,0,0,0,70,0,<=5,314,70
Mexico City,0,0,0,0,0,0,<=5,13,0,0,0,0,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,<=5,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,13,<=5,<=5,0,0,0,0,0,44,14,<=5,<=5,<=5,0,<=5,0,<=5,29,<=5,0,0,0,0,0,0,61,0,9,1367,64
Managua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0
Panama City,0,0,0,0,<=5,<=5,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,<=5,7,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,16,<=5,<=5,578,16
Asuncion,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,101,0
Lima,0,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,18,8,8,0,0,0,0,0,80,21,0,0,0,0,0,0,7,29,<=5,0,0,<=5,0,0,0,109,<=5,15,803,149
Kingstown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
