objectid,par16cd,par16nm,par16nmw,lad16cd,lad16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
19,E04000022,Billinge Chapel End, ,E08000013,St. Helens,352988,400345,-2.71013999,53.49769974,7351531.53923901,13427.6205454761
20,E04000023,Bold, ,E08000013,St. Helens,353490,389912,-2.70103002,53.40399933,15660488.9208073,20804.3294142071
21,E04000024,Eccleston, ,E08000013,St. Helens,347956,394986,-2.78509998,53.44910049,8976700.74670413,16829.6751761215
22,E04000025,Rainford, ,E08000013,St. Helens,348537,400979,-2.77733994,53.50299835,26768986.5736302,24493.4810357603
23,E04000026,Rainhill, ,E08000013,St. Helens,349314,391004,-2.76400995,53.41339874,6622302.49056438,12936.2359174032
24,E04000027,Seneley Green, ,E08000013,St. Helens,354602,399161,-2.6856401,53.48720169,3300590.39898593,10831.2551231831
25,E04000028,Windle, ,E08000013,St. Helens,348498,397289,-2.77731991,53.46979904,3897163.47850244,11292.8929046203
26,E04000029,Aintree Village, ,E08000014,Sefton,337732,398831,-2.93979001,53.48249817,3556544.46755444,10536.9049856804
27,E04000030,Ince Blundell, ,E08000014,Sefton,332259,403854,-3.02332997,53.52700043,9297471.72921274,16958.6845299254
28,E04000031,Little Altcar, ,E08000014,Sefton,329006,405176,-3.07269001,53.53839874,2573611.23813529,11697.0123127052
29,E04000032,Lydiate, ,E08000014,Sefton,337082,404497,-2.95072007,53.53340149,6591390.63867767,11561.7519764842
30,E04000033,Maghull, ,E08000014,Sefton,337938,402011,-2.93730998,53.51110077,8490173.13844742,13000.4492998114
31,E04000034,Melling, ,E08000014,Sefton,339416,399943,-2.91462994,53.49269867,8558110.78447444,18632.0284195883
32,E04000035,Sefton, ,E08000014,Sefton,335550,401435,-2.97320008,53.50559998,5421546.49221388,13449.8341096396
33,E04000036,Thornton, ,E08000014,Sefton,333860,401644,-2.99871993,53.50730133,3085152.02041283,9850.78300184792
34,E04000037,Hightown, ,E08000014,Sefton,330382,403288,-3.0515101,53.52159882,2878093.56339635,10512.1750323235
35,E04000038,Formby, ,E08000014,Sefton,329690,408422,-3.06311011,53.56769943,22006427.8776395,21870.0774406645
36,E04000039,Billingley, ,E08000016,Barnsley,443266,404417,-1.34869003,53.5345993,3488774.27444188,8900.54885972333
37,E04000041,Cawthorne, ,E08000016,Barnsley,428007,407922,-1.57859004,53.56719971,15012876.4670448,18627.4335904107
38,E04000042,Dunford, ,E08000016,Barnsley,416484,403433,-1.75281,53.52730179,36250239.1774559,29539.6237375442
39,E04000043,Great Houghton, ,E08000016,Barnsley,443285,407609,-1.34796,53.56330109,6705432.24887017,13050.4468115781
40,E04000044,Gunthwaite and Ingbirchworth, ,E08000016,Barnsley,422415,406065,-1.66314995,53.55080032,8286560.79303615,15349.4513589356
41,E04000045,High Hoyland, ,E08000016,Barnsley,427890,411171,-1.58007002,53.59640121,3429160.67253241,13174.1673480813
42,E04000046,Hunshelf, ,E08000016,Barnsley,427387,400647,-1.58858001,53.50180054,7162167.48972913,16542.7197961011
43,E04000047,Langsett, ,E08000016,Barnsley,416943,399800,-1.74608004,53.49470139,18952249.1539305,31086.0028504332
44,E04000048,Little Houghton, ,E08000016,Barnsley,442339,405965,-1.36247003,53.54859924,2707186.94241073,9409.10212806805
45,E04000049,Oxspring, ,E08000016,Barnsley,426547,402674,-1.60107994,53.52009964,4855315.29038176,11483.0837800736
46,E04000050,Penistone, ,E08000016,Barnsley,423566,403740,-1.64595997,53.52980042,22597543.0650311,22092.1713906721
47,E04000051,Shafton, ,E08000016,Barnsley,439042,411137,-1.41157997,53.59540176,3880212.06543615,10986.9975589364
48,E04000052,Silkstone, ,E08000016,Barnsley,428875,404976,-1.56576002,53.54059982,6302423.29154174,11969.6266565088
49,E04000053,Stainborough, ,E08000016,Barnsley,431737,402782,-1.52278996,53.52080154,6935713.11079647,12944.5755679904
50,E04000054,Tankersley, ,E08000016,Barnsley,434571,399398,-1.48041999,53.49020004,8284457.10910224,15450.1323239603
51,E04000055,Thurgoland, ,E08000016,Barnsley,429022,401741,-1.56384003,53.51160049,9003620.30421044,14922.7919647818
52,E04000056,Wortley, ,E08000016,Barnsley,431317,397612,-1.52963996,53.47430038,20726296.3563052,25397.3535125533
53,E04000057,Adwick upon Dearne, ,E08000017,Doncaster,447010,401548,-1.29263997,53.50849915,3171132.88269255,7937.87597055171
54,E04000058,Armthorpe, ,E08000017,Doncaster,464017,404640,-1.03560996,53.53450012,11794654.3295033,16585.794901246
55,E04000059,Askern, ,E08000017,Doncaster,456339,413578,-1.14981997,53.61569977,3480026.92244409,9056.23954628266
56,E04000060,Auckley, ,E08000017,Doncaster,465247,400564,-1.01789999,53.49769974,8457050.98357448,15718.9268230726
57,E04000061,Austerfield, ,E08000017,Doncaster,465837,396041,-1.00995004,53.45700073,11269660.2420582,15055.848333074
58,E04000062,Barnburgh, ,E08000017,Doncaster,448774,402881,-1.26584005,53.520401,5844486.24017826,13227.9269786223
59,E04000063,Barnby Dun with Kirk Sandall, ,E08000017,Doncaster,462095,409037,-1.06373,53.57429886,13432495.0648665,29797.0326478649
60,E04000064,Bawtry, ,E08000017,Doncaster,464033,394528,-1.03742003,53.44369888,8225677.73076305,15650.0887171505
61,E04000065,Blaxton, ,E08000017,Doncaster,467920,401262,-0.97746003,53.50370026,8328694.02354036,15964.7429078649
62,E04000066,Braithwell, ,E08000017,Doncaster,452414,394491,-1.21234,53.44459915,7536606.71787362,14632.4381239221
63,E04000067,Brodsworth, ,E08000017,Doncaster,451507,406854,-1.22397006,53.55580139,12084565.2304642,22388.4362130711
64,E04000068,Burghwallis, ,E08000017,Doncaster,453832,411805,-1.18801999,53.60010147,3917027.32466035,12369.6638277795
65,E04000069,Cadeby, ,E08000017,Doncaster,451762,400586,-1.22115004,53.49950027,4516060.50640951,10558.225729774
66,E04000070,Cantley, ,E08000017,Doncaster,463895,401826,-1.03802001,53.50930023,15209780.4002887,29066.7266178773
67,E04000071,Clayton with Frickley, ,E08000017,Doncaster,445634,408082,-1.31243002,53.56740189,8301939.71963129,15622.7962865962
68,E04000072,Conisbrough Parks, ,E08000017,Doncaster,451146,397326,-1.23097003,53.47019958,12349749.6605667,21863.9045129808
69,E04000073,Denaby, ,E08000017,Doncaster,447431,398842,-1.28670001,53.48419952,2451906.97425958,10717.5265590659
70,E04000074,Edenthorpe, ,E08000017,Doncaster,462148,406539,-1.06342995,53.55179977,3193688.897677,9383.90183074085
71,E04000075,Edlington, ,E08000017,Doncaster,454320,397724,-1.18308997,53.4734993,7774530.3667446,12889.2513287819
72,E04000076,Fenwick, ,E08000017,Doncaster,459348,415970,-1.10388994,53.63690186,9599520.91397027,15694.0586910174
73,E04000077,Finningley, ,E08000017,Doncaster,468658,399765,-0.96666002,53.49010086,9701080.70378363,15814.9972907716
74,E04000078,Fishlake, ,E08000017,Doncaster,465209,414063,-1.01566005,53.61909866,12616828.2688847,20949.4566632651
75,E04000079,Hampole, ,E08000017,Doncaster,450779,411157,-1.23425996,53.59460068,10741584.8873164,16729.9611313366
76,E04000080,Hatfield, ,E08000017,Doncaster,468422,407719,-0.96849,53.56159973,62042951.5527562,37197.073368179
77,E04000081,Hickleton, ,E08000017,Doncaster,448405,404977,-1.27108002,53.53919983,3987750.45366149,11744.1871513158
78,E04000082,High Melton, ,E08000017,Doncaster,450972,402758,-1.23271,53.51910019,6498216.22453207,13304.7285630514
79,E04000083,Hooton Pagnell, ,E08000017,Doncaster,448256,408287,-1.27282,53.56900024,11303859.3629187,17399.6894757198
80,E04000084,Kirk Bramwith, ,E08000017,Doncaster,462396,413091,-1.05838001,53.6106987,5390180.15340003,16101.6376363139
81,E04000085,Loversall, ,E08000017,Doncaster,458419,399222,-1.12106001,53.48649979,6794764.74957555,12874.3152689172
82,E04000086,Marr, ,E08000017,Doncaster,451225,404940,-1.22853994,53.53860092,7368906.8977113,13931.1827637248
83,E04000087,Moss, ,E08000017,Doncaster,459482,413081,-1.10241997,53.61090088,10109375.565198,24005.9822159194
84,E04000088,Norton, ,E08000017,Doncaster,453315,414232,-1.19542003,53.62189865,19249475.1683434,27290.5217170931
85,E04000089,Owston, ,E08000017,Doncaster,456183,411141,-1.15261996,53.59389877,9140191.0518351,17482.5708574516
86,E04000090,Rossington, ,E08000017,Doncaster,461848,397773,-1.06967998,53.47309875,12325006.2676324,16012.9879465464
87,E04000091,Sprotbrough and Cusworth, ,E08000017,Doncaster,453952,402633,-1.18779004,53.51760101,11054041.3776969,17660.8650205679
88,E04000092,Stainforth, ,E08000017,Doncaster,464301,411679,-1.02988005,53.59780121,8967021.46879911,19662.1070948482
89,E04000093,Stainton, ,E08000017,Doncaster,455701,394264,-1.16288996,53.44219971,8729548.51230377,17163.4734174618
90,E04000094,Sykehouse, ,E08000017,Doncaster,464314,416966,-1.02858996,53.64530182,13565558.3472617,18854.6420852404
91,E04000095,Thorne, ,E08000017,Doncaster,470921,414496,-0.92922997,53.62220001,47014186.0208616,29882.6268712107
92,E04000096,Thorpe in Balne, ,E08000017,Doncaster,458862,410093,-1.11234999,53.58409882,7538009.3355465,20909.5903540836
93,E04000097,Tickhill, ,E08000017,Doncaster,459727,393724,-1.10239005,53.43690109,27838031.6429549,28224.3739812746
94,E04000098,Wadworth, ,E08000017,Doncaster,457513,397508,-1.13503003,53.47119904,11589704.062417,18655.6142474255
95,E04000099,Warmsworth, ,E08000017,Doncaster,454545,400693,-1.17918003,53.50009918,2940345.49204034,8106.76645823591
96,E04000103,Brinsworth, ,E08000018,Rotherham,442471,389622,-1.36267996,53.40169907,2819730.35169993,8435.38318024435
97,E04000104,Catcliffe, ,E08000018,Rotherham,441696,388123,-1.37452996,53.38830185,2348880.86278411,8169.48066566721
98,E04000107,Firbeck, ,E08000018,Rotherham,456238,388536,-1.15583003,53.39070129,5212600.95303609,12574.8024604709
99,E04000108,Gildingwells, ,E08000018,Rotherham,455552,385420,-1.16668999,53.3628006,2789181.27446328,11172.3459192904
100,E04000109,Harthill with Woodall, ,E08000018,Rotherham,449071,380574,-1.26481998,53.31980133,12301460.8471769,15566.6555693212
101,E04000110,Hooton Levitt, ,E08000018,Rotherham,452401,391146,-1.21308994,53.41450119,2216760.71127956,6911.23471034542
102,E04000111,Hooton Roberts, ,E08000018,Rotherham,448139,397285,-1.27627003,53.4701004,5286496.73137883,12574.5524462645
103,E04000112,Letwell, ,E08000018,Rotherham,455836,386419,-1.16225004,53.37170029,4864953.06973504,13979.8294684799
104,E04000113,North and South Anston, ,E08000018,Rotherham,452540,383992,-1.21218002,53.35020065,15575521.7251128,23181.2685940139
105,E04000115,Ravenfield, ,E08000018,Rotherham,449163,394756,-1.26124001,53.44729996,5466580.51931744,13184.2221257442
106,E04000116,Thorpe Salvin, ,E08000018,Rotherham,452751,380650,-1.20957005,53.32020187,8617727.48978035,14785.3420868298
107,E04000118,Thurcroft, ,E08000018,Rotherham,450112,388870,-1.24787998,53.39429855,10689356.3266923,17132.2471818552
108,E04000119,Todwick, ,E08000018,Rotherham,448974,384988,-1.26558995,53.35950089,7317951.66916626,13194.2943241332
109,E04000121,Ulley, ,E08000018,Rotherham,446880,387463,-1.29668999,53.38199997,3786740.4395965,9182.98843807332
110,E04000122,Wales, ,E08000018,Rotherham,447874,382700,-1.28246999,53.33909988,10290804.7729094,18645.6816163591
111,E04000124,Whiston, ,E08000018,Rotherham,446256,389647,-1.30575001,53.40159988,10263591.7788729,15759.217115826
112,E04000128,Maltby, ,E08000018,Rotherham,454753,391625,-1.17762005,53.41859818,20206430.5177067,29997.4529394175
113,E04000129,Bradfield, ,E08000019,Sheffield,424687,393181,-1.62987006,53.43479919,142866582.951016,71526.6508715028
114,E04000130,Ecclesfield, ,E08000019,Sheffield,434551,395817,-1.48110998,53.45800018,21371303.6119574,22122.0666394028
115,E04000131,Stocksbridge, ,E08000019,Sheffield,427279,397588,-1.59047997,53.47430038,19039720.3856241,20529.9902651031
116,E04000132,Lamesley, ,E08000037,Gateshead,424048,556995,-1.62647998,54.90710068,22881280.4042739,26920.071166829
117,E04000133,Brunswick, ,E08000021,Newcastle upon Tyne,422713,573537,-1.64600003,55.05580139,3591015.21721719,9718.64573522535
118,E04000134,Dinnington, ,E08000021,Newcastle upon Tyne,420746,573705,-1.67676997,55.05739975,12650135.6794125,18890.1848470508
119,E04000136,North Gosforth, ,E08000021,Newcastle upon Tyne,424661,570179,-1.61579001,55.02550125,5723488.76236928,14669.1036073169
120,E04000138,Blakelaw and North Fenham, ,E08000021,Newcastle upon Tyne,421300,567057,-1.66859996,54.99760056,1393167.53619409,5141.52491219287
121,E04000139,Burdon, ,E08000024,Sunderland,439122,551389,-1.39215004,54.85580063,5248711.88769997,11601.4850226745
122,E04000140,Hetton, ,E08000024,Sunderland,435254,547299,-1.45289004,54.81930161,18562842.3821964,21766.7037200188
123,E04000141,Warden Law, ,E08000024,Sunderland,436971,550220,-1.42579997,54.84540176,2023730.28932749,5858.23585461722
124,E04000142,New Frankley in Birmingham, ,E08000025,Birmingham,399003,278617,-2.01606989,52.4056015,1437777.3035877,7004.06534168512
125,E04000143,Allesley, ,E08000026,Coventry,428589,282335,-1.58086002,52.43830109,11870798.2970269,20972.0112139848
126,E04000144,Keresley, ,E08000026,Coventry,431632,284062,-1.53594005,52.45360184,3199138.03341227,9512.27078172366
127,E04000146,Barston, ,E08000029,Solihull,419789,278244,-1.71054995,52.40190125,10481151.802931,16466.8334113968
128,E04000147,Berkswell, ,E08000029,Solihull,424298,278777,-1.64424002,52.40650177,23436483.7540166,25366.6703717901
129,E04000148,Bickenhill and Marston Green, ,E08000029,Solihull,418785,283838,-1.72500002,52.45220184,14912350.3176242,19372.2687488457
130,E04000149,Castle Bromwich, ,E08000029,Solihull,415241,289925,-1.77687001,52.50699997,3205469.78579376,9347.64214510271
131,E04000150,Chelmsley Wood, ,E08000029,Solihull,418421,286854,-1.73019004,52.47930145,2520056.49265706,7573.03071409404
132,E04000151,Fordbridge, ,E08000029,Solihull,417038,287152,-1.75054002,52.48199844,1902301.35728376,7353.46643900724
133,E04000152,Hampton in Arden, ,E08000029,Solihull,419510,281422,-1.71447003,52.43040085,11029061.7722055,16854.6241255921
134,E04000154,Kingshurst, ,E08000029,Solihull,417192,288169,-1.74821997,52.49119949,1751142.0828637,6721.51152404811
135,E04000155,Meriden, ,E08000029,Solihull,426204,283067,-1.61589003,52.44499969,12024355.2620104,19983.9365244623
136,E04000156,Smith's Wood, ,E08000029,Solihull,417316,289501,-1.74632001,52.50320053,1873805.49562274,7034.64509643281
137,E04000157,Addingham, ,E08000032,Bradford,407328,449029,-1.88986003,53.93730164,12973047.3558049,17629.7576680444
138,E04000158,Cullingworth, ,E08000032,Bradford,406185,436921,-1.90751004,53.82849884,9081554.32216759,13499.0575196795
139,E04000159,Denholme, ,E08000032,Bradford,406847,433487,-1.89752996,53.79769897,10135952.6957853,13920.2124629125
140,E04000160,Ilkley, ,E08000032,Bradford,411636,447127,-1.82430995,53.92020035,18902538.4870619,20657.2638730542
141,E04000161,Oxenhope, ,E08000032,Bradford,402429,434257,-1.96459997,53.80459976,17294685.646224,18197.6700217907
142,E04000162,Silsden, ,E08000032,Bradford,405419,446236,-1.91899002,53.91230011,28791640.6066119,26849.6802771346
143,E04000163,Steeton with Eastburn, ,E08000032,Bradford,403363,443735,-1.95032001,53.88980103,8293463.3278789,13439.9868208214
144,E04000164,"Haworth, Cross Roads and Stanbury", ,E08000032,Bradford,400236,436525,-1.99790001,53.82500076,17360863.860812,26539.6251316057
145,E04000165,Keighley, ,E08000032,Bradford,404129,441278,-1.93868995,53.86769867,60887528.9550924,44677.9852675725
146,E04000166,Clayton, ,E08000032,Bradford,411953,431869,-1.82008004,53.78300095,4258132.02172433,11952.0574608324
147,E04000167,Sandy Lane, ,E08000032,Bradford,411063,435241,-1.83345997,53.81340027,1797079.68987334,8042.47185491104
148,E04000168,Wilsden, ,E08000032,Bradford,409238,436415,-1.86114001,53.82389832,7093857.76438047,13545.0439562119
149,E04000169,Wrose, ,E08000032,Bradford,416583,436794,-1.74954998,53.82720184,1549559.50681657,7709.65860872877
150,E04000170,Burley, ,E08000032,Bradford,415390,445486,-1.76724005,53.90530014,12431090.3141486,19587.9800506275
151,E04000171,Menston, ,E08000032,Bradford,417149,444080,-1.74054003,53.89260101,3502205.30520767,9210.87368409288
152,E04000172,Baildon, ,E08000032,Bradford,415123,439667,-1.77158999,53.85300064,10531015.1127588,13500.5735673927
153,E04000173,Harden, ,E08000032,Bradford,408346,438508,-1.87463999,53.84280014,5196150.18334023,11740.1479632338
154,E04000174,Blackshaw, ,E08000033,Calderdale,394742,427891,-2.0812099,53.74739838,13786941.2253425,18944.9266758502
155,E04000175,Erringden, ,E08000033,Calderdale,397871,425607,-2.03374004,53.72689819,5239175.36089554,10223.3324469644
156,E04000176,Hebden Royd, ,E08000033,Calderdale,399938,424497,-2.00240993,53.71689987,28659913.5092851,32040.0703986182
157,E04000177,Heptonstall, ,E08000033,Calderdale,394360,430518,-2.08704996,53.77099991,21490776.86498,26731.7329207953
158,E04000178,Ripponden, ,E08000033,Calderdale,401844,417538,-1.97356999,53.65439987,54833505.2272023,40281.9198006084
159,E04000179,Todmorden, ,E08000033,Calderdale,393259,423726,-2.10360003,53.7098999,51716334.6922773,38578.6498960539
160,E04000180,Wadsworth, ,E08000033,Calderdale,398757,432002,-2.02033997,53.78440094,47451913.9022281,35160.8108556197
161,E04000181,Denby Dale, ,E08000034,Kirklees,423285,410728,-1.64968002,53.59260178,41158232.9145398,34489.7376590567
162,E04000185,Mirfield, ,E08000034,Kirklees,420311,419729,-1.69403005,53.67359924,13508035.6380401,19535.0915839144
163,E04000186,Aberford, ,E08000035,Leeds,442901,438457,-1.34949994,53.84059906,6394424.95256059,13571.8086038743
164,E04000187,Arthington, ,E08000035,Leeds,427380,444634,-1.58482003,53.89720154,7968778.7862534,17385.8684795097
165,E04000188,Austhorpe, ,E08000035,Leeds,438702,433382,-1.41394997,53.79529953,1257959.14287333,6022.85068433518
166,E04000190,Barwick in Elmet and Scholes, ,E08000035,Leeds,439152,438084,-1.40652001,53.83760071,19327134.78795,28826.1204083343
167,E04000195,Clifford, ,E08000035,Leeds,442329,444651,-1.35733998,53.89630127,3005485.40383762,9375.43242404603
168,E04000196,Collingham, ,E08000035,Leeds,439150,445717,-1.40558004,53.90620041,11489914.1218633,18610.5035409217
169,E04000197,East Keswick, ,E08000035,Leeds,435929,445229,-1.45466006,53.90200043,5257903.13915609,13005.6936248991
170,E04000198,Great and Little Preston, ,E08000035,Leeds,439753,429554,-1.39848995,53.76079941,4196438.15020448,9934.86773854671
171,E04000199,Harewood, ,E08000035,Leeds,432073,443168,-1.51356006,53.88370132,27185204.271963,28335.4954175445
172,E04000200,Ledsham, ,E08000035,Leeds,445333,429918,-1.31379998,53.76369858,8237419.08637481,18822.2829404464
173,E04000201,Ledston, ,E08000035,Leeds,443615,429387,-1.33993006,53.75899887,7976065.51942656,14919.8173767921
174,E04000202,Lotherton cum Aberford, ,E08000035,Leeds,444430,436403,-1.32656002,53.8219986,4432453.69617909,10074.2505030904
175,E04000203,Micklefield, ,E08000035,Leeds,444239,433570,-1.32986999,53.79660034,7175277.56727663,11198.1211793936
176,E04000204,Otley, ,E08000035,Leeds,420286,445368,-1.69272995,53.90409851,11857442.931283,17582.2881844074
177,E04000205,Parlington, ,E08000035,Leeds,441773,436149,-1.36696005,53.81999969,7148806.80440488,13840.5916589586
178,E04000208,Sturton Grange, ,E08000035,Leeds,442526,433455,-1.35589004,53.79570007,3566552.123227,10335.3601206797
179,E04000209,Swillington, ,E08000035,Leeds,438351,430647,-1.41962004,53.77080154,10435185.5944874,19560.0337510685
180,E04000210,Thorner, ,E08000035,Leeds,438060,440316,-1.42284,53.85770035,9944986.7143854,15309.9422047838
181,E04000214,Wothersome, ,E08000035,Leeds,439894,442726,-1.39464998,53.87919998,3112610.04777257,10981.5459736568
182,E04000216,Allerton Bywater, ,E08000035,Leeds,441872,427960,-1.36655998,53.74629974,3663861.80776634,10262.1907456596
183,E04000218,Shadwell, ,E08000035,Leeds,434120,439540,-1.48283005,53.85100174,3067144.80318438,8172.96108483461
184,E04000219,Kippax, ,E08000035,Leeds,441536,430409,-1.37133002,53.76839828,6591287.17164047,11471.8532061638
185,E04000220,Drighlington, ,E08000035,Leeds,422492,428951,-1.66034997,53.75650024,4654906.32994088,10041.9823840619
186,E04000221,Gildersome, ,E08000035,Leeds,425180,429107,-1.61957002,53.75770187,4488431.58064841,11116.1333219403
187,E04000222,Alwoodley, ,E08000035,Leeds,429177,441619,-1.55776,53.86999893,12784729.8180725,17091.2190527581
188,E04000223,Ackworth, ,E08000036,Wakefield,444883,418091,-1.32233,53.65739822,10696458.0603573,16702.4076369422
189,E04000224,Badsworth, ,E08000036,Wakefield,445985,415221,-1.30607998,53.63150024,6247515.819645,12169.2069293863
190,E04000225,Chevet, ,E08000036,Wakefield,434738,415088,-1.47616994,53.63119888,3386395.23909493,7527.85420638394
191,E04000226,Crigglestone, ,E08000036,Wakefield,431473,416236,-1.52541995,53.64170074,10779077.0744693,18735.5648171023
192,E04000227,Crofton, ,E08000036,Wakefield,437598,418028,-1.43256998,53.65739822,6156479.7839199,13370.8267685171
193,E04000228,Darrington, ,E08000036,Wakefield,448229,419557,-1.27147996,53.67029953,12191960.0986564,17676.0757238615
194,E04000229,East Hardwick, ,E08000036,Wakefield,446807,418148,-1.29322004,53.65769958,2143480.87843618,7587.4455597124
195,E04000230,Featherstone, ,E08000036,Wakefield,441803,421804,-1.36844003,53.69100189,17897329.3323657,23752.3577856441
196,E04000231,Havercroft with Cold Hiendley, ,E08000036,Wakefield,437861,413001,-1.42920005,53.61220169,4791291.80797078,15128.7955882851
197,E04000232,Hemsworth, ,E08000036,Wakefield,442406,413941,-1.36038005,53.62030029,16831431.9700748,19972.0740625899
198,E04000233,Hessle and Hill Top, ,E08000036,Wakefield,442460,417567,-1.35906994,53.6529007,3636998.67607328,10104.6405665404
199,E04000234,Huntwick with Foulby and Nostell, ,E08000036,Wakefield,440192,417237,-1.39341998,53.65010071,4805350.94974419,12826.6398748714
200,E04000235,Newland with Woodhouse Moor, ,E08000036,Wakefield,437027,422335,-1.44069004,53.69620132,1119899.20491983,6926.62845780651
201,E04000236,Normanton, ,E08000036,Wakefield,437732,423220,-1.42990994,53.70410156,12410079.353667,23401.8663745835
202,E04000237,North Elmsall, ,E08000036,Wakefield,449891,414400,-1.24714994,53.62379837,10145569.5235081,25806.5192259442
203,E04000238,Notton, ,E08000036,Wakefield,434991,412919,-1.47257996,53.61169815,8165321.06729074,17188.2188654937
204,E04000239,Ryhill, ,E08000036,Wakefield,439130,414793,-1.40979004,53.62820053,2372591.47802581,8283.75504332304
205,E04000240,Sharlston, ,E08000036,Wakefield,439546,418924,-1.40297997,53.66529846,4846454.67641097,12822.7259060082
206,E04000241,Sitlington, ,E08000036,Wakefield,426970,415901,-1.59355998,53.63899994,13806225.1003824,19525.2169034489
207,E04000242,South Elmsall, ,E08000036,Wakefield,447628,410757,-1.28191996,53.59130096,5765372.47391413,14639.3700424796
208,E04000243,South Hiendley, ,E08000036,Wakefield,439707,412779,-1.40132999,53.61009979,4697722.58106255,10179.7239126975
209,E04000244,South Kirkby and Moorthorpe, ,E08000036,Wakefield,444671,410858,-1.32658005,53.5923996,9465531.36085846,14341.4544953703
210,E04000245,Thorpe Audlin, ,E08000036,Wakefield,448323,415916,-1.27061999,53.63759995,5304776.88173948,10875.9973492213
211,E04000246,Upton, ,E08000036,Wakefield,448219,414146,-1.27247,53.62170029,4512170.15697195,13411.5405755983
212,E04000247,Walton, ,E08000036,Wakefield,436526,416093,-1.44901001,53.64009857,7381341.09602983,15583.6540145173
213,E04000248,Warmfield cum Heath, ,E08000036,Wakefield,436898,420492,-1.44287002,53.67959976,6552936.55034881,13588.0341818377
214,E04000249,West Bretton, ,E08000036,Wakefield,428397,414058,-1.57214999,53.62229919,8470435.08156887,13375.5105945607
215,E04000250,West Hardwick, ,E08000036,Wakefield,441585,418495,-1.37217999,53.66130066,1828228.70072345,7006.04034240558
216,E04000251,Wintersett, ,E08000036,Wakefield,438374,415806,-1.42110002,53.63740158,4251345.65503152,9344.14894071405
217,E04000252,Woolley, ,E08000036,Wakefield,431590,412754,-1.52400994,53.61040115,10182457.910258,15884.0456628099
218,E04000253,Brierton, ,E06000001,Hartlepool,447094,529837,-1.27146995,54.66139984,2677001.08423831,7856.77525400825
219,E04000254,Claxton, ,E06000001,Hartlepool,447503,528697,-1.26531994,54.65110016,3923101.77538385,8900.8632436502
220,E04000255,Dalton Piercy, ,E06000001,Hartlepool,446599,531122,-1.27893996,54.67300034,4083263.24117998,9164.40950672455
221,E04000256,Elwick, ,E06000001,Hartlepool,443668,530543,-1.32447004,54.66809845,24670735.5884493,36215.1602489098
222,E04000257,Greatham, ,E06000001,Hartlepool,448700,527300,-1.24699998,54.63850021,4302441.11037908,12346.1106677549
223,E04000258,Hart, ,E06000001,Hartlepool,446737,535260,-1.27613997,54.71020126,9785491.05633532,19392.5174650555
224,E04000259,Newton Bewley, ,E06000001,Hartlepool,446613,526645,-1.27944005,54.63280106,3503060.3675028,10560.0547452026
225,E04000260,Headland, ,E06000001,Hartlepool,452515,534225,-1.18666005,54.70029831,950313.02002369,7942.78972739616
226,E04000261,Nunthorpe, ,E06000002,Middlesbrough,454070,513615,-1.16631997,54.51499939,6652585.98184705,13985.1132282014
