URN,UPIN,UKPRN,Provider name,Age phase partnership,Provision type,Postcode,Government office region,Ofsted region,Local authority,Provider status,Inspection number,Start date,End date,Overall effectiveness,The outcomes for trainees,The quality of training across the partnership,The quality of leadership and management across the partnership,How well do trainees attain?,To what extent do recruitment / selection arrangements support high quality outcomes?,To what extent does the training and assessment ensure that all trainees progress to fulfil their potential given their ability and starting points?,To what extent are available resources used effectively and efficiently?,To what extent is the provision across the partnership of consistently high quality? ,"To what extent does the provision promote equality of opportunity, value diversity and eliminate harassment and unlawful discrimination?",To what extent do the leadership and management at all levels have the capacity to secure further improvements and/or to sustain high quality outcomes?,How effectively does the management at all levels assess performance in order to improve or sustain high quality?,"How well does the leadership at all levels anticipate change, and prepare for and respond to national and local initiatives?",How effectively does the provider plan and take action for improvement?
70031,1551,10007149,University of Hull,Secondary QTS,HEI,HU6 7RX ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Kingston Upon Hull City of,Open,434190,16/06/2014,08/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70032,1519,10003957,Liverpool John Moores University,Primary QTS,HEI,L17 6BD ,North West,North West,Liverpool,Open,388072,21/05/2012,25/05/2012,2,9,9,9,1,1,2,2,2,1,1,2,1,1
70032,1519,10003957,Liverpool John Moores University,Secondary QTS,HEI,L17 6BD ,North West,North West,Liverpool,Open,388072,21/05/2012,25/05/2012,2,9,9,9,1,1,2,2,2,1,1,2,1,1
70033,1513,10007767,Keele University,Secondary QTS,HEI,ST5 5BG ,West Midlands,West Midlands,Staffordshire,Proposed to close,365959,13/06/2011,17/06/2011,2,9,9,9,2,1,2,1,2,2,1,1,1,2
70035,1515,10003645,King's College London,Secondary QTS,HEI,SE1 9NH,London,London,Lambeth,Open,10004334,18/05/2015,30/09/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70036,1516,10003678,Kingston University,Early Years ITT (EYTS),HEI,KT2 7LB,London,London,Kingston upon Thames,Open,10004317,27/04/2015,30/09/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70036,1516,10003678,Kingston University,Primary QTS,HEI,KT2 7LB,London,London,Kingston upon Thames,Open,10004317,27/04/2015,30/09/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70036,1516,10003678,Kingston University,Secondary QTS,HEI,KT2 7LB,London,London,Kingston upon Thames,Open,10004317,27/04/2015,30/09/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70037,5523,10046787,London Diocesan Board for Schools (LDBS) SCITT,Primary QTS,SCITT,SE16 3XF,London,London,Westminster,Open,365935,20/06/2011,24/06/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70038,1517,10003861,Leeds Beckett University,Primary QTS,HEI,LS6 3QQ ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,365941,13/06/2011,17/06/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70038,1517,10003861,Leeds Beckett University,Secondary QTS,HEI,LS6 3QQ ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,365941,13/06/2011,17/06/2011,2,9,9,9,2,2,2,2,2,2,2,2,2,2
70039,1552,10007795,University of Leeds,Primary QTS,HEI,LS2 9JT ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,452260,23/03/2015,26/03/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70039,1552,10007795,University of Leeds,Secondary QTS,HEI,LS2 9JT ,Yorkshire and The Humber,"North East, Yorkshire & Humber",Leeds,Open,452260,23/03/2015,26/03/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70040,1553,10007796,University of Leicester,Primary QTS,HEI,LE1 7RF,East Midlands,East Midlands,Leicester,Open,10004340,08/06/2015,07/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70040,1553,10007796,University of Leicester,Secondary QTS,HEI,LE1 7RF,East Midlands,East Midlands,Leicester,Open,10004340,08/06/2015,07/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70042,1521,10004113,Loughborough University,Secondary QTS,HEI,LE11 3TU,East Midlands,East Midlands,Leicestershire,Open,363159,10/01/2011,14/01/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,2
70044,5525,10033598,The Bedfordshire Schools’ Training Partnership,Secondary QTS,SCITT,SG17 5QS,East of England,East of England,Central Bedfordshire,Open,447149,09/06/2014,01/10/2014,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70045,1547,10007145,University of Gloucestershire,ITE in FE,HEI,GL50 4AZ,South West,South West,Gloucestershire,Open,10004452,08/06/2015,21/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70045,1547,10007145,University of Gloucestershire,Primary QTS,HEI,GL50 4AZ,South West,South West,Gloucestershire,Open,10004452,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70045,1547,10007145,University of Gloucestershire,Secondary QTS,HEI,GL50 4AZ,South West,South West,Gloucestershire,Open,10004452,08/06/2015,21/10/2015,1,1,1,1,9,9,9,9,9,9,9,9,9,9
70045,1547,10007145,University of Gloucestershire,Early Years ITT (EYTS),HEI,GL50 4AZ,South West,South West,Gloucestershire,Open,10004452,08/06/2015,21/10/2015,2,2,2,2,9,9,9,9,9,9,9,9,9,9
70046,1554,10007798,University of Manchester,Primary QTS,HEI,M13 9PL ,North West,North West,Manchester,Open,363152,17/01/2011,21/01/2011,1,9,9,9,1,1,1,1,1,1,1,1,1,1
70046,1554,10007798,University of Manchester,Secondary QTS,HEI,M13 9PL ,North West,North West,Manchester,Open,363152,17/01/2011,21/01/2011,1,9,9,9,1,1,1,1,1,2,1,1,1,1
