Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/10/2011,20076641,"13,357.50 ",G F Tomlinson & Sons Ltd,11622,IMPRESS Project,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,27/10/2011,20076575,"3,896.00 ",Gee Tee Signs Ltd,15148,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/10/2011,20076432,714.00 ,HMCS (Her Majesty's Courts Service),12704,Council Tax Collection,Court Costs,4431,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076408,"5,605.92 ",Hopkinson Reclamation Limited,14951,Agricultural Business Centre Bakewell,Composting Gate Fees,4459,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076468,"11,750.00 ",Howes & Holden Surveyors & Valuers,13055,Public Properties - General,Consultancy Services,4403,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076347,"1,200.00 ",Industrial Wholesale Supplies,10864,Public Conveniences - Cleansing,Purchase of Materials - General,4040,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076348,"1,200.00 ",Industrial Wholesale Supplies,10864,Public Conveniences - Cleansing,Purchase of Materials - General,4040,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076350,517.28 ,Industrial Wholesale Supplies,10864,Public Conveniences - Cleansing,Light Plant & Tools,4001,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/10/2011,20076234,"1,017.28 ",ITT Water & Wastewater UK Ltd,13034,Agricultural Business Centre Bakewell,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,11/10/2011,20076179,"1,337.66 ",J P Lennard Ltd,10935,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076353,842.60 ,J P Lennard Ltd,10935,Arc Leisure Matlock,Purchase of Equipment - General,4000,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/10/2011,20076594,"2,227.75 ",J Parker Dutch Bulbs (Wholesale) Ltd,11236,Parks & Recreation,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,"2,890.28 ",J Tomlinson Ltd,11623,Wirksworth Sports Centre,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,641.54 ,J Tomlinson Ltd,11623,Agricultural Business Centre Bakewell,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,"2,500.66 ",J Tomlinson Ltd,11623,Public Conveniences - Maintenance,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,723.32 ,J Tomlinson Ltd,11623,Energy Management,Energy Management Contract,2186,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,741.46 ,J Tomlinson Ltd,11623,Energy Management,Legionella Safeguards,2183,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076463,"12,038.00 ",J Tomlinson Ltd,11623,Matlock Town Hall - Ventilation Improvements,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076464,798.95 ,J Tomlinson Ltd,11623,Bakewell Swimming Pool,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076464,984.49 ,J Tomlinson Ltd,11623,Arc Leisure Matlock,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076464,"2,805.57 ",J Tomlinson Ltd,11623,Parks & Recreation,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/10/2011,20076464,"21,248.20 ",J Tomlinson Ltd,11623,Matlock Town Hall,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076099,660.00 ,JFL Ltd,15158,Democratic Representation & Mgmt,Seminars & Short Courses,1485,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076345,"102,220.00 ",Johnson Construction UK Limited,15102,Town Centre Conveniences,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/10/2011,20076593,"23,420.00 ",Johnson Surfacing Ltd,10875,Central Area Sports Centre,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/10/2011,20076036,978.12 ,Johnston Sweepers Limited,14193,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/10/2011,20076632,978.12 ,Johnston Sweepers Limited,14193,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,26/10/2011,20076562,737.17 ,Kalamazoo Secure Solutions Ltd,10886,Ashbourne Market,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,05/10/2011,20076092,"1,690.69 ",Kings Armoured Security Services Limited,15048,Car Parking,Security Service,4463,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/10/2011,20076265,895.21 ,Kings Armoured Security Services Limited,15048,Car Parking,Security Service,4463,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/10/2011,20076279,"1,020.27 ",Konica Minolta Business Solutions East Ltd,10908,Reprographics,Photocopier Charges,4305,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/10/2011,20076289,827.67 ,Konica Minolta Business Solutions East Ltd,10908,Reprographics,Photocopier Charges,4305,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,19/10/2011,20076352,880.20 ,Konica Minolta Business Solutions East Ltd,10908,Reprographics,Office Machinery Lease/Rental,4306,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/10/2011,20076645,580.00 ,KRM Building Supplies Ltd,14851,Parks & Recreation,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/10/2011,20076225,"3,276.85 ",Leaflet Distribution Services Limited,15153,Corporate Management,Communications,4540,Revenue
