Department,Entity,Date of Payment,Expense Type,Expense Area,Suppliers,Transaction Number,Amount
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298894,849
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299999,210
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299753,379.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299349,338
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100298967,187.4
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PLANT & EQUIPMENT,FUSION,AALCO LIMITED,5100299123,167.81
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,SOFTWARE,FUSION,ABB LTD,5100299456,1420
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,CHARITABLE DONATIONS,SUPPORT SERVICES,Action Medical Research,1900059446,£ 200.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,OTHER EXTERNAL COSTS,FUSION,Adrien Autricque,1900059478,£ 780.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,SOFTWARE,FUSION,ADRIS LTD,5100299919,430
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT SPARES,FUSION,Aerotech Ltd,5100299570,5714
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,CONSUMABLES,FUSION,AGATE PRODUCTS LTD,5100298451,10607.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,CONSUMABLES,FUSION,AGATE PRODUCTS LTD,5100299796,475
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,GASES,FUSION,AIR PRODUCTS PLC,5100298968,8.36
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,GASES,FUSION,AIR PRODUCTS PLC,5100298950,8.36
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,GASES,FUSION,AIR PRODUCTS PLC,5100298951,8.36
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,FUSION,ALLECTRA LTD,5100299875,177
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,ALLWELD SUPPLIES,5100299801,421.25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,ALLWELD SUPPLIES,5100299803,209.9
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,FUSION,ALLWELD SUPPLIES,5100299802,92.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,ALPHA ENGINEERING SUPPLIES,5100299025,263.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,ALPHA LABORATORIES,5100299070,179
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,MATERIALS & SPARES,SUPPORT SERVICES,ALPHA PACKAGING,5100299632,266
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,MATERIALS & SPARES,SUPPORT SERVICES,ALPHA PACKAGING,5100299848,124.92
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,ANDREW SKYES LTD,5100298444,937.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,ANDREW SKYES LTD,5100298823,65
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,ANDREW SKYES LTD,5100299378,-298.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,MATERIALS & SPARES,FUSION,ANIXTER (UK) LTD,5100299366,646
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100298924,2070
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100298926,-376.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100298928,12048.75
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299177,2778.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299178,2968.13
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299179,3392.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299180,10931.46
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299187,-20.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299189,-25.95
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,OPERATING LEASE,FUSION,ANNODATA BUSINESS COMMUNICATIONS,5100299195,-197.22
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,13/02/2014,PLANT & EQUIPMENT,FUSION,Ansomat Ltd,1900059451,"£ 7,077.00"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,AON HEWITT LTD,5100299331,153682.51
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,SUPPORT SERVICES,AON HEWITT LTD,5100299525,153682.51
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,SOFTWARE,FUSION,APPLIED CAE,5100298955,2030
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,SOFTWARE,FUSION,APPLIED CAE,5100299878,5470
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100298913,34.11
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100299338,650
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100299574,31.19
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100299701,89.26
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PERSONAL PROTECTIVE EQUIPMENT,SUPPORT SERVICES,ARCO LTD,5100299909,133.37
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299934,73.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299297,37.72
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299337,99.18
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298911,15.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298945,146.41
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299931,32.44
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298896,1641
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298912,411.48
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298914,85.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298915,1307.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100298944,29.1
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299256,912
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299257,441.56
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299335,516.78
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299336,124.08
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299539,188.27
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299548,165.44
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299698,1641
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299699,274.32
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299700,19.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299910,446
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299911,60.76
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299550,52.31
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299575,64.54
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299576,33.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,17/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299932,53.66
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PERSONAL PROTECTIVE EQUIPMENT,FUSION,ARCO LTD,5100299334,58.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,STATIONERY,FUSION,ARTISAN LITHO PRINT  DESIGN,5100299507,89
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,TRAINING COURSE FEES,SUPPORT SERVICES,Asbestos Training Ltd,1900059492,£ 950.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,TRAINING COURSE FEES,SUPPORT SERVICES,Asbestos Training Ltd,1900059495,£ 950.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,21/02/2014,,,Asbestos Training Ltd,1700001688,"-£ 1,140.00"
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,INSPECTION SERVICES,FUSION,ASHDALE ENGINEERING,5100299381,7640
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT SPARES,FUSION,AURIGA EUROPE PLC,5100299536,160
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,FUSION,AVENANCE PLC,5100299030,687.39
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,FUSION,AVENANCE PLC,5100299032,1178.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,,AVENANCE PLC,5100298975,2010.12
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,PROPERTY,AVENANCE PLC,5100299031,746.66
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,PROPERTY,AVENANCE PLC,5100299033,8565.86
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,CATERING,PROPERTY,AVENANCE PLC,5100299034,425
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CATERING,PROPERTY,AVENANCE PLC,5100299415,275.65
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT SPARES,FUSION,AXTEC WEIGHT TECHNOLOGY ,5100298826,17083
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,TREATED WATER,FUSION,B & V WATER TREATMENT,5100299124,3104.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,TREATED WATER,FUSION,B & V WATER TREATMENT,5100299343,169.4
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,TREATED WATER,FUSION,B & V WATER TREATMENT,5100299427,1234.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,BATT CABLES PLC,5100299755,2958.11
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,COMPUTER REPAIRS,FUSION,BCAS LTD,5100299216,95.96
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,COMPUTER REPAIRS,FUSION,BCAS LTD,5100299571,183.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PLANT SPARES,FUSION,Beacon Group International Ltd,5100299143,738.44
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,PLANT SPARES,FUSION,Beacon Group International Ltd,5100299161,147.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT SPARES,FUSION,Beacon Group International Ltd,5100299623,154.8
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,BEAVER 84 LIMITED,5100299712,565
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,BEAVER 84 LIMITED,5100299728,2373.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,REPAIRS & MAINTENANCE,FUSION,BEAVER 84 LIMITED,5100298953,25
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,BEAVER 84 LIMITED,5100299730,1190.66
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,REPAIRS & MAINTENANCE,FUSION,BEAVER 84 LIMITED,5100299733,72.28
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,MATERIALS & SPARES,FUSION,BELMOUNT FABRICATIONS,5100299807,8707.07
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,MATERIALS & SPARES,FUSION,BERYLLIANT INC,5100299713,1960.42
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299394,527.85
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299395,189.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299396,545.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299397,17.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299399,17.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299400,214.7
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299401,951.77
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299402,295
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299403,268
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299404,96.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299405,291.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299406,33.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299407,17.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299408,204
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299409,-60.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299633,269
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299634,326
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299635,9
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299636,152.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299637,96.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299638,411.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299639,645
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,CLEANING,FUSION,BIFFA RECYCLING,5100299640,287.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,LEGAL FEES,SUPPORT SERVICES,BIGGART BAILLIE,5100300232,682.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,BLACK BOX UK LTD,5100298946,3592
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,PLANT & EQUIPMENT,FUSION,BLACK BOX UK LTD,5100299333,1536
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,PLANT & EQUIPMENT,FUSION,BLACK BOX UK LTD,5100299068,139.96
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100299433,71112.59
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,05/02/2014,PROFESSIONAL SERVICES,FUSION,BNS NUCLEAR SERVICES,5100299434,79512.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100298682,181.96
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100299207,59.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100298652,451.69
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,GASES,FUSION,BOC LTD,5100298218,3700.04
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,GASES,FUSION,BOC LTD,5100298313,20004.3
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,GASES,FUSION,BOC LTD,5100298669,27358.29
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100295885,687.38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100299483,-687.38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,GASES,FUSION,BOC LTD,5100299484,687.38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100299205,44.59
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,03/02/2014,GASES,FUSION,BOC LTD,5100299209,15.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,29/01/2014,GASES,FUSION,BOC LTD,5100299258,-44.59
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,GASES,FUSION,BOC LTD,5100299691,15.6
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,GASES,FUSION,BOC LTD,5100299547,31.2
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,FUSION,BODYCOTE HEAT LTD,5100297952,2036.86
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,FUSION,BODYCOTE HEAT LTD,5100299023,991.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PROFESSIONAL SERVICES,FUSION,BODYCOTE HEAT LTD,5100299455,2273.88
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,12/02/2014,BOOKS & PUBLICATIONS,FUSION,BOOKS & PUBLICATIONS,1900059440,£ 20.00
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,ARCHIVING & RECORDS,SUPPORT SERVICES,BOX-IT UK LTD,5100298771,1999.37
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,TRAINING COURSE FEES,SUPPORT SERVICES,BPP LEARNING MEDIA LTD,5100299056,12.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,TRAINING COURSE FEES,SUPPORT SERVICES,BPP LEARNING MEDIA LTD,5100299057,38
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,27/01/2014,MATERIALS & SPARES,FUSION,BRAMMER UK LTD,5100299067,53.4
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,10/02/2014,PLANT SPARES,FUSION,BRITE PRECISION,5100299573,10102.84
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100300009,65.79
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100300011,918.5
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100300012,1716.46
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100300014,321.95
United Kingdom Atomic energy Authority,United Kingdom Atomic energy Authority,19/02/2014,UTILITIES/ELECTRICITY,PROPERTY,BRITISH GAS BUSINESS,5100300017,432.11
