UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090814,9/20/2017, DEPARTMENT STORES ,GBR,General Retail and Wholesale,898,WWW.JOHNLEWIS.COM
FCOGPC2017090815,9/20/2017, HOTELS/MOTELS/RESORTS  ,ITA,Hotels,914.93,ACCOMODATION PROVIDER
FCOGPC2017090816,9/20/2017, HOTELS/MOTELS/RESORTS  ,ITA,Hotels,914.93,ACCOMODATION PROVIDER
FCOGPC2017090817,9/20/2017, HARDWARE EQUIPMENT AND SUPPLIES ,SRB,Miscellaneous Industrial/Commercial Supplies,915.66,BAGO DOO
FCOGPC2017090818,9/20/2017, VARIETY STORES ,KEN,General Retail and Wholesale,935.59,IDEAL CERAMICS
FCOGPC2017090819,9/20/2017, HARDWARE EQUIPMENT AND SUPPLIES ,IND,Miscellaneous Industrial/Commercial Supplies,954.83,MRA ENTERPRISES
FCOGPC2017090820,9/20/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,972.17,TECH ASSOC OF GA
FCOGPC2017090821,9/20/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",GBR,General Retail and Wholesale,975,DIPLOMATIC MISSION SUP
FCOGPC2017090822,9/20/2017, FLOOR COVERING STORES ,ZAF,General Retail and Wholesale,993.28,GALEO FLOORING
FCOGPC2017090823,9/20/2017, HOTELS/MOTELS/RESORTS  ,EGY,Hotels,996.35,ACCOMODATION PROVIDER
FCOGPC2017090824,9/20/2017, TRAVEL AGENCIES ,ESP,Travel Agencies,997.87,HOTELS.COM
FCOGPC2017090825,9/20/2017, PETROLEUM AND PETROLEUM PRODUCTS ,NGA,Miscellaneous Industrial/Commercial Supplies,999.51,COGAD INTEGRATED SERVI
FCOGPC2017090826,9/20/2017, WHOLESALE CLUBS ,GBR,General Retail and Wholesale,"1,023.68",WWW.ALIBABA.COM
FCOGPC2017090827,9/20/2017, CONSTRUCTION MATERIALS NOT ELSEWHERE CLASSIFIED ,AFG,Building Materials,"1,024.15",HASHMATULLAH OMARI CON
FCOGPC2017090828,9/20/2017," AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING ",PRT,"Vehicles, servicing and spares","1,037.04",TATECARS LISBOA SA
FCOGPC2017090829,9/20/2017, MISCELLANEOUS GENERAL MERCHANDISE ,MWI,General Retail and Wholesale,"1,042.96",AKBANIES LIMITED
FCOGPC2017090830,9/20/2017," ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED ",USA,Clubs/Associations/Organisations,"1,069.29",INT IN  BRITISH AMERIC
FCOGPC2017090831,9/20/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",GBR,Personal Services,"1,117.20",SERVEST SECURITY SERVI
FCOGPC2017090832,9/20/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,"1,156.31",ELECTRO CARE SERVICE
FCOGPC2017090833,9/20/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,278.00",ACCOMODATION PROVIDER
FCOGPC2017090834,9/20/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,278.00",ACCOMODATION PROVIDER
FCOGPC2017090835,9/20/2017," ACCOUNTING, AUDITING AND BOOKKEEPING SERVICES ",GBR,Professional Services,"1,296.00",CHARTERED INSTITUTE OF
FCOGPC2017090836,9/20/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,GBR,General Retail and Wholesale,"1,360.13",S & P EQUIPMENT
FCOGPC2017090837,9/20/2017, ELECTRONIC SALES ,IND,General Retail and Wholesale,"1,364.85",ELECTRO CARE SERVICE
