LSOA code 2011,LSOA name 2011,Local Authority District Code 2013,Local Authority District Name 2013,IMD Rank,IMD Decile,Income Rank,Income Decile,Employment Rank,Employment Decile,Education Skills and Training Rank,Education Skills and Training Decile,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile
E01019154,Barrow-in-Furness 003C,E07000027,Barrow-in-Furness,"23,388",8,"26,669",9,"18,943",6,"27,690",9,"8,176",3,"31,331",10,"18,073",6,"22,961",7
E01019155,Barrow-in-Furness 003D,E07000027,Barrow-in-Furness,"20,397",7,"22,163",7,"15,885",5,"25,330",8,"4,707",2,"32,037",10,"27,314",9,"25,493",8
E01019156,Barrow-in-Furness 004A,E07000027,Barrow-in-Furness,243,1,516,1,196,1,810,1,4,1,"5,697",2,"25,147",8,"4,696",2
E01019157,Barrow-in-Furness 008D,E07000027,Barrow-in-Furness,"1,085",1,"3,094",1,"1,783",1,"1,819",1,580,1,"2,969",1,"30,487",10,211,1
E01019158,Barrow-in-Furness 008E,E07000027,Barrow-in-Furness,"1,305",1,"3,291",2,"1,906",1,"2,372",1,469,1,"5,592",2,"31,585",10,177,1
E01019159,Barrow-in-Furness 004B,E07000027,Barrow-in-Furness,"6,561",2,"10,195",4,"6,211",2,"9,315",3,"2,724",1,"24,493",8,"31,575",10,428,1
E01019160,Barrow-in-Furness 007B,E07000027,Barrow-in-Furness,"2,800",1,"3,511",2,"1,332",1,"4,452",2,187,1,"17,549",6,"30,977",10,"21,793",7
E01019161,Barrow-in-Furness 006A,E07000027,Barrow-in-Furness,"7,946",3,"9,845",3,"5,770",2,"8,572",3,"1,430",1,"21,670",7,"30,168",10,"14,159",5
E01019162,Barrow-in-Furness 003E,E07000027,Barrow-in-Furness,"27,953",9,"29,636",10,"26,021",8,"26,157",8,"11,156",4,"31,982",10,"30,767",10,"19,102",6
E01019163,Barrow-in-Furness 003F,E07000027,Barrow-in-Furness,"28,686",9,"31,897",10,"26,569",9,"29,462",9,"9,573",3,"27,420",9,"28,108",9,"27,012",9
E01019164,Barrow-in-Furness 004C,E07000027,Barrow-in-Furness,344,1,204,1,147,1,356,1,240,1,"11,245",4,"28,630",9,"23,405",8
E01019165,Barrow-in-Furness 004D,E07000027,Barrow-in-Furness,"3,521",2,"5,854",2,"2,861",1,"4,609",2,"1,014",1,"4,609",2,"30,092",10,"7,108",3
E01019166,Barrow-in-Furness 004E,E07000027,Barrow-in-Furness,"4,868",2,"8,306",3,"5,760",2,"5,136",2,866,1,"14,235",5,"29,434",9,"2,063",1
E01019167,Barrow-in-Furness 005A,E07000027,Barrow-in-Furness,"13,323",5,"16,998",6,"14,710",5,"20,380",7,"5,421",2,"22,618",7,"32,809",10,"1,476",1
E01019168,Barrow-in-Furness 005B,E07000027,Barrow-in-Furness,"13,653",5,"18,509",6,"14,763",5,"25,654",8,"7,501",3,"2,880",1,"32,627",10,"5,672",2
E01019169,Barrow-in-Furness 005C,E07000027,Barrow-in-Furness,"22,751",7,"25,843",8,"23,087",8,"26,155",8,"7,098",3,"22,832",7,"32,836",10,"11,920",4
E01019170,Barrow-in-Furness 005D,E07000027,Barrow-in-Furness,"15,805",5,"21,165",7,"18,388",6,"15,757",5,"7,580",3,"18,248",6,"32,838",10,"2,764",1
E01019171,Barrow-in-Furness 005E,E07000027,Barrow-in-Furness,"7,888",3,"10,606",4,"8,553",3,"14,042",5,"2,413",1,"25,381",8,"32,796",10,585,1
E01019172,Barrow-in-Furness 007C,E07000027,Barrow-in-Furness,"3,421",2,"6,515",2,"5,172",2,"5,031",2,"1,743",1,"2,953",1,"32,762",10,487,1
E01019173,Barrow-in-Furness 007D,E07000027,Barrow-in-Furness,"4,606",2,"10,227",4,"6,687",3,"5,119",2,"1,144",1,"9,640",3,"32,495",10,304,1
E01019174,Barrow-in-Furness 007E,E07000027,Barrow-in-Furness,"2,477",1,"3,583",2,"2,749",1,"1,724",1,"1,061",1,"9,924",4,"31,471",10,"2,989",1
E01019175,Barrow-in-Furness 007F,E07000027,Barrow-in-Furness,"4,741",2,"7,279",3,"3,758",2,"3,467",2,"1,079",1,"13,679",5,"31,467",10,"8,760",3
E01019176,Barrow-in-Furness 006B,E07000027,Barrow-in-Furness,"28,976",9,"30,117",10,"26,660",9,"27,608",9,"11,906",4,"32,137",10,"23,394",8,"28,693",9
E01019177,Barrow-in-Furness 006C,E07000027,Barrow-in-Furness,"4,840",2,"4,218",2,"3,301",2,"7,090",3,"1,351",1,"13,787",5,"31,729",10,"14,416",5
E01019178,Barrow-in-Furness 006D,E07000027,Barrow-in-Furness,"19,012",6,"24,840",8,"19,378",6,"21,019",7,"7,452",3,"21,170",7,"14,825",5,"12,092",4
E01019179,Barrow-in-Furness 006E,E07000027,Barrow-in-Furness,"27,767",9,"29,523",9,"25,731",8,"29,221",9,"9,350",3,"30,652",10,"22,843",7,"28,180",9
E01019180,Barrow-in-Furness 009A,E07000027,Barrow-in-Furness,"17,558",6,"20,335",7,"13,603",5,"18,402",6,"6,951",3,"32,174",10,"13,763",5,"21,792",7
E01019182,Barrow-in-Furness 009C,E07000027,Barrow-in-Furness,"15,056",5,"17,191",6,"15,226",5,"18,536",6,"6,452",2,"27,174",9,"31,569",10,"3,302",2
E01019184,Barrow-in-Furness 009E,E07000027,Barrow-in-Furness,"8,096",3,"11,166",4,"6,803",3,"8,391",3,"3,296",2,"26,627",9,"32,666",10,"2,021",1
E01019185,Barrow-in-Furness 010C,E07000027,Barrow-in-Furness,"23,074",8,"26,024",8,"18,574",6,"25,379",8,"10,132",4,"27,717",9,"32,367",10,"11,948",4
E01019186,Barrow-in-Furness 010D,E07000027,Barrow-in-Furness,"11,939",4,"15,323",5,"13,436",5,"14,094",5,"4,722",2,"28,677",9,"32,800",10,"1,486",1
E01019187,Barrow-in-Furness 010E,E07000027,Barrow-in-Furness,"9,471",3,"11,712",4,"6,496",2,"14,732",5,"2,771",1,"16,915",6,"19,503",6,"13,013",4
