Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012704," £66,648 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012702," £12,960 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012705," £12,075 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012703," £9,680 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012699," £6,683 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012706," £2,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012700," £2,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CAMBRIDGE ECONOMETRICS LTD,4012633," £69,639 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,CAMBRIDGE ECONOMETRICS LTD,4012633," £49,724 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4012653, £757 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4012745, £714 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,BERRY & STUBBS LTD,4012680," £17,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012724," £126,864 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012727," £41,983 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012543," £17,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4012543," £17,350 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4011958," £15,850 "
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4012643, £623 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ADECCO UK LTD,4012641, £584 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,ADECCO UK LTD,4012623, £519 
Department of Energy and Climate Change,Department of Energy and Climate Change,08/04/2010,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4012685," £28,723 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Research & Development Expenditure (Programme),International Energy & Climate Change - International Climate Change Negotiations,UNIVERSITY OF SUSSEX,4012785," £2,732 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - National Climate Change,THE ENERGY SAVING TRUST LTD,4012288," £20,283 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,PROCUREMENT EXCELLENCE LTD,4012750," £5,076 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Office of Nuclear Development,PANNONE LLP,4012688," £41,412 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,OSMOND GROUP LTD,4012747, £953 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012740, £775 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012716, £608 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - National Climate Change,OFFICE ANGELS LTD,4012741, £558 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NERA UK LTD,4012752," £44,538 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4012733," £2,517 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,External Legal Advice,Corporate Support & Shared Services - Corporate Support & Shared Services,LANDMARK CHAMBERS,4012165, £720 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,JOHN KEMP ASSOCIATES LTD,4012789," £3,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,ISSB LTD,4012766," £6,930 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Recruitment Consultancy Costs,DECC Central Budgets - DECC Central Budgets,INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON,4012761," £6,668 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IC CONSULTANTS LTD,4012748," £6,538 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,HARTLEY ANDERSON LTD,4012535," £23,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Purchase of  Advertising and Publicity (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GWS LTD,4012472," £1,855 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Translation Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",FCO SERVICES,4012765," £3,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Translation Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",FCO SERVICES,4012765," £2,380 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Furniture,Corporate Support & Shared Services - Corporate Support & Shared Services,FABRIQUE DU METAL LTD T/A ADVANCE SEATING DESIGNS,4012767, £753 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,EMU LTD,4012754," £15,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Purchase of Completed Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD (EFTEC),4012769," £24,065 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Purchase of Completed Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD (EFTEC),4012769," £23,902 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Purchase of Completed Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ECONOMICS FOR THE ENVIRONMENT CONSULTANCY LTD (EFTEC),4012769," £23,902 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,International Subscriptions,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ECOFYS UK LTD,4012646," £7,285 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,International Subscriptions,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ECOFYS UK LTD,4012646, £574 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,DUNDAS & WILSON LLP,4012796," £3,217 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4012753," £16,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Public Relations and Marketing,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4012606, £825 
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4012450," £118,771 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Minor Works,DECC Central Budgets - DECC Central Budgets,BRIAR ASSOCIATES,4012618," £20,248 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ATKINS LTD,4012797," £6,615 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012787," £18,474 "
Department of Energy and Climate Change,Department of Energy and Climate Change,09/04/2010,Economic Consultancy & Research,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4012788," £3,944 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012756, £687 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012756, £672 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4012816," £3,732 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,VEHICLE & OPERATOR SERVICES AGENCY,4012055," £180,454 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,VEHICLE & OPERATOR SERVICES AGENCY,4012056," £12,014 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,THE INSTITUTION OF CIVIL ENGINEERS,4012811," £12,766 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4012814," £1,237 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4012814, £896 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - National Climate Change,RUSSAM GMS LTD,4012817," £2,120 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - National Climate Change,RUSSAM GMS LTD,4012818," £2,120 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Other Printing and Stationery Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",PROMOTIONAL LOGISTICS LTD,4012824," £5,228 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Printing (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PROMOTIONAL LOGISTICS LTD,4012838," £3,077 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4012835," £2,063 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,PROMOTIONAL LOGISTICS LTD,4012834," £2,063 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012863, £794 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE ANGELS LTD,4012864, £775 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Administration of Grants and Awards,Energy Markets & Infrastructure - Energy Development Unit,NCIMB LTD,4012826," £68,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,Energy Markets & Infrastructure - Office of Nuclear Development,MWH UK LTD,4012802," £28,556 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4012520," £1,351 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4012790, £811 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012736," £1,964 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012736," £1,964 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012734," £1,849 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4012844," £1,105 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4012845, £828 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4012801," £36,660 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4012803," £20,519 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4012801," £1,448 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,INTEGRATED DECISION MANAGEMENT LTD,4012807," £4,983 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Corporate Management Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,INSIGHT MANAGEMENT & SYSTEMS LTD,4012763," £21,040 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Corporate Management Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,INSIGHT MANAGEMENT & SYSTEMS LTD,4012763," £3,108 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",HUDSON GLOBAL RESOURCES LTD,4012553," £24,263 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,HERIOT-WATT UNIVERSITY,4011100," £44,550 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,GREEN PARK INTERIM & EXECUTIVE LTD,4012602," £15,432 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Local IT Consultancy,Energy Markets & Infrastructure - Energy Strategy and Futures,FUJITSU SERVICES LTD,4012651," £38,559 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4012813," £5,086 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4011226," £188,884 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Technical Advice,International Energy & Climate Change - International Climate Change Negotiations,CLEAN ENERGY GROUP,4012384," £24,626 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CLARKSON MANAGEMENT SERVICES LTD,4012809," £6,380 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CIVIL AVIATION AUTHORITY,4012269," £35,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012336," £2,721 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012336," £2,721 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012336," £2,718 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012332," £1,947 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4012332," £1,747 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,BROOK STREET (UK) LTD,4012564, £532 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Purchase of  Advertising and Publicity (Programme),International Energy & Climate Change - International Climate Change Negotiations,AWARE PROMOTIONAL MERCHANDISE LTD,4012806," £1,470 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4012812," £18,800 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4012812," £16,105 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4012812," £15,762 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4012812," £2,695 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,ALLEN & OVERY LLP,4012812," £2,638 "
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012613, £724 
Department of Energy and Climate Change,Department of Energy and Climate Change,12/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4012848, £524 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WEB TECHNOLOGY GROUP (WTG),4012905," £15,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,VALUATION OFFICE AGENCY,4012908," £27,200 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4011928," £12,750 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4011928," £12,250 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hotels- Overseas  (Programme),International Energy & Climate Change - International Climate Change Negotiations,THE CHILDRENS INVESTMENT FUND FOUNDATION (UK),4012578, £592 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,SCOTTISH ENTERPRISE,4012909," £58,475 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,ROCKFIELD SOFTWARE LTD,4012924," £15,177 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4012721, £811 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4012721, £744 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,IT Maintenance and Management Services,Energy Markets & Infrastructure - Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4012925," £1,650 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Professional Subscriptions,Energy Markets & Infrastructure - Energy Strategy and Futures,PLATTS,4012715," £1,375 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4012904," £885,745 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4012903," £61,489 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012893, £606 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012891, £576 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012887, £553 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012737, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012714, £550 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012659, £542 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012932, £519 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4012935, £511 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,OFFICE ANGELS LTD,4012889, £500 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,External Training,Energy Markets & Infrastructure - Energy Strategy and Futures,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012939," £1,125 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4012900, £805 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Senior Civil Service Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4012629, £795 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT,4012805, £590 
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4012870," £1,092 "
Department of Energy and Climate Change,Department of Energy and Climate Change,13/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HARTLEY ANDERSON LTD,4012882," £115,003 "
