"Reference Number","Decision","Decision Date","Officer Making Decision","Reason for Decision","Alternative Options Considered","Other Background Documents"
"BV/2014/0713/","ACCEPTED","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0716/","ACCEPTED","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0715/","ACCEPTED","14/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0726/","ACCEPTED","16/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0653/","APPCOND","17/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0728/","ACCEPTED","17/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0730/","ACCEPTED","17/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0731/","ACCEPTED","17/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0457/","APPCOND","20/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0648/","APPCOND","20/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0671/","APPCOND","20/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0733/","ACCEPTED","20/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0662/","APPCOND","21/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2014/0727/","REGULAR","21/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0740/","ACCEPTED","22/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"RA/2014/0732/","REGULAR","23/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0741/","ACCEPTED","23/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0739/","ACCEPTED","23/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0682/","APPCOND","24/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0679/","APPCOND","28/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0362/","APPCOND","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0433/","APPCOND","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0618/","APPROVED","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0757/","ACCEPTED","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0758/","ACCEPTED","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0759/","ACCEPTED","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0760/","ACCEPTED","29/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0686/","APPCOND","30/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"FV/2014/0691/","APPCOND","30/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0762/","ACCEPTED","30/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0761/","ACCEPTED","30/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
"BV/2014/0765/","ACCEPTED","30/10/2014","Development Services Manager","In accordance with the Building Regulations","None","Building Regulations and the Building Act 1984"
