Capital Write off Status,Reason for IRR Void,"Total 
Draw Down","Total
Payments","Total 
Write Off 
(Capital)","Total
Payments
(Capital)","Total
Payments
(Interest)","Total
Payments
(Fees)","Total Early
Payments
(Before 1st Draw Down)","IRR %
(excl early payments)","Annual-
ised 
Return %",ROI %,Write off %,"Period
in 
Mnths",Year of 1st Draw Down
..,..,"-£300,000.00","£310,111.65",£0.00,"£300,000.00","£6,361.65","£3,750.00","£3,750.00",6.20%,10.10%,3.40%,0.00%,4,2010
Full,IRR out of range,"-£300,000.00",£0.00,"£300,000.00",£0.00,£0.00,£0.00,£0.00,Void,-46.20%,-100.00%,100.00%,26,2010
..,..,"-£275,000.00","£314,905.56",£0.00,"£275,000.01","£39,905.55",£0.00,£0.00,5.20%,5.00%,14.50%,0.00%,35,2010
..,..,"-£273,500.00","£327,569.24",£0.00,"£273,500.00","£54,069.24",£0.00,£0.00,6.00%,4.70%,19.80%,0.00%,50,2005
Partial,..,"-£270,000.00","£283,103.52","£30,837.10","£239,162.91","£43,940.62",£0.00,£0.00,1.80%,1.00%,4.90%,11.40%,57,2007
..,..,"-£270,000.00","£297,784.10",£0.00,"£270,000.00","£27,784.10",£0.00,£0.00,6.00%,6.20%,10.30%,0.00%,20,2010
..,..,"-£261,467.00","£279,630.60",£0.00,"£261,467.00","£18,163.60",£0.00,£0.00,4.10%,0.80%,6.90%,0.00%,100,2006
..,..,"-£260,659.00","£292,195.17",£0.00,"£260,659.00","£31,536.17",£0.00,£0.00,5.90%,5.80%,12.10%,0.00%,25,2008
Partial,IRR out of range,"-£255,000.00","£4,446.01","£254,366.59",£633.40,"£3,812.61",£0.00,£0.00,Void,-45.30%,-98.30%,99.80%,26,2009
..,..,"-£250,000.00","£292,222.77",£0.00,"£250,000.00","£42,222.77",£0.00,£0.00,7.50%,5.20%,16.90%,0.00%,39,2006
Full,IRR out of range,"-£250,000.00","£4,750.00","£250,000.00",£0.00,"£4,750.00",£0.00,£0.00,Void,-98.10%,-98.10%,100.00%,12,2008
..,..,"-£250,000.00","£290,570.93",£0.00,"£250,000.00","£40,570.93",£0.00,£0.00,4.60%,4.50%,16.20%,0.00%,43,2010
..,..,"-£250,000.00","£264,038.57",£0.00,"£250,000.00","£10,288.71","£3,749.86","£3,000.00",7.20%,5.60%,5.60%,0.00%,12,2012
..,..,"-£240,000.00","£257,753.39",£0.00,"£240,000.00","£17,753.39",£0.00,£0.00,5.70%,5.90%,7.40%,0.00%,15,2008
Partial,..,"-£238,600.00","£108,963.79","£141,632.30","£96,967.71","£11,996.08",£0.00,£0.00,-37.30%,-12.80%,-54.30%,59.40%,51,2009
..,..,"-£226,308.00","£236,735.52",£0.00,"£226,308.00","£10,427.52",£0.00,£0.00,3.00%,1.50%,4.60%,0.00%,36,2010
..,..,"-£225,000.00","£229,553.42",£0.00,"£225,000.00","£1,553.42","£3,000.00","£3,000.00",8.20%,24.30%,2.00%,0.00%,1,2008
..,..,"-£225,000.00","£237,110.96",£0.00,"£225,000.00","£6,860.96","£5,250.00","£5,250.00",7.20%,12.90%,5.40%,0.00%,5,2013
Partial,..,"-£220,000.00","£42,938.00","£198,424.53","£21,575.47","£21,362.53",£0.00,£0.00,-99.90%,-22.50%,-80.50%,90.20%,43,2005
..,..,"-£219,075.00","£259,230.00",£0.00,"£219,075.00","£40,155.00",£0.00,£0.00,5.90%,5.90%,18.30%,0.00%,37,2010
..,..,"-£200,000.00","£257,485.68",£0.00,"£200,000.00","£55,985.68","£1,500.00",£0.00,6.30%,5.90%,28.70%,0.00%,58,2005
..,..,"-£200,000.00","£218,736.00",£0.00,"£199,999.51","£18,736.49",£0.00,£0.00,6.10%,3.50%,9.40%,0.00%,32,2006
Full,IRR out of range,"-£200,000.00",£0.00,"£200,000.00",£0.00,£0.00,£0.00,£0.00,Void,-60.00%,-100.00%,100.00%,20,2007
..,..,"-£200,000.00","£231,935.24",£0.00,"£200,000.00","£31,935.24",£0.00,£0.00,6.20%,4.50%,16.00%,0.00%,43,2009
..,..,"-£200,000.00","£222,256.85",£0.00,"£200,000.00","£17,506.85","£4,750.00","£4,500.00",6.20%,6.10%,11.10%,0.00%,22,2011
..,..,"-£200,000.00","£210,000.00",£0.00,"£200,000.00","£10,000.00",£0.00,£0.00,12.00%,10.00%,5.00%,0.00%,6,2011
..,..,"-£200,000.00","£216,151.80",£0.00,"£200,000.00","£16,151.80",£0.00,£0.00,6.00%,5.40%,8.10%,0.00%,18,2012
Partial,..,"-£190,000.00","£25,809.71","£182,373.79","£7,626.21","£15,533.50","£2,650.00","£1,900.00",0.00%,-23.00%,-86.40%,96.00%,45,2008
..,..,"-£180,000.00","£210,245.07",£0.00,"£180,000.00","£28,195.07","£2,050.00","£1,800.00",7.30%,6.10%,16.80%,0.00%,33,2007
..,..,"-£180,000.00","£200,290.10",£0.00,"£180,000.00","£16,790.10","£3,500.00","£3,250.00",8.20%,6.40%,11.30%,0.00%,21,2009
..,..,"-£172,000.00","£184,511.52",£0.00,"£172,000.00","£12,511.52",£0.00,£0.00,5.40%,4.00%,7.30%,0.00%,22,2009
..,..,"-£166,000.00","£188,646.68",£0.00,"£166,000.00","£22,646.68",£0.00,£0.00,6.10%,2.50%,13.60%,0.00%,66,2008
..,..,"-£165,000.00","£196,243.25",£0.00,"£165,000.00","£31,243.25",£0.00,£0.00,6.10%,3.70%,18.90%,0.00%,61,2008
..,..,"-£160,000.00","£165,813.75",£0.00,"£160,000.00","£3,713.75","£2,100.00","£2,100.00",6.10%,8.70%,3.60%,0.00%,5,2011
..,..,"-£158,180.00","£66,766.96",£0.00,"£52,193.70","£14,573.26",£0.00,£0.00,-49.50%,-18.70%,-57.80%,0.00%,37,2011
..,..,"-£157,473.00","£197,333.77",£0.00,"£157,473.00","£39,860.77",£0.00,£0.00,5.10%,3.30%,25.30%,0.00%,91,2006
Partial,..,"-£150,600.00","£23,000.00","£134,005.05","£16,594.95","£6,405.05",£0.00,£0.00,0.00%,-37.70%,-84.70%,89.00%,27,2008
..,..,"-£150,000.00","£164,811.88",£0.00,"£150,000.00","£14,811.88",£0.00,£0.00,6.00%,3.20%,9.90%,0.00%,37,2005
Full,IRR out of range,"-£150,000.00",£0.00,"£150,000.00",£0.00,£0.00,£0.00,£0.00,Void,-25.00%,-100.00%,100.00%,48,2006
..,..,"-£150,000.00","£165,022.79",£0.00,"£150,000.00","£15,022.79",£0.00,£0.00,6.20%,1.60%,10.00%,0.00%,76,2008
..,..,"-£150,000.00","£164,684.48",£0.00,"£150,000.00","£5,309.48","£9,375.00","£7,875.00",6.10%,9.00%,9.80%,0.00%,13,2011
..,..,"-£150,000.00","£160,037.50",£0.00,"£155,162.50","£4,875.00",£0.00,£0.00,23.00%,13.40%,6.70%,0.00%,6,2011
..,..,"-£150,000.00","£165,805.02",£0.00,"£150,000.00","£15,805.02",£0.00,£0.00,9.70%,8.40%,10.50%,0.00%,15,2012
..,..,"-£142,000.00","£168,322.54",£0.00,"£155,262.43","£13,060.11",£0.00,£0.00,4.80%,3.80%,18.50%,0.00%,59,2005
..,..,"-£131,858.00","£114,765.54",£0.00,"£114,765.54",£0.00,£0.00,£0.00,-5.50%,-2.90%,-13.00%,0.00%,53,2010
..,..,"-£130,000.00","£134,834.82",£0.00,"£130,000.00","£3,634.82","£1,200.00","£1,200.00",8.10%,7.40%,3.70%,0.00%,6,2007
Partial,..,"-£130,000.00","£24,662.00","£105,338.00","£24,662.00",£0.00,£0.00,£0.00,-88.90%,-27.80%,-81.00%,81.00%,35,2010
..,..,"-£130,000.00","£149,384.82",£0.00,"£130,000.00","£19,384.82",£0.00,£0.00,4.80%,4.10%,14.90%,0.00%,44,2010
..,..,"-£130,000.00","£140,761.30",£0.00,"£130,545.18","£10,216.12",£0.00,£0.00,6.30%,2.30%,8.30%,0.00%,43,2011
..,..,"-£125,000.00","£132,993.18",£0.00,"£125,000.00","£7,993.18",£0.00,£0.00,5.70%,1.90%,6.40%,0.00%,41,2011
Partial,..,"-£120,000.00","£78,240.00","£64,335.46","£55,664.54","£22,575.46",£0.00,£0.00,0.00%,-4.50%,-34.80%,53.60%,93,2006
Full,IRR out of range,"-£120,000.00",£0.00,"£120,000.00",£0.00,£0.00,£0.00,£0.00,Void,-92.30%,-100.00%,100.00%,13,2008
Full,IRR out of range,"-£120,000.00","£53,250.00","£120,000.00","£50,000.00","£3,250.00",£0.00,£0.00,Void,-26.70%,-55.60%,100.00%,25,2011
..,..,"-£120,000.00","£130,267.13",£0.00,"£120,000.00","£8,567.13","£1,700.00","£1,700.00",6.20%,3.90%,8.60%,0.00%,26,2011
Partial,..,"-£119,535.00","£25,810.00","£99,589.11","£19,945.89","£5,864.11",£0.00,£0.00,0.00%,-32.40%,-78.40%,83.30%,29,2009
..,..,"-£115,500.00","£119,002.08",£0.00,"£115,500.00","£3,502.08",£0.00,£0.00,1.90%,1.00%,3.00%,0.00%,37,2010
Partial,..,"-£115,000.00","£33,131.28","£87,804.53","£27,195.47","£5,935.81",£0.00,£0.00,-74.60%,-45.00%,-71.20%,76.40%,19,2009
Partial,..,"-£115,000.00","£15,333.36","£99,666.64","£15,333.36",£0.00,£0.00,£0.00,0.00%,-25.40%,-86.70%,86.70%,41,2009
..,..,"-£113,238.00","£130,789.67",£0.00,"£113,238.00","£17,551.67",£0.00,£0.00,6.10%,2.80%,15.50%,0.00%,67,2008
..,..,"-£110,000.00","£122,861.06",£0.00,"£109,998.79","£12,862.27",£0.00,£0.00,5.90%,1.90%,11.70%,0.00%,72,2008
..,..,"-£102,309.00","£110,640.08",£0.00,"£102,309.00","£8,331.08",£0.00,£0.00,6.00%,1.50%,8.10%,0.00%,65,2009
Partial,..,"-£100,001.00","£57,630.00","£5,113.51","£54,887.49","£2,742.51",£0.00,£0.00,-50.60%,-14.50%,-42.40%,5.10%,35,2010
..,..,"-£100,000.00","£109,030.00",£0.00,"£100,000.00","£8,030.00","£1,000.00","£1,000.00",3.40%,3.20%,9.00%,0.00%,34,2002
Full,IRR out of range,"-£100,000.00",£0.00,"£100,000.00",£0.00,£0.00,£0.00,£0.00,Void,-24.00%,-100.00%,100.00%,50,2005
..,..,"-£100,000.00","£107,143.00",£0.00,"£100,000.00","£7,143.00",£0.00,£0.00,6.30%,1.80%,7.10%,0.00%,47,2005
Partial,..,"-£100,000.00","£20,901.66","£86,298.00","£13,702.00","£7,199.66",£0.00,£0.00,0.00%,-24.30%,-79.10%,86.30%,39,2005
..,..,"-£100,000.00","£118,039.44",£0.00,"£100,000.00","£16,539.44","£1,500.00","£1,500.00",5.60%,4.00%,18.00%,0.00%,54,2005
Partial,..,"-£100,000.00","£70,135.00","£38,973.39","£61,026.61","£9,108.39",£0.00,£0.00,-23.80%,-11.90%,-29.90%,39.00%,30,2006
..,..,"-£100,000.00","£115,555.25",£0.00,"£100,000.00","£12,555.25","£3,000.00","£3,000.00",6.70%,3.70%,15.60%,0.00%,51,2007
Partial,..,"-£100,000.00","£17,560.00","£90,000.00","£10,000.00","£7,560.00",£0.00,£0.00,-47.90%,-22.50%,-82.40%,90.00%,44,2008
Partial,..,"-£100,000.00","£14,305.99","£96,121.28","£3,878.72","£10,427.27",£0.00,£0.00,0.00%,-26.40%,-85.70%,96.10%,39,2008
..,..,"-£100,000.00","£120,891.92",£0.00,"£100,000.00","£19,141.92","£1,750.00",£0.00,8.50%,5.10%,20.90%,0.00%,49,2008
..,..,"-£100,000.00","£120,425.05",£0.00,"£100,000.00","£18,675.05","£1,750.00","£1,750.00",7.00%,7.70%,20.40%,0.00%,32,2008
..,..,"-£100,000.00","£123,626.77",£0.00,"£100,000.00","£21,876.77","£1,750.00","£1,750.00",7.70%,5.10%,23.60%,0.00%,56,2009
..,..,"-£100,000.00","£95,833.32",£0.00,"£95,833.32",£0.00,£0.00,£0.00,-1.50%,-0.80%,-4.20%,0.00%,60,2009
..,..,"-£100,000.00","£112,307.00",£0.00,"£100,000.00","£9,557.00","£2,750.00","£2,750.00",6.10%,4.10%,12.30%,0.00%,36,2009
..,..,"-£100,000.00","£100,000.00",£0.00,"£100,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,7,2009
..,..,"-£100,000.00","£104,236.55",£0.00,"£100,000.00","£4,236.55",£0.00,£0.00,6.10%,2.70%,4.20%,0.00%,19,2009
..,..,"-£100,000.00","£103,936.30",£0.00,"£100,000.00","£2,186.30","£1,750.00","£1,750.00",6.10%,11.80%,3.90%,0.00%,4,2009
..,..,"-£100,000.00","£100,000.00",£0.00,"£100,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,29,2010
..,..,"-£100,000.00","£118,491.17",£0.00,"£100,000.00","£16,241.17","£2,250.00","£2,250.00",6.80%,5.00%,18.50%,0.00%,44,2010
..,..,"-£100,000.00","£111,517.12",£0.00,"£100,000.00","£3,267.12","£8,250.00","£8,250.00",7.80%,27.60%,11.50%,0.00%,5,2010
..,..,"-£100,000.00","£107,451.37",£0.00,"£100,000.00","£4,701.37","£2,750.00","£2,750.00",6.00%,8.90%,7.50%,0.00%,10,2011
Full,IRR out of range,"-£100,000.00","£5,598.22","£100,000.00",£0.00,"£3,848.22","£1,750.00","£1,500.00",Void,-35.40%,-94.40%,100.00%,32,2011
Full,IRR out of range,"-£100,000.00","£1,500.00","£100,000.00",£0.00,£0.00,"£1,500.00","£1,500.00",Void,-69.50%,-98.50%,100.00%,17,2011
Partial,IRR out of range,"-£95,000.00",£0.00,"£34,000.00",£0.00,£0.00,£0.00,£0.00,Void,-60.00%,-100.00%,35.80%,20,2011
Full,IRR out of range,"-£95,000.00","£6,689.66","£95,000.00",£0.00,"£6,689.66",£0.00,£0.00,Void,-55.80%,-93.00%,100.00%,20,2011
Partial,..,"-£95,000.00","£56,393.98","£58,292.75","£41,521.03","£14,872.95",£0.00,£0.00,0.00%,-13.20%,-40.60%,61.40%,37,2011
..,..,"-£94,800.00","£94,800.00",£0.00,"£94,800.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,13,2008
Full,IRR out of range,"-£90,450.00",£0.00,"£90,450.00",£0.00,£0.00,£0.00,£0.00,Void,-17.40%,-100.00%,100.00%,69,2008
Full,IRR out of range,"-£90,252.00",£0.00,"£90,252.00",£0.00,£0.00,£0.00,£0.00,Void,-50.00%,-100.00%,100.00%,24,2006
..,..,"-£90,000.00","£90,000.00",£0.00,"£90,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,23,2009
..,..,"-£90,000.00","£94,792.61",£0.00,"£90,000.00","£2,692.61","£2,100.00","£2,100.00",6.10%,10.70%,5.30%,0.00%,6,2011
..,..,"-£90,000.00","£90,000.00",£0.00,"£90,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,10,2012
..,..,"-£90,000.00","£93,181.34",£0.00,"£90,000.00","£1,331.34","£1,850.00","£1,850.00",6.70%,10.60%,3.50%,0.00%,4,2012
..,..,"-£87,531.00","£99,538.29",£0.00,"£87,531.00","£12,007.29",£0.00,£0.00,5.70%,5.30%,13.70%,0.00%,31,2009
..,..,"-£85,000.00","£92,534.29",£0.00,"£85,000.00","£6,284.29","£1,250.00","£1,250.00",5.40%,3.10%,8.90%,0.00%,34,2006
..,..,"-£85,000.00","£92,596.02",£0.00,"£85,000.00","£5,646.02","£1,950.00","£1,200.00",7.90%,6.30%,8.90%,0.00%,17,2009
Partial,..,"-£85,000.00","£10,823.29","£78,383.65","£6,616.35","£4,206.94",£0.00,£0.00,-86.20%,-55.10%,-87.30%,92.20%,19,2009
..,..,"-£84,500.00","£87,127.00",£0.00,"£84,500.00",£877.00,"£1,750.00",£0.00,25.60%,12.40%,3.10%,0.00%,3,2010
..,..,"-£80,000.00","£80,000.00",£0.00,"£80,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,16,2004
Partial,..,"-£80,000.00","£31,513.00","£56,799.46","£23,200.54","£8,312.46",£0.00,£0.00,-40.40%,-14.30%,-60.60%,71.00%,51,2006
Partial,..,"-£80,000.00","£28,732.90","£61,118.34","£18,881.66","£8,551.24","£1,300.00","£1,300.00",-43.40%,-12.60%,-64.10%,76.40%,61,2008
..,..,"-£80,000.00","£83,163.62",£0.00,"£80,000.00","£2,113.62","£1,050.00","£1,050.00",6.40%,7.90%,4.00%,0.00%,6,2008
..,..,"-£80,000.00","£80,000.00",£0.00,"£80,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,36,2010
..,..,"-£80,000.00","£80,000.00",£0.00,"£80,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,27,2010
..,..,"-£80,000.00","£84,699.39",£0.00,"£80,000.00","£4,699.39",£0.00,£0.00,6.10%,4.40%,5.90%,0.00%,16,2010
..,..,"-£80,000.00","£90,298.02",£0.00,"£87,846.92","£2,451.10",£0.00,"£8,595.75",15.00%,51.50%,12.90%,0.00%,3,2011
..,..,"-£80,000.00","£83,992.60",£0.00,"£80,000.00","£2,692.60","£1,300.00","£1,300.00",7.00%,10.00%,5.00%,0.00%,6,2012
Partial,..,"-£77,500.00","£24,398.23","£53,101.77","£24,398.23",£0.00,£0.00,£0.00,-57.80%,-18.70%,-68.50%,68.50%,44,2009
..,..,"-£75,000.00","£100,675.97",£0.00,"£75,000.00","£25,675.97",£0.00,£0.00,6.00%,5.00%,34.20%,0.00%,82,2005
..,..,"-£75,000.00","£81,478.29",£0.00,"£75,000.00","£6,478.29",£0.00,£0.00,6.10%,2.70%,8.60%,0.00%,39,2005
..,..,"-£75,000.00","£80,729.49",£0.00,"£75,000.00","£5,479.49",£250.00,£0.00,5.80%,2.00%,7.60%,0.00%,46,2005
..,..,"-£75,000.00","£78,187.40",£0.00,"£75,000.00","£2,437.40",£750.00,£750.00,6.00%,7.30%,4.20%,0.00%,7,2006
..,..,"-£75,000.00","£83,487.82",£0.00,"£75,000.00","£7,687.82",£800.00,£750.00,6.60%,3.70%,11.30%,0.00%,37,2008
..,..,"-£75,000.00","£82,486.56",£0.00,"£75,000.00","£7,486.56",£0.00,£0.00,6.10%,2.90%,10.00%,0.00%,41,2008
..,..,"-£75,000.00","£80,420.81",£0.00,"£75,000.00","£5,420.81",£0.00,£0.00,6.20%,1.60%,7.20%,0.00%,53,2009
..,..,"-£75,000.00","£79,758.88",£0.00,"£75,000.00","£4,758.88",£0.00,£0.00,4.00%,3.60%,6.30%,0.00%,21,2009
..,..,"-£75,000.00","£79,632.62",£0.00,"£75,000.00","£4,632.62",£0.00,£0.00,3.10%,2.60%,6.20%,0.00%,29,2010
..,..,"-£75,000.00","£84,580.81",£0.00,"£75,000.00","£7,455.81","£2,125.00","£2,125.00",6.20%,6.10%,12.80%,0.00%,25,2011
..,..,"-£75,000.00","£79,916.98",£0.00,"£75,000.00","£2,916.98","£2,000.00","£2,000.00",6.30%,6.60%,6.60%,0.00%,12,2011
..,..,"-£75,000.00","£77,577.40",£0.00,"£75,000.00",£727.40,"£1,850.00","£1,850.00",5.80%,20.60%,3.40%,0.00%,2,2011
..,..,"-£75,000.00","£82,155.84",£0.00,"£75,000.00","£7,155.84",£0.00,£0.00,6.10%,5.00%,9.50%,0.00%,23,2012
..,..,"-£75,000.00","£82,718.75",£0.00,"£75,000.00","£7,718.75",£0.00,£0.00,8.40%,6.90%,10.30%,0.00%,18,2012
..,..,"-£71,200.00","£74,760.67",£0.00,"£71,200.00","£3,560.67",£0.00,£0.00,2.20%,1.60%,5.00%,0.00%,37,2010
Full,IRR out of range,"-£70,433.00",£0.00,"£70,433.00",£0.00,£0.00,£0.00,£0.00,Void,-85.70%,-100.00%,100.00%,14,2010
Partial,..,"-£70,000.00","£40,655.99","£30,000.00","£40,000.00",£655.99,£0.00,£0.00,-74.70%,-38.70%,-41.90%,42.90%,13,2005
Full,IRR out of range,"-£70,000.00",£0.00,"£70,000.00",£0.00,£0.00,£0.00,£0.00,Void,-57.10%,-100.00%,100.00%,21,2006
Partial,..,"-£70,000.00","£4,862.36","£66,137.64","£3,862.36",£0.00,"£1,000.00","£1,000.00",-100.00%,-41.40%,-93.10%,94.50%,27,2006
Full,IRR out of range,"-£70,000.00",£0.00,"£70,000.00",£0.00,£0.00,£0.00,£0.00,Void,-66.70%,-100.00%,100.00%,18,2008
..,..,"-£70,000.00","£75,687.50",£0.00,"£69,999.90","£5,687.60",£0.00,£0.00,13.20%,6.50%,8.10%,0.00%,15,2012
..,..,"-£69,765.00","£93,810.70",£0.00,"£69,765.23","£23,545.47",£500.00,£0.00,13.30%,6.90%,34.50%,0.00%,60,2008
Full,IRR out of range,"-£67,000.00",£0.00,"£67,000.00",£0.00,£0.00,£0.00,£0.00,Void,-23.50%,-100.00%,100.00%,51,2006
..,..,"-£65,000.00","£71,976.17",£0.00,"£65,000.00","£5,676.17","£1,300.00","£1,300.00",6.10%,4.80%,10.70%,0.00%,27,2011
Partial,..,"-£63,053.29","£74,353.66",£0.31,"£63,052.98","£11,300.68",£0.00,£0.00,6.10%,3.40%,17.90%,0.00%,64,2005
..,..,"-£62,400.00","£62,400.00",£0.00,"£62,400.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,9,2009
Full,IRR out of range,"-£61,500.00",£0.00,"£61,500.00",£0.00,£0.00,£0.00,£0.00,Void,-11.00%,-100.00%,100.00%,109,2005
..,..,"-£60,000.00","£60,250.00",£0.00,"£60,000.00",£0.00,£250.00,£250.00,0.00%,0.80%,0.40%,0.00%,6,2005
..,..,"-£60,000.00","£66,028.77",£0.00,"£60,000.00","£6,028.77",£0.00,£0.00,14.10%,5.00%,10.00%,0.00%,24,2005
..,..,"-£60,000.00","£72,164.67",£0.00,"£60,000.00","£11,914.67",£250.00,£0.00,6.50%,4.00%,20.30%,0.00%,61,2005
..,..,"-£60,000.00","£63,217.80",£0.00,"£60,000.00","£2,617.80",£600.00,£600.00,6.70%,9.20%,5.40%,0.00%,7,2007
..,..,"-£60,000.00","£67,859.51",£0.00,"£60,000.00","£6,509.51","£1,350.00","£1,350.00",6.80%,4.40%,13.10%,0.00%,36,2007
..,..,"-£60,000.00","£62,056.44",£0.00,"£60,000.00",£256.44,"£1,800.00","£1,800.00",3.80%,10.30%,3.40%,0.00%,4,2010
..,..,"-£60,000.00","£61,814.78",£0.00,"£60,000.00","£1,814.78",£0.00,£0.00,5.70%,5.20%,3.00%,0.00%,7,2011
..,..,"-£60,000.00","£61,660.55",£0.00,"£60,000.00",£560.55,"£1,100.00","£1,100.00",5.70%,11.10%,2.80%,0.00%,3,2011
..,..,"-£60,000.00","£62,271.10",£0.00,"£60,000.00","£1,421.10",£850.00,£850.00,6.70%,11.40%,3.80%,0.00%,4,2012
..,..,"-£60,000.00","£62,747.50",£0.00,"£60,000.00","£2,747.50",£0.00,£0.00,7.70%,7.90%,4.60%,0.00%,7,2013
..,..,"-£60,000.00","£62,706.03",£0.00,"£60,000.00",£406.03,"£2,300.00","£2,300.00",6.70%,27.10%,4.50%,0.00%,2,2014
Partial,IRR out of range,"-£58,700.00",£978.34,"£57,721.66",£978.34,£0.00,£0.00,£0.00,Void,-73.70%,-98.30%,98.30%,16,2010
..,..,"-£57,100.00","£60,162.75",£0.00,"£57,100.00","£3,062.75",£0.00,£0.00,2.00%,1.70%,5.40%,0.00%,39,2010
..,..,"-£57,000.00","£59,889.86",£0.00,"£57,000.00","£2,889.86",£0.00,£0.00,2.00%,1.30%,5.10%,0.00%,47,2010
..,..,"-£55,294.27","£74,455.49",£0.00,"£55,294.25","£18,661.24",£500.00,£0.00,13.30%,6.80%,34.70%,0.00%,61,2008
Full,IRR out of range,"-£55,000.00","£27,327.27","£55,000.00","£14,097.96","£12,729.31",£500.00,£0.00,Void,-8.90%,-50.30%,100.00%,68,2009
..,..,"-£55,000.00","£64,513.71",£0.00,"£55,000.00","£9,513.71",£0.00,£0.00,6.10%,5.80%,17.30%,0.00%,36,2009
..,..,"-£55,000.00","£55,000.00",£0.00,"£55,000.00",£0.00,£0.00,£0.00,0.00%,0.00%,0.00%,0.00%,41,2011
