Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2010,CAR HIRE,ENVIRONMENT,ENTERPRISE RENT A CAR,0000175710,8.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONSULTANTS TECHNICAL,ENVIRONMENT,ENTECH USB LIMITED,0000175343,1053.34,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2010,CONSULTANTS TECHNICAL,ENVIRONMENT,JMC ENGINEERING (UK) LTD,0000175677,1998.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/10/2010,CONSULTANTS TECHNICAL,ENVIRONMENT,ENTECH USB LIMITED,0000176135,1053.34,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,WYG ENV PLANNING TRANSPOR,0000176068,6615.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2010,CONSULTANTS-INVESTIGATIONS,ENVIRONMENT,WYG ENV PLANNING TRANSPOR,0000176069,1575.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - BOREHOLES,ENVIRONMENT,CORNERSTONE  PROJECTS LTD,0000175908,347.07,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,586.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,557.27,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,117.32,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,523.13,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,1331.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,459.79,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,635.27,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,1372.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,150.99,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,530.75,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,724.76,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,2135.39,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,8141.81,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,687.02,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,1283.41,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,708.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,417.96,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,22/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175419,492.53,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,804.44,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,804.44,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,205.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,470.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,470.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,1387.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175538,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,308.40,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,3855.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,514.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,514.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175539,1542.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175542,11263.85,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175542,5631.92,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175543,4051.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175543,6776.67,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175543,3908.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175546,323.62,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175546,24955.31,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,4234.08,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,131.99,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,695.57,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,1304.71,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,1576.08,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,1744.03,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,3314.81,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,455.49,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,2408.78,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,165.66,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,557.27,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,527.94,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,117.32,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,506.25,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,1065.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000175547,463.30,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,REIMBURSEMENT OF WATER CH,0000175736,998.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,VODAFONE LIMITED (CORPORA,0000176038,51.59,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,NORTHUMBERLAND COUNTY COU,0000176065,133.92,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,300.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,631.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,4626.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176114,2004.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,205.60,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,771.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,616.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,3084.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,514.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,514.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,102.80,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,411.20,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,514.00,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/10/2010,CONTRACTORS - OPERATIONAL,ENVIRONMENT,INTEGRATED WATER SERVICES,0000176115,308.40,,
