objectid,ccg17cd,ccg17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
24,E38000024,NHS Bury CCG,379662,410766,-2.3087399,53.59307861,99483833.9510427,68155.190068255
25,E38000025,NHS Calderdale CCG,402615,424896,-1.96185005,53.72048187,363922813.061624,107035.163073155
26,E38000026,NHS Cambridgeshire and Peterborough CCG,530882,268396,-0.08209,52.29811096,3755402455.28824,462551.501904097
27,E38000027,NHS Camden CCG,527491,184282,-0.16291,51.54304123,21796077.2460923,26132.3478460326
28,E38000028,NHS Cannock Chase CCG,401391,311481,-1.98083997,52.70101166,133721661.444035,83241.7380097755
29,E38000029,NHS Canterbury and Coastal CCG,614567,157885,1.07524204,51.27967834,627088579.355888,209126.275004835
30,E38000030,NHS Castle Point and Rochford CCG,584564,190872,0.66275299,51.58647156,326586814.869561,224271.589782512
31,E38000031,NHS Central London (Westminster) CCG,528186,181157,-0.15403,51.51480103,18823495.5630601,27462.1181883781
32,E38000033,NHS Chiltern CCG,487259,192864,-0.74075001,51.62783051,578288692.691039,191761.445281175
33,E38000034,NHS Chorley and South Ribble CCG,355780,419723,-2.67080998,53.67211151,236468749.831331,91213.2031720477
34,E38000035,NHS City and Hackney CCG,534305,185815,-0.06412,51.55524063,22215624.1680949,33755.4527551275
35,E38000037,NHS Corby CCG,487862,290681,-0.7069,52.50696945,80282987.3481883,66297.2114306577
36,E38000038,NHS Coventry and Rugby CCG,440924,277502,-1.40000999,52.39403152,452208755.13882,143388.502893011
37,E38000039,NHS Crawley CCG,526390,137581,-0.19532999,51.12356949,44971040.4686214,38792.763076501
38,E38000040,NHS Croydon CCG,533922,164745,-0.07761,51.36597824,86519244.5976168,58600.5062371382
39,E38000042,NHS Darlington CCG,428028,515648,-1.56836998,54.53533936,197474991.733521,107072.451665377
40,E38000043,"NHS Dartford, Gravesham and Swanley CCG",560564,168881,0.306651,51.39624023,277522103.70882,94877.0448465896
41,E38000044,NHS Doncaster CCG,459170,403735,-1.10889995,53.52696991,568520280.339614,134368.47427329
42,E38000045,NHS Dorset CCG,375748,99796,-2.34546995,50.79719925,2694776607.9529,407993.377144357
43,E38000046,NHS Dudley CCG,393195,288584,-2.10165,52.49512863,97957467.9397285,75389.9642129068
44,E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",411731,529525,-1.81966996,54.66067886,1707608030.04186,333359.583959705
45,E38000048,NHS Ealing CCG,517058,181961,-0.31404999,51.52444077,55525698.5112206,47267.1844667895
46,E38000049,NHS East and North Hertfordshire CCG,531970,221973,-0.08409,51.8807106,985528237.78979,197691.841886429
47,E38000050,NHS East Lancashire CCG,378788,436559,-2.32371998,53.82487106,914144545.628964,208100.216609658
48,E38000051,NHS East Leicestershire and Rutland CCG,483655,310188,-0.76394999,52.68294907,1598481223.32397,333374.521275909
49,E38000052,NHS East Riding of Yorkshire CCG,505033,462634,-0.39725,54.04898834,2238168756.40465,404767.193937109
50,E38000053,NHS East Staffordshire CCG,412597,321671,-1.81463003,52.79246902,475503795.384205,189528.917965395
51,E38000054,NHS East Surrey CCG,533485,150547,-0.08919,51.23849106,323989617.607918,110227.126708625
52,E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",559136,105428,0.25817299,50.82651138,314124853.241475,107400.278537609
53,E38000056,NHS Eastern Cheshire CCG,383595,372237,-2.24729991,53.2469101,625500435.159119,190971.730429843
54,E38000057,NHS Enfield CCG,532829,196197,-0.08147,51.64888,82199174.6760881,41080.1783633908
55,E38000058,NHS Erewash CCG,446887,337932,-1.30382001,52.93675995,60022943.1561536,58786.8499793861
56,E38000059,NHS Fareham and Gosport CCG,454137,104358,-1.23256004,50.83620834,105595108.881909,67491.5344177996
57,E38000060,NHS Fylde & Wyre CCG,339564,433813,-2.9189899,53.79711151,328414707.489775,140780.552190816
58,E38000062,NHS Gloucestershire CCG,389595,213465,-2.15234995,51.81970978,2704539646.75275,424723.303012369
59,E38000063,NHS Great Yarmouth and Waveney CCG,641064,284517,1.54264796,52.40552902,557951079.206865,187083.864225622
60,E38000064,NHS Greater Huddersfield CCG,413671,412306,-1.79486001,53.60715103,314248666.685091,93414.0727685306
61,E38000065,NHS Greater Preston CCG,358317,435004,-2.63448,53.80965042,385424523.390658,173375.874318752
62,E38000066,NHS Greenwich CCG,542508,175882,0.050109,51.46397018,50377930.8533777,45571.7905743935
63,E38000068,NHS Halton CCG,354246,382146,-2.68852997,53.33423996,90332301.2954727,60578.0712726504
64,E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",412296,495154,-1.81233001,54.35177994,2841127724.8228,506627.198296003
65,E38000070,NHS Hammersmith and Fulham CCG,523867,177994,-0.21735001,51.48733902,17161027.7977793,23885.3949462819
66,E38000071,NHS Hardwick CCG,445557,366822,-1.31953001,53.19654846,217214642.07298,114275.66283597
67,E38000072,NHS Haringey CCG,531265,189350,-0.10662,51.58771896,29589078.9700326,28978.4329901476
68,E38000073,NHS Harrogate and Rural District CCG,427473,464652,-1.58160996,54.07707977,1309126186.81039,246951.322802136
69,E38000074,NHS Harrow CCG,515356,189733,-0.33603001,51.59463882,50469613.7598932,33723.7594029276
70,E38000075,NHS Hartlepool and Stockton-on-Tees CCG,445468,523188,-1.29770994,54.60184097,308178699.697911,128124.676283049
71,E38000076,NHS Hastings and Rother CCG,578730,119663,0.543064,50.94868088,549109916.34647,155927.617063333
72,E38000077,NHS Havering CCG,555032,187519,0.23537,51.56523895,114468879.541787,63787.9154706523
73,E38000078,NHS Herefordshire CCG,349434,242833,-2.73931003,52.08153915,2179732735.88171,349181.902797048
74,E38000079,NHS Herts Valleys CCG,506779,204790,-0.45521,51.73167038,585051538.174463,173331.103463958
75,E38000080,"NHS Heywood, Middleton and Rochdale CCG",390314,412326,-2.14785004,53.60741043,158081394.848699,82408.7107204233
76,E38000081,NHS High Weald Lewes Havens CCG,548695,120109,0.116006,50.96121979,862094494.716825,217094.276830118
77,E38000082,NHS Hillingdon CCG,508167,183120,-0.4418,51.53662872,115698713.129698,63838.0686561097
78,E38000083,NHS Horsham and Mid Sussex CCG,527997,124493,-0.177,51.0055809,581772434.076268,198064.963902666
79,E38000084,NHS Hounslow CCG,512742,174962,-0.37847,51.46240997,56594575.6840571,57560.7203706552
80,E38000085,NHS Hull CCG,511894,431716,-0.30379999,53.76979065,81496751.9329503,45999.7049709854
81,E38000086,NHS Ipswich and East Suffolk CCG,618753,257475,1.197685,52.1721611,2254808115.1107,362250.011505335
82,E38000087,NHS Isle of Wight CCG,447186,85950,-1.33361995,50.67129898,394911538.744428,133548.698758955
83,E38000088,NHS Islington CCG,531158,184645,-0.10992,51.54545975,14859897.4930183,20650.7819871189
84,E38000089,NHS Kernow CCG,212501,64494,-4.64248991,50.45022964,3636319380.26025,961128.449569416
85,E38000090,NHS Kingston CCG,519505,167386,-0.28371999,51.39292908,37247351.2990215,37481.0199329564
86,E38000091,NHS Knowsley CCG,344764,393521,-2.83290005,53.43556976,86469409.1943385,67875.6918321139
87,E38000092,NHS Lambeth CCG,531119,175627,-0.11383,51.46443176,27252897.614442,34218.6874203369
88,E38000094,NHS Leeds North CCG,432808,441042,-1.50260997,53.86457062,261505232.27055,154854.578419739
89,E38000095,NHS Leeds South and East CCG,436782,431878,-1.44326997,53.7819519,147476733.680667,88765.3148247402
90,E38000096,NHS Leeds West CCG,424268,433570,-1.63304996,53.79788971,142742979.413856,120477.27209725
91,E38000097,NHS Leicester City CCG,458946,304594,-1.13039994,52.63592148,73313948.6579519,51820.6519118614
92,E38000098,NHS Lewisham CCG,537888,173344,-0.01734,51.44231033,35314893.0578705,41000.656030505
93,E38000099,NHS Lincolnshire East CCG,528460,367991,-0.07864,53.19351959,2777250045.09126,429906.07696101
94,E38000100,NHS Lincolnshire West CCG,496961,374198,-0.54804999,53.25595856,1165999925.32603,214953.413306685
95,E38000101,NHS Liverpool CCG,339361,390553,-2.91364002,53.40829849,133542269.388922,67067.7773246491
96,E38000102,NHS Luton CCG,508606,222559,-0.42319,51.89102173,43352905.2789431,34563.9264107937
97,E38000103,NHS Mansfield and Ashfield CCG,452041,360293,-1.22353995,53.13727188,170120822.445989,87195.3795003941
98,E38000104,NHS Medway CCG,578207,175194,0.56317198,51.44768906,268857095.749419,92393.3842702741
99,E38000105,NHS Merton CCG,526069,169505,-0.18866999,51.41056061,37609225.2498248,32286.7059898671
100,E38000106,NHS Mid Essex CCG,582504,221445,0.64906001,51.86174011,1381306082.76093,280561.713205368
101,E38000107,NHS Milton Keynes CCG,486408,240029,-0.74128002,52.05192947,368491715.258602,119897.383611349
102,E38000108,NHS Nene CCG,475248,261252,-0.89929998,52.24433136,2001236289.58205,351843.608259312
103,E38000109,NHS Newark & Sherwood CCG,470624,357451,-0.94643003,53.10960007,631539265.989331,177799.664086195
104,E38000110,NHS Newbury and District CCG,447317,172093,-1.32051003,51.44585037,560924785.916283,149282.429635302
105,E38000113,NHS Newham CCG,540726,183327,0.027441,51.53131866,38676363.1699317,31812.4775414647
106,E38000114,NHS North & West Reading CCG,463518,171036,-1.08761001,51.43476868,158615389.887351,115816.361343501
107,E38000115,NHS North Derbyshire CCG,424963,376707,-1.62700999,53.28675842,1133515570.01106,249951.106465304
108,E38000116,NHS North Durham CCG,415703,545998,-1.75722003,54.80860901,525129398.082157,162102.507204433
109,E38000117,NHS North East Essex CCG,612330,223687,1.08296299,51.87133026,712328930.59155,170566.929121028
110,E38000118,NHS North East Hampshire and Farnham CCG,482683,150148,-0.81681001,51.24451828,186376742.658471,92840.8326507243
111,E38000119,NHS North East Lincolnshire CCG,523454,404577,-0.13926999,53.52339172,203541833.644328,91290.2143640771
112,E38000120,NHS North Hampshire CCG,462446,148201,-1.10703003,51.22957993,860834186.745132,201445.512318577
113,E38000121,NHS North Kirklees CCG,421847,422751,-1.67056,53.70074844,94348012.6437258,56467.8475211042
114,E38000122,NHS North Lincolnshire CCG,497798,410996,-0.52410001,53.58644867,875611472.499859,185426.884449042
115,E38000124,NHS North Norfolk CCG,624736,323924,1.32976604,52.76615143,1511883657.03683,288724.540025131
116,E38000125,NHS North Somerset CCG,347611,166719,-2.75442004,51.39707184,390853956.844438,138924.104021705
117,E38000126,NHS North Staffordshire CCG,404503,350364,-1.93427002,53.05052948,738570642.700863,272522.129368145
118,E38000127,NHS North Tyneside CCG,431471,570602,-1.50923002,55.02896118,85189682.0685274,65171.3482288969
119,E38000128,NHS North West Surrey CCG,503457,164294,-0.51519001,51.36828995,261924618.434025,108657.151849644
120,E38000129,"NHS Northern, Eastern and Western Devon CCG",283370,93577,-3.65391994,50.73004913,5884241740.35785,782770.831043505
121,E38000130,NHS Northumberland CCG,395323,600699,-2.07521009,55.30036926,5078413093.25574,550037.502671711
122,E38000132,NHS Nottingham City CCG,456082,339969,-1.16666996,52.9541893,74612137.913496,58728.1394173807
123,E38000133,NHS Nottingham North and East CCG,461039,347374,-1.09150004,53.02021027,156405356.227155,82398.3662395756
124,E38000134,NHS Nottingham West CCG,449829,341893,-1.25943995,52.9720993,80098682.879662,65977.6947499236
125,E38000135,NHS Oldham CCG,396598,406789,-2.05281997,53.55772018,142364712.772414,70789.6157805851
126,E38000136,NHS Oxfordshire CCG,448985,208334,-1.29146004,51.77154922,2523708294.87841,420707.789837596
127,E38000137,NHS Portsmouth CCG,465607,101357,-1.07023001,50.80804825,60191019.8480978,42574.80662987
128,E38000138,NHS Redbridge CCG,543512,189480,0.070086,51.58589935,56434395.1379397,45673.7694440372
129,E38000139,NHS Redditch and Bromsgrove CCG,400383,271356,-1.99579,52.34029007,271219385.130675,124114.857646346
130,E38000140,NHS Richmond CCG,519007,172648,-0.28911,51.44033051,58768312.1990129,52320.912900078
131,E38000141,NHS Rotherham CCG,447544,388984,-1.28647995,53.39556885,286537768.204035,105652.264963866
132,E38000142,NHS Rushcliffe CCG,466606,335453,-1.01097,52.91239929,409236098.723313,123286.010696278
133,E38000143,NHS Salford CCG,374547,398122,-2.38497996,53.4792099,97189628.5690882,63048.5525673322
134,E38000144,NHS Sandwell and West Birmingham CCG,402381,290778,-1.96633005,52.51488876,118504779.049261,68015.4443872936
135,E38000145,NHS Scarborough and Ryedale CCG,490315,481105,-0.61646003,54.21773911,1034618588.4669,267673.838224816
136,E38000146,NHS Sheffield CCG,430508,389739,-1.54259002,53.40361023,367949984.925881,131970.86040887
137,E38000147,NHS Shropshire CCG,350226,302960,-2.73668003,52.6221199,3197302921.99008,576700.711080245
138,E38000148,NHS Slough CCG,498923,179247,-0.57612997,51.50350952,32536354.6815918,44189.9222349793
139,E38000149,NHS Solihull CCG,419428,281481,-1.71566999,52.43098068,178287957.104971,101013.530362268
140,E38000150,NHS Somerset CCG,309310,131072,-3.29580998,51.07178116,3516232751.3992,460717.673053251
141,E38000151,NHS South Cheshire CCG,364041,353379,-2.5381999,53.07643127,540875494.14413,176509.97405256
142,E38000152,NHS South Devon and Torbay CCG,282205,70679,-3.66314006,50.52399063,956470838.608922,270717.667511991
143,E38000153,NHS South East Staffordshire and Seisdon Peninsula CCG,414106,307222,-1.79286003,52.66255188,461872871.010405,233169.813513813
144,E38000154,NHS South Eastern Hampshire CCG,474673,123939,-0.93695998,51.00999069,373214428.838704,169690.918393344
145,E38000155,NHS South Gloucestershire CCG,367559,183196,-2.46921992,51.54671097,536925092.14871,158362.404047758
146,E38000156,NHS South Kent Coast CCG,616486,136426,1.08979797,51.08628082,548339713.181642,226685.984258371
147,E38000157,NHS South Lincolnshire CCG,528063,322022,-0.10275,52.78060913,944704553.389774,269877.035728603
148,E38000160,NHS South Reading CCG,470226,172203,-0.99089003,51.44446945,25027374.3942171,32428.8519269789
149,E38000161,NHS South Sefton CCG,335221,400062,-2.97786999,53.49327087,84851949.9034539,57169.1724441152
150,E38000162,NHS South Tees CCG,461718,519597,-1.04694998,54.56784821,308450164.580896,111802.387560472
151,E38000163,NHS South Tyneside CCG,435501,564063,-1.44699001,54.96992874,67146167.6573942,45535.5668352177
152,E38000164,NHS South Warwickshire CCG,427620,253844,-1.59744,52.18217087,1260749635.22328,260752.351379597
153,E38000165,NHS South West Lincolnshire CCG,500762,340851,-0.50154001,52.95560074,1218640701.24174,192458.165381143
154,E38000166,NHS South Worcestershire CCG,385792,252993,-2.2091701,52.17501831,1273891447.42535,347230.14267027
155,E38000167,NHS Southampton CCG,442249,113604,-1.40030003,50.92034149,56377067.8287033,37172.2743094054
156,E38000168,NHS Southend CCG,587776,186833,0.70690602,51.54914093,67846238.2697235,70959.6744581807
157,E38000169,NHS Southern Derbyshire CCG,428158,334830,-1.58273995,52.91017914,1091953892.45197,252417.515489072
158,E38000170,NHS Southport and Formby CCG,332412,415122,-3.02346992,53.62826157,119923013.313634,87355.9117539726
159,E38000171,NHS Southwark CCG,533945,175863,-0.07309,51.46588898,29897302.5535079,33647.0381047892
160,E38000172,NHS St Helens CCG,353414,395991,-2.70306993,53.45861053,136381360.390404,76163.2720308766
161,E38000173,NHS Stafford and Surrounds CCG,388315,321340,-2.17470002,52.78950882,765414815.60003,164802.439564901
162,E38000174,NHS Stockport CCG,391805,388262,-2.12468004,53.39113998,126063863.998809,73165.2066053821
163,E38000175,NHS Stoke on Trent CCG,391803,343660,-2.12354994,52.99021912,141682798.364647,83776.0080228465
164,E38000176,NHS Sunderland CCG,436470,551525,-1.43343997,54.85720062,139650725.717291,68995.0527401915
165,E38000177,NHS Surrey Downs CCG,518576,149970,-0.30285001,51.23659134,405038332.294869,160356.593637386
166,E38000178,NHS Surrey Heath CCG,490369,159578,-0.70433998,51.32812881,66812163.5132353,58808.2261894148
167,E38000179,NHS Sutton CCG,527356,163640,-0.17227,51.3575592,43850359.7974892,39758.985317197
168,E38000180,NHS Swale CCG,588811,163731,0.70950198,51.34130096,253410644.307345,92579.1503919105
169,E38000181,NHS Swindon CCG,419127,186641,-1.72536004,51.57830811,260090784.627964,104872.882444357
170,E38000182,NHS Tameside and Glossop CCG,401143,397526,-1.98424006,53.47447968,229198309.810874,88993.9749370658
171,E38000183,NHS Telford and Wrekin CCG,367035,313057,-2.48940992,52.71416855,290313659.284095,118742.406595225
172,E38000184,NHS Thanet CCG,631844,166753,1.32829797,51.35253143,112328738.817001,55464.784719731
173,E38000185,NHS Thurrock CCG,562126,181586,0.33490199,51.5099411,184320245.625033,77757.6427800601
174,E38000186,NHS Tower Hamlets CCG,536346,181449,-0.03639,51.51551056,21566453.179614,26750.1625447426
175,E38000187,NHS Trafford CCG,375793,391163,-2.36566997,53.41672134,106035661.517596,60371.2797054362
176,E38000188,NHS Vale of York CCG,466812,449623,-0.98374999,53.93843079,2220319023.8778,500244.749182449
177,E38000189,NHS Vale Royal CCG,364416,373212,-2.53481007,53.25473022,248522564.051838,132982.149937299
178,E38000190,NHS Wakefield CCG,438366,418237,-1.42092001,53.65922928,338611685.236645,108128.3475677
179,E38000191,NHS Walsall CCG,402098,300804,-1.97044003,52.60503006,103953808.179452,59309.5967501307
180,E38000192,NHS Waltham Forest CCG,537327,190280,-0.01881,51.5946312,38815197.9842822,33261.0681769468
181,E38000193,NHS Wandsworth CCG,525147,174138,-0.20028,51.45240021,35219999.3451698,37349.9876354274
182,E38000194,NHS Warrington CCG,362744,388456,-2.56167006,53.39162827,182378649.921786,83831.9399604439
183,E38000195,NHS Warwickshire North CCG,427532,297164,-1.59519005,52.57162094,363218502.615036,119890.150236915
184,E38000196,NHS West Cheshire CCG,346835,361283,-2.79631996,53.14603043,692639887.788174,208966.048790447
185,E38000197,NHS West Essex CCG,555274,223275,0.25479001,51.8864212,1010706958.28695,231703.122971925
186,E38000198,NHS West Hampshire CCG,439086,138143,-1.44265997,51.14122009,2278471354.12435,449390.354997119
187,E38000199,NHS West Kent CCG,565235,145953,0.36313099,51.18891144,1239748486.32329,240226.241544553
188,E38000200,NHS West Lancashire CCG,342611,413268,-2.8689301,53.61280823,381100333.847917,146509.062344123
189,E38000201,NHS West Leicestershire CCG,447443,309936,-1.29960001,52.68505859,879070875.975139,208281.752267653
190,E38000202,NHS West London CCG,525757,179589,-0.18956999,51.50125122,15596167.814627,25579.7311468622
191,E38000203,NHS West Norfolk CCG,575838,315709,0.60149503,52.71049118,2015081897.27792,358419.682859901
192,E38000204,NHS West Suffolk CCG,582155,264019,0.66667801,52.24422073,1224232634.76436,363583.804082904
193,E38000205,NHS Wigan Borough CCG,362134,402124,-2.57249999,53.514431,188192029.073512,88014.1070198658
194,E38000206,NHS Wiltshire CCG,405209,158863,-1.92660999,51.32883072,3255342161.73076,401856.989147161
195,E38000207,"NHS Windsor, Ascot and Maidenhead CCG",487022,178053,-0.74783999,51.4947319,188337689.617211,99123.4440379932
196,E38000208,NHS Wirral CCG,329242,386937,-3.06502008,53.37453842,255031651.818543,93304.3032781387
197,E38000209,NHS Wokingham CCG,476624,169902,-0.89934999,51.42295837,178979155.746642,86850.3489157628
198,E38000210,NHS Wolverhampton CCG,391463,300016,-2.12746,52.59788132,69439703.4552578,56035.9592343158
199,E38000211,NHS Wyre Forest CCG,384106,276388,-2.23494005,52.38529968,195405685.716064,100786.292316476
200,E38000212,NHS Newcastle Gateshead CCG,420165,559658,-1.68684995,54.93119812,259170850.956848,106230.19357845
201,E38000213,NHS Coastal West Sussex CCG,498453,116051,-0.60022998,50.9355011,1403504558.64599,221060.324992755
202,E38000214,NHS Guildford and Waverley CCG,498354,143369,-0.59421998,51.18109131,537750104.985334,156784.482807483
203,E38000215,NHS Cumbria CCG,341246,537603,-2.9138701,54.7299614,5135945284.11833,491785.442723522
204,E38000216,NHS Morecambe Bay CCG,344540,494685,-2.85462999,54.34468842,3019603848.24634,451941.335017578
205,E38000217,NHS Manchester CCG,384592,397068,-2.23358011,53.47013092,115645599.228157,86046.9513419294
206,E38000218,NHS Norwich CCG,620228,310616,1.25415897,52.64855957,95152639.422613,110971.676090705
207,E38000219,NHS South Norfolk CCG,612748,302689,1.13867199,52.58039093,1693314753.89208,322937.590258231
