ID,LSOA11CD,FTL_ADULT|2010,FTL_ADULT|2011,FTL_ADULT|2012,FTL_ADULT|2013,FTL_ADULT|2014,FTL_CHILD|2010,FTL_CHILD|2011,FTL_CHILD|2012,FTL_CHILD|2013,FTL_CHILD|2014,SER_ADULT|2010,SER_ADULT|2011,SER_ADULT|2012,SER_ADULT|2013,SER_ADULT|2014,SER_CHILD|2010,SER_CHILD|2011,SER_CHILD|2012,SER_CHILD|2013,SER_CHILD|2014,SLT_ADULT|2010,SLT_ADULT|2011,SLT_ADULT|2012,SLT_ADULT|2013,SLT_ADULT|2014,SLT_CHILD|2010,SLT_CHILD|2011,SLT_CHILD|2012,SLT_CHILD|2013,SLT_CHILD|2014,CAS_TOTAL|2010,CAS_TOTAL|2011,CAS_TOTAL|2012,CAS_TOTAL|2013,CAS_TOTAL|2014,PED_ADULT|2010,PED_ADULT|2011,PED_ADULT|2012,PED_ADULT|2013,PED_ADULT|2014,PED_CHILD|2010,PED_CHILD|2011,PED_CHILD|2012,PED_CHILD|2013,PED_CHILD|2014,CYC_ADULT|2010,CYC_ADULT|2011,CYC_ADULT|2012,CYC_ADULT|2013,CYC_ADULT|2014,CYC_CHILD|2010,CYC_CHILD|2011,CYC_CHILD|2012,CYC_CHILD|2013,CYC_CHILD|2014,NO_INCID|2010,NO_INCID|2011,NO_INCID|2012,NO_INCID|2013,NO_INCID|2014
678,E01025262,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,2
506,E01025344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,4,0,1,0,1,0,2,2,4,2,5,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,2,4,2,2
550,E01025356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,5,5,11,4,0,0,1,0,1,5,5,6,11,6,1,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,3,5,6,6
842,E01025402,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,8,19,3,10,10,0,6,0,0,0,8,27,3,10,12,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,8,9,2,5,8
844,E01025403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,2,1,2,1,0,1,0,0,0,5,3,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,4,2,1,2,3
264,E01025164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,7,9,4,5,0,1,2,0,1,8,9,12,4,6,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,4,9,10,4,5
268,E01025165,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,5,4,5,2,4,0,0,0,0,0,5,5,7,2,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,6,2,5
451,E01025200,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,4,0,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,2,4,0
215,E01025202,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2,3,6,0,0,0,0,0,0,2,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,4
218,E01025203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,2,3,3,2,0,0,0,1,5,8,2,3,4,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,1,3,4
