Full Property Address,Current Rateable Value,Primary Liable party name,Account Mailing Address,Current Prop Exemption Start Date,Current Property Exemption Code,Property Reference Number
"College House, Rooms 305-309, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",14750,Porchwood Properties Limited In Liquidation,"Begbies Traynor, 340 Deansgate, Manchester,  M3 4LY",29/09/2015,IN,104232209069N
"Compound 3, North West Electricity, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",2900,Barrow Borough Council,"Streetcare, C/O Accounts Dept., Town Hall, Duke Street, Barrow-In-Furness, Cumbria ,  LA14 2LD",31/10/2015,VAC LAND,108361609764N
"C O R E 1st Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",2275,Systemcam Ltd,"Head Cragg, Kirkby In Furness, Cumbria,  LA17 7TB",01/05/2008,RT,105112500999N
"County Coachbuilders Ltd (Top Car Park ), Park Road, Barrow In Furness, Cumbria, LA14 4EQ",11500,"County Coach Builders Ltd,","10 The Garden, Dane Ghyll Park, Barrow In Furness,  LA14 1RE",31/01/2009,VAC LAND,106552709161N
"Crofters Golf Course, Holbeck Park Avenue, Barrow In Furness, Cumbria, LA13 0LL",2150,Holbeck Homes Ltd,"The Estate Office, Holker, Grange Over Sands, Cumbria,  LA11 7PH",20/05/2007,RT,111331379011N
"Ff Stores 20-22, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",710,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",01/05/2001,RT,105119510201N
"Former Siemens Plc Compound, Ramsey Way, Barrow In Furness, Cumbria, LA14 2TW",14000,Associated British Ports,"25 Bedford Street, London,  WC2E 9ES",06/06/2015,VAC LAND,103357209013N
"Gf Store 3, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",240,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",18/08/2014,RT,105119510034N
"Gf Store 4, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",245,Barrow Borough Council,"C/O Market Hall Offices, Market Hall, Duke Street, Barrow-In-Furness, Cumbria,  LA14 1HH",09/02/2014,RT,105119510046N
"Gf Store 8, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",255,Barrow Borough Council (Markets),"C/O Market Hall Offices, Market Hall, Duke Street, Barrow In Furness, Cumbria,  ",07/06/2014,RT,105119510081N
