Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,FERTILITY FOCUS LTD,163254,1500.00 ,,GU27 1BL,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,KINLEY SYSTEMS LTD,163304,496.50 ,,TN35 4PL,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,KINLEY SYSTEMS LTD,163304,1000.00 ,,TN35 4PL,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,PARASOL PANEL SYSTEM LLP,163435,1000.00 ,,CM18 7NF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SCREENOCEAN LTD,163436,1000.00 ,,CB24 5ES,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,PLOWMAN CRAVEN LTD,163437,1000.00 ,,AL5 5EQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163451,3869.47 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Fees and Charges - Overseas Market Introduction Service,Trade Development - UK Trade and Investments,INVESTMENT EDUCATION PLC,163728,185.00 ,,M2 2BE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,MSOFT E-SOLUTIONS LTD,163761,1000.00 ,,CH62 3NX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,THE POPPITT COMPANY LTD,163763,864.36 ,,BH23 7BG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,TJ INTERNATIONAL LTD,163764,1000.00 ,,PL28 8RW,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CRAIGEN ENGINEERING LTD T/A NDPP,163765,1000.00 ,,EX31 1GE,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,DBS MUSIC,163766,1000.00 ,,PL1 2AN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,TPG PRINT TRAINING LTD T/A TPG PRINT TRAINING AND CONSULTANCY,163767,1000.00 ,,TA12 6EH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SMARTSENSOR TELEMED LTD,163770,1500.00 ,,OX14 4RY,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,IGEOLISE LTD,163771,1000.00 ,,GU2 7YG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SOLUTIONS DIVERSE LTD,163772,1000.00 ,,LE9 7QG,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,BIOTEC SERVICES INTERNATIONAL LTD,163773,1000.00 ,,ST15 0BF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,THREE PEARS LTD,163774,1500.00 ,,B65 0JY,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,CCD DESIGN & ERGONOMICS LTD,163777,768.75 ,,SE1 0HX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,MEDILINK (YORKSHIRE AND HUMBER) LTD,163800,5000.00 ,,S35 1QN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Other IT Services - CBBC,Strategic Trade - UK Trade and Investments,ALLAN WEBB LTD,163813,1355.25 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Online Services charges - Online,Marketing & Communications - UK Trade and Investments,ALLAN WEBB LTD,163814,221.45 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",Chief Operating Officer - UK Trade and Investments,ALLAN WEBB LTD,163816,0.01 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",Chief Operating Officer - UK Trade and Investments,ALLAN WEBB LTD,163816,2868.43 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Video Production Services - UKTI Corporate Marketing,Marketing & Communications - UK Trade and Investments,S K & E S MAHER T/A SKM PRODUCTIONS,163818,960.00 ,,BR6 9RP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163820,10000.00 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,EAST MIDLANDS BUSINESS LTD,163820,380200.40 ,,LE19 1RJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence UK - International Trade Team Contracting,Trade Development - UK Trade and Investments,RUSSELL BUSINESS SERVICES LTD,163821,323.70 ,,BD16 3PF,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,RUSSELL BUSINESS SERVICES LTD,163821,7056.00 ,,BD16 3PF,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence UK - International Trade Team Contracting,Trade Development - UK Trade and Investments,SGB ASSOCIATES,163822,79.20 ,,S66 8PH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence UK - International Trade Team Contracting,Trade Development - UK Trade and Investments,SGB ASSOCIATES,163822,1145.50 ,,S66 8PH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - International Trade Team Contracting,Trade Development - UK Trade and Investments,SGB ASSOCIATES,163822,5200.00 ,,S66 8PH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,BRANDON HILL COMMUNICATIONS LTD,163823,6988.00 ,,BS8 2AT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Passport Development & Events,Trade Development - UK Trade and Investments,UNITED PHOENIX LTD,163824,500.00 ,,WA15 8SZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Stand Space/rental costs - Trade Marketing Events,Defence and Security Organisation - UK Trade and Investments,SOCIETY OF MARITIME INDUSTRIES LTD,163825,6597.50 ,,EC2R 8AY,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,163838,212.52 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,THISTLE HOTEL HAYDOCK,163848,266.67 ,,WA11 9SG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Advertising - Trade Marketing Events,Trade Development - UK Trade and Investments,Q COMMUNICATIONS LTD T/A BUSINESS WEEKLY,163850,500.00 ,,CB4 0WS,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,200.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,200.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,450.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,550.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,750.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,750.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,750.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163858,750.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163859,500.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163859,600.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,GWE BUSINESS WEST LTD,163859,650.00 ,,BS8 3RA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Professional Subscriptions - Trade Marketing Publicity,Marketing & Communications - UK Trade and Investments,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),163866,687.50 ,,SW1H 9BP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence UK - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,"Personal Expense, Name Witheld",505367,390.00 ,,SW1H 0ET,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Ministerial Events,Strategic Trade - UK Trade and Investments,"Personal Expense, Name Witheld",505368,3531.79 ,,SP2 7SA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Display Materials/Signage - Trade Marketing Events,Trade Development - UK Trade and Investments,JOANNE MITCHELL GLASS DESIGN,163804,1770.00 ,,SR6 0GL,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,TOUCHSCREEN SERVICES LTD,163826,666.60 ,,BH25 7HX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,TOUCHSCREEN SERVICES LTD,163827,599.94 ,,BH25 7HX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,TOUCHSCREEN SERVICES LTD,163828,933.24 ,,BH25 7HX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,TOUCHSCREEN SERVICES LTD,163829,0.03 ,,BH25 7HX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,TOUCHSCREEN SERVICES LTD,163829,883.22 ,,BH25 7HX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,IT Managed Service Contracts - UKTI Web Sites - Online Market Info Service,Chief Operating Officer - UK Trade and Investments,CABLE & WIRELESS COMMUNICATIONS PLC,163867,20751.80 ,,MK3 5JP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,IT Managed Service Contracts - UKTI Web Sites - Online Market Info Service,Chief Operating Officer - UK Trade and Investments,CABLE & WIRELESS COMMUNICATIONS PLC,163867,41503.58 ,,MK3 5JP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,RED STONE DESIGN LTD,163868,2510.00 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Authoring and Copywriting Costs - Inward Investment Publicity,Chief Operating Officer - UK Trade and Investments,PSPRARE PUBLISHING LTD,163870,6000.00 ,,EC1V 0DY,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Authoring and Copywriting Costs - Trade Marketing Publicity,Marketing & Communications - UK Trade and Investments,KREATIVITY LTD,163871,4700.00 ,,NW4 2EA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Photographic Services - Trade Marketing Publication,Marketing & Communications - UK Trade and Investments,CRUZ IT LTD T/A CIT DIGITAL,163872,4340.00 ,,S7 1NF,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Media and Press Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,PRECISE MEDIA MONITORING LTD,163873,4304.98 ,,EC3N 4QN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,INTERNATIONAL DOCUMENTARY FESTIVAL SHEFFIELD LTD,163874,5000.00 ,,S1 2BX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Car Hire and Leasing - ,Defence and Security Organisation - UK Trade and Investments,INTERCEDE 2052 LTD T/A TRAVELHIRE,163875,512.00 ,,TW7 6NL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,NORTH & WESTERN LANCASHIRE CHAMBER OF COMMERCE,163876,6000.00 ,,PR2 9WT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,MANCHESTER AIRPORT MARRIOTT HOTEL,163877,1454.17 ,,WA15 8XW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Design Services - Attracting Global Entrepreneurs,Investment Group - UK Trade and Investments,WHITEHOUSE MAINWARING DESIGN CONSULTANTS LTD,163878,2520.00 ,,B1 3EA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Event Management - Trade Marketing Events,Trade Development - UK Trade and Investments,NEWSCO INSIDER LTD,163880,4000.00 ,,M1 3HY,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,IT Managed Service Contracts - Online,Marketing & Communications - UK Trade and Investments,CAKE SOLUTIONS LTD,163884,150.00 ,,SK5 6DA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,IT Managed Service Contracts - Online,Marketing & Communications - UK Trade and Investments,CAKE SOLUTIONS LTD,163885,1152.00 ,,SK5 6DA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,THE BARTON GRANGE GROUP LTD T/A THE BARTON GRANGE HOTEL,163887,286.67 ,,PR3 5AA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,THE BARTON GRANGE GROUP LTD T/A THE BARTON GRANGE HOTEL,163887,346.00 ,,PR3 5AA,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Stand Construction Costs - Trade Marketing Events,Marketing & Communications - UK Trade and Investments,ELITEXPO CARGO SYSTEMS INC,163196,44.59 ,,60177,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,BENNETT COLEMAN & CO LTD,163768,5583.53 ,,400001,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,BENNETT COLEMAN & CO LTD,163775,3057.99 ,,400001,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,BENNETT COLEMAN & CO LTD,163776,2959.41 ,,400001,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,BENNETT COLEMAN & CO LTD,163778,394.30 ,,400001,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Stand Space/rental costs - Trade Marketing Events,Defence and Security Organisation - UK Trade and Investments,EUROPEENNE DE SALONS (EDS MILIPOL QATAR 2012),163815,17599.01 ,,92058,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,ROGERS MEDIA INC (ROGERS BROADCASTING/PUBLISHING LTD,163817,24062.10 ,,M4W 1G9,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SHEWEE LTD,163842,1000.00 ,,KT20 7RR,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,GOOD DIRECTIONS LTD,163843,155.78 ,,SO30 2DY,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,AIRSENSE WIRELESS LTD,163844,1000.00 ,,SM5 2LZ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
