?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,CONTRACTUAL SERVICES,22/11/2013,238380,2618.21,HI-SPEC FACILITIES SUPPORT CO PLC,101303
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,CONTRACTUAL SERVICES,22/11/2013,238381,2618.21,HI-SPEC FACILITIES SUPPORT CO PLC,101303
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PREMISES REPAIRS & RENEWALS,22/11/2013,238232,2617.18,ZAPP CANOPY UMBRELLAS LTD,100618
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238371,2565.86,TAYLOR PEARSON CONSTRUCTION,102044
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,TELEPHONES,22/11/2013,238297,2544.53,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PRINTING,15/11/2013,237905,2542.5,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,01/11/2013,237206,2536.23,VACU-LUG TRACTION TYRES LIMITED,100589
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238390,2520,NATIONWIDE WINDOWS LIMITED,101404
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOMES & COMMUNITIES,G430,PREVENTION FUND,29/11/2013,238644,2500,MANSFIELD DISTRICT COUNCIL,100292
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,GROUNDS MAINTENANCE,29/11/2013,238788,2500,RANSOME SPORTS CLUB,102011
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237615,2474.56,EDMUNDSON ELECTRICAL LTD,101640
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,01/11/2013,237203,2348.64,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,15/11/2013,237819,2322.74,SCAMP THEATRE LTD,101106
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,REPAIRS AND MAINTENANCE,01/11/2013,237239,2284.5,COOPER PLUMBING,100110
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,TELEPHONES,22/11/2013,238296,2282.53,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,STANDING CHARGES TELEPHONES,22/11/2013,238297,2272,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,08/11/2013,237555,2240.42,THE JIVE PARTNERSHIP,101174
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,ELECTRICITY,08/11/2013,237647,2217.12,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,ITEMS FOR RESALE,22/11/2013,238406,2179.5,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,POSTAGES,22/11/2013,238283,2167.5,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238714,2092.62,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,AGENCY STAFF,29/11/2013,238773,2091.11,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,ECONOMIC DEVELOPMENT,G420,PROFESSIONAL SERVICES,22/11/2013,238278,2077.71,CAPITA BUSINESS SERVICES LTD,102078
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237797,2066.5,EDWINSTOWE PARISH COUNCIL,100143
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,REPAIRS AND MAINTENANCE,15/11/2013,237863,2044,J WILKINS LIMITED,100236
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,HIRE OF FACILITIES,22/11/2013,238435,2026.9,THE DUKERIES ACADEMY,101837
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237660,2000,CRESTRA LTD,101824
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PROMOTION OF EVENTS,22/11/2013,238253,2000,SOUTHWELL SCOUT GROUP COUNCIL,102174
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,SPORTS DEVELOPMENT & EVENTS,29/11/2013,238698,2000,GIRTON SAILING CLUB,102154
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,LEGAL FEES,19/11/2013,238230,2000,GELBERGS LLP CLIENT ACCOUNT,102153
