?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER CODE
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,BROKERS FEES - INSURANCE,17/06/2011,191896,4500,GALLAGHER HEATH,101184
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,SUPPLIES AND SERVICES,01/06/2011,1109270,4292.5,NSDC CHAIRMAN AC,400005
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,03/06/2011,191432,4250,APW (NOTTINGHAM)  LTD,100891
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,24/06/2011,192433,4051.66,VAUGHANDALE CONSTRUCTION LTD,100590
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,10/06/2011,191636,4000,NEOPOST LTD,100358
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,OTHER EQUIPMENT AND TOOLS,24/06/2011,192454,4000,RYAN GROUP LIMITED,100475
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191591,3935.68,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,17/06/2011,192061,3914,BLUE LINES ROOFING LTD,100049
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,10/06/2011,191651,3828,SUNRISE WINDOW SYSTEMS LTD,101218
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,AGENCY STAFF,17/06/2011,192071,3817.86,COMENSURA LTD,100106
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,17/06/2011,192057,3745.2,SUNRISE WINDOW SYSTEMS LTD,101218
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,10/06/2011,191567,3660,TV INSTALLATION SERVICES (MANSFIELD)LTD,100577
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,03/06/2011,191320,3596.42,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,10/06/2011,191620,3572.8,VACU-LUG TRACTION TYRES LIMITED,100589
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,17/06/2011,191876,3558.42,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,24/06/2011,192410,3436.46,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,03/06/2011,191319,3344.17,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,03/06/2011,191282,3199.09,DFO INTERNATIONAL MUSIC AGENCY,101181
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SEWAGE WORKS ROUTINE MAINTNCE,17/06/2011,191877,3179.82,BRITISH GAS BUSINESS,100840
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,03/06/2011,191285,3121.16,OPERA DELLA LUNA,101210
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,03/06/2011,191353,3100,SILVER COMEDY LTD,101048
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,ILC LEASE COST,24/06/2011,192327,3076,CHRYSTAL CONSULTING LTD,100088
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,24/06/2011,192332,2963.74,CATERING ACADEMY LTD,100075
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,24/06/2011,192380,2955,R G CARTER BUILDING LTD,100440
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,LEGAL FEES COURTS,10/06/2011,191635,2921.12,WEIGHTMANS LLP,100597
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191589,2917.71,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191592,2914.7,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RENT,17/06/2011,191891,2875,SHOTSTONE LTD,100498
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,17/06/2011,192072,2801.76,ALAN FIELD ASSOCIATES,100009
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,24/06/2011,192445,2776.78,PRISM MUSIC GROUP LTD,100432
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,10/06/2011,191590,2749.94,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,03/06/2011,191345,2736,THE INTRAINING GROUP LTD,100779
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,MATERIALS,24/06/2011,192473,2707.25,SIEMENS FINANCIAL SERVICES LTD,100502
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,EXHIBITIONS AND DISPLAYS,17/06/2011,192122,2450,CAMPBELL & CO DESIGN CONSULTANTS LTD,101179
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,10/06/2011,191613,2410.1,DEREK BLOCK ARTISTES AGENCY LTD,100124
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,03/06/2011,191389,2398.73,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PROFESSIONAL SERVICES,24/06/2011,192490,2351.25,EDWINSTOWE PARISH COUNCIL,100143
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,STANDING CHARGES TELEPHONES,24/06/2011,192355,2341.8,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,HACKNEY LICENCE COSTS,03/06/2011,191370,2332,MOGO UK,100314
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,24/06/2011,192467,2326.2,TRENT VALLEY PLUMBING LTD,101219
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,10/06/2011,191641,2277.77,PERFORMING RIGHT SOCIETY LTD,100423
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,10/06/2011,191643,2220.52,PERFORMING RIGHT SOCIETY LTD,100423
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,17/06/2011,191873,2195,SPORTS SURFACING SOLUTIONS,101217
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,ELDERLY RESIDENTS ADAPTATIONS,10/06/2011,191657,2160,REDACTED PERSONAL DATA,100333
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,17/06/2011,192033,2151.27,TICKETS.COM LTD,100566
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,PAYMENTS,17/06/2011,192090,2148.61,TMP (UK) LTD,101175
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,17/06/2011,191991,2023.43,PARTIC MOTOR SPARES LTD,100421
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,17/06/2011,191858,2017.24,REDACTED PERSONAL DATA,101200
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,10/06/2011,191684,1995,S & N JOINERY,101216
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,17/06/2011,192036,1948.69,POLKA DOT ACADEMY,101212
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PRINTING,03/06/2011,191354,1925,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,17/06/2011,191941,1901.94,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191290,1900.8,GEDLING BOROUGH COUNCIL,100180
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PRINTING,17/06/2011,191937,1864.5,WILLSONS PRINTERS (NEWARK) LTD,100607
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192347,1841.4,GEDLING BOROUGH COUNCIL,100180
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,TELEPHONES,24/06/2011,192355,1813.47,VIRGIN MEDIA BUSINESS,100593
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,03/06/2011,191349,1800,LIFEWAYS COMMUNITY CARE LTD,100278
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192095,1782,GEDLING BOROUGH COUNCIL,100180
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,03/06/2011,191355,1750,THREE'S COMPANY ARTS,101065
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,24/06/2011,192430,1750,THREE'S COMPANY ARTS,101065
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,03/06/2011,191322,1674,CALANDINE LIFTS LTD,100068
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,CONTRACTUAL SERVICES,10/06/2011,191653,1595,GYMNASTICS ENTERPRISES LTD,101186
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,ELECTRICITY,17/06/2011,191842,1593.71,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,17/06/2011,191841,1563.47,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,03/06/2011,191284,1547.43,PREMIER STAGE PRODUCTIONS,101213
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,ELECTRICITY,10/06/2011,191671,1545.65,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191272,1524.6,MANSFIELD DISTRICT COUNCIL,100292
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,ELECTRICITY,10/06/2011,191675,1524.15,EDF ENERGY 1 LTD,101140
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROMOTION OF EVENTS,10/06/2011,191681,1500,GRAHAM PLATTS MANAGEMENT T/AS,101185
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,LICENCES,17/06/2011,192023,1491,COPYRIGHT LICENSING AGENCY LTD,100111
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,17/06/2011,191870,1478.41,J TOMLINSON LTD,101088
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PREMISES SECURITY,24/06/2011,192460,1467.72,HONEYWELL - NOVAR SYSTEMS LTD,100213
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192348,1405.8,MANSFIELD DISTRICT COUNCIL,100292
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,17/06/2011,192096,1386,MANSFIELD DISTRICT COUNCIL,100292
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,24/06/2011,192432,1290.4,PRISM MEDICAL UK,100918
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,17/06/2011,191892,1283,BRITISH TELECOMMUNICATIONS PLC,100057
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,03/06/2011,191431,1280,DOLPHIN MOBILITY EAST MIDLANDS LTD,100130
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTES FEES,17/06/2011,192075,1269.96,BARRY COLLINGS ENTERTAINMENTS,101077
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,03/06/2011,191347,1116,INFONETICA LTD,100904
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,24/06/2011,192474,1105,NAVMAN WIRELESS UK LTD,100353
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROMOTION OF EVENTS,17/06/2011,191903,1101.31,HAWTHORN THEATRICAL LTD,100198
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,REPAIRS AND MAINTENANCE,24/06/2011,192458,1100,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B992,DEBTOR REFUNDS,03/06/2011,191348,1093.73,HOTELREZ LIMITED,101188
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,24/06/2011,192362,1088,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,10/06/2011,191698,1085,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191295,1029.6,ASHFIELD DISTRICT COUNCIL,100022
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,24/06/2011,192356,1025,TRUSTMARQUE SOLUTIONS LTD,100983
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,24/06/2011,192375,1025,TRUSTMARQUE SOLUTIONS LTD,100983
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CONTRACTUAL SERVICES,24/06/2011,192376,1025,TRUSTMARQUE SOLUTIONS LTD,100983
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,03/06/2011,191293,1009.8,BROXTOWE BOROUGH COUNCIL,100063
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B998,POLICE GYM MEMBERSHIP,24/06/2011,192346,1009.8,BROXTOWE BOROUGH COUNCIL,100063
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REPAIRS AND MAINTENANCE,17/06/2011,192004,1009,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,10/06/2011,191693,1000,MHI,100307
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,24/06/2011,192442,1000,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,24/06/2011,192444,1000,URBEN MEDIA,100588
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ELECTRICITY,17/06/2011,191840,990.98,EDF ENERGY 1 LTD,101140
