,PB3 & 4 - International and domestic travel,,,,,
,Senior official (SCS2 and above),Start date of trip,Destination,Mode of transport,Class of travel,"Total cost, including all visas, accommodation, travel etc (£)"
,"Montgomery, Sir Charles Percival",11/03/2015,Plymouth,Train,Standard,£29
,"Montgomery, Sir Charles Percival",11/03/2015,Plymouth,Train,Standard,£69
,"Montgomery, Sir Charles Percival",24/03/2015,London,Bus,Standard,£3
,"Montgomery, Sir Charles Percival",24/03/2015,Cosham,Train,Standard,£13
,"Montgomery, Sir Charles Percival",24/03/2015,London Waterloo,Train,Standard,£34
,"Parsons, Mr. Michael John",30/03/2015,Sheffield,Train,Standard,£183
,"Parsons, Mr. Michael John",30/03/2015,Leeds/Bradford,Train,Standard,£73
,"Rapson, Ms. Sarah Oonagh",20/01/2015,East Croydon,Train,Standard,£13
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Taxi,n/a,£4
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Taxi,n/a,£5
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Train,Standard,£97
,"Rapson, Ms. Sarah Oonagh",12/02/2015,London Zones 1-4,Underground,Standard,£7
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Train,Standard,£97
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Train,Standard,£207
,"Rapson, Ms. Sarah Oonagh",12/02/2015,London Zones 1-4,Underground,Standard,£13
,"Rapson, Ms. Sarah Oonagh",12/02/2015,Sheffield,Train,Standard,£208
,"Rapson, Ms. Sarah Oonagh",25/02/2015,London Zones 1-6,Underground,Standard,£7
,"Rapson, Ms. Sarah Oonagh",25/02/2015,London Zones 1-6,Underground,Standard,£15
,"Rapson, Ms. Sarah Oonagh",10/03/2015,Farnborough (Main),Train,Standard,£18
,"Rapson, Ms. Sarah Oonagh",10/03/2015,Farnborough (Main),Train,Standard,£18
,"Rapson, Ms. Sarah Oonagh",10/03/2015,Farnborough (Main),Train,Standard,£48
,"Rapson, Ms. Sarah Oonagh",10/03/2015,Farnborough (Main),Train,Standard,£49
,"Rapson, Ms. Sarah Oonagh",17/03/2015,Manchester Airport,Train,Standard,£8
,"Rapson, Ms. Sarah Oonagh",17/03/2015,Manchester Piccadilly,Train,Standard,£163
,"Rapson, Ms. Sarah Oonagh",17/03/2015,Manchester,Train,Standard,£91
,"Rapson, Ms. Sarah Oonagh",18/03/2015,Liverpool Lime Street,Train,Standard,£17
,"Rapson, Ms. Sarah Oonagh",18/03/2015,London Euston,Train,Standard,£154
,"Rapson, Ms. Sarah Oonagh",24/03/2015,East Croydon,Train,Standard,£9
,"Rapson, Ms. Sarah Oonagh",24/03/2015,London Victoria,Train,Standard,£9
,,,,,,
,PB2 - International travel,,,,,
,Senior official (SCS2 and above),Start date of trip,Destination,Mode of transport,Class of travel,"Total cost, including all visas, accommodation, travel etc (£)"
,"Arnott, Dr. Robert Henry",16/01/2015,Rome Leonardo,Air (International),Standard,£176
,"Arnott, Dr. Robert Henry",16/02/2015,Paris Gare Du Nord,Air (International),Standard,£113
,"Barlow, Mr. Gavin",11/03/2015,W'Ington Dulles,Air (International),Economy,£699
,"Duffy, Mr. Philip",24/03/2015,Kuwait,Air (International),Standard,£495
,"Duffy, Mr. Philip",24/03/2015,Kuwait,Air (International),Standard,£597
,"Hayes, Mr. Simon Thomas",24/02/2015,Moscow Domodedovo,Air (International),Economy,£211
,"Hayes, Mr. Simon Thomas",24/02/2015,Moscow Vnukovo,Air (International),Economy,£365
,"Hayes, Mr. Simon Thomas",24/02/2015,Moscow Domodedovo,Air (International),Economy,£211
,"Hayes, Mr. Simon Thomas",24/02/2015,Moscow Vnukovo,Air (International),Economy,£466
,"Hayes, Mr. Simon Thomas",24/02/2015,Moscow Domodedovo,Air (International),Economy,£867
,"Hayes, Mr. Simon Thomas",08/03/2015,Bangkok,Air (International),Business,"£1,576"
,"Hayes, Mr. Simon Thomas",09/03/2015,Sydney,Air (International),Standard,"£1,067"
,"Hayes, Mr. Simon Thomas",10/03/2015,Canberra,Air (International),Standard,£162
,"Hayes, Mr. Simon Thomas",12/03/2015,Sydney,Air (International),Standard,£173
,"Hayes, Mr. Simon Thomas",13/03/2015,Hong Kong,Air (International),Standard,"£2,149"
,"Keane, Ms. Jacqueline Frances",27/01/2015,Rotterdam,Air (International),Economy,£105
,"Silverman, Mr. Bernard Walter",17/02/2015,Calais,Air (International),Standard,£143
,"Storr, Mr. Peter Richard",11/01/2015,Paris C.d Gaull,Air (International),Economy,£352
,"Storr, Mr. Peter Richard",10/02/2015,Amsterdam,Air (International),Economy,£482
,"Storr, Mr. Peter Richard",10/03/2015,Berlin Tegel,Air (International),Economy,£326
,,,,,,
