Row Labels,Administrative/logistic - awaiting inpatient or high dependency bed,Administrative/logistic - awaiting space on theatre list,Administrative/logistic - cancelled due to list over-run,Administrative/logistic - problem with theatre/equipment,Administrative/logistic - problem with theatre/surgical/anaesthetic staff cover,Awaiting orthopaedic diagnosis or investigation,Medically unfit - Awaiting medical review investigation or stabilisation,Medically unfit - awaiting orthopaedic diagnosis or investigation,No delay - surgery < 36 hours,Other,Unknown,Grand Total
COC,0.0%,3.1%,1.9%,0.4%,1.5%,1.5%,6.1%,0.8%,84.4%,0.4%,0.0%,262
COL,0.0%,1.3%,11.0%,0.0%,0.0%,1.1%,16.8%,1.3%,67.3%,1.3%,0.0%,471
CRG,0.0%,36.7%,0.4%,0.4%,0.0%,2.0%,20.3%,0.0%,39.8%,0.4%,0.0%,256
DAR,0.0%,14.4%,1.9%,0.0%,0.0%,1.9%,15.9%,0.4%,63.6%,1.5%,0.4%,264
DER,0.2%,1.6%,0.5%,0.2%,0.4%,1.4%,4.8%,0.2%,90.5%,0.2%,0.0%,557
DGE,0.0%,14.3%,0.0%,0.0%,14.3%,0.0%,42.9%,14.3%,14.3%,0.0%,0.0%,7
DID,0.6%,11.1%,3.5%,0.3%,0.3%,4.4%,19.2%,1.2%,57.1%,1.7%,0.6%,343
DRY,0.0%,18.6%,0.9%,0.0%,0.6%,1.7%,9.6%,0.6%,67.7%,0.0%,0.3%,344
DVH,0.0%,2.8%,0.0%,0.0%,0.3%,1.4%,4.8%,1.0%,86.9%,2.4%,0.3%,289
EAL,0.0%,9.2%,0.8%,0.8%,6.2%,3.1%,17.7%,0.8%,61.5%,0.0%,0.0%,130
EBH,0.8%,11.5%,2.9%,0.8%,0.3%,1.8%,11.8%,0.8%,65.7%,1.6%,2.1%,382
ENH,0.0%,9.1%,0.0%,0.5%,2.1%,2.9%,9.1%,0.8%,74.5%,0.5%,0.3%,373
ESU,0.0%,5.0%,4.0%,0.0%,0.0%,1.7%,6.4%,0.9%,81.1%,0.9%,0.0%,424
FAZ,2.6%,15.8%,5.3%,0.0%,0.0%,18.4%,50.0%,2.6%,0.0%,2.6%,2.6%,38
FGH,0.0%,0.0%,3.5%,0.0%,0.0%,0.0%,11.3%,0.9%,83.5%,0.9%,0.0%,115
FRM,0.0%,2.0%,0.7%,0.0%,0.7%,0.3%,5.0%,0.3%,82.5%,7.6%,1.0%,303
FRY,0.5%,5.1%,1.0%,0.0%,0.0%,4.4%,2.0%,0.5%,85.1%,1.5%,0.0%,409
GEO,0.5%,3.8%,0.9%,0.0%,0.0%,0.9%,14.1%,0.9%,72.3%,1.4%,5.2%,213
GGH,0.0%,13.7%,0.4%,0.0%,0.0%,1.9%,9.2%,0.8%,71.8%,2.3%,0.0%,262
GHS,0.0%,12.3%,0.7%,0.3%,0.0%,0.3%,9.6%,2.0%,71.9%,0.7%,2.3%,302
GLO,0.0%,6.7%,1.4%,0.0%,0.3%,1.4%,9.3%,2.0%,78.3%,0.6%,0.0%,345
GRA,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,2.0%,2.0%,92.2%,0.0%,2.0%,51
GWE,0.0%,25.3%,1.0%,0.0%,0.5%,2.0%,19.7%,2.0%,47.5%,2.0%,0.0%,198
GWH,0.0%,4.2%,0.0%,0.0%,0.0%,2.3%,7.3%,0.8%,83.5%,0.8%,1.1%,261
GWY,0.4%,7.4%,0.4%,0.8%,0.0%,5.4%,13.6%,0.8%,69.8%,1.6%,0.0%,258
HAR,0.0%,4.7%,0.0%,0.0%,2.6%,0.4%,4.7%,0.4%,86.8%,0.4%,0.0%,234
HCH,0.4%,4.8%,0.0%,0.4%,0.0%,5.7%,14.3%,1.3%,69.6%,1.3%,2.2%,230
HIL,0.5%,0.5%,0.0%,0.0%,0.5%,1.0%,6.9%,0.0%,87.7%,2.0%,1.0%,204
HIN,0.0%,54.3%,0.0%,0.0%,0.0%,14.3%,28.6%,0.0%,0.0%,2.9%,0.0%,35
HOM,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,7.5%,0.0%,69.8%,3.8%,15.1%,53
HOR,0.0%,1.8%,1.2%,0.0%,0.0%,0.0%,3.7%,0.0%,92.6%,0.6%,0.0%,163
HRI,0.2%,24.9%,0.2%,0.0%,0.0%,0.8%,21.4%,1.5%,48.4%,1.5%,1.0%,477
HUD,0.0%,43.4%,16.3%,0.0%,0.0%,3.0%,30.1%,1.2%,3.6%,2.4%,0.0%,166
IOW,0.0%,25.9%,0.0%,0.0%,0.0%,1.0%,12.2%,0.5%,59.4%,1.0%,0.0%,197
IPS,0.0%,17.0%,0.3%,0.0%,0.0%,0.8%,7.5%,0.3%,72.5%,1.6%,0.0%,371
JPH,0.0%,24.3%,0.0%,0.0%,1.3%,1.6%,9.9%,0.5%,60.7%,1.6%,0.0%,374
KCH,0.0%,2.4%,0.0%,0.0%,0.0%,4.8%,15.9%,0.0%,76.2%,0.0%,0.8%,126
KGH,0.0%,5.7%,10.1%,0.0%,0.0%,2.7%,7.4%,0.0%,72.4%,0.7%,1.0%,297
KMH,0.0%,8.9%,2.3%,0.0%,0.0%,1.1%,16.4%,0.9%,67.8%,0.9%,1.7%,348
KTH,0.4%,3.9%,0.4%,0.4%,0.9%,0.4%,3.5%,0.0%,88.3%,1.7%,0.0%,230
LDH,0.0%,10.1%,0.0%,1.2%,0.4%,1.6%,6.2%,1.9%,76.7%,1.9%,0.0%,257
LER,0.0%,7.9%,12.0%,0.1%,0.1%,1.4%,17.0%,0.7%,59.4%,1.2%,0.1%,694
LEW,0.0%,12.0%,0.0%,0.5%,0.0%,1.6%,4.3%,0.5%,77.7%,3.3%,0.0%,184
LGH,0.0%,16.9%,0.7%,0.0%,0.7%,1.5%,9.4%,0.4%,67.0%,3.0%,0.4%,267
LGI,0.3%,7.9%,2.2%,0.2%,5.4%,1.6%,13.5%,1.3%,66.8%,0.8%,0.0%,630
LIN,0.0%,0.3%,1.2%,0.6%,0.3%,0.6%,7.5%,0.0%,88.0%,1.5%,0.0%,333
LON,0.8%,30.8%,0.0%,0.0%,0.0%,0.8%,9.2%,0.0%,53.3%,3.3%,1.7%,120
MAC,0.0%,23.3%,11.6%,0.0%,27.9%,2.3%,27.9%,4.7%,0.0%,2.3%,0.0%,43
MDW,0.0%,18.5%,0.3%,0.0%,0.0%,0.3%,6.8%,0.0%,74.0%,0.0%,0.0%,292
MKH,0.0%,8.5%,0.6%,0.6%,0.0%,1.7%,8.5%,0.6%,79.5%,0.0%,0.0%,176
MOR,0.0%,7.6%,0.4%,0.0%,0.0%,1.0%,6.5%,0.2%,62.5%,21.6%,0.2%,510
MPH,0.0%,2.1%,0.3%,0.5%,4.0%,2.1%,10.1%,0.5%,78.9%,1.3%,0.0%,375
MRI,0.0%,2.3%,0.6%,0.6%,0.6%,2.3%,12.4%,1.1%,80.2%,0.0%,0.0%,177
NCR,0.0%,0.9%,0.0%,0.6%,0.6%,1.6%,6.9%,0.3%,83.1%,1.6%,4.4%,320
NDD,0.0%,3.6%,0.4%,0.0%,0.4%,1.6%,15.1%,0.8%,77.3%,0.8%,0.0%,251
NEV,0.0%,8.2%,1.1%,0.0%,0.4%,1.1%,6.4%,0.7%,80.5%,1.8%,0.0%,282
NGS,0.0%,0.4%,2.8%,0.0%,0.2%,1.5%,12.1%,0.2%,79.6%,2.3%,0.9%,529
NHH,0.0%,6.1%,0.4%,0.0%,0.0%,1.1%,6.1%,0.0%,81.0%,0.0%,5.3%,263
NMG,0.0%,16.1%,3.5%,0.0%,0.0%,2.9%,15.4%,1.0%,59.5%,1.6%,0.0%,311
NMH,1.9%,16.7%,1.9%,5.6%,7.4%,0.0%,40.7%,0.0%,20.4%,5.6%,0.0%,54
NOB,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.9%,0.0%,90.2%,3.9%,0.0%,51
NOR,0.0%,11.4%,1.0%,0.0%,0.5%,1.8%,9.0%,0.3%,74.6%,1.0%,0.4%,779
NPH,0.0%,0.4%,0.0%,0.4%,0.0%,0.9%,12.2%,0.9%,78.2%,5.7%,1.3%,229
NTG,0.0%,1.1%,0.8%,0.0%,0.3%,2.0%,11.7%,0.3%,81.6%,2.0%,0.3%,358
NTH,0.0%,6.3%,9.0%,0.0%,0.3%,1.3%,10.6%,0.0%,70.1%,2.3%,0.0%,301
NTY,0.0%,0.0%,0.3%,0.0%,0.0%,1.0%,8.5%,0.0%,89.5%,0.7%,0.0%,294
NUH,0.0%,39.5%,0.0%,0.0%,2.2%,1.4%,25.2%,0.0%,31.1%,0.6%,0.0%,357
NUN,0.8%,5.7%,9.8%,0.8%,0.8%,2.4%,11.8%,1.2%,66.1%,0.4%,0.0%,245
NWG,0.0%,3.2%,0.0%,2.2%,0.0%,0.0%,9.7%,0.0%,81.7%,2.2%,1.1%,93
OHM,0.3%,6.0%,0.0%,0.0%,0.0%,3.4%,7.7%,1.4%,71.5%,3.4%,6.3%,351
OLD,0.0%,48.9%,17.8%,0.0%,0.0%,3.2%,21.9%,1.4%,5.9%,0.9%,0.0%,219
PAH,0.0%,12.9%,0.0%,0.0%,2.9%,1.7%,3.2%,0.9%,77.9%,0.6%,0.0%,348
PCH,0.0%,7.3%,7.3%,0.0%,1.0%,3.4%,10.2%,0.5%,65.4%,4.9%,0.0%,205
PET,0.0%,13.6%,0.0%,0.0%,0.0%,2.5%,4.4%,0.8%,78.1%,0.6%,0.0%,360
PGH,0.6%,17.7%,0.6%,2.8%,8.3%,1.1%,45.9%,0.0%,21.0%,2.2%,0.0%,181
PIL,0.0%,10.4%,0.0%,0.0%,0.0%,1.3%,5.2%,1.3%,81.8%,0.0%,0.0%,77
PIN,0.4%,13.6%,0.4%,0.4%,1.1%,8.1%,11.4%,4.1%,60.3%,0.4%,0.0%,559
PLY,0.0%,18.9%,3.8%,0.0%,0.3%,0.3%,9.4%,0.7%,64.3%,1.7%,0.3%,286
PMS,0.0%,5.6%,1.0%,0.0%,0.0%,1.5%,5.8%,0.2%,85.9%,0.0%,0.0%,411
POW,0.0%,15.8%,3.6%,0.5%,0.5%,1.8%,25.8%,0.0%,48.0%,0.9%,3.2%,221
QAP,0.0%,4.6%,2.8%,0.0%,1.6%,1.8%,5.4%,0.9%,83.0%,0.0%,0.0%,570
QEB,0.3%,5.0%,5.3%,0.0%,2.4%,1.6%,17.9%,0.5%,66.8%,0.3%,0.0%,379
QEG,0.0%,4.9%,0.4%,0.0%,0.0%,4.9%,8.6%,0.4%,79.9%,0.8%,0.0%,244
QEQ,0.0%,4.9%,1.1%,0.6%,0.2%,0.4%,10.4%,0.2%,67.4%,3.8%,11.0%,472
QKL,0.0%,13.7%,1.6%,0.0%,0.6%,0.3%,5.6%,0.0%,78.0%,0.3%,0.0%,322
RAD,0.0%,12.6%,7.9%,0.0%,0.6%,1.0%,7.0%,0.6%,69.2%,0.2%,1.0%,516
RBE,0.0%,3.6%,5.3%,0.5%,0.7%,0.7%,9.1%,0.5%,79.1%,0.2%,0.2%,417
RCH,0.0%,16.9%,1.4%,0.0%,0.6%,1.0%,10.4%,0.4%,68.3%,1.0%,0.0%,508
RDE,0.4%,15.4%,0.0%,0.0%,0.0%,1.9%,7.8%,0.2%,74.4%,0.0%,0.0%,540
RED,0.0%,26.0%,0.0%,0.4%,5.4%,1.2%,13.6%,1.2%,51.2%,0.8%,0.0%,242
RFH,0.0%,17.4%,0.0%,0.0%,0.0%,4.0%,6.0%,2.0%,68.5%,1.3%,0.7%,149
RGH,0.0%,17.1%,5.0%,0.9%,0.0%,3.2%,14.0%,0.0%,55.4%,4.1%,0.5%,222
RHC,0.0%,5.3%,1.1%,0.0%,1.1%,0.4%,7.6%,0.0%,81.7%,1.5%,1.1%,262
RLI,0.0%,22.3%,3.1%,0.0%,0.0%,2.7%,6.2%,1.5%,63.8%,0.4%,0.0%,260
RLU,0.6%,4.2%,3.0%,0.0%,0.3%,2.7%,8.8%,0.3%,77.6%,2.4%,0.0%,331
ROT,0.5%,5.5%,1.0%,0.0%,2.0%,5.0%,11.4%,1.0%,72.1%,1.5%,0.0%,201
RPH,0.5%,15.6%,0.5%,0.2%,0.2%,0.2%,5.4%,0.0%,74.4%,2.9%,0.0%,442
RSC,0.2%,3.6%,0.6%,0.0%,0.0%,2.1%,3.2%,0.6%,89.4%,0.0%,0.4%,530
RSS,0.0%,11.4%,8.1%,0.0%,3.3%,1.2%,15.4%,0.0%,59.6%,0.9%,0.0%,332
RSU,0.0%,1.0%,4.1%,0.0%,0.0%,0.3%,2.1%,0.0%,90.7%,1.7%,0.0%,290
RUS,0.0%,2.6%,1.5%,0.2%,0.0%,2.4%,9.2%,0.0%,82.8%,1.3%,0.0%,459
RVB,0.1%,72.9%,0.5%,0.0%,0.0%,2.1%,8.0%,0.3%,15.9%,0.1%,0.0%,887
RVN,0.2%,5.2%,0.0%,0.2%,0.2%,1.5%,9.3%,1.0%,80.6%,1.7%,0.0%,407
SAL,0.4%,7.8%,0.0%,0.0%,0.0%,1.1%,3.7%,0.0%,87.0%,0.0%,0.0%,269
SAN,0.4%,8.7%,0.0%,3.3%,1.1%,2.2%,14.5%,1.1%,66.3%,0.7%,1.8%,276
SCA,0.0%,8.4%,0.0%,0.0%,0.0%,1.0%,22.7%,0.0%,68.0%,0.0%,0.0%,203
SCM,0.2%,8.2%,0.9%,0.2%,0.0%,0.4%,9.3%,0.4%,79.4%,0.9%,0.0%,452
SCU,1.0%,17.6%,6.3%,1.0%,1.0%,2.4%,11.7%,0.0%,57.6%,1.5%,0.0%,205
SDG,0.0%,6.2%,0.8%,0.0%,0.8%,3.1%,7.8%,0.0%,79.8%,1.6%,0.0%,129
SEH,0.0%,20.2%,0.7%,0.0%,0.0%,2.6%,10.7%,1.1%,63.6%,1.1%,0.0%,272
SGH,0.0%,3.0%,6.2%,0.2%,0.4%,1.8%,7.5%,0.5%,76.7%,2.1%,1.6%,562
SHC,0.5%,0.0%,0.3%,0.0%,0.5%,1.0%,3.8%,0.0%,92.7%,1.0%,0.3%,397
SHH,0.0%,3.6%,0.0%,0.0%,1.0%,1.6%,7.8%,0.5%,83.9%,1.3%,0.3%,385
SLF,0.8%,8.0%,4.2%,0.0%,0.4%,2.9%,10.1%,1.3%,71.4%,0.8%,0.0%,238
SMV,0.0%,4.5%,8.7%,0.3%,0.3%,4.8%,7.4%,0.6%,70.0%,3.2%,0.0%,310
SOU,0.0%,11.5%,1.9%,0.5%,3.8%,1.9%,8.1%,1.0%,69.4%,1.9%,0.0%,209
SPH,0.0%,10.9%,0.0%,0.0%,0.0%,0.3%,3.0%,0.0%,85.1%,0.6%,0.0%,329
STD,0.0%,6.0%,1.5%,0.0%,0.0%,1.0%,8.0%,2.0%,77.4%,4.0%,0.0%,199
STH,0.0%,0.0%,3.8%,0.6%,4.4%,0.0%,8.2%,0.6%,77.4%,2.5%,2.5%,159
STM,1.0%,5.8%,2.9%,1.9%,2.9%,7.7%,28.8%,4.8%,43.3%,1.0%,0.0%,104
STO,0.0%,11.3%,1.6%,0.0%,1.1%,0.5%,14.2%,0.5%,64.5%,1.1%,5.3%,380
STR,0.0%,2.8%,3.1%,0.3%,2.0%,0.6%,8.5%,1.1%,81.1%,0.6%,0.0%,355
TGA,0.9%,34.1%,0.5%,1.4%,0.0%,1.9%,10.4%,0.9%,46.4%,3.3%,0.0%,211
TLF,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,11.1%,0.0%,66.7%,9
TOR,1.7%,19.5%,2.6%,0.7%,0.0%,2.4%,4.0%,1.2%,66.7%,1.2%,0.0%,420
TUN,0.0%,15.7%,0.0%,0.0%,0.0%,0.6%,2.8%,0.0%,80.9%,0.0%,0.0%,492
UCL,0.0%,4.1%,0.0%,0.0%,0.0%,0.8%,10.7%,0.0%,81.1%,1.6%,1.6%,122
UHC,0.0%,6.3%,1.2%,1.7%,0.2%,1.9%,17.8%,1.2%,69.4%,0.2%,0.0%,415
UHN,0.0%,14.0%,0.0%,0.0%,0.1%,3.7%,6.9%,1.0%,73.1%,1.2%,0.0%,694
UHW,0.2%,13.4%,8.7%,0.4%,0.2%,1.6%,8.5%,0.2%,64.4%,1.3%,0.9%,447
VIC,1.6%,37.7%,0.0%,0.0%,0.0%,0.6%,9.3%,0.0%,49.5%,1.3%,0.0%,313
WAR,0.0%,6.9%,1.3%,0.0%,0.7%,0.7%,12.2%,0.0%,77.3%,0.7%,0.3%,304
WAT,0.4%,5.0%,5.0%,0.0%,1.1%,0.8%,10.3%,0.4%,74.7%,1.9%,0.4%,261
WDG,0.0%,3.8%,2.3%,1.9%,1.1%,2.3%,8.4%,0.4%,76.2%,3.1%,0.4%,261
WDH,0.0%,1.0%,1.3%,0.7%,0.0%,0.3%,4.6%,0.3%,88.4%,3.3%,0.0%,302
WES,0.6%,10.1%,0.0%,0.0%,0.6%,0.0%,10.7%,3.0%,73.4%,1.8%,0.0%,169
WEX,0.0%,2.2%,0.0%,0.0%,0.0%,0.3%,17.8%,0.0%,78.4%,0.3%,0.9%,320
WGH,0.0%,20.1%,0.8%,0.4%,1.5%,3.1%,6.2%,1.5%,62.5%,2.7%,1.2%,259
WHC,1.8%,5.8%,5.8%,0.7%,0.7%,3.2%,9.4%,0.7%,68.0%,2.9%,1.1%,278
WHH,0.0%,12.2%,0.0%,0.0%,0.2%,2.1%,10.8%,0.7%,73.0%,0.9%,0.0%,434
WHI,0.0%,3.9%,4.2%,0.3%,0.6%,2.2%,12.3%,1.1%,71.0%,1.4%,3.1%,359
WHT,0.0%,3.1%,6.3%,0.0%,0.0%,3.1%,6.3%,0.0%,75.0%,6.3%,0.0%,32
WIR,0.0%,0.0%,2.2%,0.0%,1.5%,2.2%,2.8%,0.2%,89.0%,1.9%,0.2%,463
WMH,0.8%,26.1%,0.0%,0.8%,0.0%,3.5%,21.4%,0.8%,45.9%,0.8%,0.0%,257
WMU,0.5%,43.3%,2.0%,1.0%,0.5%,2.5%,16.9%,0.5%,32.3%,0.5%,0.0%,201
WRC,0.6%,17.3%,0.6%,0.8%,2.2%,0.8%,16.7%,0.3%,57.7%,2.8%,0.3%,359
WRG,0.0%,5.4%,2.0%,0.9%,0.3%,1.1%,14.3%,0.6%,74.3%,0.9%,0.3%,350
WRX,0.6%,16.4%,1.8%,0.0%,0.6%,0.6%,10.5%,2.3%,66.1%,0.6%,0.6%,171
WSH,0.0%,4.0%,0.7%,0.4%,1.1%,0.7%,4.8%,0.0%,88.2%,0.0%,0.0%,272
WWG,0.0%,4.5%,5.3%,0.0%,0.0%,4.9%,13.1%,1.2%,66.0%,3.3%,1.6%,244
WYB,1.8%,8.3%,0.6%,0.6%,0.0%,4.8%,16.1%,0.6%,56.0%,11.3%,0.0%,168
WYT,0.3%,2.3%,3.3%,1.0%,0.7%,2.6%,9.3%,0.0%,79.8%,0.7%,0.0%,302
YDH,0.0%,7.7%,0.3%,0.3%,0.3%,2.5%,8.0%,0.3%,78.8%,1.8%,0.0%,325
YEO,0.0%,7.0%,2.7%,0.0%,0.0%,1.9%,9.3%,1.2%,74.7%,2.7%,0.4%,257
Grand Total,0.2%,11.2%,2.1%,0.3%,0.7%,1.8%,10.3%,0.6%,70.6%,1.6%,0.6%,53228

