Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018962,176088.49
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4018963,12500.38
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018964,153950.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4018965,693.58
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4018967,453750.98
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4018967,444515.71
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4018967,9235.27
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018968,149974.16
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018970,19480.62
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4018970,19480.61
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4018976,1553.49
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4018978,80318.55
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Standard Desktop Services,Corporate and Professional Services,FUJITSU SERVICES LTD,4018979,130974.94
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4018983,646.46
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Technical Advice,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4018989,2280476.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Furniture,Corporate and Professional Services,OSMOND GROUP LTD,4019000,934.13
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4019001,585.00
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019017,1195.76
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019018,1124.58
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Economic Consultancy and Research,Corporate and Professional Services,INFORMED SOLUTIONS,4019020,38923.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4019021,11921.25
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,External Training,Corporate and Professional Services,ACKNOWLEDGE LTD,4019022,3950.00
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ALLEN & OVERY LLP,4019024,1039.80
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ALLEN & OVERY LLP,4019026,2079.61
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Salaries - Secondees (Programme),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ALLEN & OVERY LLP,4019026,2035.36
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Furniture,Corporate and Professional Services,OSMOND GROUP LTD,4019030,2439.18
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Technical Advice / Services & Support,Corporate and Professional Services,BIRD & BIRD,4019032,714.40
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019033,3525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4019034,4000000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4019035,2050.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,IT Maintenance and Management Services,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,PROFESSIONAL SERVICES TECHNOLOGY LTD,4019036,1875.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019037,11162.50
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019038,37012.50
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Other IT Costs,Corporate and Professional Services,MORE ASSOCIATES LTD,4019039,9875.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Standard Desktop Services,Corporate and Professional Services,FUJITSU SERVICES LTD,4019040,2163.45
