Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019341,988.50
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - Energy Efficiency & Consumers,GRANT THORNTON UK LLP,4019343,9660.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019349,580.74
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019355,557.51
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,4019356,6912.17
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019357,772.62
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019357,845.58
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Conference Facilities,Corporate and Professional Services,J T & SONS RELOCATIONS LTD,4019358,1421.33
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4019359,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Purchase of  Advertising and Publicity (Programme),Energy Markets & Infrastructure - Energy Development Unit,THE STATIONERY OFFICE LTD,4019367,513.17
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,HOOK NORTON LOW CARBON LTD,4019369,62893.94
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Purchase of  Advertising and Publicity (Programme),Energy Markets & Infrastructure - Energy Development Unit,THE STATIONERY OFFICE LTD,4019370,608.73
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4019371,2264.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4019372,28834.92
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,TUV NEL LTD,4019373,39766.20
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Other Office Service Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,CYCLE SYSTEMS LTD,4019376,1057.50
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019377,757.69
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019378,742.55
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019379,1124.59
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,BROOK STREET (UK) LTD,4019381,546.39
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019383,775.32
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019385,126719.77
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019387,200105.31
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Payments to Treasury Solicitors and Treasury Counsel,Corporate Support & Shared Services - Corporate Support & Shared Services,THE TREASURY SOLICITORS,4019388,15157.70
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,AX BUSINESS SOLUTIONS LTD,4019389,10575.00
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS PLC,4019391,911.46
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,GPC New Procedures,Corporate Payments,BARCLAYS BANK PLC,4019392,101424.04
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019395,1551.00
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019396,2750.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LANCASTER COHOUSING COMPANY LTD,4019397,7944.59
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019398,86014.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,FORESEE LTD,4019399,13400.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,DEFRA,4019401,160000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4019403,33972.05
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4019404,49784.96
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4019405,54620.06
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4019406,14147.84
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4019407,270659.14
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4019408,1007.80
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Security and resilience,CROWN AGENTS,4019409,5063.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019410,142527.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Administration of Grants and Awards,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019411,138225.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WYG ENGINEERING LTD,4019412,6397.71
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NATIONAL ENERGY ACTION,4019413,165262.28
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,External Training,Energy Markets & Infrastructure - EMI Director General,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4019414,2750.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019416,4936.27
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019417,25000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019418,22000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,BT CONFERENCING,4019420,1019.42
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4019421,7164.18
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MILLS & REEVE,4019422,2313.65
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,S M POSTLE HAMMOND,4019423,2876.29
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,FORESTRY COMMISSION,4019425,48000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Hospitality - UK,DECC Private Office Group - DECC Private Office Group,SEARCY TANSLEY & CO LTD,4019431,604.37
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy & Climate Change International - International Climate Change Negotiations,BROOK STREET (UK) LTD,4019433,657.92
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4019434,8523.42
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,WORKFLOW CONSULTING LTD,4019435,2841.14
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Energy Development Unit,MWH UK LTD,4019438,6574.79
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4019441,649364.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Departmental Sponsored Training,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE FOR NATIONAL STATISTICS,4019443,650.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4019446,25219.50
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,ASHRIDGE RESEARCH,4019447,3660.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Catering Services,Corporate Support & Shared Services - Corporate Support & Shared Services,BAXTERSTOREY LTD,4019448,1268.96
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,ENVIRONMENTAL RESOURCES MANAGEMENT LTD,4019449,3244.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4019451,1600.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Hotels (Programme),Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4019452,1356.95
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,CWC Inspection Costs,Energy Markets & Infrastructure - Security and resilience,SELWYNS TRAVEL LTD,4019452,2232.10
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019453,1574.02
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4019454,8812.50
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Secondees (not paid directly),Energy Markets & Infrastructure - Office of Nuclear Development,COSTAIN LTD,4019455,8812.50
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4019457,59879.18
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Project Management Costs (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4019458,16981.10
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4019459,56815.00
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,JURIDICAL KNOWLEDGE LTD,4019461,655.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4019463,1841.15
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4019465,2511.84
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Telecommunications,Corporate Support & Shared Services - Corporate Support & Shared Services,ACT TELECONFERENCING LTD,4019466,1396.49
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019468,141899.66
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019470,557.51
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4019471,580.74
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019473,568.86
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019474,549.77
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019475,2429.41
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019479,619.46
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019480,2146.94
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019481,3235.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,INFORMED SOLUTIONS,4019482,53304.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,LEARNING TREE INTERNATIONAL LTD,4019486,1055.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4019489,2320.63
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4019490,5000000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4019491,35421.25
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4019491,2426.65
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4019491,36191.28
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,HUGH JAMES SOLICITORS,4019493,40000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4019494,585.46
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Science & Innovation Group - Science & Innovation Group,ADECCO UK LTD,4019495,734.29
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019496,1220.50
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,ADECCO UK LTD,4019499,876.41
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4019500,715.06
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4019501,14419.77
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Capital Grants - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4019502,171702.31
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019503,642.69
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019504,615.59
Department for Energy and Climate Change,Department for Energy and Climate Change,17-Nov-2010 ,Contributions (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL ENVIRONMENT RESEARCH COUNCIL,4019507,25000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4019508,631.01
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,ADECCO UK LTD,4019509,603.75
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019516,580.74
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019517,720.12
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019518,584.62
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019519,794.81
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4019523,960.48
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4019527,3319.38
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4019528,3319.38
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4019529,1991.63
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,SPARKE HELMORE,4019531,108660.30
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019532,565.26
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4019533,80318.55
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Professional Training,National Climate Change & Consumer Support - National Climate Change,THE CONSILIENCE ENERGY ADVISORY GROUP LTD,4019535,600.00
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,GENESIS OIL & GAS CONSULTANTS LTD,4019541,43594.98
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4019542,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4019543,3319.38
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019544,3525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4019547,32682.66
Department for Energy and Climate Change,Department for Energy and Climate Change,24-Nov-2010 ,ICT Infrastructure Specific Service,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4019548,1348.40
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Conference and Exhibition Services (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4019549,13584.76
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019550,775.32
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,NGENTEC LTD,4019551,99850.00
Department for Energy and Climate Change,Department for Energy and Climate Change,19-Nov-2010 ,Shared Services,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4019552,6262.76
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019553,70657.37
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019554,533009.78
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019556,1202.87
Department for Energy and Climate Change,Department for Energy and Climate Change,23-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019557,832.89
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019558,945.06
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,4019560,952000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Media Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019561,9888.00
Department for Energy and Climate Change,Department for Energy and Climate Change,22-Nov-2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,JDR CABLE SYSTEMS LTD,4019563,360965.04
