Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164254,60.54,Online ASBOF,WC1X 8RX,SME,115868
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164260,86274.34,Display,WC1X 8RX,SME,115728
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164260,13246.17,Adserving,WC1X 8RX,SME,115728
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164260,7085.92,Online Buying Fee,WC1X 8RX,SME,115728
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164260,86.27,Online ASBOF,WC1X 8RX,SME,115728
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Regional Marketing,M4C,10164281,19436.46,Online,WC1X 8RX,SME,116464
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Regional Marketing,M4C,10164281,1463.04,Online Buying Fee,WC1X 8RX,SME,116464
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10164281,18.72,Online ASBOF,WC1X 8RX,SME,116464
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164284,35433.41,Display,WC1X 8RX,SME,116321
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164284,2427.17,Online Buying Fee,WC1X 8RX,SME,116321
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164284,32.06,Online ASBOF,WC1X 8RX,SME,116321
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164286,27920.86,Paid Search,WC1X 8RX,SME,116638
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164286,1803.33,Online Buying Fee,WC1X 8RX,SME,116638
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164286,25.89,Online ASBOF,WC1X 8RX,SME,116638
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164298,33898.70,Paid Search,WC1X 8RX,SME,114576
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164298,2301.15,Online Buying Fee,WC1X 8RX,SME,114576
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164298,33.01,Online ASBOF,WC1X 8RX,SME,114576
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Research,Solutions Strategy Research Facilitation Ltd,10164303,42800.00,Research Company Costs,N7 9DP,SME,117530
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164304,30619.64,Paid Search,WC1X 8RX,SME,115439
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164304,2062.55,Online Buying Fee,WC1X 8RX,SME,115439
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164304,29.69,Online ASBOF,WC1X 8RX,SME,115439
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164309,23017.85,Paid Search,WC1X 8RX,SME,116039
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164309,1357.02,Online Buying Fee,WC1X 8RX,SME,116039
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164312,46808.53,Paid Search,WC1X 8RX,SME,116519
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164312,3145.94,Online Buying Fee,WC1X 8RX,SME,116519
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164312,44.91,Online ASBOF,WC1X 8RX,SME,116519
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164316,20782.03,Paid Search,WC1X 8RX,SME,116328
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164316,1361.51,Online Buying Fee,WC1X 8RX,SME,116328
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164316,19.52,Online ASBOF,WC1X 8RX,SME,116328
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164323,29903.01,Display,WC1X 8RX,SME,116981
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164323,2461.76,Online Buying Fee,WC1X 8RX,SME,116981
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164374,50313.20,Display,WC1X 8RX,SME,114551
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165345,-204.95,Poster ASBOF,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Advertising,M4C,10165345,-4752.31,Poster Buying Fee,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Advertising,M4C,10165345,-181957.63,Poster Space,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Advertising,M4C,10165375,-651.74,TV Buying Fee,WC1X 8RX,SME,115036
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Advertising,M4C,10165375,-24954.13,TV Airtime,WC1X 8RX,SME,115036
Cabinet Office,Central Office of Information,08/11/2011,Events Management,Live Events,Event Marketing Solutions Ltd,10165389,73135.58,Framework Agency Costs,CH65 4LQ,SME,115748
Cabinet Office,Central Office of Information,08/11/2011,Print and Paper,Direct and Relationship Marketing,Jenova Ltd,10165500,29700.00,Acquisition stationery and print,RG9 1HG,SME,116921
Cabinet Office,Central Office of Information,10/11/2011,Campaigns,Advertising,M4C,10165344,251254.24,Poster Space,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,10/11/2011,Media Fees,Advertising,M4C,10165344,6972.31,Poster Buying Fee,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,10/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165344,251.25,Poster ASBOF,WC1X 8RX,SME,115214
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Research,Office for Public Management,10164125,24869.00,Research Company Costs,WC1X 8XG,SME,115867
Cabinet Office,Central Office of Information,15/11/2011,Direct Marketing,Interactive Services,S8080 Ltd,10164189,55015.00,Hosting ­ Technical Consultancy,SA1 8PJ,SME,113240
Cabinet Office,Central Office of Information,15/11/2011,Campaign Production,Client Account Team,WCRS Ltd,10164233,90000.00,Agency & Consultancy Fees,W1W 7RT,SME,117368
Cabinet Office,Central Office of Information,15/11/2011,Campaign Production,Client Account Team,Miles Calcraft Briginshaw Duffy,10164283,42298.00,Agency & Consultancy Fees,W1W 5XH,SME,117773
Cabinet Office,Central Office of Information,15/11/2011,Campaign Production,Client Account Team,Miles Calcraft Briginshaw Duffy,10164285,39728.00,Agency & Consultancy Fees,W1W 5XH,SME,117883
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Client Account Team,M4C,10164318,917235.00,TV Airtime,WC1X 8RX,SME,115555
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Client Account Team,M4C,10164318,23956.02,TV Buying Fee,WC1X 8RX,SME,115555
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Client Account Team,M4C,10164318,917.24,TV BASBOF,WC1X 8RX,SME,115555
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164319,211650.00,TV Airtime,WC1X 8RX,SME,116141
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10164319,5527.80,TV Buying Fee,WC1X 8RX,SME,116141
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164319,211.65,TV BASBOF,WC1X 8RX,SME,116141
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164320,296559.90,TV Airtime,WC1X 8RX,SME,115340
Cabinet Office,Central Office of Information,15/11/2011,Media Fees,Advertising,M4C,10164320,7745.44,TV Buying Fee,WC1X 8RX,SME,115340
Cabinet Office,Central Office of Information,15/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164320,296.56,TV BASBOF,WC1X 8RX,SME,115340
Cabinet Office,Central Office of Information,15/11/2011,Campaigns,Advertising,M4C,10164321,169830.00,TV Airtime,WC1X 8RX,SME,116134
