Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,22/11/2011,Agent/Professional Fees,Direct and Relationship Marketing,Partners Andrews Aldridge Limited,10164410,28270.00,Acquisition direct marketing agency fees,W1W 7RT,SME,117320
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10164431,36475.64,Inbound telephone handling: dedicated,PO1 2RX,Large,118139
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164431,25.80,Retention SMS,PO1 2RX,Large,118139
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10164433,64538.63,Inbound telephone handling: dedicated,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164433,7537.00,Response handling account/systems mgt fees,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164433,3700.00,Database account mgt/maintenance fees,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164433,383.38,Physical response fulfilment,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164433,249.57,Inbound telephone handling: bureau,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164433,200.00,DRM website/microsite maintenance/update,PO1 2RX,Large,118449
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10164434,66732.74,Inbound telephone handling: dedicated,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164434,7572.25,Response handling account/systems mgt fees,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164434,6700.00,Database account mgt/maintenance fees,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164434,769.43,Physical response fulfilment,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10164434,650.00,SMS list/data rental/purchase,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164434,200.00,Database set up,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10164434,116.82,Inbound telephone handling: bureau,PO1 2RX,Large,118447
Cabinet Office,Central Office of Information,22/11/2011,Campaign Production,Client Account Team,M4C,10164459,50000.00,Agency & Consultancy Fees,WC1X 8RX,SME,117827
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164468,61280.00,Poster Space,WC1X 8RX,SME,116555
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164468,1700.52,Poster Buying Fee,WC1X 8RX,SME,116555
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164468,61.28,Poster ASBOF,WC1X 8RX,SME,116555
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164470,23200.00,Poster Space,WC1X 8RX,SME,116963
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164470,643.80,Poster Buying Fee,WC1X 8RX,SME,116963
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164470,23.20,Poster ASBOF,WC1X 8RX,SME,116963
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164477,107496.00,Poster Space,WC1X 8RX,SME,116344
Cabinet Office,Central Office of Information,22/11/2011,Print and Paper,Advertising,M4C,10164477,7499.00,Poster Production & Printing,WC1X 8RX,SME,116344
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164477,2983.01,Poster Buying Fee,WC1X 8RX,SME,116344
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164477,107.50,Poster ASBOF,WC1X 8RX,SME,116344
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164491,55795.70,Press Space,WC1X 8RX,SME,117515
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164491,1457.26,Press Buying Fee,WC1X 8RX,SME,117515
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164491,55.80,Press ASBOF,WC1X 8RX,SME,117515
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164499,22144.00,Poster Space,WC1X 8RX,SME,116434
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164499,614.50,Poster Buying Fee,WC1X 8RX,SME,116434
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164499,22.14,Poster ASBOF,WC1X 8RX,SME,116434
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164505,92668.37,Radio Airtime,WC1X 8RX,SME,117517
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164505,2420.27,Radio Buying Fee,WC1X 8RX,SME,117517
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164505,92.67,Radio BASBOF,WC1X 8RX,SME,117517
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164506,57108.84,Radio Airtime,WC1X 8RX,SME,116439
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164506,1491.55,Radio Buying Fee,WC1X 8RX,SME,116439
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164506,57.11,Radio BASBOF,WC1X 8RX,SME,116439
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164507,43632.07,Radio Airtime,WC1X 8RX,SME,117815
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164507,1139.58,Radio Buying Fee,WC1X 8RX,SME,117815
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164507,43.63,Radio BASBOF,WC1X 8RX,SME,117815
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10164509,186999.84,Radio Airtime,WC1X 8RX,SME,116830
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Client Account Team,M4C,10164509,4883.99,Radio Buying Fee,WC1X 8RX,SME,116830
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Client Account Team,M4C,10164509,187.00,Radio BASBOF,WC1X 8RX,SME,116830
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10164566,115395.85,TV Airtime,WC1X 8RX,SME,114548
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Digital Marketing,M4C,10164566,6662.45,Display,WC1X 8RX,SME,114551
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10164568,67591.56,Press Space,WC1X 8RX,SME,116369
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10164568,1758.15,Press Buying Fee,WC1X 8RX,SME,116369
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164568,67.59,Press ASBOF,WC1X 8RX,SME,116369
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Research,Ipsos MORI,10164590,28000.00,Research Company Costs,SE1 1FY,SME,117560
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Interactive Services,Profero London Ltd,10164593,26156.30,Production Costs,NW1 0DU,SME,115975
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Interactive Services,Profero London Ltd,10164596,55317.00,Production Costs,NW1 0DU,SME,115975
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Interactive Services,WTG Technologies Ltd,10164602,22047.00,Hosting ­ Technical Consultancy,W14 8UD,SME,112003
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10165339,56000.00,Poster Space,WC1X 8RX,SME,116122
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10165339,1554.00,Poster Buying Fee,WC1X 8RX,SME,116122
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165339,56.00,Poster ASBOF,WC1X 8RX,SME,116122
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165343,37586.52,Inbound telephone handling: dedicated,PO1 2RX,Large,118111
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165343,107.23,Database set up,PO1 2RX,Large,118111
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165343,28.70,Retention SMS,PO1 2RX,Large,118111
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Regional Marketing,M4C,10165381,25487.00,Poster Site Hire,WC1X 8RX,SME,117888
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Regional Marketing,M4C,10165381,674.66,Poster Buying Fee,WC1X 8RX,SME,117888
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10165381,24.31,Poster ASBOF,WC1X 8RX,SME,117888
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Regional Marketing,M4C,10165383,51024.80,Poster Site Hire,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Regional Marketing,M4C,10165383,1220.85,Poster Buying Fee,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10165383,43.99,Poster ASBOF,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10165404,136007.37,RegPress Space,WC1X 8RX,SME,116436
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10165404,3354.84,RegPress Buying Fee,WC1X 8RX,SME,116436
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165404,136.01,RegPress ASBOF,WC1X 8RX,SME,116436
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10165418,38843.99,RegPress Space,WC1X 8RX,SME,116468
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10165418,963.84,Press Buying Fee,WC1X 8RX,SME,116468
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165418,38.84,RegPress ASBOF,WC1X 8RX,SME,116468
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Advertising,M4C,10165422,56053.25,Press Space,WC1X 8RX,SME,117564
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Advertising,M4C,10165422,1463.99,Press Buying Fee,WC1X 8RX,SME,117564
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Advertising,M4C,10165422,56.05,Press ASBOF,WC1X 8RX,SME,117564
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10165429,47018.32,Radio Airtime,WC1X 8RX,SME,116623
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Client Account Team,M4C,10165429,1228.00,Radio Buying Fee,WC1X 8RX,SME,116623
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Client Account Team,M4C,10165429,47.02,Radio BASBOF,WC1X 8RX,SME,116623
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10165431,163137.92,Radio Airtime,WC1X 8RX,SME,116861
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Client Account Team,M4C,10165431,4260.82,Radio Buying Fee,WC1X 8RX,SME,116861
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Client Account Team,M4C,10165431,163.14,Radio BASBOF,WC1X 8RX,SME,116861
Cabinet Office,Central Office of Information,22/11/2011,TV/Radio Production,Regional Marketing,M4C,10165432,22077.90,Radio Airtime,WC1X 8RX,SME,116772
Cabinet Office,Central Office of Information,22/11/2011,TV/Radio Production,Regional Marketing,M4C,10165432,576.63,Radio Airtime Comm,WC1X 8RX,SME,116772
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10165432,22.08,Radio BASBOF,WC1X 8RX,SME,116772
Cabinet Office,Central Office of Information,22/11/2011,TV/Radio Production,Regional Marketing,M4C,10165435,29957.98,Radio Airtime,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,TV/Radio Production,Regional Marketing,M4C,10165435,782.44,Radio Airtime Comm,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,Campaigns (Non Vatable),Regional Marketing,M4C,10165435,29.96,Radio BASBOF,WC1X 8RX,SME,117071
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Research,TNS-BMRB,10165443,36250.00,Research Company Costs,W5 1UA,SME,117678
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Interactive Services,LBi Ltd,10165453,35300.00,Hosting ­ Technical Consultancy,E1 6RW,SME,112042
Cabinet Office,Central Office of Information,22/11/2011,Agent/Professional Fees,Procurement,EdComs Ltd,10165479,31310.00,Agency Fees,SE1 8RT,SME,116889
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,EMO Ltd,10165489,85000.00,Miscellaneous Expenditure,BS8 1PD,SME,117295
Cabinet Office,Central Office of Information,22/11/2011,Print and Paper,Publications Production and Account Management,Greenshires Group Ltd,10165567,31100.00,Print,LE4 9LF,SME,118128
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10165571,56868.00,TV Airtime,WC1X 8RX,SME,116852
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Digital Marketing,M4C,10165571,1716.80,Display,WC1X 8RX,SME,116854
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Digital Marketing,M4C,10165571,1445.24,Online Buying Fee,WC1X 8RX,SME,113994
Cabinet Office,Central Office of Information,22/11/2011,Media Fees,Client Account Team,M4C,10165571,1442.89,TV Buying Fee,WC1X 8RX,SME,116852
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10165571,145.60,TV Airtime,WC1X 8RX,SME,113992
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Client Account Team,M4C,10165571,99.11,TV Airtime,WC1X 8RX,SME,000000
Cabinet Office,Central Office of Information,22/11/2011,Security,Facilities Management,Emprise Services Plc - t/aPerfectus Ltd,10165610,24150.63,Security,EC1V 2NT,SME,114873
Cabinet Office,Central Office of Information,22/11/2011,Campaign Production,Client Account Team,M&C Saatchi Ltd,10165654,22592.00,Agency & Consultancy Fees,W1F 9EE,SME,114132
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165733,21638.53,Response handling account/systems mgt fees,W5 5DB,SME,114164
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,E C Group,10165751,16658.41,Physical response fulfilment,RM20 4DN,SME,117169
Cabinet Office,Central Office of Information,22/11/2011,Postage Couriers etc,Direct and Relationship Marketing,E C Group,10165751,10545.22,Fulfilment carriage,RM20 4DN,SME,117169
Cabinet Office,Central Office of Information,22/11/2011,Postage (Non Vatable),Direct and Relationship Marketing,E C Group,10165751,5886.96,Postage (non-vatable),RM20 4DN,SME,117169
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,E C Group,10165751,25.00,Response analysis activity,RM20 4DN,SME,117169
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Careline Services Ltd,10165752,16737.50,Inbound telephone handling: dedicated,W4 5QB,SME,113347
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Careline Services Ltd,10165752,12419.75,Inbound telephone handling: bureau,W4 5QB,SME,113347
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Careline Services Ltd,10165752,1000.00,Retention account management/systems fees,W4 5QB,SME,113347
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Careline Services Ltd,10165752,152.89,Physical response fulfilment,W4 5QB,SME,113347
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,22092.25,Inbound telephone handling: dedicated,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,10506.00,Response handling account/systems mgt fees,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,6002.91,Outbound telephone,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,1421.67,Physical response fulfilment,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,750.00,Inbound e-mail/webform handling,MK9 1EA,Large,000000
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,644.80,Database account mgt/maintenance fees,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,521.00,DRM website/microsite maintenance/update,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,312.00,Non-geographical number charges (e.g. BT 0800),MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,171.80,Inbound telephone handling: bureau,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Print and Paper,Direct and Relationship Marketing,Dataforce Group Ltd,10165860,96.00,Response handling stationery and print,MK9 1EA,Large,114568
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,38920.00,Inbound telephone handling: dedicated,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,4314.75,Response handling account/systems mgt fees,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,3190.00,Inbound e-mail/webform handling,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,2550.58,Database account mgt/maintenance fees,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,140.00,Data mining/profiling/segmentation,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Broadcasting Support Services (BSS),10165883,50.40,Inbound telephone handling: bureau,W5 5DB,SME,114052
Cabinet Office,Central Office of Information,22/11/2011,TV/Radio Production,MIAC Television,Believe Media UK,10166024,28610.80,Production,W1W 8RP,SME,118380
Cabinet Office,Central Office of Information,29/11/2011,Agent/Professional Fees,Procurement,WCRS Ltd,10162324,54000.00,Agency Fees,W1W 7RT,SME,116422
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Advertising,M4C,10164466,71892.00,Poster Space,WC1X 8RX,SME,117122
Cabinet Office,Central Office of Information,29/11/2011,Media Fees,Advertising,M4C,10164466,1995.00,Poster Buying Fee,WC1X 8RX,SME,117122
Cabinet Office,Central Office of Information,29/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164466,71.89,Poster ASBOF,WC1X 8RX,SME,117122
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Advertising,M4C,10164469,80013.60,Poster Space,WC1X 8RX,SME,116571
Cabinet Office,Central Office of Information,29/11/2011,Media Fees,Advertising,M4C,10164469,2220.38,Poster Buying Fee,WC1X 8RX,SME,116571
Cabinet Office,Central Office of Information,29/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164469,80.01,Poster ASBOF,WC1X 8RX,SME,116571
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Advertising,M4C,10164472,128784.80,Poster Space,WC1X 8RX,SME,116200
Cabinet Office,Central Office of Information,29/11/2011,Print and Paper,Advertising,M4C,10164472,3700.00,Poster Production & Printing,WC1X 8RX,SME,116200
Cabinet Office,Central Office of Information,29/11/2011,Media Fees,Advertising,M4C,10164472,3573.78,Poster Buying Fee,WC1X 8RX,SME,116200
Cabinet Office,Central Office of Information,29/11/2011,Campaigns (Non Vatable),Advertising,M4C,10164472,128.78,Poster ASBOF,WC1X 8RX,SME,116200
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165342,22683.65,Inbound telephone handling: dedicated,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165342,7325.00,Response handling account/systems mgt fees,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165342,1533.66,Inbound e-mail/webform handling,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165342,400.00,Database account mgt/maintenance fees,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165342,38.41,Inbound telephone handling: bureau,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165342,36.78,Outbound telephone,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165342,16.23,Retention outbound phone,PO1 2RX,Large,118536
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10165459,17724.00,Outbound telephone,SL9 0GA,Large,118356
Cabinet Office,Central Office of Information,29/11/2011,Postage Couriers etc,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10165459,4475.00,Direct mail (dedupe/suppression/mailsort/lasering/enclosing/other),SL9 0GA,Large,118356
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10165459,3600.00,Response handling account/systems mgt fees,SL9 0GA,Large,118356
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10165459,2250.00,Acquisition set up fees (operational),SL9 0GA,Large,118356
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10165459,240.00,Acquisition account/systems mgt fees (operational),SL9 0GA,Large,118356
Cabinet Office,Central Office of Information,29/11/2011,Campaign Production,Client Account Team,DLKWLowe,10165469,37570.00,Agency & Consultancy Fees,SW3 3XB,Large,117845
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165491,24291.00,Inbound telephone handling: dedicated,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165491,7325.00,Response handling account/systems mgt fees,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165491,1714.44,Inbound e-mail/webform handling,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165491,400.00,Database account mgt/maintenance fees,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165491,133.50,Inbound telephone handling: bureau,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165491,54.64,Outbound telephone,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165491,21.07,Retention outbound phone,PO1 2RX,Large,118532
Cabinet Office,Central Office of Information,29/11/2011,Campaign Production,Advertising,DDB London LTD,10165577,36195.00,Agency & Consultancy Fees,W2 6AA,Large,118082
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,Experian Ltd,10165718,81096.27,Database account mgt/maintenance fees,NG80 1RH,Large,112969
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,Experian Ltd,10165718,1500.00,Other DRM expense with contractors,NG80 1RH,Large,112969
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165728,22617.54,Inbound telephone handling: dedicated,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165728,7325.00,Response handling account/systems mgt fees,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165728,1616.30,Inbound e-mail/webform handling,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165728,400.00,Database account mgt/maintenance fees,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165728,51.75,Inbound telephone handling: bureau,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165728,33.12,Retention outbound phone,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165728,31.06,Outbound telephone,PO1 2RX,Large,118636
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10165828,34788.36,Inbound telephone handling: dedicated,PO1 2RX,Large,118503
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165828,214.46,Database set up,PO1 2RX,Large,118503
Cabinet Office,Central Office of Information,29/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10165828,22.70,Retention SMS,PO1 2RX,Large,118503
Cabinet Office,Central Office of Information,29/11/2011,Campaigns,Procurement,TNS-BMRB,10165968,29150.00,Research,W5 1UA,SME,116096
,,,,,,,,,,,
