"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","E","16227","18916","Operations Support Officer","13.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","SB4","43691","55420","Senior Operational Manager","3.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","A","35082","44500","Senior Operational Manager","3.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","B","28030","35554","Operations Officer","12.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","C","22507","28549","Operations Officer","26.40","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","D","18947","22810","Operations Support Officer","98.80","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Document Delivery & Customer Services","44","E","16227","18916","Operations Support Officer","33.20","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","SB4","43691","55420","Senior Operational Manager","5.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","A","35082","44500","Senior Operational Manager","13.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","B","28030","35554","Operations Officer","30.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","C","22507","28549","Operations Officer","79.20","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","D","18947","22810","Operations Support Officer","114.20","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Reader & Reference Services","46","E","16227","18916","Operations Support Officer","78.80","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Digital & Marketing Operations","50","SB4","43691","55420","Senior Communications Manager","3.00","Communications"
"Department for Culture, Media and Sport","The British Library","Digital & Marketing Operations","50","A","35082","44500","Senior Communications Manager","9.80","Communications"
"Department for Culture, Media and Sport","The British Library","Digital & Marketing Operations","50","B","28030","35554","Communications Manager","5.60","Communications"
"Department for Culture, Media and Sport","The British Library","Digital & Marketing Operations","50","C","22507","28549","Communications Manager","8.80","Communications"
"Department for Culture, Media and Sport","The British Library","Digital & Marketing Operations","50","D","18947","22810","Communications Support Officer","3.00","Communications"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","51","SB4","43691","55420","Senior Curator","4.00","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","51","A","35082","44500","Senior Curator","3.00","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","51","B","28030","35554","Curator","17.00","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","51","C","22507","28549","Curator","9.50","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","51","D","18947","22810","Curatorial Support Officer","7.80","Knowledge and Information Management (KIM)"
"Department for Culture, Media and Sport","The British Library","Building Services","52","A","35082","44500","Senior Building Services Manager","1.80","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","52","B","28030","35554","Building Services Manager","2.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","52","C","22507","28549","Building Services Manager","3.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","52","D","18947","22810","Building Services Support Officer","3.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","52","E","16227","18916","Building Services Support Officer","6.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","53","A","35082","44500","Senior Building Services Manager","3.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","53","B","28030","35554","Building Services Manager","1.00","Property and asset management"
"Department for Culture, Media and Sport","The British Library","Building Services","55","B","28030","35554","Programme Officer","2.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","The British Library","Building Services","55","C","22507","28549","Programme Officer","3.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","The British Library","Information Technology","56","SB4","43691","55420","Senior Analyst","1.00","Information Technology"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","57","SB4","43691","55420","Senior IT Manager","3.00","Information Technology"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","57","A","35082","44500","Senior IT Manager","10.00","Information Technology"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","57","B","28030","35554","IT Officer","22.00","Information Technology"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","57","C","22507","28549","IT Officer","10.60","Information Technology"
"Department for Culture, Media and Sport","The British Library","Arts & Humanities Collections","57","D","18947","22810","Secretary","1.00","Information Technology"
