post_date,Category,Spend,,
12/04/13,Telecomunications Services for Vodafone transactions,862.38,,
12/04/13,Telecomunications Services for Vodafone transactions,1308.94,,
12/04/13,Telecomunications Services for Vodafone transactions,2048.14,,
12/04/13,Telecomunications Services for Vodafone transactions,500.77,,
12/04/13,Telecomunications Services for Vodafone transactions,650.60,,
12/04/13,Travel/Airlines,949.80,,
12/04/13,Travel/Airlines,1477.26,,
12/04/13,Travel/Airlines,-515.99,,
12/04/13,Travel/Airlines,4692.25,,
12/04/13,Travel/Airlines,4692.25,,
12/04/13,Travel/Airlines,2459.15,,
15/04/13,Computer Program/Sys Design,1075.95,,
15/04/13,Computer Program/Sys Design,564.24,,
15/04/13,Computer Program/Sys Design,964.73,,
15/04/13,Computer Program/Sys Design,594.89,,
15/04/13,Computer Software Stores,1383.56,,
15/04/13,Electrical Parts/Equipment,812.59,,
15/04/13,Electrical Parts/Equipment,978.30,,
15/04/13,Electrical Parts/Equipment,737.17,,
15/04/13,Furniture/Equip Stores,544.00,,
15/04/13,Hotels,530.59,,
15/04/13,Hotels,961.20,,
15/04/13,Hotels,2739.86,,
15/04/13,Hotels,631.44,,
15/04/13,Hotels,3698.80,,
15/04/13,Hotels,1175.63,,
15/04/13,Hotels,1295.23,,
15/04/13,Lumber/Build. Supply Stores,920.76,,
15/04/13,Training,762.60,,
15/04/13,Travel/Airlines,-554.19,,
15/04/13,Travel/Airlines,1432.55,,
15/04/13,Travel/Airlines,1145.85,,
15/04/13,Travel/Airlines,556.10,,
15/04/13,Travel/Airlines,1419.47,,
15/04/13,Travel/Airlines,2462.58,,
15/04/13,Travel/Airlines,2462.58,,
15/04/13,Travel/Airlines,4456.27,,
15/04/13,Travel/Airlines,3301.38,,
15/04/13,Travel/Airlines,2360.87,,
16/04/13,Computer Software Stores,1089.84,,
16/04/13,Hotels,1699.83,,
16/04/13,Hotels,2596.42,,
16/04/13,Hotels,1342.35,,
16/04/13,Hotels,1737.01,,
16/04/13,Hotels,755.92,,
16/04/13,Hotels,542.45,,
16/04/13,Lumber/Build. Supply Stores,504.91,,
16/04/13,Travel/Airlines,2357.31,,
16/04/13,Travel/Airlines,2357.31,,
16/04/13,Travel/Airlines,2082.67,,
16/04/13,Travel/Airlines,781.51,,
16/04/13,Travel/Airlines,585.28,,
16/04/13,Travel/Airlines,3565.00,,
16/04/13,Travel/Airlines,977.27,,
17/04/13,Computer Software Stores,546.00,,
17/04/13,Computer Software Stores,638.57,,
17/04/13,Computers/Peripherals/Software,1136.40,,
17/04/13,Computers/Peripherals/Software,1428.00,,
17/04/13,Electrical Parts/Equipment,1006.80,,
17/04/13,Hardware Stores,881.93,,
17/04/13,Hotels,823.70,,
17/04/13,Hotels,694.93,,
17/04/13,Hotels,1298.25,,
17/04/13,Hotels,1518.23,,
17/04/13,Stationery Stores,1338.00,,
17/04/13,Stationery/Office Supplies,1030.00,,
17/04/13,Stationery/Office Supplies,1030.00,,
17/04/13,Stationery/Office Supplies,1030.00,,
17/04/13,Training,729.60,,
17/04/13,Training,1144.80,,
17/04/13,Training,853.20,,
17/04/13,Travel/Airlines,1944.15,,
17/04/13,Travel/Airlines,531.45,,
17/04/13,Travel/Airlines,666.95,,
17/04/13,Travel/Airlines,855.25,,
17/04/13,Travel/Airlines,669.25,,
17/04/13,Travel/Airlines,3412.08,,
17/04/13,Travel/Airlines,2999.78,,
18/04/13,Computer Software Stores,1489.99,,
18/04/13,Computers/Peripherals/Software,979.20,,
18/04/13,Computers/Peripherals/Software,768.02,,
18/04/13,Diy & Household Stores,1002.38,,
18/04/13,Diy & Household Stores,847.03,,
18/04/13,Electrical Parts/Equipment,501.02,,
18/04/13,Electrical Parts/Equipment,626.28,,
18/04/13,Hotels,1142.00,,
18/04/13,Lumber/Build. Supply Stores,960.29,,
18/04/13,Lumber/Build. Supply Stores,617.59,,
18/04/13,Meals,1097.50,,
18/04/13,Professional Services,1123.20,,
18/04/13,Professional Services,505.16,,
18/04/13,Telecommunication Services,1099.00,,
18/04/13,Travel/Airlines,3033.79,,
18/04/13,Travel/Airlines,3215.07,,
18/04/13,Travel/Airlines,2792.00,,
18/04/13,Travel/Airlines,1707.24,,
18/04/13,Travel/Airlines,1131.49,,
18/04/13,Travel/Airlines,-1176.64,,
18/04/13,Travel/Airlines,-663.99,,
18/04/13,Travel/Airlines,-663.99,,
18/04/13,Travel/Airlines,-886.40,,
18/04/13,Travel/Airlines,559.74,,
18/04/13,Travel/Airlines,1537.85,,
18/04/13,Travel/Airlines,562.00,,
18/04/13,Travel/Airlines,582.00,,
18/04/13,Travel/Airlines,900.00,,
18/04/13,Travel/Airlines,3656.75,,
18/04/13,Travel/Airlines,1779.32,,
18/04/13,Travel/Airlines,-875.70,,
18/04/13,Travel/Airlines,-878.90,,
18/04/13,Travel/Airlines,-878.90,,
18/04/13,Travel/Airlines,-880.10,,
18/04/13,Travel/Airlines,-880.10,,
18/04/13,Travel/Airlines,1453.15,,
18/04/13,Travel/Airlines,1300.05,,
19/04/13,Commercial Equipment,550.99,,
19/04/13,Computer Program/Sys Design,829.65,,
19/04/13,Computers/Peripherals/Software,1113.15,,
19/04/13,Electrical Parts/Equipment,585.56,,
19/04/13,Electrical Parts/Equipment,864.71,,
19/04/13,Hotels,1353.94,,
19/04/13,Hotels,714.40,,
19/04/13,Industrial Supplies,880.31,,
19/04/13,Industrial Supplies,914.40,,
19/04/13,Industrial Supplies,593.40,,
19/04/13,Travel/Airlines,2829.85,,
19/04/13,Travel/Airlines,-708.55,,
19/04/13,Travel/Airlines,-708.55,,
19/04/13,Travel/Airlines,2436.55,,
19/04/13,Travel/Airlines,2336.30,,
19/04/13,Travel/Airlines,2336.30,,
19/04/13,Travel/Airlines,2379.60,,
19/04/13,Travel/Airlines,2379.60,,
19/04/13,Travel/Airlines,533.75,,
19/04/13,Travel/Airlines,533.75,,
19/04/13,Travel/Airlines,2792.00,,
22/04/13,Computers/Peripherals/Software,605.53,,
22/04/13,Electrical Parts/Equipment,788.94,,
22/04/13,Electrical Parts/Equipment,696.36,,
22/04/13,Hardware Stores,912.00,,
22/04/13,Hotels,982.40,,
22/04/13,Hotels,798.75,,
22/04/13,Hotels,986.04,,
22/04/13,Hotels,1790.22,,
22/04/13,Hotels,604.00,,
22/04/13,Hotels,2125.93,,
22/04/13,Hotels,2135.00,,
22/04/13,Hotels,745.70,,
22/04/13,Hotels,864.00,,
22/04/13,Hotels,1296.00,,
22/04/13,Hotels,864.00,,
22/04/13,Hotels,864.00,,
22/04/13,Hotels,1076.28,,
22/04/13,Hotels,957.20,,
22/04/13,Hotels,1076.28,,
22/04/13,Hotels,1076.28,,
22/04/13,Hotels,1893.44,,
22/04/13,Hotels,864.00,,
22/04/13,Hotels,864.00,,
22/04/13,Lumber/Build. Supply Stores,1499.99,,
22/04/13,Stationery Stores,823.12,,
22/04/13,Stationery Stores,590.40,,
22/04/13,Travel/Airlines,588.93,,
22/04/13,Travel/Airlines,520.71,,
22/04/13,Travel/Airlines,520.71,,
22/04/13,Travel/Airlines,746.82,,
22/04/13,Travel/Airlines,2708.94,,
22/04/13,Travel/Airlines,2926.24,,
22/04/13,Travel/Airlines,2926.24,,
22/04/13,Travel/Airlines,2708.94,,
22/04/13,Travel/Airlines,2708.94,,
22/04/13,Travel/Airlines,-2303.39,,
22/04/13,Travel/Airlines,1895.25,,
22/04/13,Travel/Airlines,2119.25,,
22/04/13,Travel/Airlines,2119.25,,
22/04/13,Travel/Airlines,2938.25,,
22/04/13,Travel/Airlines,1537.85,,
22/04/13,Travel/Airlines,807.89,,
22/04/13,Travel/Airlines,2379.60,,
22/04/13,Travel/Airlines,2379.60,,
22/04/13,Travel/Airlines,1643.10,,
22/04/13,Travel/Airlines,1643.10,,
22/04/13,Travel/Airlines,-2398.30,,
22/04/13,Travel/Airlines,-2398.30,,
22/04/13,Travel/Airlines,-1858.60,,
22/04/13,Travel/Airlines,-2786.40,,
22/04/13,Travel/Airlines,-2367.30,,
22/04/13,Travel/Airlines,-2408.50,,
22/04/13,Travel/Airlines,3089.55,,
22/04/13,Travel/Airlines,2220.85,,
22/04/13,Travel/Airlines,2829.85,,
22/04/13,Travel/Airlines,-2829.95,,
22/04/13,Travel/Airlines,1375.35,,
22/04/13,Travel/Airlines,729.10,,
22/04/13,Travel/Airlines,1955.44,,
23/04/13,Computer Program/Sys Design,1029.04,,
23/04/13,Computer Program/Sys Design,992.76,,
23/04/13,Computer Software Stores,1489.99,,
23/04/13,Computer Software Stores,1489.99,,
23/04/13,Hardware Stores,503.95,,
23/04/13,Hotels,953.58,,
23/04/13,Hotels,864.00,,
23/04/13,Hotels,1792.41,,
23/04/13,Industrial Supplies,672.66,,
23/04/13,Lumber/Build. Supply Stores,1436.52,,
23/04/13,Travel/Airlines,4485.00,,
23/04/13,Travel/Airlines,-890.20,,
23/04/13,Travel/Airlines,1450.00,,
23/04/13,Travel/Airlines,708.52,,
24/04/13,Business Services,709.13,,
24/04/13,Computer Program/Sys Design,1171.17,,
24/04/13,Computers/Peripherals/Software,1440.24,,
24/04/13,Computers/Peripherals/Software,718.80,,
24/04/13,Electrical Parts/Equipment,554.94,,
24/04/13,Furniture/Equip Stores,590.17,,
24/04/13,Hotels,2173.45,,
24/04/13,Hotels,1044.20,,
24/04/13,Hotels,630.60,,
24/04/13,Hotels,653.08,,
24/04/13,Hotels,650.09,,
24/04/13,Lumber/Build. Supply Stores,924.00,,
24/04/13,Professional Services,1271.40,,
24/04/13,Telecommunication Services,1220.73,,
24/04/13,Travel/Airlines,2814.75,,
24/04/13,Travel/Airlines,4866.05,,
24/04/13,Travel/Airlines,1080.00,,
24/04/13,Travel/Airlines,629.20,,
24/04/13,Travel/Airlines,594.15,,
24/04/13,Travel/Airlines,528.00,,
25/04/13,Automotive Parts Stores,522.35,,
25/04/13,Computers/Peripherals/Software,900.00,,
25/04/13,Construction Materials,1010.87,,
25/04/13,Electrical Parts/Equipment,808.92,,
25/04/13,Hardware Stores,556.84,,
25/04/13,Lumber/Build. Supply Stores,542.71,,
25/04/13,Motor Freight Carriers,1170.00,,
25/04/13,Stationery Stores,807.70,,
25/04/13,Training,862.80,,
25/04/13,Training,862.80,,
25/04/13,Travel/Airlines,723.40,,
25/04/13,Travel/Airlines,524.95,,
25/04/13,Travel/Airlines,1330.75,,
25/04/13,Travel/Airlines,1433.25,,
25/04/13,Travel/Airlines,1230.25,,
25/04/13,Travel/Airlines,616.33,,
25/04/13,Travel/Airlines,1960.12,,
25/04/13,Travel/Airlines,1871.15,,
25/04/13,Travel/Airlines,1115.20,,
25/04/13,Travel/Airlines,647.25,,
25/04/13,Travel/Airlines,647.25,,
