Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Tumours/Nodules,2018-01,Wales,159,6258081,4,0.003
Broilers,Conditions,Tumours/Nodules,2018-02,Wales,157,5578199,4,0.003
Broilers,Conditions,Tumours/Nodules,2018-03,Wales,235,6379426,3,0.004
Ducks,Conditions,Abnormal Colour/Fevered,2018-01,England,546,1237579,10,0.044
Ducks,Conditions,Abnormal Colour/Fevered,2018-02,England,648,1064791,10,0.061
Ducks,Conditions,Abnormal Colour/Fevered,2018-03,England,655,1242883,9,0.053
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2018-01,England,72,1237579,10,0.006
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2018-02,England,53,1064791,10,0.005
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2018-03,England,242,1242883,9,0.019
Ducks,Conditions,Ascites/Oedema,2018-01,England,5554,1237579,10,0.449
Ducks,Conditions,Ascites/Oedema,2018-02,England,5053,1064791,10,0.475
Ducks,Conditions,Ascites/Oedema,2018-03,England,5507,1242883,9,0.443
Ducks,Conditions,Bruising/Fractures,2018-01,England,675,1237579,10,0.055
Ducks,Conditions,Bruising/Fractures,2018-02,England,467,1064791,10,0.044
Ducks,Conditions,Bruising/Fractures,2018-03,England,890,1242883,9,0.072
Ducks,Conditions,Cellulitis,2018-01,England,66,1237579,10,0.005
Ducks,Conditions,Cellulitis,2018-02,England,12,1064791,10,0.001
Ducks,Conditions,Cellulitis,2018-03,England,5,1242883,9,0
Ducks,Conditions,Contamination,2018-01,England,140,1237579,10,0.011
Ducks,Conditions,Contamination,2018-02,England,171,1064791,10,0.016
Ducks,Conditions,Contamination,2018-03,England,396,1242883,9,0.032
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,England,490,1237579,10,0.04
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,England,614,1064791,10,0.058
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,England,564,1242883,9,0.045
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2018-01,England,7,1237579,10,0.001
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2018-02,England,5,1064791,10,0
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2018-03,England,1,1242883,9,0
Ducks,Conditions,Dermatitis,2018-01,England,2482,1237579,10,0.201
Ducks,Conditions,Dermatitis,2018-02,England,1820,1064791,10,0.171
Ducks,Conditions,Dermatitis,2018-03,England,2839,1242883,9,0.228
Ducks,Conditions,Emaciation,2018-01,England,952,1237579,10,0.077
Ducks,Conditions,Emaciation,2018-02,England,959,1064791,10,0.09
Ducks,Conditions,Emaciation,2018-03,England,965,1242883,9,0.078
Ducks,Conditions,Hepatitis,2018-01,England,46,1237579,10,0.004
Ducks,Conditions,Hepatitis,2018-02,England,50,1064791,10,0.005
Ducks,Conditions,Hepatitis,2018-03,England,70,1242883,9,0.006
Ducks,Conditions,Joint Lesions,2018-01,England,624,1237579,10,0.05
Ducks,Conditions,Joint Lesions,2018-02,England,900,1064791,10,0.085
Ducks,Conditions,Joint Lesions,2018-03,England,716,1242883,9,0.058
Ducks,Conditions,Machine Damage,2018-01,England,817,1237579,10,0.066
Ducks,Conditions,Machine Damage,2018-02,England,847,1064791,10,0.08
Ducks,Conditions,Machine Damage,2018-03,England,388,1242883,9,0.031
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,England,8,1237579,10,0.001
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,84,1064791,10,0.008
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,England,5,1242883,9,0
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-01,England,77,1237579,10,0.006
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-02,England,16,1064791,10,0.002
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,England,206,1242883,9,0.017
Ducks,Conditions,Overscald,2018-02,England,269,1064791,10,0.025
Ducks,Conditions,Overscald,2018-03,England,379,1242883,9,0.03
Ducks,Conditions,Pericarditis,2018-01,England,2848,1237579,10,0.23
Ducks,Conditions,Pericarditis,2018-02,England,3331,1064791,10,0.313
Ducks,Conditions,Pericarditis,2018-03,England,3230,1242883,9,0.26
Ducks,Conditions,Perihepatitis/Peritonitis,2018-01,England,50,1237579,10,0.004
Ducks,Conditions,Perihepatitis/Peritonitis,2018-02,England,108,1064791,10,0.01
Ducks,Conditions,Perihepatitis/Peritonitis,2018-03,England,87,1242883,9,0.007
Ducks,Conditions,Respiratory Disease (air sacculitis),2018-01,England,29484,1237579,10,2.382
Ducks,Conditions,Respiratory Disease (air sacculitis),2018-02,England,27932,1064791,10,2.623
Ducks,Conditions,Respiratory Disease (air sacculitis),2018-03,England,27094,1242883,9,2.18
Ducks,Conditions,Salpingitis,2018-01,England,195,1237579,10,0.016
Ducks,Conditions,Salpingitis,2018-02,England,1,1064791,10,0
Ducks,Conditions,Salpingitis,2018-03,England,9,1242883,9,0.001
Ducks,Conditions,Tumours/Nodules,2018-01,England,366,1237579,10,0.03
Ducks,Conditions,Tumours/Nodules,2018-02,England,300,1064791,10,0.028
Ducks,Conditions,Tumours/Nodules,2018-03,England,418,1242883,9,0.034
Hens,Conditions,Abnormal Colour/Fevered,2018-01,England,10491,4472145,13,0.235
Hens,Conditions,Abnormal Colour/Fevered,2018-02,England,9601,2695325,16,0.356
Hens,Conditions,Abnormal Colour/Fevered,2018-03,England,10707,2917499,15,0.367
Hens,Conditions,Antemortem Rejects (Cull/Runts),2018-01,England,18,4472145,13,0
Hens,Conditions,Antemortem Rejects (Cull/Runts),2018-02,England,43,2695325,16,0.002
Hens,Conditions,Antemortem Rejects (Cull/Runts),2018-03,England,33,2917499,15,0.001
Hens,Conditions,Ascites/Oedema,2018-01,England,3790,4472145,13,0.085
Hens,Conditions,Ascites/Oedema,2018-02,England,3272,2695325,16,0.121
Hens,Conditions,Ascites/Oedema,2018-03,England,3147,2917499,15,0.108
Hens,Conditions,Bruising/Fractures,2018-01,England,4933,4472145,13,0.11
Hens,Conditions,Bruising/Fractures,2018-02,England,3728,2695325,16,0.138
Hens,Conditions,Bruising/Fractures,2018-03,England,4444,2917499,15,0.152
Hens,Conditions,Cellulitis,2018-01,England,315,4472145,13,0.007
Hens,Conditions,Cellulitis,2018-02,England,210,2695325,16,0.008
Hens,Conditions,Cellulitis,2018-03,England,265,2917499,15,0.009
Hens,Conditions,Contamination,2018-01,England,1194,4472145,13,0.027
Hens,Conditions,Contamination,2018-02,England,1078,2695325,16,0.04
Hens,Conditions,Contamination,2018-03,England,1013,2917499,15,0.035
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,England,10540,4472145,13,0.236
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,England,7015,2695325,16,0.26
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,England,6253,2917499,15,0.214
Hens,Conditions,Death other than slaughter (uncut/badly bled),2018-01,England,57,4472145,13,0.001
Hens,Conditions,Death other than slaughter (uncut/badly bled),2018-02,England,15,2695325,16,0.001
Hens,Conditions,Death other than slaughter (uncut/badly bled),2018-03,England,7,2917499,15,0
Hens,Conditions,Dermatitis,2018-01,England,2601,4472145,13,0.058
Hens,Conditions,Dermatitis,2018-02,England,1484,2695325,16,0.055
Hens,Conditions,Dermatitis,2018-03,England,1878,2917499,15,0.064
Hens,Conditions,Emaciation,2018-01,England,6590,4472145,13,0.147
Hens,Conditions,Emaciation,2018-02,England,3776,2695325,16,0.14
Hens,Conditions,Emaciation,2018-03,England,3390,2917499,15,0.116
Hens,Conditions,Hepatitis,2018-01,England,780,4472145,13,0.017
Hens,Conditions,Hepatitis,2018-02,England,723,2695325,16,0.027
Hens,Conditions,Hepatitis,2018-03,England,326,2917499,15,0.011
Hens,Conditions,Joint Lesions,2018-01,England,22,4472145,13,0
Hens,Conditions,Joint Lesions,2018-02,England,36,2695325,16,0.001
Hens,Conditions,Joint Lesions,2018-03,England,45,2917499,15,0.002
Hens,Conditions,Machine Damage,2018-01,England,5170,4472145,13,0.116
Hens,Conditions,Machine Damage,2018-02,England,3406,2695325,16,0.126
Hens,Conditions,Machine Damage,2018-03,England,3065,2917499,15,0.105
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,England,1242,4472145,13,0.028
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,3205,2695325,16,0.119
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,England,2441,2917499,15,0.084
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-01,England,555,4472145,13,0.012
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-02,England,199,2695325,16,0.007
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,England,347,2917499,15,0.012
Hens,Conditions,Overscald,2018-01,England,1095,4472145,13,0.024
Hens,Conditions,Overscald,2018-02,England,215,2695325,16,0.008
Hens,Conditions,Overscald,2018-03,England,324,2917499,15,0.011
Hens,Conditions,Pericarditis,2018-01,England,11,4472145,13,0
Hens,Conditions,Pericarditis,2018-02,England,156,2695325,16,0.006
Hens,Conditions,Pericarditis,2018-03,England,57,2917499,15,0.002
Hens,Conditions,Perihepatitis/Peritonitis,2018-01,England,16347,4472145,13,0.366
Hens,Conditions,Perihepatitis/Peritonitis,2018-02,England,8381,2695325,16,0.311
Hens,Conditions,Perihepatitis/Peritonitis,2018-03,England,7979,2917499,15,0.273
Hens,Conditions,Respiratory Disease (air sacculitis),2018-01,England,21,4472145,13,0
Hens,Conditions,Respiratory Disease (air sacculitis),2018-02,England,81,2695325,16,0.003
Hens,Conditions,Respiratory Disease (air sacculitis),2018-03,England,131,2917499,15,0.004
Hens,Conditions,Salpingitis,2018-01,England,10600,4472145,13,0.237
Hens,Conditions,Salpingitis,2018-02,England,6534,2695325,16,0.242
Hens,Conditions,Salpingitis,2018-03,England,7634,2917499,15,0.262
Hens,Conditions,Tumours/Nodules,2018-01,England,3013,4472145,13,0.067
Hens,Conditions,Tumours/Nodules,2018-02,England,1715,2695325,16,0.064
Hens,Conditions,Tumours/Nodules,2018-03,England,2168,2917499,15,0.074
Poultry,Conditions,Abnormal Colour/Fevered,2018-01,England,73,37804,11,0.193
Poultry,Conditions,Abnormal Colour/Fevered,2018-02,England,297,104403,11,0.284
Poultry,Conditions,Abnormal Colour/Fevered,2018-03,England,966,492445,9,0.196
Poultry,Conditions,Abnormal Colour/Fevered,2018-01,Wales,51,66270,1,0.077
Poultry,Conditions,Abnormal Colour/Fevered,2018-02,Wales,54,99590,1,0.054
Poultry,Conditions,Abnormal Colour/Fevered,2018-03,Wales,120,129600,1,0.093
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2018-01,England,7,37804,11,0.019
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2018-02,England,14,104403,11,0.013
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2018-03,England,18,492445,9,0.004
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2018-02,Wales,9,99590,1,0.009
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2018-03,Wales,2,129600,1,0.002
Poultry,Conditions,Ascites/Oedema,2018-01,England,102,37804,11,0.27
Poultry,Conditions,Ascites/Oedema,2018-02,England,213,104403,11,0.204
Poultry,Conditions,Ascites/Oedema,2018-03,England,1070,492445,9,0.217
Poultry,Conditions,Ascites/Oedema,2018-03,Wales,10,129600,1,0.008
Poultry,Conditions,Bruising/Fractures,2018-01,England,100,37804,11,0.265
Poultry,Conditions,Bruising/Fractures,2018-02,England,91,104403,11,0.087
Poultry,Conditions,Bruising/Fractures,2018-03,England,157,492445,9,0.032
Poultry,Conditions,Bruising/Fractures,2018-01,Wales,18,66270,1,0.027
Poultry,Conditions,Bruising/Fractures,2018-02,Wales,25,99590,1,0.025
Poultry,Conditions,Bruising/Fractures,2018-03,Wales,62,129600,1,0.048
Poultry,Conditions,Cellulitis,2018-01,England,1,37804,11,0.003
Poultry,Conditions,Cellulitis,2018-02,England,100,104403,11,0.096
Poultry,Conditions,Cellulitis,2018-03,England,359,492445,9,0.073
Poultry,Conditions,Cellulitis,2018-01,Wales,4,66270,1,0.006
Poultry,Conditions,Cellulitis,2018-02,Wales,9,99590,1,0.009
Poultry,Conditions,Cellulitis,2018-03,Wales,8,129600,1,0.006
Poultry,Conditions,Contamination,2018-01,England,31,37804,11,0.082
Poultry,Conditions,Contamination,2018-02,England,70,104403,11,0.067
Poultry,Conditions,Contamination,2018-03,England,529,492445,9,0.107
Poultry,Conditions,Contamination,2018-01,Wales,1,66270,1,0.002
Poultry,Conditions,Contamination,2018-02,Wales,3,99590,1,0.003
Poultry,Conditions,Contamination,2018-03,Wales,12,129600,1,0.009
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,England,77,37804,11,0.204
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,England,221,104403,11,0.212
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,England,1809,492445,9,0.367
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,Wales,43,66270,1,0.065
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,Wales,25,99590,1,0.025
Poultry,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,Wales,11,129600,1,0.008
Poultry,Conditions,Death other than slaughter (uncut/badly bled),2018-02,England,6,104403,11,0.006
Poultry,Conditions,Death other than slaughter (uncut/badly bled),2018-03,England,21,492445,9,0.004
Poultry,Conditions,Death other than slaughter (uncut/badly bled),2018-01,Wales,4,66270,1,0.006
Poultry,Conditions,Death other than slaughter (uncut/badly bled),2018-02,Wales,13,99590,1,0.013
Poultry,Conditions,Death other than slaughter (uncut/badly bled),2018-03,Wales,6,129600,1,0.005
Poultry,Conditions,Dermatitis,2018-01,England,64,37804,11,0.169
Poultry,Conditions,Dermatitis,2018-03,England,55,492445,9,0.011
Poultry,Conditions,Dermatitis,2018-01,Wales,2,66270,1,0.003
Poultry,Conditions,Dermatitis,2018-02,Wales,8,99590,1,0.008
Poultry,Conditions,Dermatitis,2018-03,Wales,1,129600,1,0.001
Poultry,Conditions,Emaciation,2018-01,England,93,37804,11,0.246
Poultry,Conditions,Emaciation,2018-02,England,83,104403,11,0.079
Poultry,Conditions,Emaciation,2018-03,England,294,492445,9,0.06
Poultry,Conditions,Emaciation,2018-01,Wales,73,66270,1,0.11
Poultry,Conditions,Emaciation,2018-02,Wales,109,99590,1,0.109
Poultry,Conditions,Emaciation,2018-03,Wales,104,129600,1,0.08
Poultry,Conditions,Hepatitis,2018-01,England,79,37804,11,0.209
Poultry,Conditions,Hepatitis,2018-02,England,77,104403,11,0.074
Poultry,Conditions,Hepatitis,2018-03,England,407,492445,9,0.083
Poultry,Conditions,Hepatitis,2018-01,Wales,1,66270,1,0.002
Poultry,Conditions,Hepatitis,2018-02,Wales,6,99590,1,0.006
Poultry,Conditions,Hepatitis,2018-03,Wales,2,129600,1,0.002
Poultry,Conditions,Joint Lesions,2018-01,England,21,37804,11,0.056
Poultry,Conditions,Joint Lesions,2018-02,England,1,104403,11,0.001
Poultry,Conditions,Joint Lesions,2018-03,England,14,492445,9,0.003
Poultry,Conditions,Joint Lesions,2018-03,Wales,9,129600,1,0.007
Poultry,Conditions,Machine Damage,2018-01,England,40,37804,11,0.106
Poultry,Conditions,Machine Damage,2018-02,England,74,104403,11,0.071
Poultry,Conditions,Machine Damage,2018-03,England,218,492445,9,0.044
Poultry,Conditions,Machine Damage,2018-01,Wales,10,66270,1,0.015
Poultry,Conditions,Machine Damage,2018-02,Wales,10,99590,1,0.01
Poultry,Conditions,Machine Damage,2018-03,Wales,4,129600,1,0.003
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,England,16,37804,11,0.042
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,2,104403,11,0.002
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,England,135,492445,9,0.027
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,Wales,4,66270,1,0.006
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,Wales,4,99590,1,0.004
Poultry,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,Wales,1,129600,1,0.001
Poultry,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-01,England,1,37804,11,0.003
Poultry,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,England,18,492445,9,0.004
Poultry,Conditions,Overscald,2018-02,England,1,104403,11,0.001
Poultry,Conditions,Overscald,2018-03,England,13,492445,9,0.003
Poultry,Conditions,Overscald,2018-01,Wales,60,66270,1,0.091
Poultry,Conditions,Overscald,2018-02,Wales,1,99590,1,0.001
Poultry,Conditions,Pericarditis,2018-01,England,65,37804,11,0.172
Poultry,Conditions,Pericarditis,2018-02,England,55,104403,11,0.053
Poultry,Conditions,Pericarditis,2018-03,England,189,492445,9,0.038
Poultry,Conditions,Pericarditis,2018-01,Wales,68,66270,1,0.103
