Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,DLA Total Recipients (2017),DLA Recipients Male Under 16 (2017),DLA Recipients Male 16-34 (2017),DLA Recipients Male 35-49 (2017),DLA Recipients Male 50-64 (2017),DLA Recipients Male 65+ (2017),DLA Recipients Female Under 16 (2017),DLA Recipients Female 16-34 (2017),DLA Recipients Female 35-49 (2017),DLA Recipients Female 50-64 (2017),DLA Recipients Female 65+ (2017)
95BB06,CENTRAL (ARDS),ARDS,420,20,30,30,60,60,20,30,30,50,100
95BB07,COMBER EAST,ARDS,310,20,20,20,30,60,10,20,30,40,70
95BB08,COMBER NORTH,ARDS,270,30,10,10,30,50,10,10,20,50,60
95BB09,COMBER WEST,ARDS,180,10,10,10,20,30,0,10,10,40,40
95BB10,DONAGHADEE NORTH,ARDS,250,10,20,10,40,40,10,10,20,20,70
95BB11,DONAGHADEE SOUTH,ARDS,370,20,20,20,50,70,10,20,20,60,80
95BB12,GLEN,ARDS,280,30,10,20,30,30,10,20,30,40,50
95BB13,GREGSTOWN,ARDS,410,40,20,30,60,50,30,20,50,70,50
95BB14,KILLINCHY,ARDS,140,10,10,10,20,20,0,10,10,20,30
95BB15,KIRCUBBIN,ARDS,420,30,30,30,60,60,10,20,40,70,70
95BB16,LISBANE,ARDS,150,10,10,10,20,30,10,10,10,20,30
95BB17,LOUGHRIES,ARDS,320,30,20,20,40,40,20,30,30,50,50
95BB18,MILLISLE,ARDS,440,40,30,30,50,60,20,20,40,80,80
95BB19,MOVILLA,ARDS,350,40,20,30,40,40,10,20,40,40,50
95BB20,PORTAFERRY,ARDS,550,40,30,40,90,90,10,30,60,70,90
95BB21,PORTAVOGIE,ARDS,670,50,50,50,100,120,10,30,50,120,110
95BB22,SCRABO,ARDS,420,50,40,30,60,50,30,20,50,50,60
95BB23,WHITESPOTS,ARDS,220,20,10,10,20,30,10,20,10,30,60
95CC01,ABBEY PARK,ARMAGH,330,20,20,20,50,40,10,20,30,60,70
95CC02,BALLYMARTRIM,ARMAGH,270,20,20,20,30,60,10,10,20,40,50
95CC03,CALLAN BRIDGE,ARMAGH,440,40,40,30,60,50,20,40,50,70,50
95CC04,CARRIGATUKE,ARMAGH,260,10,20,20,50,40,10,10,30,40,60
95CC05,CHARLEMONT,ARMAGH,280,10,10,20,30,50,10,10,20,40,80
95CC06,DEMESNE,ARMAGH,280,20,20,20,40,30,10,10,30,50,50
95CC07,DERRYNOOSE,ARMAGH,370,20,30,20,50,50,20,30,40,60,60
95CC08,DOWNS,ARMAGH,360,20,20,20,40,40,10,20,30,70,80
95CC09,HAMILTONSBAWN,ARMAGH,230,10,20,20,30,40,10,10,20,40,40
95CC10,HOCKLEY,ARMAGH,200,10,10,20,30,50,0,10,10,30,40
95CC11,KEADY,ARMAGH,270,10,20,30,40,50,0,10,30,30,60
95CC12,KILLEEN,ARMAGH,250,20,20,20,30,40,0,20,30,30,50
95CC13,KILLYLEA,ARMAGH,270,20,20,20,40,50,10,10,20,50,50
95CC14,LAURELVALE,ARMAGH,280,20,20,20,30,40,10,20,30,50,50
95CC15,LOUGHGALL,ARMAGH,280,20,10,20,30,60,10,10,20,40,60
95CC16,MARKETHILL,ARMAGH,320,20,20,20,40,50,10,10,30,50,70
95CC17,MILFORD,ARMAGH,230,20,10,20,30,30,0,10,20,40,50
95CC18,OBSERVATORY,ARMAGH,260,10,10,20,40,30,10,10,30,40,40
95CC19,POYNTZ PASS,ARMAGH,290,20,20,20,50,50,10,20,30,40,40
95CC20,RICH HILL,ARMAGH,250,20,20,20,40,30,10,10,20,40,50
95CC21,TANDRAGEE,ARMAGH,320,20,30,30,50,50,10,10,20,50,50
95CC22,THE MALL,ARMAGH,210,0,10,20,20,30,0,10,20,50,50
95DD01,ACADEMY,BALLYMENA,160,10,10,10,20,20,10,10,10,30,40
95DD02,AHOGHILL,BALLYMENA,330,30,20,20,40,50,10,20,30,70,60
95DD03,ARDEEVIN,BALLYMENA,180,20,10,10,20,20,10,10,20,20,30
95DD04,BALLEE,BALLYMENA,310,20,20,40,30,30,20,20,20,50,60
95DD05,BALLYKEEL,BALLYMENA,230,20,20,20,20,20,10,20,20,30,40
95DD06,BALLYLOUGHAN,BALLYMENA,140,10,10,10,10,20,0,0,10,20,50
95DD07,BROUGHSHANE,BALLYMENA,280,20,20,20,30,30,10,10,30,50,60
95DD08,CASTLE DEMESNE,BALLYMENA,290,20,20,30,40,30,10,20,40,40,50
95DD09,CRAIGYWARREN,BALLYMENA,150,10,10,10,20,20,10,10,20,30,20
95DD10,CULLYBACKEY,BALLYMENA,250,10,10,30,30,40,10,20,20,40,50
95DD11,DUNCLUG,BALLYMENA,280,30,30,30,30,30,10,20,30,30,40
95DD12,DUNMINNING,BALLYMENA,170,20,10,20,20,20,10,10,10,30,30
95DD13,FAIR GREEN,BALLYMENA,190,20,20,20,20,20,10,10,20,30,30
95DD14,GALGORM,BALLYMENA,170,20,10,10,10,20,0,10,10,30,30
95DD15,GLENRAVEL,BALLYMENA,240,30,20,20,30,30,10,20,20,30,30
95DD16,GLENWHIRRY,BALLYMENA,190,20,10,10,20,30,10,10,20,30,30
95DD17,GRANGE,BALLYMENA,250,20,20,20,30,30,20,10,30,30,30
95DD18,HARRYVILLE,BALLYMENA,250,10,20,40,20,40,10,30,20,40,40
95DD19,KELLS,BALLYMENA,320,20,20,20,40,40,10,20,40,60,60
95DD20,MOAT,BALLYMENA,240,10,30,30,30,20,10,10,20,40,40
95DD21,PARK,BALLYMENA,150,20,10,20,10,20,0,10,10,20,20
95DD22,PORTGLENONE,BALLYMENA,260,30,20,20,30,40,10,10,30,40,40
95DD23,SLEMISH,BALLYMENA,140,10,10,20,20,10,10,10,10,20,20
95DD24,SUMMERFIELD,BALLYMENA,230,30,10,10,30,30,10,10,20,40,40
95EE01,BALLYHOE AND CORKEY,BALLYMONEY,150,10,20,10,30,30,10,0,10,20,30
95EE02,BENVARDIN,BALLYMONEY,210,20,20,10,30,20,10,20,20,40,30
95EE03,CARNANY,BALLYMONEY,240,10,20,20,30,20,10,20,30,40,40
95EE04,CLOGH MILLS,BALLYMONEY,180,10,20,20,20,30,10,10,20,20,20
95EE05,DERVOCK,BALLYMONEY,160,10,10,10,30,30,0,0,10,20,30
95EE06,DUNLOY,BALLYMONEY,180,10,10,20,20,30,10,10,30,20,20
95EE07,FAIRHILL,BALLYMONEY,250,10,10,20,30,40,20,10,20,30,50
95EE08,GLEBE (BALLYMONEY),BALLYMONEY,180,10,10,10,30,30,0,10,20,30,40
95EE09,KILLOQUIN LOWER,BALLYMONEY,160,10,10,10,30,20,0,0,10,30,40
95EE10,KILLOQUIN UPPER,BALLYMONEY,130,10,10,10,20,10,0,10,10,20,20
95EE11,KNOCKAHOLET,BALLYMONEY,130,10,10,10,10,20,0,10,20,20,30
95EE12,NEWHILL,BALLYMONEY,370,20,20,30,40,40,20,30,40,70,60
95EE13,ROUTE,BALLYMONEY,240,10,20,20,30,40,10,10,20,40,50
95EE14,SEACON,BALLYMONEY,300,20,20,20,30,40,10,20,30,60,40
95EE15,STRANOCUM,BALLYMONEY,160,10,10,20,20,20,10,0,10,30,30
95EE16,THE VOW,BALLYMONEY,170,10,20,10,30,20,10,10,20,30,30
95FF01,BALLYDOWN,BANBRIDGE,370,30,20,20,50,60,10,20,40,60,60
95FF02,BALLYWARD,BANBRIDGE,240,20,20,20,40,30,10,10,30,30,30
95FF03,BANBRIDGE WEST,BANBRIDGE,390,40,30,30,50,40,10,20,50,60,60
95FF04,BANNSIDE,BANBRIDGE,240,20,10,20,30,50,10,10,20,30,40
95FF05,DROMORE NORTH,BANBRIDGE,240,20,20,20,20,30,10,10,20,50,50
95FF06,DROMORE SOUTH,BANBRIDGE,270,20,20,20,30,30,10,10,30,40,60
95FF07,EDENDERRY (BANBRIDGE),BANBRIDGE,460,30,40,40,60,40,10,20,50,90,80
95FF08,FORT,BANBRIDGE,310,20,20,20,50,50,0,10,30,50,70
95FF09,GILFORD,BANBRIDGE,320,10,30,20,50,40,10,10,30,60,50
95FF10,GRANSHA,BANBRIDGE,280,20,20,20,30,40,10,20,30,40,40
95FF11,KATESBRIDGE,BANBRIDGE,200,10,10,20,20,40,10,10,20,30,30
95FF12,LAWRENCETOWN,BANBRIDGE,310,10,20,20,50,50,10,10,30,50,60
95FF13,LOUGHBRICKLAND,BANBRIDGE,340,20,20,30,50,40,10,10,30,60,60
95FF14,QUILLY,BANBRIDGE,180,10,10,10,30,40,0,10,10,20,40
95FF15,RATHFRILAND,BANBRIDGE,340,10,20,30,50,60,10,20,30,40,70
95FF16,SEAPATRICK,BANBRIDGE,250,10,20,20,40,40,10,10,20,30,50
95FF17,THE CUT,BANBRIDGE,340,10,20,30,50,40,10,20,20,60,70
95GG01,ANDERSONSTOWN,BELFAST,990,30,40,60,140,170,10,40,60,170,270
95GG02,ARDOYNE,BELFAST,1440,110,100,120,200,170,50,90,110,250,220
95GG03,BALLYHACKAMORE,BELFAST,420,30,30,30,60,50,10,20,40,70,100
95GG04,BALLYMACARRETT,BELFAST,1000,70,80,80,160,120,40,60,70,160,180
95GG05,BALLYNAFEIGH,BELFAST,520,30,60,60,80,50,10,20,60,80,60
95GG06,BALLYSILLAN,BELFAST,780,70,70,50,110,90,30,30,60,140,140
95GG07,BEECHMOUNT,BELFAST,1120,60,90,100,180,120,30,70,110,200,170
95GG08,BELLEVUE,BELFAST,670,70,60,50,90,80,30,40,60,90,100
95GG09,BELMONT,BELFAST,580,60,40,30,70,80,20,30,40,120,110
95GG10,BLACKSTAFF,BELFAST,560,50,50,50,90,60,20,30,60,80,80
95GG11,BLOOMFIELD (BELFAST),BELFAST,590,30,40,50,110,80,20,30,50,90,110
95GG12,BOTANIC,BELFAST,690,40,80,100,110,50,20,50,60,130,60
95GG13,CASTLEVIEW,BELFAST,620,50,50,50,80,90,10,30,40,110,120
95GG14,CAVEHILL,BELFAST,330,30,30,20,50,50,10,20,30,40,50
95GG15,CHERRYVALLEY,BELFAST,380,30,20,20,60,60,20,20,30,70,80
95GG16,CHICHESTER PARK,BELFAST,750,40,70,80,110,90,20,50,60,120,120
95GG17,CLIFTONVILLE,BELFAST,930,90,80,70,110,100,40,60,90,140,160
95GG18,CLONARD,BELFAST,1150,70,100,110,170,130,40,80,110,190,150
95GG19,CRUMLIN (BELFAST),BELFAST,1180,70,90,70,160,160,20,60,100,210,240
95GG20,DUNCAIRN,BELFAST,890,70,100,90,150,110,30,60,80,110,110
95GG21,FALLS,BELFAST,1310,80,100,140,220,150,30,60,120,230,200
95GG22,FALLS PARK,BELFAST,1030,50,60,60,120,160,20,40,50,190,270
95GG23,FINAGHY,BELFAST,330,20,30,20,40,60,10,10,20,60,70
95GG24,FORTWILLIAM,BELFAST,510,30,30,40,70,80,10,20,40,90,110
95GG25,GLEN ROAD,BELFAST,1230,90,90,70,200,150,40,60,100,220,220
95GG26,GLENCAIRN,BELFAST,700,60,50,50,70,90,20,40,60,90,160
95GG27,GLENCOLIN,BELFAST,1340,70,90,120,180,170,30,80,120,220,260
95GG28,HIGHFIELD,BELFAST,870,80,60,40,100,110,30,50,70,170,180
95GG29,ISLAND,BELFAST,730,80,50,60,80,80,30,40,60,130,120
95GG30,KNOCK,BELFAST,400,20,20,10,50,50,20,20,30,80,90
95GG31,LADYBROOK,BELFAST,1150,70,80,80,130,170,20,60,110,200,240
95GG32,LEGONIEL,BELFAST,1030,80,70,70,150,120,40,60,80,160,190
95GG33,MALONE,BELFAST,210,20,20,20,20,30,10,20,10,30,20
95GG34,MUSGRAVE,BELFAST,500,30,30,30,60,70,10,20,40,100,110
95GG35,NEW LODGE,BELFAST,1310,80,110,120,210,180,30,50,100,220,210
95GG36,ORANGEFIELD,BELFAST,470,40,40,30,60,60,20,20,50,70,90
95GG37,RAVENHILL,BELFAST,480,40,40,30,60,60,20,30,50,80,90
95GG38,ROSETTA,BELFAST,480,30,40,50,60,60,10,20,50,80,80
95GG39,SHAFTESBURY,BELFAST,1340,80,130,140,220,150,40,50,130,200,200
95GG40,SHANKILL,BELFAST,1000,90,70,70,110,160,30,50,90,150,180
95GG41,STORMONT,BELFAST,250,20,20,20,30,40,10,10,10,40,60
95GG42,STRANMILLIS,BELFAST,180,20,20,20,20,20,10,10,10,20,30
95GG43,SYDENHAM,BELFAST,610,40,50,30,80,80,20,40,60,90,130
95GG44,THE MOUNT,BELFAST,900,70,70,90,140,100,40,50,80,160,110
95GG45,UPPER MALONE,BELFAST,500,40,40,20,70,60,30,20,30,100,70
95GG46,UPPER SPRINGFIELD,BELFAST,1380,80,120,100,190,140,40,70,110,280,240
95GG47,WATER WORKS,BELFAST,1450,110,140,180,240,130,50,80,130,190,200
95GG48,WHITEROCK,BELFAST,1560,110,130,120,210,150,50,100,160,290,240
95GG49,WINDSOR,BELFAST,360,20,40,50,50,50,10,20,30,50,50
95GG50,WOODSTOCK,BELFAST,780,60,70,70,100,70,20,60,90,130,120
95GG51,WOODVALE,BELFAST,890,50,60,70,120,110,20,40,80,160,180
95HH01,BLACKHEAD,CARRICKFERGUS,170,10,10,10,20,30,0,10,10,30,40
95HH02,BLUEFIELD,CARRICKFERGUS,220,20,20,20,30,30,10,10,20,30,40
95HH03,BONEYBEFORE,CARRICKFERGUS,120,10,10,0,20,20,0,0,10,20,30
95HH04,BURLEIGH HILL,CARRICKFERGUS,280,20,20,10,30,40,10,10,20,60,70
95HH05,CLIPPERSTOWN,CARRICKFERGUS,250,20,20,30,30,20,10,20,30,40,40
95HH06,EDEN,CARRICKFERGUS,410,50,30,20,50,40,30,30,40,70,60
95HH07,GORTALEE,CARRICKFERGUS,190,10,20,10,30,30,0,20,10,40,30
95HH08,GREENISLAND,CARRICKFERGUS,210,20,10,10,30,30,10,10,20,40,40
95HH09,KILLYCROT,CARRICKFERGUS,450,30,40,40,80,50,10,20,30,80,90
95HH10,KNOCKAGH,CARRICKFERGUS,140,10,10,10,20,20,0,0,10,20,30
95HH11,LOVE LANE,CARRICKFERGUS,240,20,10,10,30,30,10,10,20,40,60
95HH12,MILEBUSH,CARRICKFERGUS,160,20,10,10,20,30,10,10,10,30,30
95HH13,NORTHLAND,CARRICKFERGUS,210,20,20,10,20,20,10,20,20,50,20
95HH14,SUNNYLANDS,CARRICKFERGUS,250,20,20,20,30,30,0,10,20,40,50
95HH15,VICTORIA (CARRICKFERGUS),CARRICKFERGUS,280,20,20,20,30,40,10,20,20,40,60
95HH16,WHITEHEAD,CARRICKFERGUS,130,10,10,10,20,20,10,10,10,20,30
95HH17,WOODBURN,CARRICKFERGUS,180,20,10,10,20,30,10,0,20,30,30
95II01,BALLYHANWOOD,CASTLEREAGH,230,20,10,10,40,30,10,10,20,30,50
95II02,BEECHILL,CASTLEREAGH,500,40,40,50,80,60,10,20,50,90,70
95II03,CAIRNSHILL,CASTLEREAGH,200,20,10,10,20,20,10,10,10,40,50
95II04,CARROWREAGH,CASTLEREAGH,420,40,40,30,40,60,20,20,40,60,80
95II05,CARRYDUFF EAST,CASTLEREAGH,340,40,20,20,50,50,10,10,30,50,60
95II06,CARRYDUFF WEST,CASTLEREAGH,210,20,10,10,20,30,10,10,10,40,50
95II07,CREGAGH,CASTLEREAGH,310,40,20,20,30,30,20,10,30,50,60
95II08,DOWNSHIRE,CASTLEREAGH,230,20,20,20,40,30,10,10,20,40,40
95II09,DUNDONALD,CASTLEREAGH,240,20,20,10,40,20,10,20,20,50,50
95II10,ENLER,CASTLEREAGH,410,50,20,20,60,50,20,20,30,60,90
95II11,GALWALLY,CASTLEREAGH,170,20,10,10,20,30,10,10,10,30,30
95II12,GILNAHIRK,CASTLEREAGH,140,20,10,10,20,20,10,10,10,20,30
95II13,GRAHAMS BRIDGE,CASTLEREAGH,380,30,20,30,40,50,20,20,20,70,80
95II14,HILLFOOT,CASTLEREAGH,130,10,10,10,10,20,0,10,10,20,40
95II15,KNOCKBRACKEN,CASTLEREAGH,150,10,10,10,20,30,10,0,10,20,40
95II16,LISNASHARRAGH,CASTLEREAGH,250,30,20,20,20,30,20,0,20,40,60
95II17,LOWER BRANIEL,CASTLEREAGH,260,10,20,20,50,40,10,20,20,50,40
95II18,MINNOWBURN,CASTLEREAGH,380,40,30,30,50,50,20,30,30,50,70
95II19,MONEYREAGH,CASTLEREAGH,250,20,10,10,40,50,10,10,10,40,50
95II20,NEWTOWNBREDA,CASTLEREAGH,200,20,10,10,20,20,10,10,20,30,40
95II21,TULLYCARNET,CASTLEREAGH,330,40,20,20,40,40,20,20,30,50,60
95II22,UPPER BRANIEL,CASTLEREAGH,230,20,20,10,30,30,10,10,20,40,50
95II23,WYNCHURCH,CASTLEREAGH,180,20,20,10,20,20,10,10,20,30,30
95JJ01,AGIVEY,COLERAINE,170,10,20,20,20,20,10,0,20,30,30
95JJ02,ATLANTIC,COLERAINE,220,20,20,30,30,20,10,10,30,40,30
95JJ03,BALLYSALLY,COLERAINE,350,40,40,30,50,20,10,30,30,60,30
95JJ04,CASTLEROCK,COLERAINE,240,20,10,20,30,30,10,10,20,40,40
95JJ05,CENTRAL (COLERAINE),COLERAINE,290,10,10,20,50,50,0,20,20,60,60
95JJ06,CHURCHLAND,COLERAINE,350,20,40,30,40,40,10,20,30,70,50
95JJ07,CROSS GLEBE,COLERAINE,390,40,30,30,40,40,10,20,40,70,70
95JJ08,DUNDOOAN,COLERAINE,240,20,20,10,30,40,10,10,20,40,40
95JJ09,DUNLUCE,COLERAINE,140,20,0,10,30,30,0,10,10,20,20
95JJ10,GARVAGH,COLERAINE,230,20,20,20,30,20,10,10,20,20,40
95JJ11,HOPEFIELD,COLERAINE,240,20,10,20,30,40,20,10,20,40,40
95JJ12,KILREA,COLERAINE,270,20,20,20,40,30,10,20,30,40,50
95JJ13,KNOCKLYNN,COLERAINE,280,30,20,20,40,30,10,20,20,50,40
95JJ14,MACOSQUIN,COLERAINE,180,20,0,20,30,30,10,10,10,20,30
95JJ15,MOUNT SANDEL,COLERAINE,170,20,10,20,20,20,10,10,10,30,30
95JJ16,PORTSTEWART,COLERAINE,180,10,20,20,40,20,10,10,10,20,20
95JJ17,RINGSEND,COLERAINE,190,10,20,20,30,30,10,10,20,30,40
95JJ18,ROYAL PORTRUSH,COLERAINE,230,10,10,30,40,30,0,10,20,40,40
95JJ19,STRAND (COLERAINE),COLERAINE,120,10,10,10,10,10,0,10,10,20,30
95JJ20,THE CUTS,COLERAINE,330,30,30,30,40,50,10,10,20,50,60
95JJ21,UNIVERSITY,COLERAINE,280,20,20,20,30,40,10,10,20,50,50
95JJ22,WATERSIDE,COLERAINE,140,10,10,0,10,20,10,10,20,20,30
95KK01,ARDBOE,COOKSTOWN,450,30,30,30,70,60,10,10,40,70,110
95KK02,COAGH,COOKSTOWN,290,20,10,20,30,60,10,10,30,30,70
95KK03,DUNNAMORE,COOKSTOWN,270,10,20,20,50,60,10,10,20,40,50
95KK04,GORTALOWRY,COOKSTOWN,340,20,40,30,50,40,10,20,40,60,50
95KK05,KILLYCOLPY,COOKSTOWN,340,30,20,30,50,50,10,20,40,50,50
95KK06,KILLYMOON,COOKSTOWN,310,20,20,20,40,40,0,10,30,60,70
95KK07,LISSAN,COOKSTOWN,220,10,20,20,20,40,0,10,20,40,40
95KK08,MONEYMORE,COOKSTOWN,290,30,20,30,30,40,10,20,40,40,40
95KK09,NEWBUILDINGS,COOKSTOWN,330,20,20,30,40,50,10,20,30,40,70
95KK10,OAKLANDS,COOKSTOWN,190,20,10,10,30,30,10,10,20,30,40
95KK11,OLDTOWN,COOKSTOWN,350,20,20,20,60,50,10,20,30,60,70
95KK12,POMEROY,COOKSTOWN,330,20,30,30,50,40,10,10,30,70,30
95KK13,SANDHOLES,COOKSTOWN,200,10,10,20,30,30,0,10,10,40,50
95KK14,STEWARTSTOWN,COOKSTOWN,320,10,20,30,40,50,10,10,30,40,60
95KK15,THE LOOP,COOKSTOWN,310,30,20,20,40,40,10,10,30,60,40
95KK16,TULLAGH,COOKSTOWN,290,10,20,20,40,60,10,10,20,50,60
95LL01,AGHAGALLON,CRAIGAVON,410,30,30,20,60,60,20,20,40,70,70
95LL02,ANNAGH,CRAIGAVON,330,10,20,40,50,50,0,20,30,50,60
95LL03,BALLYBAY,CRAIGAVON,330,30,20,30,50,40,10,20,30,50,60
95LL04,BALLYORAN,CRAIGAVON,380,20,20,30,60,50,10,20,20,70,90
95LL05,BLEARY,CRAIGAVON,340,20,20,20,60,50,10,20,30,60,70
95LL06,BROWNSTOWN,CRAIGAVON,350,20,20,30,40,70,10,10,30,60,80
95LL07,CHURCH,CRAIGAVON,310,20,30,20,30,40,10,10,40,60,60
95LL08,CORCRAIN,CRAIGAVON,490,20,40,40,80,60,20,30,30,100,80
95LL09,COURT,CRAIGAVON,730,20,50,50,110,120,10,30,50,120,160
95LL10,DERRYTRASNA,CRAIGAVON,510,40,50,30,60,80,10,30,50,80,90
95LL11,DONAGHCLONEY,CRAIGAVON,260,20,30,30,30,30,10,10,20,40,40
95LL12,DRUMGASK,CRAIGAVON,680,60,50,60,80,70,30,50,80,120,90
95LL13,DRUMGOR,CRAIGAVON,460,30,30,40,50,60,10,20,60,70,100
95LL14,DRUMNAMOE,CRAIGAVON,580,20,30,30,90,110,10,20,40,110,130
95LL15,EDENDERRY (CRAIGAVON),CRAIGAVON,370,20,20,30,60,70,0,10,20,50,90
95LL16,KERNAN,CRAIGAVON,520,30,20,30,70,70,20,30,50,100,100
95LL17,KILLYCOMAIN,CRAIGAVON,300,20,20,30,30,30,0,20,30,60,70
95LL18,KNOCKNASHANE,CRAIGAVON,290,10,20,20,40,50,10,10,20,60,60
95LL19,MAGHERALIN,CRAIGAVON,430,30,30,30,40,50,20,20,40,80,90
95LL20,MOURNEVIEW,CRAIGAVON,370,20,20,30,60,60,10,20,30,50,80
95LL21,PARKLAKE,CRAIGAVON,500,20,30,40,70,80,20,30,50,60,100
95LL22,TAGHNEVAN,CRAIGAVON,520,40,40,40,50,80,20,20,60,70,90
95LL23,TAVANAGH,CRAIGAVON,320,20,20,20,50,50,10,10,30,60,60
95LL24,THE BIRCHES,CRAIGAVON,300,10,20,20,40,40,10,20,20,40,70
95LL25,WARINGSTOWN,CRAIGAVON,300,10,20,30,30,40,10,10,30,50,70
95LL26,WOODVILLE,CRAIGAVON,490,20,40,40,80,70,10,30,40,90,80
95MM01,ALTNAGELVIN,DERRY,560,40,40,40,80,80,10,20,50,90,100
95MM02,BALLYNASHALLOG,DERRY,310,10,20,10,20,60,0,10,10,60,100
95MM03,BANAGHER,DERRY,320,20,30,30,50,50,20,20,30,40,50
95MM04,BEECHWOOD,DERRY,440,20,20,30,60,80,10,10,30,70,120
95MM05,BRANDYWELL,DERRY,570,20,20,50,100,90,10,20,50,100,120
95MM06,CARN HILL,DERRY,520,30,40,40,60,80,10,30,40,70,130
95MM07,CAW,DERRY,450,30,30,40,60,70,10,20,40,70,80
95MM08,CLONDERMOT,DERRY,550,20,30,30,90,80,10,40,40,100,110
95MM09,CLAUDY,DERRY,390,20,20,30,70,70,10,10,30,50,80
95MM10,CREGGAN CENTRAL,DERRY,590,30,50,40,90,60,20,30,50,130,100
95MM11,CREGGAN SOUTH,DERRY,600,50,40,40,90,60,20,40,60,110,90
95MM12,CREVAGH,DERRY,870,70,90,70,130,70,40,50,110,160,90
95MM13,CULMORE,DERRY,1270,70,100,90,130,170,40,70,150,230,210
95MM14,EBRINGTON,DERRY,400,10,20,40,40,60,10,20,50,70,80
95MM15,EGLINTON,DERRY,430,30,30,30,50,70,10,20,40,70,90
95MM16,ENAGH (DERRY),DERRY,600,50,60,70,60,70,20,30,70,80,90
95MM17,FOYLE SPRINGS,DERRY,460,20,30,30,70,70,10,20,40,110,70
95MM18,HOLLY MOUNT,DERRY,490,40,40,30,60,70,10,20,60,90,80
95MM19,KILFENNAN,DERRY,310,10,20,20,40,40,10,20,30,60,70
95MM20,LISNAGELVIN,DERRY,540,30,20,30,60,90,10,30,50,90,140
95MM21,NEW BUILDINGS,DERRY,400,20,20,30,50,60,10,20,40,70,80
95MM22,PENNYBURN,DERRY,280,10,20,10,40,50,0,10,20,50,80
95MM23,ROSEMOUNT,DERRY,400,10,30,50,60,50,10,20,30,70,80
95MM24,SHANTALLOW EAST,DERRY,510,20,40,30,70,80,20,30,50,80,110
95MM25,SHANTALLOW WEST,DERRY,1180,80,100,100,150,100,60,80,170,230,120
95MM26,SPRINGTOWN,DERRY,470,30,20,30,70,70,10,20,40,110,90
95MM27,STRAND (DERRY),DERRY,540,10,50,70,110,80,0,30,50,70,90
95MM28,THE DIAMOND,DERRY,480,10,30,50,110,60,10,30,40,90,60
95MM29,VICTORIA (DERRY),DERRY,460,30,40,40,70,50,10,40,60,80,50
95MM30,WESTLAND,DERRY,430,20,30,30,60,60,10,10,40,90,80
95NN01,ARDGLASS,DOWN,480,50,40,40,80,60,20,30,40,60,60
95NN02,AUDLEYS ACRE,DOWN,250,20,20,20,30,40,0,10,20,40,50
95NN03,BALLYMAGLAVE,DOWN,350,30,20,30,30,50,10,10,30,70,70
95NN04,BALLYMOTE,DOWN,590,70,60,40,80,70,30,40,50,70,80
95NN05,BALLYNAHINCH EAST,DOWN,330,40,30,30,40,50,10,10,30,50,40
