Name of Official,Mode of travel,Date of Departure,Duration of stay,Destination,City of accommodation (if different to destination),Class of travel,Base Sales Including Tax,
SMITH/ANTHONY MR,AIR,14/05/2013,4,Moscow Domod,,ECONOMY                  ,-£806.00,
MOOREHEAD/SUSANNA MS,RAIL,15/05/2013,1,,,SECOND CLASS RAIL       ,£64.00,
SMITH/ANTHONY MR,AIR,17/05/2013,1,Lon Heathrow,,ECONOMY                  ,£258.00,
LOWCOCK/MARK MR,AIR,18/05/2013,4,Sydney Ns,,BUSINESS                 ,"£5,080.00",
MOOREHEAD/SUSANNA MS,AIR,19/05/2013,6,Accra,,BUSINESS                 ,"£1,964.00",
MOOREHEAD/SUSANNA MS,AIR,19/05/2013,2,Accra,,BUSINESS                 ,"£1,650.00",
MOOREHEAD/SUSANNA MS,AIR,19/05/2013,6,Accra,,BUSINESS                 ,"£1,964.00",
MOOREHEAD/SUSANNA MS,AIR,19/05/2013,2,Accra,,BUSINESS                 ,"-£1,650.00",
MOOREHEAD/SUSANNA MS,AIR,19/05/2013,6,Accra,,BUSINESS                 ,"-£1,960.00",
SMITH/ANTHONY MR,RAIL,21/05/2013,1,,,SECOND CLASS RAIL       ,£164.00,
TURNER/RACHEL MRS,AIR,21/05/2013,4,Accra,,ECONOMY                  ,"£1,468.00",
DERCON/STEFAN PROF,AIR,22/05/2013,10,Accra,,ECONOMY                  ,£820.00,
DERCON/STEFAN PROF,AIR,22/05/2013,9,Accra,,ECONOMY                  ,£100.00,
SAVILLE/JAMES MR,AIR,22/05/2013,4,Dubai,,ECONOMY                  ,"£1,101.00",
MOOREHEAD/SUSANNA MS,AIR,23/05/2013,2,Lon Heathrow,,ECONOMY                  ,£677.00,
MOOREHEAD/SUSANNA MS,AIR,23/05/2013,2,Lon Heathrow,,ECONOMY                  ,-£589.00,
HUTCHEON/JOY MS,AIR,31/05/2013,4,Tokyo Hnd,,BUSINESS                 ,"£3,407.00",
MALIK/MOAZZAM MR,AIR,31/05/2013,2,Delhi,,BUSINESS                 ,"£1,221.00",
MALIK/MOAZZAM MR,AIR,01/06/2013,1,Kabul,,BUSINESS                 ,£486.00,
CALVERT/RICHARD MR,AIR,02/06/2013,6,Delhi,,BUSINESS                 ,"£1,506.00",
MALIK/MOAZZAM MR,AIR,03/06/2013,1,Islamabad Intl,,ECONOMY                  ,£195.00,
SMITH/ANTHONY MR,AIR,04/06/2013,1,Addis Ababa,,BUSINESS                 ,"£1,021.00",
MALIK/MOAZZAM MR,AIR,06/06/2013,2,Lon Heathrow,,ECONOMY                  ,£737.00,
MALIK/MOAZZAM MR,AIR,06/06/2013,2,Lon Heathrow,,ECONOMY                  ,-£699.00,
SMITH/ANTHONY MR,AIR,08/06/2013,1,Lon Heathrow,,BUSINESS                 ,£936.00,
DERCON/STEFAN PROF,AIR,09/06/2013,7,Lagos,,ECONOMY                  ,"£1,230.00",
HUTCHEON/JOY MS,AIR,09/06/2013,9,Lusaka,,PREMIUM ECONOMY          ,"£1,410.00",
KHAN/SHAILA MRS,AIR,17/06/2013,2,Berlin Germa,,ECONOMY                  ,£343.00,
KHAN/SHAILA MRS,AIR,17/06/2013,2,Berlin Germa,,ECONOMY                  ,-£64.00,
LOWCOCK/MARK MR,AIR,17/06/2013,2,Berlin Germa,,ECONOMY                  ,£483.00,
MOOREHEAD/SUSANNA MS,AIR,17/06/2013,9,Lilongwe,,BUSINESS                 ,"£5,915.00",
SMITH/ANTHONY MR,RAIL,17/06/2013,2,,,SECOND CLASS RAIL       ,£199.00,
TURNER/RACHEL MRS,AIR,18/06/2013,5,Kigali,,ECONOMY                  ,"£4,300.00",
KHAN/SHAILA MRS,AIR,19/06/2013,2,Dar Es Salaam,,ECONOMY                  ,£394.00,
MOOREHEAD/SUSANNA MS,AIR,20/06/2013,3,Lusaka,,ECONOMY                  ,£844.00,
KHAN/SHAILA MRS,AIR,22/06/2013,4,Maputo,,BUSINESS                 ,"£3,294.00",
KHAN/SHAILA MRS,AIR,22/06/2013,1,Johannesburg,,ECONOMY                  ,£496.00,
KHAN/SHAILA MRS,AIR,22/06/2013,4,Maputo,,ECONOMY                  ,"-£3,294.00",
KHAN/SHAILA MRS,AIR,22/06/2013,2,Lon Heathrow,,PREMIUM ECONOMY          ,"£1,177.00",
MOOREHEAD/SUSANNA MS,AIR,22/06/2013,1,Johannesburg,,ECONOMY                  ,-£159.00,
MOOREHEAD/SUSANNA MS,AIR,24/06/2013,2,Lon Heathrow,,BUSINESS                 ,-£244.00,
KHAN/SHAILA MRS,AIR,30/06/2013,6,Miami,,PREMIUM ECONOMY          ,"£1,737.00",
KHAN/SHAILA MRS,AIR,30/06/2013,6,Boston,,PREMIUM ECONOMY          ,"£1,714.00",
KHAN/SHAILA MRS,AIR,30/06/2013,6,Miami,,PREMIUM ECONOMY          ,"-£1,737.00",
LOWCOCK/MARK MR,AIR,30/06/2013,1,Frankfurt,,ECONOMY                  ,£224.00,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,l
