Body Name,Service Code,Expenditure Category,Payment Date,Transaction No,Supplier,Net Amount
Barrow Borough Council,Forum 28,Buildings repairs and maintenance,26-Mar-2014,200019608,Rentokil Initial UK Ltd,"2,500.00"
Barrow Borough Council,Licensing,Professional fees,26-Mar-2014,200019670,Allerdale Borough Council,"2,123.94"
Barrow Borough Council,Giselle - 05/03/14,Professional fees,12-Mar-2014,200019450,A.I.R Ltd,"2,702.12"
Barrow Borough Council,HRA Estates,Professional fees,19-Mar-2014,200019542,ASB Action Ltd,589.06
Barrow Borough Council,The Meatloaf Story - 22/2/14,Recoverable charges,05-Mar-2014,200019318,Vampires Rock Ltd,-734.00
Barrow Borough Council,That'll Be The Day - 10/04/13,Professional fees,12-Mar-2014,200019422,Derek Block Concert Promotions,"1,778.60"
Barrow Borough Council,Rural Regeneration Coastal Protection,Incidental costs,05-Mar-2014,200019373,IT Shaw Ltd,"4,298.00"
Barrow Borough Council,Occupational health,Professional fees,26-Mar-2014,200019720,Your Best Option,"2,821.00"
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,26-Mar-2014,200019586,Keith Wilson Elec Con Ltd,"3,925.58"
Barrow Borough Council,Crematorium,Gas,05-Mar-2014,200019366,British Gas Business,"3,574.41"
Barrow Borough Council,Market Hall & Offices,Building and construction works,12-Mar-2014,200019464,Vinci Construction UK Ltd,"8,344.00"
Barrow Borough Council,Information technology,Software maintenance,05-Mar-2014,200019356,Civica UK Ltd,"10,875.48"
Barrow Borough Council,Coastal Defence Work West Shore Park,Incidental costs,19-Mar-2014,200019556,Marine Management Organisation,531.25
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,05-Mar-2014,200019381,Liberata Uk Ltd,"52,334.57"
Barrow Borough Council,Town Hall,Incidental costs,05-Mar-2014,200019345,Ward Glass Ltd,"1,582.31"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,797.50
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,26-Mar-2014,200019625,AB Mitchell Developments,"4,023.53"
Barrow Borough Council,Forum 28,Professional fees,26-Mar-2014,200019622,Linney PA Systems,766.39
Barrow Borough Council,Tenant demand maintenance - HRA,Consultancy fees,26-Mar-2014,200019604,PSS Consulting,"3,151.40"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,-746.45
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,19-Mar-2014,200019475,AB Mitchell Developments,"1,927.18"
Barrow Borough Council,Barrow park,Grounds maintenance,26-Mar-2014,200019639,Continental Landscapes Ltd,"20,029.50"
Barrow Borough Council,Information technology,Software maintenance,05-Mar-2014,200019356,Civica UK Ltd,"38,628.89"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,835.85
Barrow Borough Council,Parks and open spaces,Grounds maintenance,19-Mar-2014,200019494,Continental Landscapes Ltd,"24,698.90"
Barrow Borough Council,Cost of collection,Business rates collection,05-Mar-2014,200019381,Liberata Uk Ltd,"20,023.32"
Barrow Borough Council,Street Lighting,Christmas illuminations,12-Mar-2014,200019420,Optech Fibres,"5,152.00"
Barrow Borough Council,Barrow town hall,Recoverable charges,12-Mar-2014,200019422,Derek Block Concert Promotions,-668.00
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019509,Plumbing Trade Supplies,"2,343.71"
Barrow Borough Council,Registration of electors,Computer hardware purchase,26-Mar-2014,200019649,Example IT Ltd,597.96
Barrow Borough Council,Emlyn Hughes house,Gas,26-Mar-2014,200019623,British Gas Business,645.65
Barrow Borough Council,The Meatloaf Story - 22/2/14,Professional fees,05-Mar-2014,200019318,Vampires Rock Ltd,"1,610.14"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Mar-2014,200019625,AB Mitchell Developments,"7,254.29"
