Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Sponsors Grants - Trade Show Access Programme,UK Trade and Investments - Sectors Group,MEDILINK (YORKSHIRE AND HUMBER) LTD,152380,"17,915.87 ",,S35 1QN,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Basic Grants - Trade Show Access Programme,UK Trade and Investments - Sectors Group,MEDILINK (YORKSHIRE AND HUMBER) LTD,152381,"12,000.00 ",,S35 1QN,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,UNIBALL LTD T/A T-KING GOLF,152382,110.00 ,,YO25 3EU,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,UNIBALL LTD T/A T-KING GOLF,152382,995.00 ,,YO25 3EU,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,IT Managed Service Contracts - UKTI Web Services - Hosting and Support,UK Trade and Investments - IT and Finance Group,FUJITSU SERVICES LTD,152383,"33,853.00 ",,WA3 9BD,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Design Services - Trade Marketing Publicity,UK Trade and Investments - Marketing & Communications Group,ACUMEN DESIGN CONSULTANCY LTD,152384,"7,138.00 ",,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Event Management - Sector Events - Abroad,UK Trade and Investments - Sectors Group,BRITISH EXPERTISE,152385,"4,500.00 ",,SW1W 0DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,SIDHIL LTD,152387,730.00 ,,HX2 9TN,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Stand Space/rental costs - Security Events,UK Trade and Investments - Defence and Security Organisation,EMERGENCY SERVICES (MMC) LTD,152388,"3,726.00 ",,BN43 5DB,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,THE SCOTTISH COUNCIL FOR DEVELOPMENT & INDUSTRY,152390,"6,600.00 ",,G2 7HF,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,THE SCOTTISH COUNCIL FOR DEVELOPMENT & INDUSTRY,152390,"1,100.00 ",,G2 7HF,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152391,361.00 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152392,"2,084.35 ",,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152393,83.95 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Gateway to Global Growth,UK Trade and Investments - Regional Directorate,MCI DIVENTI LTD,152394,665.00 ,,S7 2QA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152395,206.50 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152396,115.50 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152397,62.05 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152398,47.65 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152399,102.20 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152400,54.25 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152401,"3,214.50 ",,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",UK Trade and Investments - IT and Finance Group,S & S DATA LTD,152402,50.05 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Other IT Services - Inward Investment Research,UK Trade and Investments - Business Group,S & S DATA LTD,152403,7.43 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,CHAPEL HOUSE TRAINING AND CONSULTANCY LTD,152404,995.00 ,,LS25 5DZ,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Other postage costs - Tech City,UK Trade and Investments - Business Group,GENIE CREATIVE LTD,152062,14.31 ,,S1 4DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Other postage costs - Tech City,UK Trade and Investments - Business Group,GENIE CREATIVE LTD,152062,18.00 ,,S1 4DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Printing Costs - Tech City,UK Trade and Investments - Business Group,GENIE CREATIVE LTD,152062,295.69 ,,S1 4DP,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Stand Construction Costs - Trade Marketing Events,UK Trade and Investments - Marketing & Communications Group,ROCKET EXHIBITIONS & EVENTS LTD,152167,"22,911.88 ",,G13 4DJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Sector Events - UK,UK Trade and Investments - Sectors Group,BUSINESS TO BUSINESS EXHIBITIONS LTD T/A BUSINESS TO BUSINESS,152190,"-2,343.42 ",,CV1 2TT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Design Services - Trade Marketing Publicity,UK Trade and Investments - Marketing & Communications Group,ACUMEN DESIGN CONSULTANCY LTD,152231,"3,035.00 ",,RM7 7HL,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Trade Development Support,UK Trade and Investments - International Group,TLIC LTD T/A THE EBURY,152378,933.33 ,,SW1W 8NA,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Trade Development Support,UK Trade and Investments - International Group,TLIC LTD T/A THE EBURY,152378,140.00 ,,SW1W 8NA,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Other IT Services - CBBC,UK Trade and Investments - International Group,S & S DATA LTD,152405,121.10 ,,PR25 2EN,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Catering - Passport Development & Events,UK Trade and Investments - Regional Directorate,BUSINESS AND ENTERPRISE NORTH EAST LTD,152407,"2,159.04 ",,SR7 7TT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Passport Development & Events,UK Trade and Investments - Regional Directorate,BUSINESS AND ENTERPRISE NORTH EAST LTD,152407,466.76 ,,SR7 7TT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Scheme Management Charges - International Trade Team Contracting,UK Trade and Investments - Regional Directorate,BUSINESS AND ENTERPRISE NORTH EAST LTD,152408,"93,536.42 ",,SR7 7TT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Online Services charges - Trade Marketing Events,UK Trade and Investments - Regional Directorate,NOF ENERGY LTD,152409,500.00 ,,DH1 1TH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Speakers fees - Passport Development & Events,UK Trade and Investments - Regional Directorate,CHINA BUSINESS OFFICE LTD,152410,400.00 ,,NG16 1FS,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Catering - Trade Marketing Events,UK Trade and Investments - Regional Directorate,KATIE HARVEY T/A OUT TO LUNCH,152411,76.20 ,,CB21 5EQ,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Design Services - Trade Marketing Publicity,UK Trade and Investments - Marketing & Communications Group,RED STONE DESIGN LTD,152419,396.00 ,,EC1V 0BX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Postage costs - Trade Marketing Events,UK Trade and Investments - Regional Directorate,ROYAL MAIL,152422,80.20 ,,PE4 5PG,PCTF,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Venue Hire - Passport Development & Events,UK Trade and Investments - Regional Directorate,"IMAGO @ LOUGHBOROUGH LIMITED T/A IMAGO, THE LINK HOTEL & HOLYWELL PARK",152423,400.00 ,,LE11 4EX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Venue Hire - Passport Development & Events,UK Trade and Investments - Regional Directorate,"IMAGO @ LOUGHBOROUGH LIMITED T/A IMAGO, THE LINK HOTEL & HOLYWELL PARK",152423,50.00 ,,LE11 4EX,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Sector Events - UK,UK Trade and Investments - Sectors Group,GRAYLING COMMUNICATIONS LTD T/A GRAYLING LIVE,152424,"16,280.09 ",,B95 6HJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Trade Development Support,UK Trade and Investments - International Group,TLIC LTD T/A THE EBURY,152425,26.25 ,,SW1W 8NA,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,02/11/2011,Event Management - Trade Development Support,UK Trade and Investments - International Group,TLIC LTD T/A THE EBURY,152425,175.00 ,,SW1W 8NA,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
