Newcastle City Council Invoices over £500 paid in April 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Grand Total,"Capital/
Revenue"
Adult and Culture,Social Services                        ,08/04/10,STONHAM,4621756,1648.46,Revenue
Adult and Culture,Social Services                        ,27/04/10,THE CYRENIANS,4645135,318561.00,Capital
Adult and Culture,Social Services                        ,08/04/10,THE FLOORING OUTLET,4621163,1020.00,Revenue
Adult and Culture,Social Services                        ,21/04/10,THEM WIFIES,4636129,3750.00,Revenue
Adult and Culture,Social Services                        ,28/04/10,THOS. HEDLEY & SONS,4645133,681.50,Revenue
Adult and Culture,Social Services                        ,21/04/10,TYNESIDE CINEMA,4636130,18750.00,Revenue
Adult and Culture,Social Services                        ,12/04/10,WALKER LODGE,4624552,567.00,Revenue
Adult and Culture,Social Services                        ,26/04/10,WORKMAN LLP,4641298,2160.00,Capital
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ACCEPT CARE,4628729,5522.28,Revenue
Adult and Culture,Social Services - Social Care Payments ,27/04/10,AFTER ADOPTION,4643881,6178.56,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,AGE CONCERN NEWCASTLE,4630109,1625.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,AK CARE,4631768,14420.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,AK CARE,4631769,14420.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,ALLIED HEALTHCARE GROUP LTD,4600916,6380.07,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,ALMA CARE NEWCASTLE LTD,4630395,1790.22,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,ALMA CARE NEWCASTLE LTD,4630585,1193.48,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,ALMA CARE NEWCASTLE LTD,4632781,2386.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,AT HOME IN THE COMMUNITY LTD,4630396,3611.52,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,AT HOME IN THE COMMUNITY LTD,4630586,4196.92,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,AT HOME IN THE COMMUNITY LTD,4630589,617.76,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,AT HOME IN THE COMMUNITY LTD,4632783,950.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,AUTISM NORTH - EASTCLIFFE,4630582,9997.03,Revenue
Adult and Culture,Social Services - Social Care Payments ,21/04/10,AUTISM NORTH - EASTCLIFFE,4630577,10043.06,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,AVALON,4632785,542.90,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624432,1603.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624433,1436.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624434,574.56,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624437,1723.68,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624438,981.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624439,813.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624441,574.56,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624445,1220.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624447,2010.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624448,658.35,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624449,1029.42,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,AZURE,4624450,1029.42,Revenue
