Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Economic & Social Research Council,ESRC,"Department for Business, Innovation & Skills",15,12.53,36,34.29,77,73.02,17,16.91,3,2.95,,,148,140,1,1,,,,,,,1,1,149,141,"£368,705.00","£3,163.00","£35,400.00",,"£92,948.00","£31,057.00","£531,273.00","£1,890.00",,"£1,890.00","£533,163.00",
Engineering & Physical Sciences Research Council,EPSRC,"Department for Business, Innovation & Skills",36,34.02,31,28.99,132,124.05,29,27.51,3,3,,,231,218,3,3,,,4,4,,,7,7,238,225,"£596,380.00","£14,620.00","£8,850.00","£2,671.00","£153,011.00","£43,514.00","£819,046.00","£35,725.05",,"£35,725.05","£854,771.05",
Engineering Construction Industry Training Board,ECITB,"Department for Business, Innovation & Skills",21,18,29,25,18,18,5,5,,,2,0.012,75,66,0,0,,,,,,,0,0,75,66,"£229,901.00","£17,139.00",£0.00,£0.00,"£62,394.00","£21,323.00","£330,757.00",£0.00,,£0.00,"£330,757.00",
Higher Education Funding Council for England,HEFCE,"Department for Business, Innovation & Skills",8,6.38,33,28.53,143,125.9,71,64.21,33,31.64,,,288,257,6,6,,,5,5,,,11,11,299,268,"£781,764.39","£2,378.00","£123,901.89",£167.09,"£152,871.09","£84,732.20","£1,145,814.66","£69,251.64",,"£69,251.64","£1,215,066.30",
Insolvency Service,IS,"Department for Business, Innovation & Skills",553,515.2096,255,240.6408,676,648.6635,85,84.6275,6,5.7838,,,"1,575","1,495",130,130,,,20,20,0,0,150,150,"1,725","1,645","£3,827,181.16","£9,446.38",£0.00,"£1,513.89","£722,204.79","£296,798.70","£4,857,144.92","£165,594.94",£0.00,"£165,594.94","£5,022,739.86",
Medical Research Council,MRC,"Department for Business, Innovation & Skills",348,327.2,471,448,1399,1377,171,165.2,107,103.2,64,53.2,"2,560","2,474",17,17,19,19,3,3,0,0,39,39,"2,599","2,513","£7,067,645.00","£463,201.00",£0.00,"£30,171.00","£862,886.00","£721,377.00","£9,145,280.00","£266,088.00","£8,142.00","£274,230.00","£9,419,510.00",
National Measurement Office,NMO,"Department for Business, Innovation & Skills",5,3.83,23,22.76,34,33.01,20,18.07,,,,,82,78,,,,,,,,,0,0,82,78,"£246,495.58",£130.00,"£2,300.00",,"£47,339.05","£20,139.45","£316,404.08",,£0.00,£0.00,"£316,404.08",
Natural Environment Research Council,NERC,"Department for Business, Innovation & Skills",262,233.8,442,415.1,1159,1109.7,368,355.2,23,22.5,313,306.5,"2,567","2,443",10,9.7,,,2,1.7,,,12,11.4,"2,579","2,454","£6,700,339.84","£159,466.51","£9,750.00","£41,643.60","£1,650,791.43","£546,225.06","£9,108,216.44","£166,251.00",,"£166,251.00","£9,274,467.44",
Office for Fair Access,OFA,"Department for Business, Innovation & Skills",0,0,0,0,13,12.61,3,2.31,2,1.6,0,0,18,17,1,1,0,0,0,0,2,2,3,3,21,20,"£57,612.00",£0.00,£0.00,£0.00,"£4,850.00","£8,788.00","£71,250.00","£2,003.00","£5,150.12","£7,153.12","£78,403.12",
Science & Technology Facilities Council,STFC,"Department for Business, Innovation & Skills",133,128.24,260,246.3,1038,1015.7,340,329.37,31,28.48,37,36,"1,839","1,784",14,14,,,74,74,,,88,88,"1,927","1,872","£5,324,761.14","£201,250.00",£58.00,"£102,498.30","£1,368,309.00","£462,574.24","£7,459,450.68","£417,030.13",£0.00,"£417,030.13","£7,876,480.81",
Skills Funding Agency ,SFA,"Department for Business, Innovation & Skills",80,75.51,25,24.53,659,642.88,103,102.65,26,25,0,0,893,871,9,9,0,0,45,45,0,0,54,54,947,925,"£2,890,059.81","£67,395.91",£0.00,"£2,920.89","£586,771.52","£260,105.89","£3,807,254.02","£753,290.00",£0.00,"£753,290.00","£4,560,544.02",
Student Loans Company Ltd,SLCL,"Department for Business, Innovation & Skills",1916,1788.84,735,703.1769067,107,103.5728,17,17,8,8,6,0.853333333,"2,789","2,621",316,316,0,0,16,16,0,0,332,332,"3,121","2,953","£5,148,030.60","£168,399.28","£9,935.07","£233,676.89","£310,179.19","£374,893.57","£6,245,114.60","£365,769.00",£0.00,"£365,769.00","£6,610,883.60",
Technology Strategy Board,TSB,"Department for Business, Innovation & Skills",,,57,57,54,54,161,161,7,7,2,2,281,281,19,19,,,,,,,19,19,300,300,"£1,046,986.31","£197,380.90",,,"£253,009.51","£100,137.04","£1,597,513.76","£185,910.31",,"£185,910.31","£1,783,424.07",Now Innovate UK
UK Commission for Employment & Skills,UKCES,"Department for Business, Innovation & Skills",27,26.3,9,9,65,63.4,11,10.6,6,6,,,118,115,,,,,,,,,0,0,118,115,"£350,287.45",,,,"£67,234.01","£29,604.95","£447,126.41",,,£0.00,"£447,126.41",
UK Intellectual Property Office,UKIPO,"Department for Business, Innovation & Skills",245,219.92,295,280.44,300,293.12,235,221.15,28,27.55,,,"1,103","1,042",7,7,,,23,23,,,30,30,"1,133","1,072","£2,730,704.00","£119,448.00","£9,936.00","£85,107.00","£580,594.00","£248,723.00","£3,774,512.00","£303,504.00",,"£303,504.00","£4,078,016.00",
UK Space Agency,UKSA,"Department for Business, Innovation & Skills",0,0,7,7,23,23,23,22.8,6,5.6,0,0,59,58,0,0,0,0,0,0,0,0,0,0,59,58,"£189,431.40","£3,246.68",£0.00,£0.00,"£38,324.23","£16,493.81","£247,496.12",£0.00,£0.00,£0.00,"£247,496.12",
United Kingdom Atomic Energy Authority,UKAEA,"Department for Business, Innovation & Skills",55,52.3,96,94.32,376,372.07,126,123.62,11,10.6,20,20,684,673,4,4,0,0,458,458,0,0,462,462,"1,146","1,135","£2,319,948.00",£0.00,"£113,208.00","£62,527.00","£334,493.00","£221,141.00","£3,051,317.00","£2,166,535.00",£0.00,"£2,166,535.00","£5,217,852.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,OS,"Department for Business, Innovation & Skills",30,26.74,560,546.36,445,437.05,169,166.47,5,5,3,0.73,"1,212","1,182",47,47,4,4,65,65,,,116,116,"1,328","1,298","£3,260,921.00","£80,122.00","£26,060.00","£17,394.00","£663,826.00","£285,291.00","£4,333,614.00","£1,030,948.08",,"£1,030,948.08","£5,364,562.08",
Met Office,MO,"Department for Business, Innovation & Skills",,,,,,,,,1,1,2056,1979.6,"2,057","1,981",62,62,,,,,,,62,62,"2,119","2,043","£5,896,722.00","£353,871.00","£162,319.00",£0.00,"£1,200,027.00","£522,830.00","£8,135,769.00","£311,563.00",£0.00,"£311,563.00","£8,447,332.00",
