14.5 Total DFID Expenditure and GPEX by Recipient Country (Pacific) 2007/08 - 2011/121,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, £ thousand ,
,, Financial Aid ,,,,,,,,,,,,,
,,General Poverty Reduction Budget Support,Sector Poverty Reduction Budget Support,Other Financial Aid5,Technical Cooperation,Bilateral aid delivered through a Multilateral,Bilateral aid Delivered through an NGO,Other Bilateral Aid2,Humanitarian Assistance ,DFID Debt Relief ,Total DFID Bilateral Programme,Aid from other UK Official Sources5,Total Bilateral Gross Public Expenditure,UK Imputed Multilateral Shares3,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
South Pacific Regional,2007/08, - , - , - ,    7 , - , - , - , - , - ,    7 , - ,    7 , - ,
,2008/09, - , - , - ,    156 , - ,    95 , - , - , - ,    251 , - ,    251 , - ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2010/11, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    60 ,    60 , .. ,
,,,,,,,,,,,,,,,
Oceania Regional,2007/08, - , - , - , - , - , - , - , - , - , - ,    3 ,    3 ,   3 990 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - ,    475 ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,   3 535 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    103 ,    103 ,   7 391 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    101 ,    101 , .. ,
,,,,,,,,,,,,,,,
Total Pacific,2007/08, - , - ,   1 125 ,    99 , - ,    564 , - , - , - ,   1 788 ,   1 054 ,   2 842 , 18 993,
,2008/09, - , - ,   1 821 ,    375 , - ,    449 , - , - ,    144 ,   2 790 ,   1 217 ,   4 007 ,   6 666 ,
,2009/10, - , - ,   1 745 ,    3 , - ,    139 , - ,    100 ,    155 ,   2 142 ,   1 001 ,   3 142 ,   15 882 ,
,2010/11, - , - ,   2 235 ,    212 , - , - , - , - ,    191 ,   2 638 ,   1 542 ,   4 180 ,   29 355 ,
,2011/12, - , - ,   2 738 ,    36 , - , - , - , - ,    212 ,   2 986 ,   1 060 ,   4 046 , .. ,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.  Descriptions of aid types given in Section 2.,,,,,,,,,,,,,,,
2. Other Bilateral Aid covers bilateral aid not elsewhere classified,,,,,,,,,,,,,,,
3. Details on DFID Imputed Multilateral Shares are in Section 2; 2011/12 data are not yet available.,,,,,,,,,,,,,,,
4. Low Income Country.  Income groups are classified using 2010 GNI per capita thresholds.,,,,,,,,,,,,,,,
"5. Pension payments have been reclassified from ""Other Financial Aid"" to ""Aid from other UK Official Sources"".  This is consistent with the classification of spending under Department Expenditure Limits (DEL) agreed with Treasury.",,,,,,,,,,,,,,,
