Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,75301,1575.94,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,75321,1241.33,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Publications-Other Programme Costs,Trade Group - Service Delivery,JONES YARRELL LEADENHALL,75325,44.52,,E3 3JG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Leadership & People Management-Healthcare UK,Trade Group - Healthcare UK,CAPITA BUSINESS SERVICES LTD,75328,3215.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75343,454.57,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,PPM (Project & Programme Management)-Other Programme Costs,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,75346,259.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,OXYGEN ENTERPRISE PARTNERS LTD,75347,7000.00,,B15 1JN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ESSENTIAL BEAUTY SUPPLIES LTD,75348,244.83,,TA3 7QH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,NORTH COAST CONSULTING LTD,75349,1728.62,,TR4 8HL,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SMART HOME SOLUTIONS,75350,3000.00,,GL2 9DS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EVENORT LTD,75351,1500.00,,S25 4JJ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,75352,6155.30,,M17 1LB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Passport ITAs (Autumn Statement),Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,75352,30000.00,,M17 1LB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Application Development & Support (PFI)-Mid-Sized Business ITAs,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,75352,50594.70,,M17 1LB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-International Trade Team Contracting,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,75352,175833.00,,M17 1LB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MCNAIR DESIGNS LTD T/A MCNAIR MOUNTAIN SHIRTS,75354,500.00,,HD7 5HA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MCNAIR DESIGNS LTD T/A MCNAIR MOUNTAIN SHIRTS,75354,929.03,,HD7 5HA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,NU-PHALT LTD,75362,1153.50,,CV21 1QJ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MOUNTAIN PLUS,75366,109.00,,DE7 7HB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MOUNTAIN PLUS,75366,139.80,,DE7 7HB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SKIGNZ LIMITED,75371,3000.00,,TS1 3BA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Corporate Event Management and Marketing-Outward missions,Trade Group - Partnerships & Business,ADS GROUP LTD,75379,1005.00,,GU14 6FD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Corporate Event Management and Marketing-Inward Missions,Trade Group - Partnerships & Business,ADS GROUP LTD,75380,4850.00,,GU14 6FD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Corporate Event Management and Marketing-Inward Missions,Trade Group - Partnerships & Business,ADS GROUP LTD,75382,4850.00,,GU14 6FD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75383,624.90,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75391,332.10,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75392,1047.65,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75393,1042.46,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Corporate Event Management and Marketing-Investment - Entrepreneurs (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",BRACKEN PRESENTATIONS LTD,75394,3740.00,,NG7 1FD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75395,1040.75,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,75396,248.40,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75412,542.24,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75413,1278.90,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75414,1231.28,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75418,771.64,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75419,905.11,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75420,459.88,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75421,857.09,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75422,707.02,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,ADECCO UK LTD,75424,791.05,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75429,1195.06,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,75434,1621.61,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Copyright Fees-Inward Investment Publicity,Marketing & Communications - Communications,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,75436,5731.58,,KT1 2SZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Investment - Enablers (Autumn Statement),"Investment Development - Managing Director & Operations, Investment Development",ADECCO UK LTD,75437,969.05,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,75438,917.11,,B37 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Hire of Agency Staff-UKTI Programme Admin,Chief Operating Officer - IT and Finance,CORE TECHNOLOGY SYSTEMS (UK) LTD,75469,1080.00,,E1 8DE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Recoveries Account - Other payables-Default,Corporate Payments,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,75518,1112.00,,NP10 8QQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Catering and Hospitality Expenditure-Support to Campaigns,Defence and Security Organisation - Regional Directorates,HMS NELSON WARDROOM MESS,75544,32.59,,PO1 3HH,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,PS8 LTD,75548,2400.00,,EN5 4HD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,PS8 LTD,75550,15000.00,,EN5 4HD,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Entertaining UK-Support to Campaigns,Defence and Security Organisation - Regional Directorates,CHURCH HOUSE CONFERENCE CENTRE LTD,75552,456.00,,SW1P 3NZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Hire of Agency Staff-Trade Marketing Events,Trade Group - Service Delivery,BROOK STREET (UK) LTD,75557,590.76,,AL1 4JB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Hire of Agency Staff-Trade Development Support,"Trade Group - Managing Director, Trade Group",BROOK STREET (UK) LTD,75559,286.82,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Media Costs-Mid-Sized Business Events,Trade Group - Service Delivery,CHAMBERLINK LTD T/A BUSINESS SUPPORT SOLUTIONS,75563,7304.00,,M17 1LB,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Learning and Dev - CS Skills-Trade Development Support,Trade Group - Construction,CAPITA BUSINESS SERVICES LTD,75569,158.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,75570,438.60,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,75571,1393.74,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Other Goods/Services-Trade Development External Advisers,Trade Group - Consumer and Retail,CAPITA BUSINESS SERVICES LTD,75572,1997.78,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,75574,3297.50,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Hire of Agency Staff-ASEAN Business Council,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,75575,237.69,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,75576,4896.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,75577,2398.70,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Hire of Agency Staff-Business Opportunities,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,75580,2958.46,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,75584,3625.82,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,12/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA BUSINESS SERVICES LTD,75586,1998.92,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,IT Services-UKTI Programme Admin,Chief Operating Officer - IT and Finance,ALLAN WEBB LTD,75590,952.65,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Media Costs-Online,Marketing & Communications - Communications,ALLAN WEBB LTD,75591,163.44,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,IT Services-UKTI Programme Admin,Chief Operating Officer - IT and Finance,ALLAN WEBB LTD,75592,71.50,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,IT Services-Chambers,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ALLAN WEBB LTD,75593,417.90,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,IT Services-ASEAN Business Council,Trade Group - Operations Directorate,ALLAN WEBB LTD,75594,1193.70,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Inward Investment Research,Investment Development - Strategic Investment & Accounts,ALLAN WEBB LTD,75595,1547.00,,GL10 3RF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Publications-Other Programme Costs,Defence and Security Organisation - Head DSO Office,JONES YARRELL LEADENHALL,75601,90.43,,E3 3JG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other ICT Costs-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BRITISH TELECOMMUNICATIONS plc (BT),75602,391.80,,DH98 1BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Static Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BRITISH TELECOMMUNICATIONS plc (BT),75604,86.36,,DH98 1BT,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Taxi Services UK-Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75612,350.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Air Travel Overseas-Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75612,4143.00,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Rail Travel UK-Trade Development Support,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development","Personal Expense, Name Witheld",75614,177.48,,,,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Motor Vehicle Hire-Support to Campaigns,Defence and Security Organisation - Regional Directorates,GROUND TRANSPORT LTD,75617," 3,932.50 ",,SE11 6DX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,RS HYDRO LTD,75629,609.92,,B60 4JZ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,FOLIUM OPTICS LTD,75630,172.47,,BS16 1QY,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,15/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,FOLIUM OPTICS LTD,75630,1145.00,,BS16 1QY,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,STREAMLINE POWER LTD,75631,2838.13,,W1F 7LD,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MARKETPOINT (EUROPE) LTD,75632,538.93,,RG12 1WA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PERIOD PIANO COMPANY LTD,75633,375.00,,TN27 8LQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PERIOD PIANO COMPANY LTD,75633,1079.91,,TN27 8LQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Other Professional Services-Chambers,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",FAKTOR CONSULT LTD,75635," 13,578.20 ",,SW2 3JZ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Catering and Hospitality Expenditure-Sector Events - Abroad,Trade Group - Creative Industries & Global Sporting Projects,SPORTACCORD,75637,28057.50,,CH-1007,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Catering and Hospitality Expenditure-Sector Events - Abroad,Trade Group - Creative Industries & Global Sporting Projects,SPORTACCORD,75638,28057.50,,CH-1007,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,OXYGEN ENTERPRISE PARTNERS LTD,75642,26000.00,,B15 1JN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,IGNITE 100 ACCELERATOR CORP LTD,75643,19000.00,,NE1 6UF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,IGNITE 100 ACCELERATOR CORP LTD,75644,10000.00,,NE1 6UF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Professional Services-Investment - Entrepreneurs (Autumn Statement),Investment Development - Strategy & Policy,IGNITE 100 ACCELERATOR CORP LTD,75646,3600.00,,NE1 6UF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Static Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,MINISTRY OF DEFENCE,75656,1970.25,,L2 3YL,WGA ONLY,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Receipt of Fees and Charges-Overseas Market Introduction Service,Trade Group - Service Delivery,FLUOROCARBON COMPANY LTD,75668,724.00,,SG13 7NH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Receipt of Fees and Charges-Overseas Market Introduction Service,Trade Group - Service Delivery,REALVNC LTD,75669,2310.00,,CB2 1LQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Marketing - Promotional Materials-UKTI Corporate Marketing,Marketing & Communications - Communications,HUDSON GLOBAL RESOURCES LTD,75676,1495.20,,G2 5HF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Internal Training-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75677,1415.84,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Internal Training-Passport Workshops (Autumn Statement),Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75677,9713.85,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Other Goods/Services-Mid-Sized Business Events,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75678,1143.05,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,50.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,200.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,400.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,09/01/2015,Subsistence Overseas-Market Visit Scheme,Trade Group - Service Delivery,EXEMPLAS TRADE SERVICES LTD,75679,450.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
